Shipper Name,TSA,Delivery Location,FT1/FT2,Receipt Location,Delv Dths
BP Energy,97JB,ICOMINCO,FT2,Bondad Station,34987
,,ICOMINCO Total,,,34987
BP Energy,97JB,ILONEWA,FT2,Bondad Station,0
,,ILONEWA Total,,,0
BP Energy,97JB,INGPLW#7,FT2,Bondad Station,0
,,INGPLW#7 Total,,,0
BP Energy,97JB,INNDUMAS,FT2,Bondad Station,0
,,INNDUMAS Total,,,0
BP Energy,97JB,IOASISWA,FT2,Bondad Station,0
,,IOASISWA Total,,,0
BP Energy,97JB,IVALEROW,FT2,Bondad Station,0
,,IVALEROW Total,,,0
BP Energy,97JB,IWESTARW,FT2,Bondad Station,26393
,,IWESTARW Total,,,26393
,97JB Total,,,,61380
Burlington Resources ,9MCQ,DSCALTOP,FT1,Waha,3975
,,DSCALTOP Total,,,3975
,9MCQ Total,,,,3975
Burlington Resources ,9MFH,DSCALTOP,FT1,Blanco,1710
Burlington Resources ,9MFH,DSCALTOP,FT1,Bondad Mainline,0
Burlington Resources ,9MFH,DSCALTOP,FT1,Bondad Station,0
Burlington Resources ,9MFH,DSCALTOP,FT1,Puckett,172
Burlington Resources ,9MFH,DSCALTOP,FT1,Rio Vista,0
Burlington Resources ,9MFH,DSCALTOP,FT1,Waha,863
Burlington Resources ,9MFH,DSCALTOP,FT1,Waha,198
,,DSCALTOP Total,,,2943
,9MFH Total,,,,2943
Burlington Resources Marketing Inc. ,97YW,DSCALEHR,FT1,Blanco,47881
Burlington Resources Marketing Inc. ,97YW,DSCALEHR,FT1,Bondad Mainline,0
Burlington Resources Marketing Inc. ,97YW,DSCALEHR,FT1,Bondad Station,0
Burlington Resources Marketing Inc. ,97YW,DSCALEHR,FT1,Puckett,4817
Burlington Resources Marketing Inc. ,97YW,DSCALEHR,FT1,Rio Vista,0
Burlington Resources Marketing Inc. ,97YW,DSCALEHR,FT1,Waha,24178
Burlington Resources Marketing Inc. ,97YW,DSCALEHR,FT1,Waha,5537
,,DSCALEHR Total,,,82413
,97YW Total,,,,82413
Burlington Resources Marketing Inc. ,9M7X,DPG&ETOP,FT1,Blanco,3535
Burlington Resources Marketing Inc. ,9M7X,DPG&ETOP,FT1,Blanco,0
Burlington Resources Marketing Inc. ,9M7X,DPG&ETOP,FT1,Bondad Mainline,0
Burlington Resources Marketing Inc. ,9M7X,DPG&ETOP,FT1,Bondad Station,4555
Burlington Resources Marketing Inc. ,9M7X,DPG&ETOP,FT1,Bondad Station,0
Burlington Resources Marketing Inc. ,9M7X,DPG&ETOP,FT1,Puckett,814
Burlington Resources Marketing Inc. ,9M7X,DPG&ETOP,FT1,Rio Vista,0
Burlington Resources Marketing Inc. ,9M7X,DPG&ETOP,FT1,Waha,4086
Burlington Resources Marketing Inc. ,9M7X,DPG&ETOP,FT1,Waha,936
,,DPG&ETOP Total,,,13926
,9M7X Total,,,,13926
Burlington Resources Marketing Inc. ,9M7Y,DSCALTOP,FT1,Blanco,18879
Burlington Resources Marketing Inc. ,9M7Y,DSCALTOP,FT1,Blanco,0
Burlington Resources Marketing Inc. ,9M7Y,DSCALTOP,FT1,Bondad Mainline,0
Burlington Resources Marketing Inc. ,9M7Y,DSCALTOP,FT1,Bondad Station,2730
Burlington Resources Marketing Inc. ,9M7Y,DSCALTOP,FT1,Bondad Station,0
Burlington Resources Marketing Inc. ,9M7Y,DSCALTOP,FT1,Puckett,2174
Burlington Resources Marketing Inc. ,9M7Y,DSCALTOP,FT1,Rio Vista,0
Burlington Resources Marketing Inc. ,9M7Y,DSCALTOP,FT1,Waha,10912
Burlington Resources Marketing Inc. ,9M7Y,DSCALTOP,FT1,Waha,2499
,,DSCALTOP Total,,,37194
,9M7Y Total,,,,37194
Burlington Resources Marketing Inc. ,9M7Z,DMOJAVE,FT1,Blanco,27987
Burlington Resources Marketing Inc. ,9M7Z,DMOJAVE,FT1,Bondad Mainline,0
Burlington Resources Marketing Inc. ,9M7Z,DMOJAVE,FT1,Bondad Station,0
Burlington Resources Marketing Inc. ,9M7Z,DMOJAVE,FT1,Puckett,2815
Burlington Resources Marketing Inc. ,9M7Z,DMOJAVE,FT1,Rio Vista,0
Burlington Resources Marketing Inc. ,9M7Z,DMOJAVE,FT1,Waha,14133
Burlington Resources Marketing Inc. ,9M7Z,DMOJAVE,FT1,Waha,3237
,,DMOJAVE Total,,,48172
,9M7Z Total,,,,48172
Burlington Resources Trading Inc.,97J4,DWILSDEL,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,DWILSDEL,FT2,Bondad Station,0
,,DWILSDEL Total,,,0
Burlington Resources Trading Inc.,97J4,IBIGBLUE,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IBIGBLUE,FT2,Bondad Station,0
,,IBIGBLUE Total,,,0
Burlington Resources Trading Inc.,97J4,ICOMINCO,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,ICOMINCO,FT2,Bondad Station,20460
,,ICOMINCO Total,,,20460
Burlington Resources Trading Inc.,97J4,IDELHIWA,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IDELHIWA,FT2,Bondad Station,0
,,IDELHIWA Total,,,0
Burlington Resources Trading Inc.,97J4,IFRANKLN,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IFRANKLN,FT2,Bondad Station,35805
,,IFRANKLN Total,,,35805
Burlington Resources Trading Inc.,97J4,IHYBENDM,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IHYBENDM,FT2,Bondad Station,0
,,IHYBENDM Total,,,0
Burlington Resources Trading Inc.,97J4,IIGNACIO,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IIGNACIO,FT2,Bondad Station,0
,,IIGNACIO Total,,,0
Burlington Resources Trading Inc.,97J4,ILEARWAS,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,ILEARWAS,FT2,Bondad Station,0
,,ILEARWAS Total,,,0
Burlington Resources Trading Inc.,97J4,ILONESTR,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,ILONESTR,FT2,Bondad Station,0
,,ILONESTR Total,,,0
Burlington Resources Trading Inc.,97J4,ILONEWA,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,ILONEWA,FT2,Bondad Station,66495
,,ILONEWA Total,,,66495
Burlington Resources Trading Inc.,97J4,IMOBILWA,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IMOBILWA,FT2,Bondad Station,0
,,IMOBILWA Total,,,0
Burlington Resources Trading Inc.,97J4,IMOSS X,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IMOSS X,FT2,Bondad Station,0
,,IMOSS X Total,,,0
Burlington Resources Trading Inc.,97J4,INGPLLEA,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,INGPLLEA,FT2,Bondad Station,0
,,INGPLLEA Total,,,0
Burlington Resources Trading Inc.,97J4,INGPLMOR,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,INGPLMOR,FT2,Bondad Station,0
,,INGPLMOR Total,,,0
Burlington Resources Trading Inc.,97J4,INGPLUSK,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,INGPLUSK,FT2,Bondad Station,0
,,INGPLUSK Total,,,0
Burlington Resources Trading Inc.,97J4,INGPLW#7,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,INGPLW#7,FT2,Bondad Station,20460
,,INGPLW#7 Total,,,20460
Burlington Resources Trading Inc.,97J4,INN30PLA,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,INN30PLA,FT2,Bondad Station,0
,,INN30PLA Total,,,0
Burlington Resources Trading Inc.,97J4,INNDUMAS,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,INNDUMAS,FT2,Bondad Station,10230
,,INNDUMAS Total,,,10230
Burlington Resources Trading Inc.,97J4,INNKEYST,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,INNKEYST,FT2,Bondad Station,0
,,INNKEYST Total,,,0
Burlington Resources Trading Inc.,97J4,IOASISWA,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IOASISWA,FT2,Bondad Station,0
,,IOASISWA Total,,,0
Burlington Resources Trading Inc.,97J4,IRATLESN,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IRATLESN,FT2,Bondad Station,0
,,IRATLESN Total,,,0
Burlington Resources Trading Inc.,97J4,ITEXHARV,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,ITEXHARV,FT2,Bondad Station,0
,,ITEXHARV Total,,,0
Burlington Resources Trading Inc.,97J4,IVALEROS,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IVALEROS,FT2,Bondad Station,0
,,IVALEROS Total,,,0
Burlington Resources Trading Inc.,97J4,IVALEROW,FT2,Blanco,86955
Burlington Resources Trading Inc.,97J4,IVALEROW,FT2,Bondad Station,0
,,IVALEROW Total,,,86955
Burlington Resources Trading Inc.,97J4,IVHCPLNT,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IVHCPLNT,FT2,Bondad Station,0
,,IVHCPLNT Total,,,0
Burlington Resources Trading Inc.,97J4,IWESTARW,FT2,Blanco,46550
Burlington Resources Trading Inc.,97J4,IWESTARW,FT2,Bondad Station,19945
,,IWESTARW Total,,,66495
Burlington Resources Trading Inc.,97J4,IWTG DAL,FT2,Blanco,0
Burlington Resources Trading Inc.,97J4,IWTG DAL,FT2,Bondad Station,0
,,IWTG DAL Total,,,0
,97J4 Total,,,,306900
Chemical Lime Company of Arizona ,982F,DPAULWIL,FT1,Blanco,1176
Chemical Lime Company of Arizona ,982F,DPAULWIL,FT1,Bondad Mainline,0
Chemical Lime Company of Arizona ,982F,DPAULWIL,FT1,Bondad Station,0
Chemical Lime Company of Arizona ,982F,DPAULWIL,FT1,Puckett,118
Chemical Lime Company of Arizona ,982F,DPAULWIL,FT1,Rio Vista,0
Chemical Lime Company of Arizona ,982F,DPAULWIL,FT1,Waha,593
Chemical Lime Company of Arizona ,982F,DPAULWIL,FT1,Waha,136
,,DPAULWIL Total,,,2023
,982F Total,,,,2023
Citizens Communications Company,97ZH,DCITZGIL,FT1,Blanco,0
Citizens Communications Company,97ZH,DCITZGIL,FT1,Bondad Mainline,0
Citizens Communications Company,97ZH,DCITZGIL,FT1,Bondad Station,0
Citizens Communications Company,97ZH,DCITZGIL,FT1,Puckett,0
Citizens Communications Company,97ZH,DCITZGIL,FT1,Rio Vista,0
Citizens Communications Company,97ZH,DCITZGIL,FT1,Waha,0
Citizens Communications Company,97ZH,DCITZGIL,FT1,Waha,0
,,DCITZGIL Total,,,0
Citizens Communications Company,97ZH,DCITZHOL,FT1,Blanco,4131
Citizens Communications Company,97ZH,DCITZHOL,FT1,Bondad Mainline,0
Citizens Communications Company,97ZH,DCITZHOL,FT1,Bondad Station,0
Citizens Communications Company,97ZH,DCITZHOL,FT1,Puckett,415
Citizens Communications Company,97ZH,DCITZHOL,FT1,Rio Vista,0
Citizens Communications Company,97ZH,DCITZHOL,FT1,Waha,2085
Citizens Communications Company,97ZH,DCITZHOL,FT1,Waha,478
,,DCITZHOL Total,,,7109
Citizens Communications Company,97ZH,DCITZPHX,FT1,Blanco,14236
Citizens Communications Company,97ZH,DCITZPHX,FT1,Bondad Mainline,0
Citizens Communications Company,97ZH,DCITZPHX,FT1,Bondad Station,0
Citizens Communications Company,97ZH,DCITZPHX,FT1,Puckett,1433
Citizens Communications Company,97ZH,DCITZPHX,FT1,Rio Vista,0
Citizens Communications Company,97ZH,DCITZPHX,FT1,Waha,7187
Citizens Communications Company,97ZH,DCITZPHX,FT1,Waha,1649
,,DCITZPHX Total,,,24505
Citizens Communications Company,97ZH,DCITZSED,FT1,Blanco,3768
Citizens Communications Company,97ZH,DCITZSED,FT1,Bondad Mainline,0
Citizens Communications Company,97ZH,DCITZSED,FT1,Bondad Station,0
Citizens Communications Company,97ZH,DCITZSED,FT1,Puckett,378
Citizens Communications Company,97ZH,DCITZSED,FT1,Rio Vista,0
Citizens Communications Company,97ZH,DCITZSED,FT1,Waha,1902
Citizens Communications Company,97ZH,DCITZSED,FT1,Waha,436
,,DCITZSED Total,,,6484
Citizens Communications Company,97ZH,DCITZSJE,FT1,Blanco,2754
Citizens Communications Company,97ZH,DCITZSJE,FT1,Bondad Mainline,0
Citizens Communications Company,97ZH,DCITZSJE,FT1,Bondad Station,0
Citizens Communications Company,97ZH,DCITZSJE,FT1,Puckett,277
Citizens Communications Company,97ZH,DCITZSJE,FT1,Rio Vista,0
Citizens Communications Company,97ZH,DCITZSJE,FT1,Waha,1390
Citizens Communications Company,97ZH,DCITZSJE,FT1,Waha,319
,,DCITZSJE Total,,,4740
Citizens Communications Company,97ZH,DCITZSJW,FT1,Blanco,2066
Citizens Communications Company,97ZH,DCITZSJW,FT1,Bondad Mainline,0
Citizens Communications Company,97ZH,DCITZSJW,FT1,Bondad Station,0
Citizens Communications Company,97ZH,DCITZSJW,FT1,Puckett,208
Citizens Communications Company,97ZH,DCITZSJW,FT1,Rio Vista,0
Citizens Communications Company,97ZH,DCITZSJW,FT1,Waha,1042
Citizens Communications Company,97ZH,DCITZSJW,FT1,Waha,238
,,DCITZSJW Total,,,3554
Citizens Communications Company,97ZH,DCITZTUS,FT1,Blanco,8117
Citizens Communications Company,97ZH,DCITZTUS,FT1,Bondad Mainline,0
Citizens Communications Company,97ZH,DCITZTUS,FT1,Bondad Station,0
Citizens Communications Company,97ZH,DCITZTUS,FT1,Puckett,817
Citizens Communications Company,97ZH,DCITZTUS,FT1,Rio Vista,0
Citizens Communications Company,97ZH,DCITZTUS,FT1,Waha,4099
Citizens Communications Company,97ZH,DCITZTUS,FT1,Waha,940
,,DCITZTUS Total,,,13973
Citizens Communications Company,97ZH,DCITZWIL,FT1,Blanco,1365
Citizens Communications Company,97ZH,DCITZWIL,FT1,Bondad Mainline,0
Citizens Communications Company,97ZH,DCITZWIL,FT1,Bondad Station,0
Citizens Communications Company,97ZH,DCITZWIL,FT1,Puckett,137
Citizens Communications Company,97ZH,DCITZWIL,FT1,Rio Vista,0
Citizens Communications Company,97ZH,DCITZWIL,FT1,Waha,688
Citizens Communications Company,97ZH,DCITZWIL,FT1,Waha,157
,,DCITZWIL Total,,,2347
,97ZH Total,,,,62712
"City of Benson, Arizona ",982B,DBENSTUS,FT2,Blanco,452
"City of Benson, Arizona ",982B,DBENSTUS,FT2,Bondad Mainline,429
"City of Benson, Arizona ",982B,DBENSTUS,FT2,Keystone,48
,,DBENSTUS Total,,,929
,982B Total,,,,929
"City of Big Lake, Texas ",982C,DBIGLSUT,FT2,Keystone,735
"City of Big Lake, Texas ",982C,DBIGLSUT,FT2,Plains,35
,,DBIGLSUT Total,,,770
,982C Total,,,,770
"City of Deming, Texas ",982H,DDEM AFT,FT2,Blanco,964
"City of Deming, Texas ",982H,DDEM AFT,FT2,Bondad Mainline,1742
"City of Deming, Texas ",982H,DDEM AFT,FT2,Keystone,3
,,DDEM AFT Total,,,2709
,982H Total,,,,2709
"City of Denver City, Texas ",97ZF,DDENVJAL,FT2,Blanco,1256
"City of Denver City, Texas ",97ZF,DDENVJAL,FT2,Keystone,190
,,DDENVJAL Total,,,1446
,97ZF Total,,,,1446
"City of Goldsmith, Texas ",9825,DGOLDSNY,FT2,Blanco,106
,,DGOLDSNY Total,,,106
,9825 Total,,,,106
"City of Las Cruces, New Mexico ",982M,DLASCLAS,FT1,Blanco,0
"City of Las Cruces, New Mexico ",982M,DLASCLAS,FT1,Bondad Mainline,0
"City of Las Cruces, New Mexico ",982M,DLASCLAS,FT1,Bondad Station,9631
"City of Las Cruces, New Mexico ",982M,DLASCLAS,FT1,Puckett,969
"City of Las Cruces, New Mexico ",982M,DLASCLAS,FT1,Rio Vista,0
"City of Las Cruces, New Mexico ",982M,DLASCLAS,FT1,Waha,4861
"City of Las Cruces, New Mexico ",982M,DLASCLAS,FT1,Waha,1115
,,DLASCLAS Total,,,16576
,982M Total,,,,16576
"City of Lordsburg, New Mexico ",982N,DLORDAFT,FT1,Blanco,391
"City of Lordsburg, New Mexico ",982N,DLORDAFT,FT1,Bondad Mainline,0
"City of Lordsburg, New Mexico ",982N,DLORDAFT,FT1,Bondad Station,0
"City of Lordsburg, New Mexico ",982N,DLORDAFT,FT1,Puckett,39
"City of Lordsburg, New Mexico ",982N,DLORDAFT,FT1,Rio Vista,0
"City of Lordsburg, New Mexico ",982N,DLORDAFT,FT1,Waha,197
"City of Lordsburg, New Mexico ",982N,DLORDAFT,FT1,Waha,45
,,DLORDAFT Total,,,672
,982N Total,,,,672
City of Los Angeles DWP ,9M86,DMOJAVE,FT1,Blanco,12988
City of Los Angeles DWP ,9M86,DMOJAVE,FT1,Bondad Mainline,0
City of Los Angeles DWP ,9M86,DMOJAVE,FT1,Bondad Station,0
City of Los Angeles DWP ,9M86,DMOJAVE,FT1,Puckett,1307
City of Los Angeles DWP ,9M86,DMOJAVE,FT1,Rio Vista,0
City of Los Angeles DWP ,9M86,DMOJAVE,FT1,Waha,6557
City of Los Angeles DWP ,9M86,DMOJAVE,FT1,Waha,1503
,,DMOJAVE Total,,,22355
,9M86 Total,,,,22355
City of Los Angeles DWP ,9M87,DSCALTOP,FT1,Blanco,7778
City of Los Angeles DWP ,9M87,DSCALTOP,FT1,Bondad Mainline,0
City of Los Angeles DWP ,9M87,DSCALTOP,FT1,Bondad Station,0
City of Los Angeles DWP ,9M87,DSCALTOP,FT1,Puckett,783
City of Los Angeles DWP ,9M87,DSCALTOP,FT1,Rio Vista,0
City of Los Angeles DWP ,9M87,DSCALTOP,FT1,Waha,3927
City of Los Angeles DWP ,9M87,DSCALTOP,FT1,Waha,901
,,DSCALTOP Total,,,13389
,9M87 Total,,,,13389
"City of Mesa, Arizona ",97ZV,DMESAPHX,FT1,Blanco,0
"City of Mesa, Arizona ",97ZV,DMESAPHX,FT1,Bondad Mainline,0
"City of Mesa, Arizona ",97ZV,DMESAPHX,FT1,Bondad Station,8833
"City of Mesa, Arizona ",97ZV,DMESAPHX,FT1,Puckett,889
"City of Mesa, Arizona ",97ZV,DMESAPHX,FT1,Rio Vista,0
"City of Mesa, Arizona ",97ZV,DMESAPHX,FT1,Waha,4462
"City of Mesa, Arizona ",97ZV,DMESAPHX,FT1,Waha,1022
,,DMESAPHX Total,,,15206
"City of Mesa, Arizona ",97ZV,DMESAS-H,FT1,Blanco,0
"City of Mesa, Arizona ",97ZV,DMESAS-H,FT1,Bondad Mainline,0
