COUNTERPARTY,Trade Date,Flow Date,Location,Daily QTY,TOTAL QTY,Fixed Price,,VOLUME,Price,Total $
"Duke Energy Trading and Marketing, L.L.C.",2001-01-26 12:31:34,2001-02-01 00:00:00,PERMIAN,5000,140000,7.08,,140000,7.08,991200
Duke Field Services,2001-01-26 12:33:14,2001-02-01 00:00:00,PERMIAN,4000,112000,7.1,,112000,7.1,795200
"USGT/Aquila, L.P.",2001-01-29 08:08:19,2001-02-01 00:00:00,PERMIAN,5000,140000,6.82,,140000,6.82,954800
"USGT/Aquila, L.P.",2001-01-29 08:08:51,2001-02-01 00:00:00,PERMIAN,5000,140000,6.83,,140000,6.83,956200
"Mirant Americas Energy Marketing, L.P.",2001-01-29 08:33:13,2001-02-01 00:00:00,PERMIAN,5000,140000,6.78,,140000,6.78,949200
"USGT/Aquila, L.P.",2001-01-29 08:41:33,2001-02-01 00:00:00,PERMIAN,5000,140000,6.745,,140000,6.745,944300
"Mirant Americas Energy Marketing, L.P.",2001-01-29 08:43:26,2001-02-01 00:00:00,PERMIAN,5000,140000,6.68,,140000,6.68,935200
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:35:32,2001-02-01 00:00:00,PERMIAN,10000,280000,6.51,,280000,6.51,1822800
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 13:17:10,2001-02-01 00:00:00,PERMIAN,5000,140000,6.55,,140000,6.55,917000
Aquila Energy Marketing Corporation,2001-01-29 13:19:36,2001-02-01 00:00:00,PERMIAN,5000,140000,6.54,,140000,6.54,915600
"USGT/Aquila, L.P.",2001-01-29 13:20:34,2001-02-01 00:00:00,PERMIAN,5000,140000,6.53,,140000,6.53,914200
"USGT/Aquila, L.P.",2001-01-29 13:30:16,2001-02-01 00:00:00,PERMIAN,5000,140000,6.46,,140000,6.46,904400
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 13:30:35,2001-02-01 00:00:00,PERMIAN,5000,140000,6.485,,140000,6.485,907900
"USGT/Aquila, L.P.",2001-01-29 13:31:28,2001-02-01 00:00:00,PERMIAN,5000,140000,6.485,,140000,6.485,907900
"USGT/Aquila, L.P.",2001-01-29 13:36:32,2001-02-01 00:00:00,PERMIAN,5000,140000,6.81,,140000,6.81,953400
Tri Star Gas Marketing,2001-01-30 12:33:14,2001-02-01 00:00:00,PERMIAN,800,22400,5.95,,22400,5.95,133280
Conoco Inc.,2001-01-30 12:41:14,2001-02-01 00:00:00,PERMIAN,-5000,-140000,6.03,,140000,6.03,844200
Texaco Natural Gas Inc.,2001-01-30 13:41:14,2001-02-01 00:00:00,PERMIAN,-10000,-280000,6.065,,280000,6.065,1698200
WACOG,6.6933087027914615,,,,2570400,,,3410400,,22826860
,,,,,,,,,,
"Calpine Energy Services, L.P.",2001-01-25 08:59:04,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.52,,140000,12.52,1752800
"Mirant Americas Energy Marketing, L.P.",2001-01-25 09:28:00,2001-02-01 00:00:00,PG&E CITY GATE,-10000,-280000,12.7,,280000,12.7,3556000
"El Paso Merchant Energy, L.P.",2001-01-25 10:37:00,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.8,,140000,12.8,1792000
"Calpine Energy Services, L.P.",2001-01-25 14:24:37,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.7,,140000,12.7,1778000
"El Paso Merchant Energy, L.P.",2001-01-25 14:25:19,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.8,,140000,12.8,1792000
Dynegy Marketing and Trade,2001-01-26 09:44:36,2001-02-01 00:00:00,PG&E CITY GATE,2500,70000,12.21,,70000,12.21,854700
Dynegy Marketing and Trade,2001-01-26 09:45:08,2001-02-01 00:00:00,PG&E CITY GATE,2500,70000,12,,70000,12,840000
"El Paso Merchant Energy, L.P.",2001-01-26 09:47:45,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.23,,140000,12.23,1712200
Dynegy Marketing and Trade,2001-01-26 10:02:45,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.12,,140000,12.12,1696800
"Enron Energy Services, Inc.",2001-01-26 12:33:05,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,11.94,,140000,11.94,1671600
"Mirant Americas Energy Marketing, L.P.",2001-01-26 12:36:14,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,11.7,,140000,11.7,1638000
Aquila Energy Marketing Corporation,2001-01-29 11:04:04,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.04,,140000,12.04,1685600
TXU Energy Trading Company,2001-01-29 11:27:56,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.19,,140000,12.19,1706600
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 11:35:22,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.15,,140000,12.15,1701000
Cook Inlet Energy Supply L.L.C.,2001-01-29 11:40:39,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.02,,140000,12.02,1682800
TXU Energy Trading Company,2001-01-29 11:57:40,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.05,,140000,12.05,1687000
BP Energy Company,2001-01-29 12:14:17,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.09,,140000,12.09,1692600
Coast,2001-01-29 12:15:32,2001-02-01 00:00:00,PG&E CITY GATE,6276,175728,11.6,,175728,11.6,2038444.8
"El Paso Merchant Energy, L.P.",2001-01-29 13:31:30,2001-02-01 00:00:00,PG&E CITY GATE,-2500,-70000,12.34,,70000,12.34,863800
TXU Energy Trading Company,2001-01-30 08:07:04,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,11.55,,140000,11.55,1617000
TXU Energy Trading Company,2001-01-30 08:08:34,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,11.06,,140000,11.06,1548400
"Enron Energy Services, Inc.",2001-01-30 08:23:04,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,10.85,,140000,10.85,1519000
"Reliant Energy Services, Inc.",2001-01-30 08:55:08,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,10,,140000,10,1400000
WACOG,11.99924940233441,,,,525728,,,3185728,,38226344.8
,,,,,,,,,,
"Reliant Energy Services, Inc.",2001-01-25 09:12:10,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.095,,140000,7.095,993300
Aquila Energy Marketing Corporation,2001-01-25 09:14:29,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.13,,140000,7.13,998200
"e prime, inc.",2001-01-25 09:44:53,2001-02-01 00:00:00,ROCKIES,-2500,-70000,7.03,,70000,7.03,492100
"e prime, inc.",2001-01-25 09:49:59,2001-02-01 00:00:00,ROCKIES,2500,70000,7.04,,70000,7.04,492800
Aquila Energy Marketing Corporation,2001-01-25 10:23:07,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.1,,140000,7.1,994000
Arizona Public Service Company,2001-01-25 10:39:52,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.13,,140000,7.13,998200
"Reliant Energy Services, Inc.",2001-01-25 11:17:23,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.13,,140000,7.13,998200
Aquila Energy Marketing Corporation,2001-01-25 11:22:23,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.15,,140000,7.15,1001000
"Reliant Energy Services, Inc.",2001-01-25 11:30:00,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.18,,140000,7.18,1005200
"Duke Energy Trading and Marketing, L.L.C.",2001-01-25 11:35:00,2001-02-01 00:00:00,ROCKIES,5000,140000,7.12,,140000,7.12,996800
"Reliant Energy Services, Inc.",2001-01-25 13:15:18,2001-02-01 00:00:00,ROCKIES,5000,140000,7.17,,140000,7.17,1003800
BP Energy Company,2001-01-26 08:56:29,2001-02-01 00:00:00,ROCKIES,5000,140000,7,,140000,7,980000
Aquila Energy Marketing Corporation,2001-01-26 08:58:40,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.99,,140000,6.99,978600
Engage Energy Canada L.P.,2001-01-26 08:58:46,2001-02-01 00:00:00,ROCKIES,5000,140000,6.925,,140000,6.925,969500
BP Energy Company,2001-01-26 09:54:36,2001-02-01 00:00:00,ROCKIES,5000,140000,6.9,,140000,6.9,966000
Aquila Energy Marketing Corporation,2001-01-29 08:29:06,2001-02-01 00:00:00,ROCKIES,5000,140000,6.675,,140000,6.675,934500
"El Paso Merchant Energy, L.P.",2001-01-29 08:53:04,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.62,,140000,6.62,926800
Aquila Energy Marketing Corporation,2001-01-29 08:54:49,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.67,,140000,6.67,933800
Aquila Energy Marketing Corporation,2001-01-29 09:06:38,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.68,,140000,6.68,935200
"e prime, inc.",2001-01-29 09:14:43,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.65,,140000,6.65,931000
"Mirant Americas Energy Marketing, L.P.",2001-01-29 09:22:36,2001-02-01 00:00:00,ROCKIES,10000,280000,6.635,,280000,6.635,1857800
Dynegy Marketing and Trade,2001-01-29 09:26:51,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.635,,140000,6.635,928900
Dynegy Marketing and Trade,2001-01-29 09:48:16,2001-02-01 00:00:00,ROCKIES,-10000,-280000,6.665,,280000,6.665,1866200
"Avista Energy, Inc.",2001-01-29 10:05:28,2001-02-01 00:00:00,ROCKIES,-10000,-280000,6.645,,280000,6.645,1860600
"Mirant Americas Energy Marketing, L.P.",2001-01-29 11:29:58,2001-02-01 00:00:00,ROCKIES,5000,140000,6.47,,140000,6.47,905800
EOG Resources,2001-01-29 11:33:32,2001-02-01 00:00:00,ROCKIES,20000,560000,6.63,,560000,6.63,3712800
EOG Resources,2001-01-29 11:33:32,2001-02-01 00:00:00,ROCKIES,10000,280000,6.66,,280000,6.66,1864800
Aquila Energy Marketing Corporation,2001-01-29 11:51:32,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.485,,140000,6.485,907900
EOG Resources,2001-01-29 12:05:32,2001-02-01 00:00:00,ROCKIES,20000,560000,6.52,,560000,6.52,3651200
Williams Energy Marketing & Trading Company,2001-01-29 12:26:19,2001-02-01 00:00:00,ROCKIES,5000,140000,6.34,,140000,6.34,887600
"Avista Energy, Inc.",2001-01-29 12:26:56,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.35,,140000,6.35,889000
National Fuels,2001-01-29 12:45:32,2001-02-01 00:00:00,ROCKIES,7450,208600,5.96,,208600,5.96,1243256
Kimball Energy Corporation,2001-01-29 12:55:32,2001-02-01 00:00:00,ROCKIES,400,11200,6.51,,11200,6.51,72912
"Avista Energy, Inc.",2001-01-29 12:55:32,2001-02-01 00:00:00,ROCKIES,-2400,-67200,6.55,,67200,6.55,440160
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:55:32,2001-02-01 00:00:00,ROCKIES,-5000,-140000,5.85,,140000,5.85,819000
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:55:32,2001-02-01 00:00:00,ROCKIES,-10000,-280000,5.85,,280000,5.85,1638000
Aquila Energy Marketing Corporation,2001-01-29 13:11:24,2001-02-01 00:00:00,ROCKIES,10000,280000,6.26,,280000,6.26,1752800
"Avista Energy, Inc.",2001-01-29 13:37:16,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.29,,140000,6.29,880600
"Mirant Americas Energy Marketing, L.P.",2001-01-29 14:32:33,2001-02-01 00:00:00,ROCKIES,-10000,-280000,5.84,,280000,5.84,1635200
Cook Inlet Energy Supply L.L.C.,2001-01-29 15:17:00,2001-02-01 00:00:00,ROCKIES,-5000,-140000,5.9,,140000,5.9,826000
"Reliant Energy Services, Inc.",2001-01-30 08:03:41,2001-02-01 00:00:00,ROCKIES,-10000,-280000,5.87,,280000,5.87,1643600
Cook Inlet Energy Supply L.L.C.,2001-01-30 08:05:59,2001-02-01 00:00:00,ROCKIES,5000,140000,5.82,,140000,5.82,814800
"Avista Energy, Inc.",2001-01-30 08:42:19,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.65,,140000,6.65,931000
Sempra Energy Trading Corp.,2001-01-30 09:33:51,2001-02-01 00:00:00,ROCKIES,-10000,-280000,5.66,,280000,5.66,1584800
Barrett Resources Corporation,2001-01-30 09:45:03,2001-02-01 00:00:00,ROCKIES,-5000,-140000,5.765,,140000,5.765,807100
Aquila Energy Marketing Corporation,2001-01-30 10:10:00,2001-02-01 00:00:00,ROCKIES,-10000,-280000,5.75,,280000,5.75,1610000
Texaco Natural Gas Inc.,2001-01-30 10:31:20,2001-02-01 00:00:00,ROCKIES,-10000,-280000,5.84,,280000,5.84,1635200
"Enserco Energy, Inc.",2001-01-30 10:32:34,2001-02-01 00:00:00,ROCKIES,-1000,-28000,5.87,,28000,5.87,164360
Barrett Resources Corporation,2001-01-30 10:43:18,2001-02-01 00:00:00,ROCKIES,-5000,-140000,5.745,,140000,5.745,804300
"Enserco Energy, Inc.",2001-01-30 11:09:45,2001-02-01 00:00:00,ROCKIES,-2000,-56000,5.85,,56000,5.85,327600
"Duke Energy Trading and Marketing, L.L.C.",2001-01-30 12:21:14,2001-02-01 00:00:00,ROCKIES,-10000,-280000,5.85,,280000,5.85,1638000
"Avista Energy, Inc.",2001-01-30 12:33:14,2001-02-01 00:00:00,ROCKIES,-11000,-308000,5.89,,308000,5.89,1814120
"Avista Energy, Inc.",2001-01-30 12:33:14,2001-02-01 00:00:00,ROCKIES,-5000,-140000,5.8,,140000,5.8,812000
"Avista Energy, Inc.",2001-01-30 12:33:14,2001-02-01 00:00:00,ROCKIES,5000,140000,5.9,,140000,5.9,826000
EOG Resources,2001-01-30 12:33:14,2001-02-01 00:00:00,ROCKIES,10000,280000,5.9,,280000,5.9,1652000
Questar Energy Company,2001-01-30 12:41:14,2001-02-01 00:00:00,ROCKIES,5000,140000,5.57,,140000,5.57,779800
Fort James Corporation,2001-01-30 12:41:14,2001-02-01 00:00:00,ROCKIES,722,20216,6,,20216,6,121296
Sierra Pacific Resources,2001-01-30 12:41:14,2001-02-01 00:00:00,ROCKIES,-5000,-140000,5.7,,140000,5.7,798000
Sierra Pacific Resources,2001-01-30 12:41:14,2001-02-01 00:00:00,ROCKIES,5000,140000,5.74,,140000,5.74,803600
"Mirant Americas Energy Marketing, L.P.",2001-01-30 12:51:14,2001-02-01 00:00:00,ROCKIES,5000,140000,5.61,,140000,5.61,785400
"Coral Energy Resources, L.P.",2001-01-30 12:56:19,2001-02-01 00:00:00,ROCKIES,-5000,-140000,5.935,,140000,5.935,830900
Aquila Energy Marketing Corporation,2001-01-30 14:12:41,2001-02-01 00:00:00,ROCKIES,-10000,-280000,5.835,,280000,5.835,1633800
"Coral Energy Resources, L.P.",2001-01-30 14:44:25,2001-02-01 00:00:00,ROCKIES,10000,280000,5.705,,280000,5.705,1597400
"Avista Energy, Inc.",2001-01-30 14:49:06,2001-02-01 00:00:00,ROCKIES,5000,140000,5.66,,140000,5.66,792400
WACOG,6.305047661791537,,,,-1899184,,,11479216,,72377004
,,,,,,,,,,
"e prime, inc.",2001-01-25 09:59:43,2001-02-01 00:00:00,SAN JUAN,5000,140000,7.0325,,140000,7.0325,984550
"e prime, inc.",2001-01-25 10:36:43,2001-02-01 00:00:00,SAN JUAN,5000,140000,7.06,,140000,7.06,988400
S G Interests I Ltd,2001-01-26 12:33:14,2001-02-01 00:00:00,SAN JUAN,1500,42000,6.95,,42000,6.95,291900
"Mirant Americas Energy Marketing, L.P.",2001-01-26 12:37:14,2001-02-01 00:00:00,SAN JUAN,-5000,-140000,5.625,,140000,5.625,787500
"e prime, inc.",2001-01-29 10:45:20,2001-02-01 00:00:00,SAN JUAN,-5000,-140000,6.53,,140000,6.53,914200
Aquila Energy Marketing Corporation,2001-01-29 11:31:32,2001-02-01 00:00:00,SAN JUAN,-5000,-140000,6.49,,140000,6.49,908600
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:25:32,2001-02-01 00:00:00,SAN JUAN,5000,140000,6.2,,140000,6.2,868000
"Mirant Americas Energy Marketing, L.P.",2001-01-29 12:25:32,2001-02-01 00:00:00,SAN JUAN,-5000,-140000,6.49,,140000,6.49,908600
Highland,2001-01-29 12:45:32,2001-02-01 00:00:00,SAN JUAN,1500,42000,5.9,,42000,5.9,247800
"Mirant Americas Energy Marketing, L.P.",2001-01-29 12:55:32,2001-02-01 00:00:00,SAN JUAN,-4000,-112000,6.54,,112000,6.54,732480
"Mirant Americas Energy Marketing, L.P.",2001-01-29 12:55:32,2001-02-01 00:00:00,SAN JUAN,-10000,-280000,6.57,,280000,6.57,1839600
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:55:32,2001-02-01 00:00:00,SAN JUAN,5000,140000,6.2,,140000,6.2,868000
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 13:34:41,2001-02-01 00:00:00,SAN JUAN,5000,140000,6.2,,140000,6.2,868000
Sal River Project,2001-01-29 13:36:32,2001-02-01 00:00:00,SAN JUAN,-5000,-140000,6.54,,140000,6.54,915600
"Mirant Americas Energy Marketing, L.P.",2001-01-29 14:24:17,2001-02-01 00:00:00,SAN JUAN,-10000,-280000,5.85,,280000,5.85,1638000
"Mirant Americas Energy Marketing, L.P.",2001-01-29 14:32:35,2001-02-01 00:00:00,SAN JUAN,10000,280000,5.84,,280000,5.84,1635200
Southern California Gas Company,2001-01-30 08:22:52,2001-02-01 00:00:00,SAN JUAN,20000,560000,5.745,,560000,5.745,3217200
"e prime, inc.",2001-01-30 08:31:59,2001-02-01 00:00:00,SAN JUAN,-2500,-70000,5.82,,70000,5.82,407400
Southern California Gas Company,2001-01-30 09:10:05,2001-02-01 00:00:00,SAN JUAN,-20000,-560000,5.55,,560000,5.55,3108000
"Mirant Americas Energy Marketing, L.P.",2001-01-30 10:00:39,2001-02-01 00:00:00,SAN JUAN,-10000,-280000,5.7125,,280000,5.7125,1599500
OneOk Energy Marketing and Trading Company,2001-01-30 12:33:14,2001-02-01 00:00:00,SAN JUAN,-10000,-280000,5.825,,280000,5.825,1631000
"Coral Energy Resources, L.P.",2001-01-30 12:33:14,2001-02-01 00:00:00,SAN JUAN,-5000,-140000,5.92,,140000,5.92,828800
"El Paso Merchant Energy, L.P.",2001-01-30 12:33:14,2001-02-01 00:00:00,SAN JUAN,-20000,-560000,5.89,,560000,5.89,3298400
Highland Energy Company,2001-01-30 12:33:14,2001-02-01 00:00:00,SAN JUAN,641,17948,5.94,,17948,5.94,106611.12
Highland Energy Company,2001-01-30 12:33:14,2001-02-01 00:00:00,SAN JUAN,3400,95200,5.94,,95200,5.94,565488
Tri Star Gas Marketing,2001-01-30 12:33:14,2001-02-01 00:00:00,SAN JUAN,2500,70000,5.84,,70000,5.84,408800
Tri Star Gas Marketing,2001-01-30 12:33:14,2001-02-01 00:00:00,SAN JUAN,3500,98000,5.8,,98000,5.8,568400
Questar Energy Company,2001-01-30 12:51:14,2001-02-01 00:00:00,SAN JUAN,-5000,-140000,5.6,,140000,5.6,784000
WACOG,6.014535324810991,,,,-1496852,,,5307148,,31920029.12
,,,,,,,,,,
"El Paso Merchant Energy, L.P.",2001-01-24 09:41:32,2001-02-01 00:00:00,SOCAL,5000,140000,14.39,,140000,14.39,2014600
BP Energy Company,2001-01-24 09:43:32,2001-02-01 00:00:00,SOCAL,5000,140000,14.1,,140000,14.1,1974000
"Duke Energy Trading and Marketing, L.L.C.",2001-01-25 09:40:59,2001-02-01 00:00:00,SOCAL,-5000,-140000,13.24,,140000,13.24,1853600
Williams Energy Marketing & Trading Company,2001-01-25 09:46:51,2001-02-01 00:00:00,SOCAL,-5000,-140000,13.5,,140000,13.5,1890000
Southern California Gas Company,2001-01-25 11:40:00,2001-02-01 00:00:00,SOCAL,-10000,-280000,13,,280000,13,3640000
Scana Energy Trdaing LLC,2001-01-25 11:50:00,2001-02-01 00:00:00,SOCAL,-200,-5600,14,,5600,14,78400
"Mirant Americas Energy Marketing, L.P.",2001-01-25 13:30:00,2001-02-01 00:00:00,SOCAL,10000,280000,13.6,,280000,13.6,3808000
"El Paso Merchant Energy, L.P.",2001-01-25 14:25:50,2001-02-01 00:00:00,SOCAL,5000,140000,13.5,,140000,13.5,1890000
"Western Gas Resources, Inc.",2001-01-26 09:26:58,2001-02-01 00:00:00,SOCAL,-2500,-70000,12.93,,70000,12.93,905100
"Western Gas Resources, Inc.",2001-01-26 09:28:26,2001-02-01 00:00:00,SOCAL,-2500,-70000,13.19,,70000,13.19,923300
Texaco Natural Gas Inc.,2001-01-26 10:01:09,2001-02-01 00:00:00,SOCAL,2500,70000,12.92,,70000,12.92,904400
"Reliant Energy Services, Inc.",2001-01-26 12:38:14,2001-02-01 00:00:00,SOCAL,5000,140000,11,,140000,11,1540000
Aquila Energy Marketing Corporation,2001-01-29 09:11:30,2001-02-01 00:00:00,SOCAL,10000,280000,12.6,,280000,12.6,3528000
Williams Energy Marketing & Trading Company,2001-01-29 09:25:49,2001-02-01 00:00:00,SOCAL,-5000,-140000,12.7,,140000,12.7,1778000
"El Paso Merchant Energy, L.P.",2001-01-29 09:33:49,2001-02-01 00:00:00,SOCAL,5000,140000,12.715,,140000,12.715,1780100
"El Paso Merchant Energy, L.P.",2001-01-29 09:52:56,2001-02-01 00:00:00,SOCAL,5000,140000,12.63,,140000,12.63,1768200
"El Paso Merchant Energy, L.P.",2001-01-29 10:14:05,2001-02-01 00:00:00,SOCAL,2500,70000,12.515,,70000,12.515,876050
"El Paso Merchant Energy, L.P.",2001-01-29 11:15:16,2001-02-01 00:00:00,SOCAL,2500,70000,12.13,,70000,12.13,849100
AEP,2001-01-29 11:21:32,2001-02-01 00:00:00,SOCAL,-600,-16800,12.6,,16800,12.6,211680
"Coral Energy Resources, L.P.",2001-01-29 11:30:57,2001-02-01 00:00:00,SOCAL,5000,140000,11.94,,140000,11.94,1671600
Williams Energy Marketing & Trading Company,2001-01-29 11:32:52,2001-02-01 00:00:00,SOCAL,-2500,-70000,11.96,,70000,11.96,837200
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 11:35:34,2001-02-01 00:00:00,SOCAL,-5000,-140000,12.095,,140000,12.095,1693300
"Coral Energy Resources, L.P.",2001-01-29 11:36:23,2001-02-01 00:00:00,SOCAL,5000,140000,12,,140000,12,1680000
AEP,2001-01-29 11:41:32,2001-02-01 00:00:00,SOCAL,-5000,-140000,12,,140000,12,1680000
Aquila Energy Marketing Corporation,2001-01-29 11:55:10,2001-02-01 00:00:00,SOCAL,5000,140000,11.69,,140000,11.69,1636600
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:30:47,2001-02-01 00:00:00,SOCAL,-2500,-70000,11.85,,70000,11.85,829500
"El Paso Merchant Energy, L.P.",2001-01-29 12:31:19,2001-02-01 00:00:00,SOCAL,2500,70000,11.78,,70000,11.78,824600
"El Paso Merchant Energy, L.P.",2001-01-29 12:31:58,2001-02-01 00:00:00,SOCAL,5000,140000,11.74,,140000,11.74,1643600
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:35:17,2001-02-01 00:00:00,SOCAL,-2500,-70000,11.81,,70000,11.81,826700
"El Paso Merchant Energy, L.P.",2001-01-30 08:10:02,2001-02-01 00:00:00,SOCAL,5000,140000,11.3,,140000,11.3,1582000
Aquila Energy Marketing Corporation,2001-01-30 08:12:27,2001-02-01 00:00:00,SOCAL,5000,140000,11.2,,140000,11.2,1568000
"El Paso Merchant Energy, L.P.",2001-01-30 08:27:30,2001-02-01 00:00:00,SOCAL,5000,140000,11.1,,140000,11.1,1554000
"El Paso Merchant Energy, L.P.",2001-01-30 08:51:23,2001-02-01 00:00:00,SOCAL,5000,140000,10.6,,140000,10.6,1484000
"Reliant Energy Services, Inc.",2001-01-30 08:54:35,2001-02-01 00:00:00,SOCAL,-5000,-140000,11,,140000,11,1540000
"El Paso Merchant Energy, L.P.",2001-01-30 10:36:58,2001-02-01 00:00:00,SOCAL,5000,140000,10.75,,140000,10.75,1505000
"El Paso Merchant Energy, L.P.",2001-01-30 10:38:12,2001-02-01 00:00:00,SOCAL,5000,140000,10.65,,140000,10.65,1491000
TXU Energy Trading Company,2001-01-30 10:41:45,2001-02-01 00:00:00,SOCAL,-5000,-140000,11.3,,140000,11.3,1582000
