Region,,Strip Term Start Date,Strip Term End Date,,,Close Price,,,,Region Code,Region Description
tva,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,26.15,,,,NGR,CGPR-NIAGARA
tva,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,26.65,,,,COA,COA-FUT EQUIV
com,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,22.5,,,,C84,COA-PRB (8400)
com,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,24.395,,,,C88,CAO-PRB (8800)
com,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,23.555,,,,ERN,ERCOT - N
com,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,25.25,,,,ERW,ERCOT - W
com,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,33.705,,,,N63,63NY
com,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,44,,,,G63,63GC
com,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,23.3,,,,NHO,NXHO
com,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,23.7,,,,GHO,GCHO
com,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,26.48,,,,SO2,SO2
com,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,25.3,,,,,
com,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,26.85,,,,,
com,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,34.595,,,,,
com,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,43.1,,,,,
com,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,25.55,,,,,
com,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,26.0833333333333,,,,,
NYA,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,28.3000068664551,,,,,
NYA,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,33.25,,,,,
NYA,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,30.75,,,,,
NYA,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,31.75,,,,,
NYA,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,41.75,,,,,
NYA,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,53.75,,,,,
NYA,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,31,,,,,
NYA,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,31,,,,,
NYA,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,35.5,,,,,
NYA,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,31.5,,,,,
NYA,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,32.75,,,,,
NYA,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,42.75,,,,,
NYA,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,54,,,,,
NYA,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,32,,,,,
NYA,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,32,,,,,
NYG,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,35.6375007629395,,,,,
NYG,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,42,,,,,
NYG,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,38.5,,,,,
NYG,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,39.25,,,,,
NYG,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,51,,,,,
NYG,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,70.5,,,,,
NYG,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,38.5,,,,,
NYG,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,38.5,,,,,
NYG,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,46,,,,,
NYG,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,39.5,,,,,
NYG,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,41,,,,,
NYG,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,52,,,,,
NYG,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,71,,,,,
NYG,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,39.5,,,,,
NYG,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,39.5,,,,,
NYJ,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,38.7999954223633,,,,,
NYJ,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,47.25,,,,,
NYJ,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,42,,,,,
NYJ,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,47,,,,,
NYJ,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,58.5,,,,,
NYJ,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,78.5,,,,,
NYJ,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,43,,,,,
NYJ,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,43,,,,,
NYJ,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,51.5,,,,,
NYJ,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,44,,,,,
NYJ,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,49,,,,,
NYJ,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,61,,,,,
NYJ,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,80.5,,,,,
NYJ,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,45,,,,,
NYJ,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,45,,,,,
Nep,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,36,,,,,
Nep,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,43.2,,,,,
Nep,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,37.1,,,,,
Nep,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,38.5,,,,,
Nep,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,44,,,,,
Nep,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,54.25,,,,,
Nep,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,37.1,,,,,
Nep,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,37.25,,,,,
Nep,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,43.5,,,,,
Nep,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,35.75,,,,,
Nep,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,36,,,,,
Nep,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,39.85,,,,,
Nep,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,48.75,,,,,
Nep,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,35,,,,,
Nep,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,36,,,,,
PJM,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,26.6499977111816,,,,,
PJM,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,30.5,,,,,
PJM,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,28.9,,,,,
PJM,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,31.75,,,,,
PJM,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,41.75,,,,,
PJM,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,53.5,,,,,
PJM,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,28.5,,,,,
PJM,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,28.5,,,,,
PJM,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,33.75,,,,,
PJM,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,31,,,,,
PJM,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,33,,,,,
PJM,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,43,,,,,
PJM,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,52.25,,,,,
PJM,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,31.25,,,,,
PJM,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,31.25,,,,,
ERC,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,22.8309993743896,,,,,
ERC,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,24.945,,,,,
ERC,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,24.6,,,,,
ERC,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,26.795,,,,,
ERC,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,30.45,,,,,
ERC,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,38.35,,,,,
ERC,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,27.5,,,,,
ERC,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,26.5466666666667,,,,,
ERC,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,28.315,,,,,
ERC,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,26.828,,,,,
ERC,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,29.5,,,,,
ERC,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,33.05,,,,,
ERC,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,41.84,,,,,
ERC,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,30.25,,,,,
ERC,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,28.2033333333333,,,,,
SRC,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,24.7325038909912,,,,,
SRC,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,28,,,,,
SRC,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,25.9,,,,,
SRC,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,28.45,,,,,
SRC,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,37.2,,,,,
SRC,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,49.55,,,,,
SRC,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,26.6,,,,,
SRC,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,27.1,,,,,
SRC,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,29,,,,,
SRC,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,27.45,,,,,
SRC,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,29.45,,,,,
SRC,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,37,,,,,
SRC,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,46.05,,,,,
SRC,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,27.25,,,,,
SRC,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,28.25,,,,,
NG,,2001-12-01 00:00:00,2001-12-31 00:00:00,,,2.696,,,,,
NG,,2002-01-01 00:00:00,2002-02-28 00:00:00,,,2.9585,,,,,
NG,,2002-03-01 00:00:00,2002-04-30 00:00:00,,,2.9085,,,,,
NG,,2002-05-01 00:00:00,2002-05-31 00:00:00,,,2.913,,,,,
NG,,2002-06-01 00:00:00,2002-06-30 00:00:00,,,2.953,,,,,
NG,,2002-07-01 00:00:00,2002-08-31 00:00:00,,,3.0065,,,,,
NG,,2002-09-01 00:00:00,2002-09-30 00:00:00,,,3.026,,,,,
NG,,2002-10-01 00:00:00,2002-12-31 00:00:00,,,3.22666666666667,,,,,
NG,,2003-01-01 00:00:00,2003-02-28 00:00:00,,,3.474,,,,,
NG,,2003-03-01 00:00:00,2003-04-30 00:00:00,,,3.259,,,,,
NG,,2003-05-01 00:00:00,2003-05-31 00:00:00,,,3.19,,,,,
NG,,2003-06-01 00:00:00,2003-06-30 00:00:00,,,3.22,,,,,
NG,,2003-07-01 00:00:00,2003-08-31 00:00:00,,,3.265,,,,,
NG,,2003-09-01 00:00:00,2003-09-30 00:00:00,,,3.281,,,,,
NG,,2003-10-01 00:00:00,2003-12-31 00:00:00,,,3.459,,,,,
