,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total ,ENA,Target,,,,,,,,,,,,,,,,,
,Budget,Budget,Savings,,,,,,,,,,,,,,,,,
,3.9,2.4,0.25,0.10416666666666667,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes:,* total and net ENA plus savings target reported on P/L,,,,,,,,,,,,,,,,,,
,,* non ENA charges allocated to other wholesale groups,,,,,,,,,,,,,,,,,,
,,* ENA charges not allocated to the business units,,,,,,,,,,,,,,,,,,
,,* does not include HPL savings,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,G) PR,,,Thode,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total,ENA,Target,,,,,,,,,,,,,,,,,
,Budget,Budget,Savings,,,,,,,,,,,,,,,,,
,2.4,2.4,2,0.8333333333333334,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes:,* total and net ENA plus savings target reported on P/L,,,,,,,,,,,,,,,,,,
,,* ENA charges not allocated to the business units except specific entertainment items which will be allocated,,,,,,,,,,,,,,,,,,
,,* savings number anticipates savings originated from PR P/L plus reduction in entertainment use and cost in business ,,,,,,,,,,,,,,,,,,
,,unit direct expenses,,,,,,,,,,,,,,,,,,
,,* existing approval policy for entertainment stays in place,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,H) Research,,,Kaminski,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total ,ENA,Target,,,,,,,,,,,,,,,,,
,Budget,Budget,Savings,,,,,,,,,,,,,,,,,
,10.5,2.2,1.05,0.47727272727272724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes:,* total and net ENA plus savings target reported on P/L,,,,,,,,,,,,,,,,,,
,,* non ENA charges allocated to other wholesale groups,,,,,,,,,,,,,,,,,,
,,* ENA charges not allocated to the business units,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
,I) Competitive Analysis,,,Tholan,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total ,ENA,Target,,,,,,,,,,,,,,,,,
,Budget,Budget,Savings,,,,,,,,,,,,,,,,,
,0,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes:,To be determined,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,J) Technical ,,,Redmond,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total ,ENA,Target,,,,,,,,,,,,,,,,,
,Budget,Budget,Savings,,,,,,,,,,,,,,,,,
,0,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes:,To be determined,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,J) Restructuring,,,Redmond,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total ,ENA,Target,,,,,,,,,,,,,,,,,
,Budget,Budget,Income,,,,,,,,,,,,,,,,,
,0,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes:,* targets based on dollars collected and timing of recovery,,,,,,,,,,,,,,,,,,
,,* assume that Restructuring covers it costs in income,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,K) Canada Charges,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Note:,,,,,,,,,,,,,,,,,,,
,"Chicago, Portland, Mexico and Canadian Costs to be collected at the business unit level except",,,,,,,,,,,,,,,,,,,
,Canadian legal costs,,,,,,,,,,,,,,,,,,,
