Effective Dates,2001-01-01 00:00:00,2001-02-01 00:00:00,,Effective Dates,2002-01-01 00:00:00,2002-02-01 00:00:00,,Effective Dates,2003-01-01 00:00:00,2003-02-01 00:00:00,,Effective Dates,2004-01-01 00:00:00,2004-02-01 00:00:00,,Effective Dates,2005-01-01 00:00:00,2005-02-01 00:00:00,
9/29/2000 ,2.3,2.28,0.020000000000000018,9/29/2000 ,1.72,1.72,0.0,9/29/2000 ,1.5,1.45,0.050000000000000044,9/29/2000 ,1.615,1.565,0.050000000000000044,9/29/2000 ,1.63,1.58,0.04999999999999982
9/30/2000 ,2.3,2.28,0.020000000000000018,9/30/2000 ,1.72,1.72,0.0,9/30/2000 ,1.5,1.45,0.050000000000000044,9/30/2000 ,1.615,1.565,0.050000000000000044,9/30/2000 ,1.63,1.58,0.04999999999999982
10/2/2000 ,2.31,2.3,0.010000000000000231,10/2/2000 ,1.72,1.72,0.0,10/2/2000 ,1.5,1.45,0.050000000000000044,10/2/2000 ,1.615,1.565,0.050000000000000044,10/2/2000 ,1.63,1.58,0.04999999999999982
10/3/2000 ,2.31,2.3,0.010000000000000231,10/3/2000 ,1.72,1.72,0.0,10/3/2000 ,1.5,1.45,0.050000000000000044,10/3/2000 ,1.615,1.565,0.050000000000000044,10/3/2000 ,1.63,1.58,0.04999999999999982
10/4/2000 ,2.31,2.3,0.010000000000000231,10/4/2000 ,1.72,1.72,0.0,10/4/2000 ,1.5,1.45,0.050000000000000044,10/4/2000 ,1.615,1.565,0.050000000000000044,10/4/2000 ,1.63,1.58,0.04999999999999982
10/5/2000 ,2.3,2.29,0.009999999999999787,10/5/2000 ,1.64,1.64,0.0,10/5/2000 ,1.5,1.45,0.050000000000000044,10/5/2000 ,1.615,1.565,0.050000000000000044,10/5/2000 ,1.63,1.58,0.04999999999999982
10/6/2000 ,2.3,2.29,0.009999999999999787,10/6/2000 ,1.64,1.64,0.0,10/6/2000 ,1.5,1.45,0.050000000000000044,10/6/2000 ,1.615,1.565,0.050000000000000044,10/6/2000 ,1.63,1.58,0.04999999999999982
10/9/2000 ,2.3,2.29,0.009999999999999787,10/9/2000 ,1.64,1.64,0.0,10/9/2000 ,1.5,1.45,0.050000000000000044,10/9/2000 ,1.615,1.565,0.050000000000000044,10/9/2000 ,1.63,1.58,0.04999999999999982
10/10/2000 ,2.22,2.2,0.020000000000000018,10/10/2000 ,1.64,1.64,0.0,10/10/2000 ,1.5,1.45,0.050000000000000044,10/10/2000 ,1.615,1.565,0.050000000000000044,10/10/2000 ,1.63,1.58,0.04999999999999982
10/11/2000 ,2.25,2.24,0.009999999999999787,10/11/2000 ,1.64,1.64,0.0,10/11/2000 ,1.5,1.45,0.050000000000000044,10/11/2000 ,1.615,1.565,0.050000000000000044,10/11/2000 ,1.63,1.58,0.04999999999999982
10/12/2000 ,2.27,2.26,0.010000000000000231,10/12/2000 ,1.64,1.64,0.0,10/12/2000 ,1.5,1.45,0.050000000000000044,10/12/2000 ,1.615,1.565,0.050000000000000044,10/12/2000 ,1.63,1.58,0.04999999999999982
10/13/2000 ,2.22,2.2,0.020000000000000018,10/13/2000 ,1.64,1.64,0.0,10/13/2000 ,1.5,1.45,0.050000000000000044,10/13/2000 ,1.615,1.565,0.050000000000000044,10/13/2000 ,1.63,1.58,0.04999999999999982
10/16/2000 ,2.21,2.18,0.029999999999999805,10/16/2000 ,1.64,1.64,0.0,10/16/2000 ,1.5,1.45,0.050000000000000044,10/16/2000 ,1.615,1.565,0.050000000000000044,10/16/2000 ,1.63,1.58,0.04999999999999982
10/17/2000 ,2.21,2.18,0.029999999999999805,10/17/2000 ,1.64,1.64,0.0,10/17/2000 ,1.5,1.45,0.050000000000000044,10/17/2000 ,1.615,1.565,0.050000000000000044,10/17/2000 ,1.63,1.58,0.04999999999999982
10/18/2000 ,2.13,2.13,0.0,10/18/2000 ,1.64,1.64,0.0,10/18/2000 ,1.5,1.45,0.050000000000000044,10/18/2000 ,1.615,1.565,0.050000000000000044,10/18/2000 ,1.63,1.58,0.04999999999999982
10/19/2000 ,2.12,2.12,0.0,10/19/2000 ,1.59,1.59,0.0,10/19/2000 ,1.5,1.45,0.050000000000000044,10/19/2000 ,1.615,1.565,0.050000000000000044,10/19/2000 ,1.63,1.58,0.04999999999999982
10/20/2000 ,2.12,2.12,0.0,10/20/2000 ,1.59,1.59,0.0,10/20/2000 ,1.5,1.45,0.050000000000000044,10/20/2000 ,1.615,1.565,0.050000000000000044,10/20/2000 ,1.63,1.58,0.04999999999999982
10/23/2000 ,2.12,2.11,0.010000000000000231,10/23/2000 ,1.59,1.59,0.0,10/23/2000 ,1.5,1.45,0.050000000000000044,10/23/2000 ,1.615,1.565,0.050000000000000044,10/23/2000 ,1.63,1.58,0.04999999999999982
10/24/2000 ,2.03,2.01,0.020000000000000018,10/24/2000 ,1.59,1.59,0.0,10/24/2000 ,1.5,1.45,0.050000000000000044,10/24/2000 ,1.615,1.565,0.050000000000000044,10/24/2000 ,1.63,1.58,0.04999999999999982
10/25/2000 ,2.03,2.01,0.020000000000000018,10/25/2000 ,1.59,1.59,0.0,10/25/2000 ,1.5,1.45,0.050000000000000044,10/25/2000 ,1.615,1.565,0.050000000000000044,10/25/2000 ,1.63,1.58,0.04999999999999982
10/26/2000 ,2.01,1.99,0.019999999999999796,10/26/2000 ,1.59,1.59,0.0,10/26/2000 ,1.5,1.45,0.050000000000000044,10/26/2000 ,1.615,1.565,0.050000000000000044,10/26/2000 ,1.63,1.58,0.04999999999999982
10/27/2000 ,2.01,1.99,0.019999999999999796,10/27/2000 ,1.59,1.59,0.0,10/27/2000 ,1.5,1.45,0.050000000000000044,10/27/2000 ,1.615,1.565,0.050000000000000044,10/27/2000 ,1.63,1.58,0.04999999999999982
10/30/2000 ,2.01,1.99,0.019999999999999796,10/30/2000 ,1.59,1.59,0.0,10/30/2000 ,1.5,1.45,0.050000000000000044,10/30/2000 ,1.615,1.565,0.050000000000000044,10/30/2000 ,1.63,1.58,0.04999999999999982
10/31/2000 ,1.98,1.96,0.020000000000000018,10/31/2000 ,1.59,1.59,0.0,10/31/2000 ,1.5,1.45,0.050000000000000044,10/31/2000 ,1.615,1.565,0.050000000000000044,10/31/2000 ,1.63,1.58,0.04999999999999982
11/1/2000 ,1.97,1.95,0.020000000000000018,11/1/2000 ,1.59,1.59,0.0,11/1/2000 ,1.5,1.45,0.050000000000000044,11/1/2000 ,1.615,1.565,0.050000000000000044,11/1/2000 ,1.63,1.58,0.04999999999999982
11/2/2000 ,1.8,1.79,0.010000000000000009,11/2/2000 ,1.54,1.54,0.0,11/2/2000 ,1.5,1.45,0.050000000000000044,11/2/2000 ,1.615,1.565,0.050000000000000044,11/2/2000 ,1.63,1.58,0.04999999999999982
11/3/2000 ,1.85,1.83,0.020000000000000018,11/3/2000 ,1.54,1.54,0.0,11/3/2000 ,1.5,1.45,0.050000000000000044,11/3/2000 ,1.615,1.565,0.050000000000000044,11/3/2000 ,1.63,1.58,0.04999999999999982
11/6/2000 ,1.83,1.81,0.020000000000000018,11/6/2000 ,1.54,1.54,0.0,11/6/2000 ,1.5,1.45,0.050000000000000044,11/6/2000 ,1.615,1.565,0.050000000000000044,11/6/2000 ,1.63,1.58,0.04999999999999982
11/7/2000 ,1.88,1.86,0.019999999999999796,11/7/2000 ,1.54,1.54,0.0,11/7/2000 ,1.5,1.45,0.050000000000000044,11/7/2000 ,1.615,1.565,0.050000000000000044,11/7/2000 ,1.63,1.58,0.04999999999999982
11/8/2000 ,2.03,2.01,0.020000000000000018,11/8/2000 ,1.54,1.54,0.0,11/8/2000 ,1.5,1.45,0.050000000000000044,11/8/2000 ,1.615,1.565,0.050000000000000044,11/8/2000 ,1.63,1.58,0.04999999999999982
11/9/2000 ,2.03,2.01,0.020000000000000018,11/9/2000 ,1.54,1.54,0.0,11/9/2000 ,1.5,1.45,0.050000000000000044,11/9/2000 ,1.615,1.565,0.050000000000000044,11/9/2000 ,1.63,1.58,0.04999999999999982
11/10/2000 ,2.03,2.01,0.020000000000000018,11/10/2000 ,1.54,1.54,0.0,11/10/2000 ,1.5,1.45,0.050000000000000044,11/10/2000 ,1.615,1.565,0.050000000000000044,11/10/2000 ,1.63,1.58,0.04999999999999982
11/13/2000 ,2.08,2.06,0.020000000000000018,11/13/2000 ,1.61,1.59,0.020000000000000018,11/13/2000 ,1.5,1.45,0.050000000000000044,11/13/2000 ,1.615,1.565,0.050000000000000044,11/13/2000 ,1.63,1.58,0.04999999999999982
11/14/2000 ,2.08,2.06,0.020000000000000018,11/14/2000 ,1.61,1.59,0.020000000000000018,11/14/2000 ,1.5,1.45,0.050000000000000044,11/14/2000 ,1.615,1.565,0.050000000000000044,11/14/2000 ,1.63,1.58,0.04999999999999982
11/15/2000 ,2.06,2.04,0.020000000000000018,11/15/2000 ,1.61,1.59,0.020000000000000018,11/15/2000 ,1.5,1.45,0.050000000000000044,11/15/2000 ,1.615,1.565,0.050000000000000044,11/15/2000 ,1.63,1.58,0.04999999999999982
11/16/2000 ,1.97,1.95,0.020000000000000018,11/16/2000 ,1.61,1.59,0.020000000000000018,11/16/2000 ,1.615,1.565,0.050000000000000044,11/16/2000 ,1.615,1.565,0.050000000000000044,11/16/2000 ,1.63,1.58,0.04999999999999982
11/17/2000 ,2.04,2.02,0.020000000000000018,11/17/2000 ,1.61,1.59,0.020000000000000018,11/17/2000 ,1.615,1.565,0.050000000000000044,11/17/2000 ,1.615,1.565,0.050000000000000044,11/17/2000 ,1.63,1.58,0.04999999999999982
11/20/2000 ,1.98,1.97,0.010000000000000009,11/20/2000 ,1.61,1.59,0.020000000000000018,11/20/2000 ,1.615,1.565,0.050000000000000044,11/20/2000 ,1.615,1.565,0.050000000000000044,11/20/2000 ,1.63,1.58,0.04999999999999982
11/21/2000 ,2.02,2.01,0.010000000000000231,11/21/2000 ,1.61,1.59,0.020000000000000018,11/21/2000 ,1.615,1.565,0.050000000000000044,11/21/2000 ,1.615,1.565,0.050000000000000044,11/21/2000 ,1.63,1.58,0.04999999999999982
11/22/2000 ,1.96,1.97,-0.010000000000000009,11/22/2000 ,1.61,1.59,0.020000000000000018,11/22/2000 ,1.615,1.565,0.050000000000000044,11/22/2000 ,1.615,1.565,0.050000000000000044,11/22/2000 ,1.63,1.58,0.04999999999999982
11/27/2000 ,1.86,1.86,0.0,11/27/2000 ,1.61,1.59,0.020000000000000018,11/27/2000 ,1.615,1.565,0.050000000000000044,11/27/2000 ,1.615,1.565,0.050000000000000044,11/27/2000 ,1.63,1.58,0.04999999999999982
11/28/2000 ,1.64,1.68,-0.040000000000000036,11/28/2000 ,1.57,1.56,0.010000000000000009,11/28/2000 ,1.615,1.565,0.050000000000000044,11/28/2000 ,1.615,1.565,0.050000000000000044,11/28/2000 ,1.63,1.58,0.04999999999999982
11/29/2000 ,1.68,1.73,-0.050000000000000044,11/29/2000 ,1.57,1.56,0.010000000000000009,11/29/2000 ,1.615,1.565,0.050000000000000044,11/29/2000 ,1.615,1.565,0.050000000000000044,11/29/2000 ,1.63,1.58,0.04999999999999982
11/30/2000 ,1.81,1.85,-0.040000000000000036,11/30/2000 ,1.57,1.56,0.010000000000000009,11/30/2000 ,1.58,1.54,0.040000000000000036,11/30/2000 ,1.58,1.54,0.040000000000000036,11/30/2000 ,1.595,1.555,0.040000000000000036
12/1/2000 ,1.95,1.98,-0.030000000000000027,12/1/2000 ,1.66,1.65,0.010000000000000009,12/1/2000 ,1.58,1.54,0.040000000000000036,12/1/2000 ,1.58,1.54,0.040000000000000036,12/1/2000 ,1.595,1.555,0.040000000000000036
12/4/2000 ,3.02,3.02,0.0,12/4/2000 ,2.06,2.05,0.010000000000000231,12/4/2000 ,1.58,1.54,0.040000000000000036,12/4/2000 ,1.58,1.54,0.040000000000000036,12/4/2000 ,1.595,1.555,0.040000000000000036
12/5/2000 ,4.5,4.5,0.0,12/5/2000 ,2.36,2.35,0.009999999999999787,12/5/2000 ,1.58,1.54,0.040000000000000036,12/5/2000 ,1.58,1.54,0.040000000000000036,12/5/2000 ,1.595,1.555,0.040000000000000036
12/6/2000 ,7.5,7.5,0.0,12/6/2000 ,2.86,2.85,0.009999999999999787,12/6/2000 ,1.58,1.54,0.040000000000000036,12/6/2000 ,1.58,1.54,0.040000000000000036,12/6/2000 ,1.595,1.555,0.040000000000000036
12/7/2000 ,6.75,6.75,0.0,12/7/2000 ,2.86,2.85,0.009999999999999787,12/7/2000 ,1.58,1.54,0.040000000000000036,12/7/2000 ,1.58,1.54,0.040000000000000036,12/7/2000 ,1.595,1.555,0.040000000000000036
12/8/2000 ,7,7,0.0,12/8/2000 ,2.86,2.85,0.009999999999999787,12/8/2000 ,1.58,1.54,0.040000000000000036,12/8/2000 ,1.58,1.54,0.040000000000000036,12/8/2000 ,1.595,1.555,0.040000000000000036
12/11/2000 ,7,7,0.0,12/11/2000 ,2.49,2.49,0.0,12/11/2000 ,1.58,1.54,0.040000000000000036,12/11/2000 ,1.58,1.54,0.040000000000000036,12/11/2000 ,1.595,1.555,0.040000000000000036
12/12/2000 ,5,5,0.0,12/12/2000 ,2.49,2.49,0.0,12/12/2000 ,1.58,1.54,0.040000000000000036,12/12/2000 ,1.58,1.54,0.040000000000000036,12/12/2000 ,1.595,1.555,0.040000000000000036
12/13/2000 ,3.5,3.5,0.0,12/13/2000 ,1.99,1.99,0.0,12/13/2000 ,1.58,1.54,0.040000000000000036,12/13/2000 ,1.58,1.54,0.040000000000000036,12/13/2000 ,1.595,1.555,0.040000000000000036
12/14/2000 ,3.75,3.75,0.0,12/14/2000 ,1.99,1.99,0.0,12/14/2000 ,1.58,1.54,0.040000000000000036,12/14/2000 ,1.58,1.54,0.040000000000000036,12/14/2000 ,1.595,1.555,0.040000000000000036
12/15/2000 ,3.75,3.75,0.0,12/15/2000 ,1.99,1.99,0.0,12/15/2000 ,1.58,1.54,0.040000000000000036,12/15/2000 ,1.58,1.54,0.040000000000000036,12/15/2000 ,1.595,1.555,0.040000000000000036
12/18/2000 ,3.75,3.75,0.0,12/18/2000 ,1.99,1.99,0.0,12/18/2000 ,1.58,1.54,0.040000000000000036,12/18/2000 ,1.58,1.54,0.040000000000000036,12/18/2000 ,1.595,1.555,0.040000000000000036
12/19/2000 ,3.75,3.75,0.0,12/19/2000 ,1.99,1.99,0.0,12/19/2000 ,1.58,1.54,0.040000000000000036,12/19/2000 ,1.58,1.54,0.040000000000000036,12/19/2000 ,1.595,1.555,0.040000000000000036
12/20/2000 ,3.75,3.75,0.0,12/20/2000 ,1.99,1.99,0.0,12/20/2000 ,1.58,1.54,0.040000000000000036,12/20/2000 ,1.58,1.54,0.040000000000000036,12/20/2000 ,1.595,1.555,0.040000000000000036
12/21/2000 ,4.5,4.5,0.0,12/21/2000 ,1.99,1.99,0.0,12/21/2000 ,1.58,1.54,0.040000000000000036,12/21/2000 ,1.58,1.54,0.040000000000000036,12/21/2000 ,1.595,1.555,0.040000000000000036
12/22/2000 ,4.5,4.5,0.0,12/22/2000 ,1.99,1.99,0.0,12/22/2000 ,1.58,1.54,0.040000000000000036,12/22/2000 ,1.58,1.54,0.040000000000000036,12/22/2000 ,1.595,1.555,0.040000000000000036
12/26/2000 ,4.5,4.5,0.0,12/26/2000 ,1.99,1.99,0.0,12/26/2000 ,1.58,1.54,0.040000000000000036,12/26/2000 ,1.58,1.54,0.040000000000000036,12/26/2000 ,1.595,1.555,0.040000000000000036
12/27/2000 ,5.5,5.1,0.40000000000000036,12/27/2000 ,1.99,1.99,0.0,12/27/2000 ,1.58,1.54,0.040000000000000036,12/27/2000 ,1.58,1.54,0.040000000000000036,12/27/2000 ,1.595,1.555,0.040000000000000036
12/28/2000 ,5.5,5.5,0.0,12/28/2000 ,1.8,1.8,0.0,12/28/2000 ,1.58,1.54,0.040000000000000036,12/28/2000 ,1.58,1.54,0.040000000000000036,12/28/2000 ,1.595,1.555,0.040000000000000036
12/29/2000 ,5.5,5.5,0.0,12/29/2000 ,1.8,1.8,0.0,12/29/2000 ,1.58,1.54,0.040000000000000036,12/29/2000 ,1.58,1.54,0.040000000000000036,12/29/2000 ,1.595,1.555,0.040000000000000036
