North American Gas and Power ,,,,,,,,,,,,,,,,,,
Global Contract Report,,,,,,,,,,,,,,,,,,
,,,,,Commodity-Type and Associated Contract Numbers,,,,,,RANK,,,,Notional Value,,,
Sempra Energy Trading Corp.,57508,58777870,Master Power Purchase and Sale Agreement,,,,96053779,,,,3,22,3,,2163582331,6096120,142703392,
Sempra Energy Trading Corp.,57508,58777870,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96017471,,3,22,3,,2163582331,6096120,142703392,
Sempra Energy Trading Corp.,57508,58777870,Netting Agreement,Enron North America Corp.,,96007388,,,,,3,22,3,,2163582331,6096120,142703392,
Sempra Energy Trading Corp.,57508,58777870,No Active Financial Contracts,,,,,,,,3,22,3,,2163582331,6096120,142703392,
Dynegy Marketing and Trade,61981,68229233,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96083599,,,,,4,39,81,,1952539567,2013057,155000,
Dynegy Marketing and Trade,61981,68229233,Electronic Trading Agreement,Enron North America Corp.,,96028143,,,,,4,39,81,,1952539567,2013057,155000,
Dynegy Marketing and Trade,61981,68229233,GTC Purchase Spot,ENA Upstream Company LLC,,96060765,,,,,4,39,81,,1952539567,2013057,155000,
Dynegy Marketing and Trade,61981,68229233,GTC Sale Spot,"enovate, L.L.C.",,96094614,,,,,4,39,81,,1952539567,2013057,155000,
Dynegy Marketing and Trade,61981,68229233,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,4,39,81,,1952539567,2013057,155000,
Dynegy Marketing and Trade,61981,68229233,Master Agreement (1992 - ECT Form),Enron North America Corp.,95000199,,,95000199,,,4,39,81,,1952539567,2013057,155000,
Dynegy Marketing and Trade,61981,68229233,Master Purchase Sale Firm,Enron North America Corp.,,96001003,,,,,4,39,81,,1952539567,2013057,155000,
Dynegy Marketing and Trade,61981,68229233,Master Sale Spot,Enron North America Corp.,,96003404,,,,,4,39,81,,1952539567,2013057,155000,
Dynegy Marketing and Trade,61981,68229233,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96046252,,,,,4,39,81,,1952539567,2013057,155000,
Dynegy Marketing and Trade,61981,68229233,Permian Contract,Enron North America Corp.,,96007585,,,,,4,39,81,,1952539567,2013057,155000,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96013559,,,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96092033,,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,EFP Master Purchase Sale Firm Contract,Enron North America Corp.,,96033648,,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,General Terms and Conditions Purchase Firm,"enovate, L.L.C.",,96082451,,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,General Terms and Conditions Sale Firm,ENA Upstream Company LLC,,96060763,,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,GISB Base Contract 6.3.1,ENA Upstream Company LLC,,96092554,,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,GTC Purchase Spot,ENA Upstream Company LLC,,96060824,,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,GTC Sale Spot,ENA Upstream Company LLC,,96060727,,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,Master Energy Purchase and Sale Agreement,,,,96028954,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,Master Purchase/Sale Firm and Interruptible,Enron North America Corp.,,96093559,,,,,5,6,,,1430316209,35017132,,
"Duke Energy Trading and Marketing, L.L.C.",54979,180841814,Netting Agreement,Enron North America Corp.,,96018740,,,,,5,6,,,1430316209,35017132,,
"Entergy-Koch Trading, LP",91219,10000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96057022,,,96057022,,,6,16,26,,1293796569,9859061,10765000,
"Entergy-Koch Trading, LP",91219,10000000,GISB Base Contract 6.3.1,Enron North America Corp.,,96042325,,,,,6,16,26,,1293796569,9859061,10765000,
"Entergy-Koch Trading, LP",91219,10000000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,6,16,26,,1293796569,9859061,10765000,
"Entergy-Koch Trading, LP",91219,10000000,Master Power Purchase and Sale Agreement,,,,96050496,,,,6,16,26,,1293796569,9859061,10765000,
"Entergy-Koch Trading, LP",91219,10000000,Master Purchase Sale Firm,Enron North America Corp.,,96038539,,,,,6,16,26,,1293796569,9859061,10765000,
"Entergy-Koch Trading, LP",91219,10000000,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96013899,,6,16,26,,1293796569,9859061,10765000,
"Entergy-Koch Trading, LP",91219,10000000,Master Purchase Sale Spot,Enron North America Corp.,,96041476,,,,,6,16,26,,1293796569,9859061,10765000,
"Entergy-Koch Trading, LP",91219,10000000,Master Purchase/Sale Firm and Interruptible,Enron North America Corp.,,96029278,,,,,6,16,26,,1293796569,9859061,10765000,
"Calpine Energy Services, L.P.",79689,15000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96038365,,,,,,7,13,,,1254793427,13980702,,
"Calpine Energy Services, L.P.",79689,15000000,GTC Purchase Spot,Enron North America Corp.,,96050695,,,,,7,13,,,1254793427,13980702,,
"Calpine Energy Services, L.P.",79689,15000000,GTC Sale Spot,Enron North America Corp.,,96051463,,,,,7,13,,,1254793427,13980702,,
"Calpine Energy Services, L.P.",79689,15000000,Master Energy Purchase and Sale Agreement,,,,96035737,,,,7,13,,,1254793427,13980702,,
"Calpine Energy Services, L.P.",79689,15000000,Master Purchase Sale Firm,Enron North America Corp.,,96056886,,,,,7,13,,,1254793427,13980702,,
"El Paso Merchant Energy, L.P.",53350,25000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96045266,,,96045266,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,Administrative or Other Services,Enron North America Corp.,,96016487,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,Agency Agreement,Enron North America Corp.,,96015178,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96085385,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,General Terms and Conditions Sale Firm,Citrus Trading Corp.,,96096122,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,GISB Base Contract 6.3.1,Enron North America Corp.,,96028887,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,GTC Purchase Spot,ENA Upstream Company LLC,,96062282,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,GTC Sale Spot,ENA Upstream Company LLC,,96061613,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,Master Energy Price Swap,Enron North America Corp.,96066310,,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,Master Power Purchase and Sale Agreement,,,,96057469,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,Master Purchase Sale Firm,Enron North America Corp.,,96054452,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96013817,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,Master Purchase Sale Spot,Enron North America Corp.,,96003186,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"El Paso Merchant Energy, L.P.",53350,25000000,Master Purchase/Sale Firm and Spot,Citrus Trading Corp.,,96004711,,,,,8,3,1,8,1217985118,52280930,202533283,21900
"Mirant Americas Energy Marketing, L.P.",56264,63044383,92 ISDA - Local Currency/Single Juris,Enron North America Corp.,95000281,,,95000281,,,9,7,21,1,1087821802,32623289,17248071,253236
"Mirant Americas Energy Marketing, L.P.",56264,63044383,GISB Base Contract 6.3.1,Enron North America Corp.,,96029028,,,,,9,7,21,1,1087821802,32623289,17248071,253236
"Mirant Americas Energy Marketing, L.P.",56264,63044383,GTC Purchase Spot,ENA Upstream Company LLC,,96062765,,,,,9,7,21,1,1087821802,32623289,17248071,253236
"Mirant Americas Energy Marketing, L.P.",56264,63044383,GTC Sale Spot,ENA Upstream Company LLC,,96062703,,,,,9,7,21,1,1087821802,32623289,17248071,253236
"Mirant Americas Energy Marketing, L.P.",56264,63044383,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,9,7,21,1,1087821802,32623289,17248071,253236
"Mirant Americas Energy Marketing, L.P.",56264,63044383,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,9,7,21,1,1087821802,32623289,17248071,253236
"Mirant Americas Energy Marketing, L.P.",56264,63044383,Master Purchase Sale Firm,Enron North America Corp.,,96001565,,,,,9,7,21,1,1087821802,32623289,17248071,253236
"Mirant Americas Energy Marketing, L.P.",56264,63044383,Netting Agreement,Enron North America Corp.,,96018770,,,,,9,7,21,1,1087821802,32623289,17248071,253236
"Mirant Americas Energy Marketing, L.P.",56264,63044383,Online Canadian Firm Gas GTC with Collateral,Enron Canada Corp.,,,,,96033539,,9,7,21,1,1087821802,32623289,17248071,253236
"Mirant Americas Energy Marketing, LP  (fka Southern Company Energy Marketing, L.P.",56264,63044383,Master Energy Purchase and Sale Agreement,,,,96006417,,,,9,7,21,1,1087821802,32623289,17248071,253236
"Reliant Energy Services, Inc.",65268,45332093,General Terms and Conditions Purchase Firm,"enovate, L.L.C.",,96052632,,,,,10,4,22,,952771037,47710029,16937727,
"Reliant Energy Services, Inc.",65268,45332093,GTC Purchase Spot,"enovate, L.L.C.",,96090193,,,,,10,4,22,,952771037,47710029,16937727,
"Reliant Energy Services, Inc.",65268,45332093,GTC Sale Spot,ENA Upstream Company LLC,,96061619,,,,,10,4,22,,952771037,47710029,16937727,
"Reliant Energy Services, Inc.",65268,45332093,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,10,4,22,,952771037,47710029,16937727,
"Reliant Energy Services, Inc.",65268,45332093,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,10,4,22,,952771037,47710029,16937727,
"Reliant Energy Services, Inc.",65268,45332093,Master Agreement (1992 - ECT Form),Enron North America Corp.,96000103,,,96000103,,,10,4,22,,952771037,47710029,16937727,
"Reliant Energy Services, Inc.",65268,45332093,Master Power Purchase and Sale Agreement,,,,96053024,,,,10,4,22,,952771037,47710029,16937727,
"Reliant Energy Services, Inc.",65268,45332093,Master Purchase Sale Firm,"enovate, L.L.C.",,96057314,,,,,10,4,22,,952771037,47710029,16937727,
"Reliant Energy Services, Inc.",65268,45332093,Master Purchase Sale Spot,Enron North America Corp.,,96001761,,,,,10,4,22,,952771037,47710029,16937727,
"Reliant Energy Services, Inc.",65268,45332093,Netting Agreement,Enron North America Corp.,,96018744,,,,,10,4,22,,952771037,47710029,16937727,
"Reliant Energy Services, Inc.",65268,45332093,Online Canadian Firm Gas GTC with Collateral,Enron Canada Corp.,,,,,96034598,,10,4,22,,952771037,47710029,16937727,
"Reliant Energy Services, Inc.",65268,45332093,Permian Contract,Enron North America Corp.,,96007585,,,,,10,4,22,,952771037,47710029,16937727,
"Conectiv Energy Supply, Inc.",71243,6792881,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96017020,,,,,,11,34,,,924243326,3293135,,
"Conectiv Energy Supply, Inc.",71243,6792881,GISB Base Contract 6.3.1,Enron North America Corp.,,96018109,,,,,11,34,,,924243326,3293135,,
"Conectiv Energy Supply, Inc.",71243,6792881,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,11,34,,,924243326,3293135,,
"Conectiv Energy Supply, Inc.",71243,6792881,Master Power Purchase and Sale Agreement,,,,96047472,,,,11,34,,,924243326,3293135,,
"Conectiv Energy Supply, Inc.",71243,6792881,Master Purchase Sale Firm,Enron North America Corp.,,96054880,,,,,11,34,,,924243326,3293135,,
"Coral Energy Holding, L.P.",49747,97058219,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96018986,,,96018986,,,12,55,28,,780565572,440988,8276500,
"Coral Energy Holding, L.P.",49747,97058219,GTC Purchase Spot,Enron North America Corp.,,96002655,,,,,12,55,28,,780565572,440988,8276500,
"Coral Energy Holding, L.P.",49747,97058219,GTC Sale Spot,Enron North America Corp.,,96015133,,,,,12,55,28,,780565572,440988,8276500,
"Coral Energy Holding, L.P.",49747,97058219,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96045614,,,,,12,55,28,,780565572,440988,8276500,
"Coral Energy Holding, L.P.",49747,97058219,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96029401,,,,,12,55,28,,780565572,440988,8276500,
"Constellation Power Source, Inc.",55134,22572193,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96061846,,,,,,13,8,,,774619453,28361444,,
"Constellation Power Source, Inc.",55134,22572193,GISB Base Contract 6.3.1,"enovate, L.L.C.",,96057365,,,,,13,8,,,774619453,28361444,,
"Constellation Power Source, Inc.",55134,22572193,GTC Purchase Spot,Enron North America Corp.,,96057582,,,,,13,8,,,774619453,28361444,,
"Constellation Power Source, Inc.",55134,22572193,GTC Sale Spot,Enron North America Corp.,,96057583,,,,,13,8,,,774619453,28361444,,
"Constellation Power Source, Inc.",55134,22572193,Master Power Purchase and Sale Agreement,,,,96057479,,,,13,8,,,774619453,28361444,,
"Constellation Power Source, Inc.",55134,22572193,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96058040,,,,,13,8,,,774619453,28361444,,
BP Corporation North America Inc.,65291,43628269,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96038383,,,96038383,,,14,80,13,7,769108031,58090,47037000,44094
BP Corporation North America Inc.,65291,43628269,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96063755,,,,,14,80,13,7,769108031,58090,47037000,44094
BP Corporation North America Inc.,65291,43628269,General Terms and Conditions Sale Firm,Enron North America Corp.,,96067407,,,,,14,80,13,7,769108031,58090,47037000,44094
BP Corporation North America Inc.,65291,43628269,GTC Purchase Spot,Enron North America Corp.,,96021433,,,,,14,80,13,7,769108031,58090,47037000,44094
BP Corporation North America Inc.,65291,43628269,GTC Sale Spot,Enron North America Corp.,,96035752,,,,,14,80,13,7,769108031,58090,47037000,44094
BP Corporation North America Inc.,65291,43628269,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96044917,,,,,14,80,13,7,769108031,58090,47037000,44094
Hess Energy Trading Company LLC,55109,57887897,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96016620,,,,,,15,,,,768435000,,,
Hess Energy Trading Company LLC,55109,57887897,General Terms and Conditions Sale Firm,Enron North America Corp.,,96061739,,,,,15,,,,768435000,,,
Hess Energy Trading Company LLC,55109,57887897,GTC Purchase Spot,Enron North America Corp.,,96011533,,,,,15,,,,768435000,,,
Hess Energy Trading Company LLC,55109,57887897,GTC Sale Spot,Enron North America Corp.,,96017252,,,,,15,,,,768435000,,,
Hess Energy Trading Company LLC,55109,57887897,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96090207,,,,,15,,,,768435000,,,
J. Aron & Company,120,19516032,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96043931,,,96043931,,,16,,15,,734002500,,43763800,
J. Aron & Company,120,19516032,General Terms and Conditions Sale Firm,Enron North America Corp.,,96057579,,,,,16,,15,,734002500,,43763800,
J. Aron & Company,120,19516032,GTC Purchase Spot,Enron North America Corp.,,96062185,,,,,16,,15,,734002500,,43763800,
J. Aron & Company,120,19516032,GTC Sale Spot,Enron North America Corp.,,96050368,,,,,16,,15,,734002500,,43763800,
J. Aron & Company,120,19516032,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,16,,15,,734002500,,43763800,
J. Aron & Company,120,19516032,Master Purchase/Sale Firm and Interruptible,Enron North America Corp.,,96020559,,,,,16,,15,,734002500,,43763800,
J. Aron & Company,120,19516032,Online Canadian Firm Gas GTC,Enron Canada Corp.,,,,,96030446,,16,,15,,734002500,,43763800,
J. Aron & Company,120,19516032,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96031481,,,,,16,,15,,734002500,,43763800,
"Cinergy Marketing & Trading, LLC",68856,8424897,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96054899,,,96054899,,,17,,23,,657514113,,12950159,
"Cinergy Marketing & Trading, LLC",68856,8424897,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96085274,,,,,17,,23,,657514113,,12950159,
"Cinergy Marketing & Trading, LLC",68856,8424897,GISB Base Contract 6.3.1,"enovate, L.L.C.",,96057507,,,,,17,,23,,657514113,,12950159,
"Cinergy Marketing & Trading, LLC",68856,8424897,GTC Purchase Spot,ENA Upstream Company LLC,,96067478,,,,,17,,23,,657514113,,12950159,
"Cinergy Marketing & Trading, LLC",68856,8424897,GTC Sale Spot,ENA Upstream Company LLC,,96064715,,,,,17,,23,,657514113,,12950159,
"Cinergy Marketing & Trading, LLC",68856,8424897,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,17,,23,,657514113,,12950159,
"Cinergy Marketing & Trading, LLC",68856,8424897,Master Purchase Sale Firm,Enron North America Corp.,,96016335,,,,,17,,23,,657514113,,12950159,
"Cinergy Marketing & Trading, LLC",68856,8424897,Master Purchase Sale Spot,Enron North America Corp.,,96001611,,,,,17,,23,,657514113,,12950159,
"Cinergy Marketing & Trading, LLC",68856,8424897,Netting Agreement,Enron North America Corp.,,96007441,,,,,17,,23,,657514113,,12950159,
"Cinergy Marketing & Trading, LLC",68856,8424897,Online Canadian Firm Gas GTC,Enron Canada Corp.,,,,,96081135,,17,,23,,657514113,,12950159,
"Bank of America, National Association",70526,96745401,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96004898,,,96004898,,,18,,9,,637338000,,63980000,
"Bank of America, National Association",70526,96745401,Administrative or Other Services,Enron North America Corp.,,96022214,,,,,18,,9,,637338000,,63980000,
Williams Energy Marketing & Trading Company,64245,19392575,92 ISDA - Local Currency/Single Juris,Enron North America Corp.,95000226,,,95000226,,,19,1,20,,623507811,67061075,17270000,
Williams Energy Marketing & Trading Company,64245,19392575,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96054123,,,,,19,1,20,,623507811,67061075,17270000,
Williams Energy Marketing & Trading Company,64245,19392575,General Terms and Conditions Sale Firm,Enron North America Corp.,,96058526,,,,,19,1,20,,623507811,67061075,17270000,
Williams Energy Marketing & Trading Company,64245,19392575,GISB Base Contract,Enron North America Corp.,,96012102,,,,,19,1,20,,623507811,67061075,17270000,
Williams Energy Marketing & Trading Company,64245,19392575,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,19,1,20,,623507811,67061075,17270000,
Williams Energy Marketing & Trading Company,64245,19392575,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,19,1,20,,623507811,67061075,17270000,
Williams Energy Marketing & Trading Company,64245,19392575,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96013866,,19,1,20,,623507811,67061075,17270000,
PG&E Energy Trading-Gas Corporation,58402,5000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96022605,,,,,,20,,43,,599247940,,3920000,
PG&E Energy Trading-Gas Corporation,58402,5000000,GTC Purchase Spot,Enron North America Corp.,,96046543,,,,,20,,43,,599247940,,3920000,
PG&E Energy Trading-Gas Corporation,58402,5000000,GTC Sale Spot,Enron North America Corp.,,96046588,,,,,20,,43,,599247940,,3920000,
PG&E Energy Trading-Gas Corporation,58402,5000000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,20,,43,,599247940,,3920000,
PG&E Energy Trading-Gas Corporation,58402,5000000,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,20,,43,,599247940,,3920000,
PG&E Energy Trading-Gas Corporation,58402,5000000,Master Purchase Sale Firm,"enovate, L.L.C.",,96056887,,,,,20,,43,,599247940,,3920000,
PG&E Energy Trading-Gas Corporation,58402,5000000,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96018504,,20,,43,,599247940,,3920000,
PG&E Energy Trading-Gas Corporation,58402,5000000,Netting Agreement,Enron North America Corp.,,96019051,,,,,20,,43,,599247940,,3920000,
"Tractebel Energy Marketing, Inc.",53461,12579649,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96030347,,,,,,21,21,,,559136090,6972948,,
"Tractebel Energy Marketing, Inc.",53461,12579649,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96065439,,,,,21,21,,,559136090,6972948,,
"Tractebel Energy Marketing, Inc.",53461,12579649,GISB Base Contract 6.3.1,Enron North America Corp.,,96035620,,,,,21,21,,,559136090,6972948,,
"Tractebel Energy Marketing, Inc.",53461,12579649,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,21,21,,,559136090,6972948,,
"Tractebel Energy Marketing, Inc.",53461,12579649,Master Energy Purchase and Sale Agreement,,,,96005582,,,,21,21,,,559136090,6972948,,
"Tractebel Energy Marketing, Inc.",53461,12579649,Netting Agreement,Enron North America Corp.,,96018761,,,,,21,21,,,559136090,6972948,,
"Virginia Power Energy Marketing, Inc.",66652,2000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96030230,,,,,,22,,,,427836045,,,
"Virginia Power Energy Marketing, Inc.",66652,2000000,GISB Base Contract 6.3.1,Enron North America Corp.,,96029484,,,,,22,,,,427836045,,,
"Virginia Power Energy Marketing, Inc.",66652,2000000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,22,,,,427836045,,,
"Virginia Power Energy Marketing, Inc.",66652,2000000,Netting Agreement,Enron North America Corp.,,96031499,,,,,22,,,,427836045,,,
"Virginia Power Energy Marketing, Inc.",66652,2000000,OnLine GTC Gas Long-Term Firm with Collateral,Enron North America Corp.,,96046251,,,,,22,,,,427836045,,,
Engage Energy Canada L.P.,53341,5000000,92 ISDA - Multicurrency/Cross Border,Enron Canada Corp.,96028131,,,96028131,,,23,,11,5,421612831,,54080031,78930
Engage Energy Canada L.P.,53341,5000000,Electronic Trading Agreement,Enron North America Corp.,,96028125,,,,,23,,11,5,421612831,,54080031,78930
Engage Energy Canada L.P.,53341,5000000,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96084444,,,,,23,,11,5,421612831,,54080031,78930
Engage Energy Canada L.P.,53341,5000000,General Terms and Conditions Sale Firm,Enron North America Corp.,,96084999,,,,,23,,11,5,421612831,,54080031,78930
Engage Energy Canada L.P.,53341,5000000,GTC Purchase Spot,Enron North America Corp.,,96008861,,,,,23,,11,5,421612831,,54080031,78930
Engage Energy Canada L.P.,53341,5000000,GTC Sale Spot,Enron North America Corp.,,96011163,,,,,23,,11,5,421612831,,54080031,78930
Engage Energy Canada L.P.,53341,5000000,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96093749,,23,,11,5,421612831,,54080031,78930
Engage Energy Canada L.P.,53341,5000000,Netting Agreement,Enron North America Corp.,,96026677,,,,,23,,11,5,421612831,,54080031,78930
Engage Energy Canada L.P.,53341,5000000,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96028344,,,,,23,,11,5,421612831,,54080031,78930
Texaco Natural Gas Inc.,3022,79367825,Bookout,Citrus Trading Corp.,,96010805,,,,,24,,79,,418031229,,175080,
Texaco Natural Gas Inc.,3022,79367825,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96086947,,,,,24,,79,,418031229,,175080,
Texaco Natural Gas Inc.,3022,79367825,EFP Master Purchase Sale Firm Contract,Enron North America Corp.,,96003633,,,,,24,,79,,418031229,,175080,
Texaco Natural Gas Inc.,3022,79367825,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96061956,,,,,24,,79,,418031229,,175080,
Texaco Natural Gas Inc.,3022,79367825,General Terms and Conditions Sale Firm,Enron North America Corp.,,96041087,,,,,24,,79,,418031229,,175080,
