Invoice #,Prod Month,Buyer,Seller,Start Date,End Date,P/L Pt Cd,Point Name,EOL #,SITARA #,PG&E #,P/L,,MMBTU,Price,Enron Sales,,PG&E Vol,PG&E Pr,PG&E Purch,,Vol Diff,Pr Diff,$  Diff,,Comments
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/18/01 00:00:00,1/18/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,571367,E17291,CEC,,10000,7.99,79900,,10000,7.99,79900,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/18/01 00:00:00,1/18/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,571367,E17291,CEC,,14574,8.04,117174.95999999999,,14574,8.04,117174.95999999999,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/17/01 00:00:00,1/17/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,569397,E17291,CEC,,20000,8.45,169000,,20000,8.45,169000,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/17/01 00:00:00,1/17/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,569397,E17291,CEC,,20652,8.475,175025.69999999998,,20652,8.475,175025.69999999998,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA727113,551433,E17291,CEC,,5000,9,45000,,5000,9,45000,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA727306,551586,E17291,CEC,,1129,9,10161,,1129,9,10161,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA727381,551652,E17291,CEC,,5000,9,45000,,5000,9,45000,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/13/01 00:00:00,1/16/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,567551,E17291,CEC,,23168,9,208512,,23168,9,208512,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/5/01 00:00:00,1/5/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA737006,556204,E17291,CEC,,5000,9.05,45250,,5000,9.05,45250,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/13/01 00:00:00,1/16/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),,567492,E17291,CEC,,98764,9.05,893814.2000000001,,98764,9.05,893814.2000000001,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA727135,551451,E17291,CEC,,5000,9.1,45500,,5000,9.1,45500,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA727332,551609,E17291,CEC,,5000,9.1,45500,,5000,9.1,45500,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA727068,551407,E17291,CEC,,5000,9.15,45750,,5000,9.15,45750,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA731969,553809,E17291,CEC,,5000,9.15,45750,,5000,9.15,45750,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA732014,553850,E17291,CEC,,5000,9.15,45750,,5000,9.15,45750,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA732183,553983,E17291,CEC,,5000,9.15,45750,,5000,9.15,45750,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/5/01 00:00:00,1/5/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA737015,556209,E17291,CEC,,5000,9.15,45750,,5000,9.15,45750,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/5/01 00:00:00,1/5/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA737027,556217,E17291,CEC,,5000,9.15,45750,,5000,9.15,45750,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/5/01 00:00:00,1/5/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA737035,556223,E17291,CEC,,5000,9.15,45750,,5000,9.15,45750,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/5/01 00:00:00,1/5/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA737067,556249,E17291,CEC,,5000,9.15,45750,,5000,9.15,45750,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA727076,551413,E17291,CEC,,5000,9.2,46000,,5000,9.2,46000,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA731898,553775,E17291,CEC,,5000,9.2,46000,,5000,9.2,46000,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA731914,553782,E17291,CEC,,5000,9.2,46000,,5000,9.2,46000,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/5/01 00:00:00,1/5/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA737040,556228,E17291,CEC,,5000,9.2,46000,,5000,9.2,46000,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/5/01 00:00:00,1/5/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA737070,556251,E17291,CEC,,483,9.2,4443.599999999999,,483,9.2,4443.599999999999,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA732251,554035,E17291,CEC,,483,9.25,4467.75,,483,9.25,4467.75,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA732291,554069,E17291,CEC,,5000,9.35,46750,,5000,9.35,46750,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/2/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA725378,550447,E17291,CEC,,12790,10.7,136853,,12790,10.7,136853,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/2/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA725391,550462,E17291,CEC,,10000,10.7,107000,,10000,10.7,107000,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/2/01 00:00:00,TRKELK,CONSUMERS POWER (ELKHART),OA725144,550253,E17291,CEC,,10000,10.75,107500,,10000,10.75,107500,,0,0,0,,
,,,,,,,,,,,CEC Total,,627537,,5145431.91,,627537,,5145431.91,,0,,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/27/01 00:00:00,1/29/01 00:00:00,P10,ACCESS TCO APPALACHIAN POL IPP,,585239,E17288,CGAS,,21000,7.29,153090,,21000,7.29,153090,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/26/01 00:00:00,1/26/01 00:00:00,P10,ACCESS TCO APPALACHIAN POL IPP,,585239,E17288,CGAS,,7000,7.59,53130,,7000,7.59,53130,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/5/01 00:00:00,1/5/01 00:00:00,P10,ACCESS TCO APPALACHIAN POL IPP,OA739351,557639,E17288,CGAS,,5000,9.91,49550,,5000,9.91,49550,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,P10,ACCESS TCO APPALACHIAN POL IPP,OA733326,554751,E17291,CGAS,,10000,9.95,99500,,10000,9.95,99500,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/5/01 00:00:00,1/5/01 00:00:00,P10,ACCESS TCO APPALACHIAN POL IPP,OA739282,557598,E17288,CGAS,,3300,9.97,32901,,3300,9.97,32901,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/31/01 00:00:00,P10,ACCESS TCO APPALACHIAN POL IPP,OA698881,535581,E17288,CGAS,,79763,10.57,843094.91,,79763,10.57,843094.91,,0,0,0,,
,,,,,,,,,,,CGAS Total,,126063,,1231265.9100000001,,126063,,1231265.9100000001,,0,,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/2/01 00:00:00,P30,ONSHORE POOL,OA723811,549510,E17288,CGLF,,20000,9.75,195000,,20000,9.75,195000,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,P30,ONSHORE POOL,OA732784,554376,E17288,CGLF,,5890,9.79,57663.1,,5890,9.79,57663.1,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,P30,ONSHORE POOL,OA728774,552599,E17288,CGLF,,10000,10.03,100300,,10000,10.03,100300,,0,0,0,,
,,,,,,,,,,,CGLF Total,,35890,,352963.1,,35890,,352963.1,,0,,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/31/01 00:00:00,20100,EAST OHIO POOL,,547525,E17288,CNG,,24219,12.48,302253.12,,24219,12.48,302253.12,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/31/01 00:00:00,20200,PEOPLES NATURAL GAS POOL,,547525,E17288,CNG,,24986,12.48,311825.28,,24986,12.48,311825.28,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/1/01 00:00:00,1/31/01 00:00:00,20300,HOPE GAS,,547525,E17288,CNG,,3588,12.48,44778.24,,3588,12.48,44778.24,,0,0,0,,
,,,,,,,,,,,CNG Total,,52793,,658856.64,,52793,,658856.64,,0,,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,KEYSTONE,KEYSTONE SUPPLY AREA,OA733867,555184,E17290,EPNG,,5000,9.05,45250,,5000,9.05,45250,,0,0,0,,
,,,,,,,,,,,EPNG Total,,5000,,45250,,5000,,45250,,0,,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/19/01 00:00:00,1/19/01 00:00:00,DELH,KMID/MRT DELHI/HARRISON CTY,,572159,E17289,MRT,,15000,7.37,110550,,15000,7.37,110550,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/18/01 00:00:00,1/18/01 00:00:00,DELH,KMID/MRT DELHI/HARRISON CTY,,572159,E17289,MRT,,15000,7.88,118200,,15000,7.88,118200,,0,0,0,,
,,,,,,,,,,,MRT Total,,30000,,228750,,30000,,228750,,0,,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/25/01 00:00:00,1/25/01 00:00:00,25078,MIDCONTINENT POOL NGPL,,583089,E17291,NGPL,,2405,6.755,16245.775,,2405,6.755,16245.775,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/25/01 00:00:00,1/25/01 00:00:00,25080,LOUISIANA POOL NGPL,,580863,E17289,NGPL,,5168,6.79,35090.72,,5168,6.79,35090.72,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/27/01 00:00:00,1/29/01 00:00:00,25078,MIDCONTINENT POOL NGPL,,583089,E17291,NGPL,,22323,6.835,152577.705,,22323,6.835,152577.705,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/24/01 00:00:00,1/24/01 00:00:00,25080,LOUISIANA POOL NGPL,,580863,E17289,NGPL,,5168,6.96,35969.28,,5168,6.96,35969.28,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/19/01 00:00:00,1/19/01 00:00:00,25078,MIDCONTINENT POOL NGPL,,570244,E17291,NGPL,,13941,6.97,97168.76999999999,,13941,7.07,98562.87000000001,,0,-0.10000000000000053,-1394.1000000000204,,Pr Discrp:
25186 SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/19/01 00:00:00,1/19/01 00:00:00,25078,MIDCONTINENT POOL NGPL,,570244,E17291,NGPL,,-13941,6.97,-97168.76999999999,,-13941,7.07,-98562.87000000001,,0,-0.10000000000000053,1394.1000000000204,,Pr Discrp:
25186 SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/19/01 00:00:00,1/19/01 00:00:00,25078,MIDCONTINENT POOL NGPL,,570244,E17291,NGPL,,12369,6.97,86211.93,,13941,7.07,98562.87000000001,,-1572,-0.10000000000000053,-12350.940000000017,,Pr Discrp:
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/26/01 00:00:00,1/26/01 00:00:00,25078,MIDCONTINENT POOL NGPL,,583089,E17291,NGPL,,13627,7.12,97024.24,,13627,7.12,97024.24,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/23/01 00:00:00,1/23/01 00:00:00,25078,MIDCONTINENT POOL NGPL,,570244,E17291,NGPL,,12998,7.41,96315.18000000001,,12998,7.41,96315.18000000001,,0,0,0,,
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/20/01 00:00:00,1/22/01 00:00:00,25078,MIDCONTINENT POOL NGPL,,570244,E17290,NGPL,,41823,7.53,314927.19,,40251,7.53,303090.03,,1572,0,11837.159999999974,,Vol - Need p/l support from Mel.
21993SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/17/01 00:00:00,1/17/01 00:00:00,25078,MIDCONTINENT POOL NGPL,,570244,E17291,NGPL,,6533,7.925,51774.025,,6533,7.925,51774.025,,0,0,0,,DN  2/22/01
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,25078,MIDCONTINENT POOL NGPL,OA733761,555096,E17291,NGPL,,1283,9.07,11636.81,,1283,9.07,11636.81,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,25078,MIDCONTINENT POOL NGPL,OA729575,553170,E17291,NGPL,,4637,9.075,42080.774999999994,,4637,9.075,42080.774999999994,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,25078,MIDCONTINENT POOL NGPL,OA733691,555042,E17291,NGPL,,4852,9.115,44225.98,,4852,9.115,44225.98,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,25078,MIDCONTINENT POOL NGPL,OA728662,552518,E17291,NGPL,,5000,9.12,45599.99999999999,,5000,9.12,45599.99999999999,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/3/01 00:00:00,1/3/01 00:00:00,25078,MIDCONTINENT POOL NGPL,OA729535,553143,E17291,NGPL,,2000,9.15,18300,,2000,9.15,18300,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,25078,MIDCONTINENT POOL NGPL,OA732753,554362,E17291,NGPL,,5000,9.155,45775,,5000,9.155,45775,,0,0,0,,
21992SA,Jan-01,PG&E  ET - Gas Corp,Enron,1/4/01 00:00:00,1/4/01 00:00:00,25078,MIDCONTINENT POOL NGPL,OA733175,554639,E17291,NGPL,,5000,9.18,45900,,5000,9.18,45900,,0,0,0,,
