,,,,,,,POWER VOLUME,2202400,31,TRANSACTIONS,,,,,,
,    Firm-LD Peak - Cin - Bal Week,Bal Week,48.5,48.75,48.625,48.5,Mar-05-01 20:05 GMT,4800,MWhs,,,,,,,
,    Firm-LD Peak - Cin - Bal Month,Bal Month,47,47,47,47,Mar-05-01 19:17 GMT,14400,MWhs,,,,,,,
,    Firm-LD Peak - Cin - Apr01,Apr01,46.95,47.25,47.032,47,Mar-05-01 19:32 GMT,655200,MWhs,,,,,,,
,    Firm-LD Peak - Cin - May01,May01,52.75,53.5,53.2,52.75,Mar-05-01 17:36 GMT,88000,MWhs,,,,,,,
,    Firm-LD Peak - Cin - Jun01,Jun01,81.25,82.25,81.679,81.5,Mar-05-01 19:23 GMT,117600,MWhs,,,,,,,
,    Firm-LD Peak - Cin - Jul01-Aug01,Jul01-Aug01,130.5,132.5,131.625,130.5,Mar-05-01 17:58 GMT,140800,MWhs,,,,,,,
,    Firm-LD Peak - Cin - Sep01,Sep01,46.75,47.25,47,46.75,Mar-05-01 19:18 GMT,30400,MWhs,,,,,,,
,    Firm-LD Peak - Cin - Q4 01,Q4 01,45,45,45,45,Mar-05-01 13:19 GMT,102400,MWhs,,,,,,,
,    Firm-LD Peak - Cin - May02,May02,44.25,44.25,44.25,44.25,Mar-05-01 15:35 GMT,17600,MWhs,,,,,,,
,    Firm-LD Peak - Cin - Jul02-Aug02,Jul02-Aug02,96,96,96,96,Mar-05-01 19:22 GMT,35200,MWhs,,,,,,,
,    Firm-LD Peak - Cin - Cal 02,Cal 02,52.25,52.5,52.375,52.25,Mar-05-01 17:59 GMT,408000,MWhs,,,,,,,
,    Firm-LD Peak - Comed - Oct01,Oct01,44,44,44,44,Mar-05-01 20:05 GMT,18400,MWhs,,,,,,,
,    Firm-LD Peak - Comed - Jan02,Jan02,48.25,48.25,48.25,48.25,Mar-05-01 19:25 GMT,17600,MWhs,,,,,,,
,    Firm-LD Peak - Ent - Next Day,Next Day,49,57.25,53.784,54.25,Mar-05-01 19:57 GMT,23200,MWhs,,,,,,,
,    Firm-LD Peak - Ent - May01,May01,59.75,60,59.938,59.75,Mar-05-01 20:46 GMT,70400,MWhs,,,,,,,
,    Firm-LD Peak - Ent - Jun01,Jun01,88.75,88.75,88.75,88.75,Mar-05-01 15:27 GMT,16800,MWhs,,,,,,,
,    Firm-LD Peak - Ent - Q4 01,Q4 01,49.5,49.5,49.5,49.5,Mar-05-01 13:02 GMT,51200,MWhs,,,,,,,
,    Firm-LD Peak - Mid C - Apr01,Apr01,303,303,303,303,Mar-05-01 17:19 GMT,10000,MWhs,,,,,,,
,    Firm-LD Peak - Nepool - Next Day,Next Day,52.5,55,53.5,55,Mar-05-01 15:21 GMT,3200,MWhs,,,,,,,
,    Firm-LD Peak - Nepool - Bal Week,Bal Week,53.5,53.5,53.5,53.5,Mar-05-01 19:28 GMT,2400,MWhs,,,,,,,
,    Firm-LD Peak - Nepool - Jul01-Aug01,Jul01-Aug01,100,100,100,100,Mar-05-01 17:02 GMT,35200,MWhs,,,,,,,
,    Firm-LD Peak - PJM-W - Next Day,Next Day,50,51.5,50.714,51.5,Mar-05-01 16:23 GMT,14400,MWhs,,,,,,,
,    Firm-LD Peak - PJM-W - Bal Week,Bal Week,48,48.5,48.179,48.5,Mar-05-01 21:02 GMT,16800,MWhs,,,,,,,
,    Firm-LD Peak - PJM-W - Bal Month,Bal Month,47,48.5,47.75,47.75,Mar-05-01 15:32 GMT,45600,MWhs,,,,,,,
,    Firm-LD Peak - PJM-W - Apr01,Apr01,46.5,47.5,46.975,47,Mar-05-01 19:49 GMT,168000,MWhs,,,,,,,
,    Firm-LD Peak - PJM-W - May01,May01,52.25,52.75,52.5,52.25,Mar-05-01 17:12 GMT,52800,MWhs,,,,,,,
,    Firm-LD Peak - Palo - Apr01,Apr01,257,257,257,257,Mar-05-01 15:14 GMT,10000,MWhs,,,,,,,
,    Firm-LD Peak - SP-15 - Next Day,Next Day,335,345,340,340,Mar-05-01 14:36 GMT,1200,MWhs,,,,,,,
,    Firm-LD Peak - TVA - Next Day,Next Day,49,52,50.5,52,Mar-05-01 13:04 GMT,3200,MWhs,,,,,,,
