Summary of Actualizations Created from Comparison of ISO Actuals to EPMI Estimates,,,,,,,,,
,,,,,,,,,
,,Customer,Dati,,,,,,
,3,-0.105491333333333,-20.0021,-0.0263728333333333,-5.0009,-2.50541916666666,-475.0534,-2.63728333333333,-500.0564
,4,-0.105491333333333,-20.9135,-0.0263728333333333,-5.2287,-2.50541916666666,-496.6996,-2.63728333333333,-522.8418
,5,-0.105491333333333,-7.6556,-0.0263728333333333,-1.9141,-2.50541916666667,-181.8232,-2.63728333333333,-191.3929
,6,-0.105491333333333,-0.3769,-0.0263728333333333,-0.0942,-2.50541916666667,-8.9498,-2.63728333333333,-9.4209
2000-09-15 00:00:00,1,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
,2,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
,3,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
,4,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
,5,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
,6,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
2000-09-16 00:00:00,1,-0.146934666666667,-36.7343,-0.0367336666666666,-9.1759,-3.48969833333333,-872.4315,-3.67336666666667,-918.3417
,2,-0.0035946666666667,-0.8987,-0.000898666666666676,-0.2246,-0.085373333333334,-21.3433,-0.0898666666666674,-22.4666
,3,-0.00442666666666668,-1.1067,-0.00110666666666667,-0.2766,-0.105133333333334,-26.2833,-0.110666666666667,-27.6666
,4,-0.00442666666666668,-1.1067,-0.00110666666666667,-0.2766,-0.105133333333334,-26.2833,-0.110666666666667,-27.6666
,5,-0.156849333333333,-39.2123,-0.0392123333333334,-9.803,-3.72517166666667,-931.2929,-3.92123333333333,-980.3082
,6,-0.219864,-0.719,-0.0549660000000001,-0.1797,-5.22177,-17.0762,-5.4966,-17.9749
2000-09-17 00:00:00,1,-0.132818333333333,-32.1459,-0.0332045833333334,-8.0369,-3.15443541666666,-763.4569,-3.32045833333333,-803.6397
,2,-0.0717906666666668,-17.7343,-0.0179476666666667,-4.4339,-1.70502833333333,-421.1802,-1.79476666666666,-443.3484
,3,-0.00702266666666652,-1.7499,-0.00175566666666663,-0.4375,-0.16678833333333,-41.5586,-0.175566666666663,-43.746
,4,-0.00320866666666649,-0.7998,-0.000802166666666625,-0.2,-0.0762058333333287,-18.9945,-0.0802166666666618,-19.9943
,5,-0.00320866666666649,-0.8022,-0.000802166666666625,-0.2006,-0.0762058333333287,-19.0508,-0.0802166666666618,-20.0536
,6,-0.136939666666666,-34.1012,-0.0342349166666666,-8.5254,-3.25231708333333,-809.9025,-3.42349166666666,-852.5291
2000-09-19 00:00:00,1,-0.736531,-184.1288,-0.18413275,-46.0323,-17.49221125,-4373.0577,-18.412875,-4603.2188
,2,-0.172102,-43.0215,-0.0430254999999999,-10.7554,-4.08702249999999,-1021.7606,-4.30214999999999,-1075.5375
,3,-0.172475333333333,-43.1148,-0.0431188333333333,-10.7787,-4.09588916666666,-1023.9773,-4.31148333333333,-1077.8708
,4,-0.187211333333333,-46.7988,-0.0468028333333333,-11.6997,-4.44586916666666,-1111.4723,-4.67988333333333,-1169.9708
,5,-0.317603333333333,-78.6744,-0.0794008333333333,-19.6685,-7.54267916666666,-1868.5139,-7.93968333333333,-1966.8568
,6,-0.317603333333333,-78.6744,-0.0794008333333333,-19.6685,-7.54267916666666,-1868.5139,-7.93968333333333,-1966.8568
2000-09-20 00:00:00,1,-0.137579,-34.3948,-0.03439475,-8.5988,-3.26750125,-816.8752,-3.439475,-859.8688
,2,-0.010492,-2.6229,-0.002623,-0.6558,-0.249184999999999,-62.2963,-0.262299999999999,-65.575
,3,-0.010492,-2.6229,-0.002623,-0.6558,-0.249184999999999,-62.2963,-0.262299999999999,-65.575
,4,-0.0348726666666666,-8.718,-0.00871816666666667,-2.1796,-0.828225833333332,-207.0565,-0.871816666666666,-217.9541
,5,-0.200877333333333,-30.8038,-0.0502193333333334,-7.7007,-4.77083666666666,-731.5925,-5.02193333333333,-770.097
,6,-0.201057333333333,-2.5951,-0.0502643333333334,-0.6489,-4.77511166666666,-61.637,-5.02643333333333,-64.881
Totale Risultato,,-16.87212648,-3550.0682,-4.21803161999999,-887.520200000001,-400.715403899999,-84313.7621000001,-421.805561999999,-88751.3505
