,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gas Curves,,To Paste,,,,,,209,0.1,,,,0.41,,
Mid-C,20,,,31.42471730235418,-10.345282697645825,,27.42592621048892,-8.254073789511079,,34.80476114276256,-3.255238857237444,,27.35176104023703,-5.868238959762969,,28.43445597157479,-9.60554402842521,,29.393893278088946,-9.576106721911053,,30.273472597190935,-9.576527402809067,,Mid-C,30,41.77,35.68,38.06,33.22,38.04,38.97,39.85,,Mid-C,20,31.42471730235418,27.42592621048892,34.80476114276256,27.35176104023703,28.43445597157479,29.393893278088946,30.273472597190935,1.0,,,2002-12-01 00:00:00,3.128,0.035,0.29,0.03,-0.235,-0.355,,2002-12-01 00:00:00,3.2630000000000003,3.1630000000000003,3.418,3.158,3.568,2.8930000000000002,2.773
COB,20.49999796350797,,,34.40490273770783,-10.345097262292171,,28.345886602548294,-8.164113397451704,,38.64389137215412,-0.5261086278458791,,29.716850168329454,-5.163149831670548,,30.903219756301105,-9.556780243698896,,32.10012481535639,-9.489875184643616,,33.22744838199053,-9.482551618009474,,COB,30.5,44.75,36.51,39.17,34.88,40.46,41.59,42.71,,COB,20.49999796350797,34.40490273770783,28.345886602548294,38.64389137215412,29.716850168329454,30.903219756301105,32.10012481535639,33.22744838199053,2.0,,,2003-01-01 00:00:00,3.233,0.11,0.34,0.02,-0.235,-0.33,,2003-01-01 00:00:00,3.443,3.343,3.573,3.253,3.6630000000000003,2.998,2.903
NP-15,28.25,,,41.88045566582854,-7.4995443341714605,,31.253795419942858,-6.216204580057141,,47.00129953271179,8.281299532711792,,34.961426190136564,-2.6385738098634377,,35.67598195672336,-6.514018043276636,,36.15024023797435,-6.619759762025652,,36.475575480777685,-6.664424519222315,,NP-15,32.94,49.38,37.47,38.72,37.6,42.19,42.77,43.14,,NP-15,28.25,41.88045566582854,31.253795419942858,47.00129953271179,34.961426190136564,35.67598195672336,36.15024023797435,36.475575480777685,3.0,,,2003-02-01 00:00:00,3.173,0.09,0.33,0.02,-0.235,-0.32,,2003-02-01 00:00:00,3.363,3.263,3.503,3.193,3.603,2.938,2.853
SP-15,28,,,42.17315189250574,-7.246848107494259,,30.746412579138564,-5.253587420861436,,48.34813647906449,11.588136479064495,,35.5053333976016,-1.9446666023983994,,36.22124184753254,-5.948758152467462,,36.69934167632181,-6.030658323678189,,37.025009234210216,-6.074990765789785,,SP-15,30.9,49.42,36,36.76,37.45,42.17,42.73,43.1,,SP-15,28,42.17315189250574,30.746412579138564,48.34813647906449,35.5053333976016,36.22124184753254,36.69934167632181,37.025009234210216,4.0,,,2003-03-01 00:00:00,3.108,0.01,0.16,0.02,-0.235,-0.365,,2003-03-01 00:00:00,3.218,3.118,3.2680000000000002,3.128,3.5380000000000003,2.873,2.7430000000000003
Mead,24.499997566143673,,,50.71041230343962,-10.179587696560382,,27.914746356350694,-9.115253643649307,,53.92053818556043,17.39053818556043,,35.59600658815839,-5.513993411841611,,36.37366307986904,-6.756336920130963,,36.856310324530476,-6.773689675469527,,37.21741549791903,-6.802584502080975,,Mead,29.62,60.89,37.03,36.53,41.11,43.13,43.63,44.02,,Mead,24.499997566143673,50.71041230343962,27.914746356350694,53.92053818556043,35.59600658815839,36.37366307986904,36.856310324530476,37.21741549791903,5.0,,,2003-04-01 00:00:00,2.9530000000000003,0.06,0.37,0.14,-0.28,-0.54,,2003-04-01 00:00:00,3.1130000000000004,3.0130000000000003,3.3230000000000004,3.0930000000000004,3.5030000000000006,2.673,2.4130000000000003
Palo Verde,23.499997665484745,,,42.65851011909566,-10.181489880904344,,25.91474646934863,-8.935253530651373,,47.24523642443821,12.565236424438211,,32.264351133600876,-5.165648866399124,,33.13335278438418,-6.716647215615822,,33.758925160699555,-6.721074839300442,,34.30162211342047,-6.72837788657953,,Palo Verde,28.62,52.84,34.85,34.68,37.43,39.85,40.48,41.03,,Palo Verde,23.499997665484745,42.65851011909566,25.91474646934863,47.24523642443821,32.264351133600876,33.13335278438418,33.758925160699555,34.30162211342047,6.0,,,2003-05-01 00:00:00,2.9530000000000003,0.06,0.37,0.14,-0.28,-0.54,,2003-05-01 00:00:00,3.1130000000000004,3.0130000000000003,3.3230000000000004,3.0930000000000004,3.5030000000000006,2.673,2.4130000000000003
Four Corners,23.499997665484745,,,47.54877168474546,-10.181228315254536,,26.914746412849656,-9.285253587150347,,51.25171272361975,15.571712723619747,,34.177704583910746,-5.602295416089255,,34.00935851496048,-6.940641485039521,,34.63500308460419,-6.844996915395804,,35.06561217078998,-6.874387829210015,,Four Corners,28.62,57.73,36.2,35.68,39.78,40.95,41.48,41.94,,Four Corners,23.499997665484745,47.54877168474546,26.914746412849656,51.25171272361975,34.177704583910746,34.00935851496048,34.63500308460419,35.06561217078998,7.0,,,2003-06-01 00:00:00,2.988,0.06,0.37,0.14,-0.28,-0.54,,2003-06-01 00:00:00,3.148,3.048,3.358,3.128,3.5380000000000003,2.708,2.448
Rockies,23.499997665484745,,,42.65850856224945,-10.181491437750552,,25.91474646934863,-8.935253530651373,,47.245232924163425,12.565232924163425,,32.264350260427165,-5.165649739572835,,33.13335318167873,-6.716646818321273,,33.75892551235369,-6.721074487646305,,34.30162239991715,-6.728377600082851,,Rockies,28.62,52.84,34.85,34.68,37.43,39.85,40.48,41.03,,Rockies,23.499997665484745,42.65850856224945,25.91474646934863,47.245232924163425,32.264350260427165,33.13335318167873,33.75892551235369,34.30162239991715,8.0,,,2003-07-01 00:00:00,3.023,0.06,0.37,0.14,-0.28,-0.54,,2003-07-01 00:00:00,3.1830000000000003,3.083,3.3930000000000002,3.1630000000000003,3.5730000000000004,2.7430000000000003,2.483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-08-01 00:00:00,3.065,0.06,0.37,0.14,-0.28,-0.54,,2003-08-01 00:00:00,3.225,3.125,3.435,3.205,3.615,2.785,2.525
Implied Heat Rate - Peak Mid (MMBtu/MWh),,,,,,,,,,,,,,,,,,,,,,,,,Last Week's Gas Prices,,,,,,,,,,This Week's Gas Prices,,,,,,,,,,,,2003-09-01 00:00:00,3.06,0.06,0.37,0.14,-0.28,-0.54,,2003-09-01 00:00:00,3.22,3.12,3.43,3.2,3.6100000000000003,2.7800000000000002,2.52
Delivery Pt,2002-02-01 00:00:00,Change,,Q3-2002,Change,,Q1-2003,Change,,Q3-2003,Change,,2003.0,Change,,2004-2008,Change,,2004-2013,Change,,2004-2018,Change,,Term,,,,,,,,,,Term,,,,,,,,,,,,2003-10-01 00:00:00,3.1,0.06,0.37,0.14,-0.28,-0.54,,2003-10-01 00:00:00,3.2600000000000002,3.16,3.47,3.24,3.6500000000000004,2.8200000000000003,2.56
Mid-C,8.29875518672199,,,11.664705754400213,-1.8852509930046182,,8.208078474807138,-2.3470935989528563,,10.844857024126265,0.728794297095158,,8.347859313363964,-2.4679965620463946,,7.819791442087184,-2.160313063914267,,7.6701731657142345,-2.207736512795326,,7.4563877045076765,-2.212943543891548,,Delivery Pt,2001-12-01 00:00:00,Q3-2002,Q1-2003,Q3-2003,2003.0,2004-2008,2004-2013,2004-2018,,Delivery Pt,2002-02-01 00:00:00,Q3-2002,Q1-2003,Q3-2003,2003.0,2004-2008,2004-2013,2004-2018,,,,2003-11-01 00:00:00,3.242,0.1,0.46,0.16,-0.18,-0.32,,2003-11-01 00:00:00,3.442,3.342,3.702,3.402,3.8120000000000003,3.062,2.922
COB,8.874457992860592,,,13.263262427797928,-1.7400902767170319,,8.74513161329133,-2.3848348535311583,,12.428352714028986,1.732985461821821,,9.355218060232788,-2.3832905075098587,,8.739062865576987,-2.161945239679092,,8.600781877345034,-2.2153942745339403,,8.390616765909561,-2.23038540310802,,Malin -.1,2.768,3.08266666666667,3.38033333333333,3.76233333333333,3.07141666666667,3.81158333333333,3.94516666666667,4.12127777777778,1.0,Malin -.1,2.41,2.6940000000000004,3.3413333333333335,3.2093333333333334,3.2765000000000004,3.636216666666667,3.8322333333333334,4.060072222222222,1.0,,,2003-12-01 00:00:00,3.39,0.1,0.47,0.16,-0.18,-0.32,,2003-12-01 00:00:00,3.5900000000000003,3.49,3.8600000000000003,3.5500000000000003,3.9600000000000004,3.21,3.0700000000000003
NP-15,11.18811881188119,,,14.882891139242552,-0.23652098568090274,,9.064325817848855,-1.6250998192755368,,13.745749522142265,4.143368766583029,,10.075822908920667,-1.8081816213292754,,9.052213903798409,-1.3434658563707789,,8.638686698456322,-1.40043387113918,,8.236780444481779,-1.4193267461172816,,Malin,2.668,2.98266666666667,3.28033333333333,3.66233333333333,2.97141666666667,3.71158333333333,3.84516666666667,4.02127777777778,2.0,Malin,2.31,2.5940000000000003,3.2413333333333334,3.1093333333333333,3.1765000000000003,3.5362166666666672,3.7322333333333346,3.960072222222224,2.0,,,2004-01-01 00:00:00,3.45,0.1,0.5,0.16,-0.18,-0.32,,2004-01-01 00:00:00,3.6500000000000004,3.5500000000000003,3.95,3.6100000000000003,4.0200000000000005,3.27,3.1300000000000003
SP-15,12.095032397408207,,,15.267220426875493,-0.09173533817162749,,9.634346953981167,-1.0418096296487267,,15.159323728803663,5.388791257819337,,11.024218608238959,-1.0557770909169886,,9.880406763345508,-1.1837207482971355,,9.25518196753612,-1.3210053165354605,,8.716575237788476,-1.345224810198964,,PGAE CG,2.723,3.266,3.50533333333333,4.03233333333333,3.16391666666667,4.05841666666667,4.26033333333333,4.46763888888889,3.0,PGAE CG,2.525,2.814,3.4480000000000004,3.419333333333334,3.4698333333333333,3.9411333333333327,4.184691666666667,4.428377777777778,3.0,,,2004-02-01 00:00:00,3.3560000000000003,0.1,0.46,0.16,-0.18,-0.32,,2004-02-01 00:00:00,3.5560000000000005,3.4560000000000004,3.8160000000000003,3.5160000000000005,3.9260000000000006,3.176,3.0360000000000005
Mead,8.99082479491511,,,15.985209300233144,-0.7996845709420697,,7.7512253858804225,-2.0398904258593973,,14.980701477744145,6.22540867595457,,9.80426182193125,-1.907432779464683,,8.923935364175948,-1.29301392220105,,8.423770008634994,-1.380265382966531,,7.990589912456464,-1.3882828851904083,,Socal,2.673,3.21766666666667,3.372,3.76233333333333,3.10016666666667,3.81141666666667,4.04020833333333,4.28352777777778,4.0,Socal,2.315,2.7623333333333338,3.191333333333333,3.189333333333334,3.2206666666666663,3.665966666666668,3.9652750000000014,4.247655555555557,4.0,,,2004-03-01 00:00:00,3.2560000000000002,0.1,0.34,0.16,-0.18,-0.32,,2004-03-01 00:00:00,3.4560000000000004,3.3560000000000003,3.596,3.4160000000000004,3.8260000000000005,3.076,2.9360000000000004
Palo Verde,10.151186896537688,,,15.442926313175692,-0.9789114574655446,,8.120350888661571,-2.214761804102368,,14.813514765187564,5.595830703878086,,10.01791072250079,-2.0556337105941918,,9.038094395580293,-1.4173355626591988,,8.513640330292235,-1.5056449788399338,,8.075424587701558,-1.5031289150577152,,Socal +.41,3.083,3.62766666666667,3.782,4.17233333333333,3.51016666666667,4.22141666666667,4.45020833333333,4.69352777777778,5.0,Socal +.41,2.725,3.172333333333334,3.6013333333333333,3.599333333333334,3.6306666666666665,4.075966666666668,4.375275,4.657655555555555,5.0,,,2004-04-01 00:00:00,3.0740000000000003,0.075,0.5,0.21,-0.22,-0.47,,2004-04-01 00:00:00,3.2490000000000006,3.1490000000000005,3.5740000000000003,3.2840000000000003,3.6940000000000004,2.854,2.604
Four Corners,11.217182656555966,,,20.682371328727903,-0.32818308107432514,,9.166107303729023,-2.760095200114611,,18.50687748806683,7.826374594432837,,11.970126813382626,-2.3706068063487837,,10.405825204222525,-1.700903219734693,,9.858323952609512,-1.7153367616762019,,9.332331158004125,-1.730145487438909,,Socal,2.673,3.21766666666667,3.372,3.76233333333333,3.10016666666667,3.81141666666667,4.04020833333333,4.28352777777778,4.0,Socal,2.315,2.7623333333333338,3.191333333333333,3.189333333333334,3.2206666666666663,3.665966666666668,3.9652750000000014,4.247655555555557,6.0,,,2004-05-01 00:00:00,3.077,0.075,0.5,0.21,-0.22,-0.47,,2004-05-01 00:00:00,3.2520000000000002,3.152,3.577,3.287,3.697,2.8569999999999998,2.607
Rockies,11.86868568963876,,,21.77565521299104,-0.40117746747899474,,9.14745727827343,-3.1873704706647636,,18.82780270622878,7.714792665639175,,12.15496823298044,-2.7811849992621784,,10.824473700577835,-1.8477756104249092,,10.223703791568413,-1.8475668030987045,,9.417227238178823,-1.861636537019704,,San Juan,2.503,2.74766666666667,3.03533333333333,3.34066666666667,2.77391666666667,3.38241666666667,3.584,3.79119444444444,6.0,San Juan,2.0949999999999998,2.2990000000000004,2.9363333333333337,2.7693333333333334,2.8552500000000003,3.2683000000000004,3.513275000000001,3.757433333333335,7.0,,,2004-06-01 00:00:00,3.117,0.075,0.5,0.21,-0.22,-0.47,,2004-06-01 00:00:00,3.2920000000000003,3.192,3.617,3.327,3.737,2.897,2.6470000000000002
,,,,,,,,,,,,,,,,,,,,,,,,,CIG - Rockies,2.343,2.38266666666667,2.82533333333333,3.12066666666667,2.506,3.14466666666667,3.35341666666667,3.63777777777778,7.0,CIG - Rockies,1.98,1.9590000000000003,2.833,2.5093333333333336,2.6544166666666666,3.0609666666666664,3.3020250000000004,3.642433333333333,8.0,,,2004-07-01 00:00:00,3.157,0.075,0.5,0.21,-0.22,-0.47,,2004-07-01 00:00:00,3.3320000000000003,3.232,3.657,3.367,3.777,2.937,2.6870000000000003
Gas Prices - Mid ($/MMBtu),,,,,,,,,,,,,,,,,,,,,,,,,NYMEX,2.813,3.08266666666667,3.29866666666667,3.539,3.09391666666667,3.57158333333333,3.76254166666667,3.96619444444445,8.0,NYMEX,2.465,2.6590000000000003,3.1713333333333336,3.0493333333333332,3.1073333333333335,3.4444666666666675,3.686358333333335,3.92948888888889,9.0,,,2004-08-01 00:00:00,3.2070000000000003,0.075,0.5,0.21,-0.22,-0.47,,2004-08-01 00:00:00,3.3820000000000006,3.2820000000000005,3.7070000000000003,3.4170000000000003,3.8270000000000004,2.987,2.737
Delivery Pt,2002-02-01 00:00:00,Change,,Q3-2002,Change,,Q1-2003,Change,,Q3-2003,Change,,2003.0,Change,,2004-2008,Change,,2004-2013,Change,,2004-2018,Change,,,,,,,,,,,,,,,,,,,,,,,,2004-09-01 00:00:00,3.192,0.075,0.5,0.21,-0.22,-0.47,,2004-09-01 00:00:00,3.3670000000000004,3.2670000000000003,3.692,3.402,3.8120000000000003,2.972,2.7220000000000004
Stanfield,2.41,,,2.6940000000000004,-0.3886666666666696,,3.3413333333333335,-0.03899999999999659,,3.2093333333333334,-0.5529999999999968,,3.2765000000000004,0.2050833333333304,,3.636216666666667,-0.17536666666666312,,3.8322333333333334,-0.11293333333333644,,4.060072222222222,-0.06120555555555818,,Last Week's Flat Power Prices,,,,,,,,,,This Week's Flat Power Prices,,,,,,,,,,,,2004-10-01 00:00:00,3.2070000000000003,0.075,0.5,0.21,-0.22,-0.47,,2004-10-01 00:00:00,3.3820000000000006,3.2820000000000005,3.7070000000000003,3.4170000000000003,3.8270000000000004,2.987,2.737
Malin,2.31,,,2.5940000000000003,-0.3886666666666696,,3.2413333333333334,-0.03899999999999659,,3.1093333333333333,-0.5529999999999968,,3.1765000000000003,0.2050833333333304,,3.5362166666666672,-0.17536666666666267,,3.7322333333333346,-0.11293333333333555,,3.960072222222224,-0.0612055555555564,,Term,,,,,,,,,,Term,,,,,,,,,,,,2004-11-01 00:00:00,3.3520000000000003,0.15,0.5,0.18,-0.14,-0.3,,2004-11-01 00:00:00,3.6020000000000003,3.5020000000000002,3.8520000000000003,3.5320000000000005,3.9420000000000006,3.212,3.0520000000000005
PG&E City Gate,2.525,,,2.814,-0.45199999999999996,,3.4480000000000004,-0.057333333333329684,,3.419333333333334,-0.6129999999999964,,3.4698333333333333,0.3059166666666635,,3.9411333333333327,-0.11728333333333696,,4.184691666666667,-0.07564166666666328,,4.428377777777778,-0.03926111111111119,,Delivery Pt,2001-12-01 00:00:00,Q3-2002,Q1-2003,Q3-2003,2003.0,2004-2008,2004-2013,2004-2018,,Delivery Pt,2002-02-01 00:00:00,Q3-2002,Q1-2003,Q3-2003,2003.0,2004-2008,2004-2013,2004-2018,,,,2004-12-01 00:00:00,3.487,0.15,0.5,0.18,-0.14,-0.3,,2004-12-01 00:00:00,3.737,3.637,3.987,3.6670000000000003,4.077,3.347,3.1870000000000003
Socal,2.315,,,2.7623333333333338,-0.45533333333333603,,3.191333333333333,-0.18066666666666675,,3.189333333333334,-0.5729999999999964,,3.2206666666666663,0.12049999999999628,,3.665966666666668,-0.14545000000000163,,3.9652750000000014,-0.07493333333332819,,4.247655555555557,-0.03587222222222319,,Mid-C,28.02,36.4,31.69,32.87,29.53,32.73,33.52,34.23,,Mid-C,18.928665989716848,28.048072477192058,23.92193241408746,30.35907222449339,24.01106473672767,24.938696436080342,25.741726247439452,26.442663851789867,1.0,,,2005-01-01 00:00:00,3.5420000000000003,0.15,0.5,0.18,-0.14,-0.3,,2005-01-01 00:00:00,3.7920000000000003,3.692,4.042,3.7220000000000004,4.132000000000001,3.402,3.2420000000000004
San Juan,2.0949999999999998,,,2.2990000000000004,-0.44866666666666966,,2.9363333333333337,-0.0989999999999962,,2.7693333333333334,-0.5713333333333366,,2.8552500000000003,0.08133333333333015,,3.2683000000000004,-0.11411666666666953,,3.513275000000001,-0.07072499999999904,,3.757433333333335,-0.03376111111110491,,COB,28.08,38.72,32.07,34.26,30.73,34.77,35.94,37.13,,COB,19.214142361839613,30.37396591211714,24.329769324102344,33.326936073932785,26.02837141088032,27.035910103948204,28.141246383891097,29.16256737107873,2.0,,,2005-02-01 00:00:00,3.4610000000000003,0.15,0.5,0.18,-0.14,-0.3,,2005-02-01 00:00:00,3.7110000000000003,3.611,3.9610000000000003,3.6410000000000005,4.051,3.321,3.1610000000000005
CIG - Rockies,1.98,,,1.9590000000000003,-0.4236666666666695,,2.833,0.007666666666670263,,2.5093333333333336,-0.6113333333333362,,2.6544166666666666,0.14841666666666686,,3.0609666666666664,-0.08370000000000344,,3.3020250000000004,-0.05139166666666961,,3.642433333333333,0.004655555555552748,,NP-15,29.91,41.03,32.53,33.1,32.64,35.32,35.81,36.17,,NP-15,26.61247519146261,35.62575649782265,27.215499989954143,38.051498181175525,29.715980660939696,30.422298614362173,30.88245095486079,31.22676583681819,3.0,,,2005-03-01 00:00:00,3.361,0.15,0.5,0.18,-0.14,-0.3,,2005-03-01 00:00:00,3.611,3.511,3.861,3.5410000000000004,3.9510000000000005,3.221,3.0610000000000004
NYMEX,2.465,,,2.6590000000000003,-0.42366666666666974,,3.1713333333333336,-0.12733333333333663,,3.0493333333333332,-0.4896666666666669,,3.1073333333333335,0.013416666666663524,,3.4444666666666675,-0.12711666666666233,,3.686358333333335,-0.07618333333333505,,3.92948888888889,-0.036705555555559766,,SP-15,26.96,41.04,31.15,31.23,32.08,35.23,35.71,36.07,,SP-15,25.369046744846163,35.33348540907509,26.477942909649546,39.136076213478546,29.798816477572824,30.50401901344844,30.966201603024366,31.3089812070807,4.0,,,2005-04-01 00:00:00,3.1790000000000003,0.06,0.5,0.22,-0.2,-0.44,,2005-04-01 00:00:00,3.3390000000000004,3.2390000000000003,3.6790000000000003,3.3990000000000005,3.8090000000000006,2.979,2.7390000000000003
,,,,,,,,,,,,,,,,,,,,,,,,,Mead,26.44,49.34,31.85,31.01,34.49,36.04,36.52,36.91,,Mead,21.89285648720605,40.863066186873326,24.01904445399544,43.05684548626928,29.476968851528103,30.197517929267775,30.66528290507643,31.02640593789417,5.0,,,2005-05-01 00:00:00,3.182,0.06,0.5,0.22,-0.2,-0.44,,2005-05-01 00:00:00,3.342,3.242,3.682,3.402,3.8120000000000003,2.9819999999999998,2.742
Power Prices - Flat Mid ($/MWh),,,,,,,,,,,,,,,,,,,,,,,,,Palo Verde,25.66,43.09,30.16,29.58,31.62,33.48,34.06,34.58,,Palo Verde,21.107142238389876,34.61120032032012,22.456081271918414,37.857567458211875,26.873825087800466,27.67016447735028,28.249328877138325,28.752091114582296,6.0,,,2005-06-01 00:00:00,3.222,0.06,0.5,0.22,-0.2,-0.44,,2005-06-01 00:00:00,3.382,3.282,3.722,3.442,3.8520000000000003,3.022,2.782
Delivery Pt,2002-02-01 00:00:00,Change,,Q3-2002,Change,,Q1-2003,Change,,Q3-2003,Change,,2003.0,Change,,2004-2008,Change,,2004-2013,Change,,2004-2018,Change,,Four Corners,25.22,46.87,31.2,30.36,33.41,34.34,34.85,35.28,,Four Corners,20.67857077008202,38.39981723543125,23.237562862956928,40.9780378561828,28.369507237049913,28.35362752382358,28.932846343624313,29.348203350116666,7.0,,,2005-07-01 00:00:00,3.262,0.06,0.5,0.22,-0.2,-0.44,,2005-07-01 00:00:00,3.422,3.322,3.762,3.482,3.8920000000000003,3.062,2.822
Mid-C,18.928665989716848,,,28.048072477192058,-8.35192752280794,,23.92193241408746,-7.76806758591254,,30.35907222449339,-2.510927775506609,,24.01106473672767,-5.518935263272333,,24.938696436080342,-7.791303563919655,,25.741726247439452,-7.778273752560551,,26.442663851789867,-7.78733614821013,,Rockies,25.66,43.09,30.16,29.58,31.62,33.48,34.06,34.58,,Rockies,21.75014231504145,34.61115191649083,22.45622204110087,37.85769210801309,26.873857494961342,27.67014818428822,28.249310090338092,28.764448926998888,8.0,,,2005-08-01 00:00:00,3.3120000000000003,0.06,0.5,0.22,-0.2,-0.44,,2005-08-01 00:00:00,3.4720000000000004,3.3720000000000003,3.8120000000000003,3.5320000000000005,3.9420000000000006,3.112,2.8720000000000003
COB,19.214142361839613,,,30.37396591211714,-8.34603408788286,,24.329769324102344,-7.7402306758976565,,33.326936073932785,-0.9330639260672129,,26.02837141088032,-4.701628589119679,,27.035910103948204,-7.734089896051799,,28.141246383891097,-7.7987536161089,,29.16256737107873,-7.967432628921273,,,,,,,,,,,,,,,,,,,,,,,,2005-09-01 00:00:00,3.297,0.06,0.5,0.22,-0.2,-0.44,,2005-09-01 00:00:00,3.4570000000000003,3.357,3.797,3.5170000000000003,3.9270000000000005,3.097,2.857
NP-15,26.61247519146261,,,35.62575649782265,-5.404243502177351,,27.215499989954143,-5.314500010045858,,38.051498181175525,4.951498181175523,,29.715980660939696,-2.9240193390603046,,30.422298614362173,-4.897701385637827,,30.88245095486079,-4.927549045139212,,31.22676583681819,-4.943234163181813,,,,,,,,,,,,,,,,,,,,,,,,2005-10-01 00:00:00,3.3120000000000003,0.06,0.5,0.22,-0.2,-0.44,,2005-10-01 00:00:00,3.4720000000000004,3.3720000000000003,3.8120000000000003,3.5320000000000005,3.9420000000000006,3.112,2.8720000000000003
SP-15,25.369046744846163,,,35.33348540907509,-5.706514590924911,,26.477942909649546,-4.672057090350453,,39.136076213478546,7.906076213478546,,29.798816477572824,-2.281183522427174,,30.50401901344844,-4.7259809865515585,,30.966201603024366,-4.7437983969756345,,31.3089812070807,-4.761018792919302,,,,,,,,,,,,,,,,,,,,,,,,2005-11-01 00:00:00,3.4570000000000003,0.15,0.5,0.22,-0.135,-0.31,,2005-11-01 00:00:00,3.7070000000000003,3.607,3.9570000000000003,3.6770000000000005,4.087000000000001,3.322,3.1470000000000002
Mead,21.89285648720605,,,40.863066186873326,-8.476933813126678,,24.01904445399544,-7.83095554600456,,43.05684548626928,12.04684548626928,,29.476968851528103,-5.0130311484718995,,30.197517929267775,-5.842482070732224,,30.66528290507643,-5.854717094923572,,31.02640593789417,-5.883594062105825,,,,,,,,,,,,,,,,,,,,,,,,2005-12-01 00:00:00,3.592,0.15,0.5,0.22,-0.135,-0.31,,2005-12-01 00:00:00,3.842,3.742,4.0920000000000005,3.8120000000000003,4.222,3.457,3.282
