WSCC Point of Delivery Long Names and Acronyms,WSCC Point of Delivery Long Names and Acronyms,WSCC Point of Delivery Long Names and Acronyms,WSCC Point of Delivery Long Names and Acronyms,WSCC Point of Delivery Long Names and Acronyms,
Idaho Power Company System,IDAHO POWER COMPANY,IPCO,IPCO,,
John Day,BPA Transmission,BPAT,JOHNDAY,JohnDay,For transactions to & from the So. Intertie only
Interface between BPAT and Idaho,BPA Transmission,BPAT,LGBP,LaGrande,
IPCO-BPAT INTERFACE (LAGRANDE),IDAHO POWER COMPANY,IPCO,LGBP,,
AVA-IPCO Interface (Lolo),Avista,AVA,LOLO,Lolo,
IPCO-AVA INTERFACE (LOLO),IDAHO POWER COMPANY,IPCO,LOLO,,
Malin PACW Connection toward Nevada,BPA Transmission,BPAT,MAL2,Malin230,
AC Intertie - Malin 500,BPA Transmission,BPAT,MAL5,Malin,Reserved as COB; E-TAG Paths: MAL5-JOHNDAY or JOHNDAY-MAL5
Malin 230,PACIFICORP,PPW,MAL5,Interface with BPA.,
Mead 230,WAPA-DSW,WALC,MED2,MEAD230,
Mead 500,WAPA-DSW,WALC,MED5,MEAD500,
Mid-Columbia,Puget Sound Energy,PSEI,MIDC,  MIDC PLAYER TO DISCUSS,
Mid-Columbia Remote Resources,BPA Transmission,BPAT,MIDC,,
WANAPUM,PACIFICORP,PPW,MIDC,Interface with Mid-C,
MIDWAY,WAPA-RMR,WACM,MIDW,MIDWAY,
Montana Power System,Montana Power,MPCO,MONT,MPCO.System,
Interface between BPAT and Montana,BPA Transmission,BPAT,MPCO,BPAT.MPCO,
North Gila 500/69 (AZPS to CISO),California ISO,CISO,NG5,NG4,North Gila 500/69KV
North Gila 500/69-INTERFACE WITH CISO,Arizona Public Service Co.,AZPS,NG5,NRTHGILA500,
Palo Verde-North Gila (SRP to CISO),California ISO,CISO,NG5,NGIL,North Gila 500KV
AVA-PACW INTERFACE (NORTH LEWISTON),PACIFICORP,PPW,NLEW,Interface with AVA at N. Lewiston,
Nevada - Oregon Border,BPA Transmission,BPAT,NOB,NOB,
Nevada Oregon Border (PNWDC),LADWP,LDWP,NOB,,
North of path 15 load zone inside CISO control area,California ISO,CISO,NP15,NONE,Network service
Navajo 500,Arizona Public Service Co.,AZPS,NV5,NAVAJO500,
Interface between BPAT and PGE,BPA Transmission,BPAT,PGE,BPAT.PGE,
PGE,PACIFICORP,PPW,PGE,Interface with PGE @ multiple,
PGE System,Portland General Electric,PGE,PGES,,
Pinnacle Peak 230,Salt River Project,SRP,PP2,,
Pinnacle Peak 230,WAPA-DSW,WALC,PP2,PINNACLE.PK,
Pinnacle Peak 345,Arizona Public Service Co.,AZPS,PP3,PNPKAPS345,
Pinnacle Peak 345,WAPA-DSW,WALC,PP3,PINNACLE.PK345,
Power Pool of Alberta,Power Pool of Alberta,PPOA,PPOA,PPOA,
Interface between BPAT and PSEI,BPA Transmission,BPAT,PSEI,BPAT.PSEI,
Puget Sound Energy System,Puget Sound Energy,PSEI,PSEI,  PSEI.SYSTEM,
Palo Verde 500,Salt River Project,SRP,PV5,PALOVERDE500,
INTERFACES,Seattle City Light,SCL,SCL,,
Shiprock 115,WAPA-DSW,WALC,SHR1,SHIPROCK115,
Shiprock 230,WAPA-DSW,WALC,SHR2,SHIPROCK230,
Shiprock 345,WAPA-DSW,WALC,SHR3,SHIPROCK345,
San Juan 345,Public Service Company of NM,PSNM,SJN,SJ345,
Snohomish Co. PUD,BPA Transmission,BPAT,SNOH,SNOH,
South of path 15 load zone inside CISO control area,California ISO,CISO,SP15,NONE,Network service
Summit,Sierra Pacific Power Company,SPPC,SUM,SUMMIT,
Lugo-Victorville (LDWP-CISO),California ISO,CISO,VVL,LUGO,Lugo 500KV
Victorville/Lugo midpnt,LADWP,LDWP,VVL,,
Westwing 230,Arizona Public Service Co.,AZPS,WW2,WESTWING230,
Westwing 500,Arizona Public Service Co.,AZPS,WW5,WESTWING500,
Yellowtail,Montana Power,MPCO,YT,Yellowtail,
YELLOWTAIL,PACIFICORP,PPW,YTP,Interface with WACM,
YELLOWTAIL,WAPA-RMR,WACM,YTP,YELLOWTAILP,
YELLOWTAIL,WAPA-RMR,WACM,YTW,YELLOWTAILW,
Midway-Vincent load zone inside CISO control area,California ISO,CISO,ZP26,NONE,Midway-Vincent 500KV
