FRONTERAGENLP,Physical,6329.79,,,,-1119583.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1113253.99
FT-ONTARIO,Financial,572201.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572201.92
GE,Financial,-108.5,-54.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-162.75
GENSYSENE,Physical,313870.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313870.32
GPUSERJER,Physical,-3982.09,79845.25,,,3013820.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3089683.94
GPUSERMET,Physical,188318.22,90858.39,,,8128155.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8407331.87
GPUSERPENN,Physical,,,,,7544758.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7544758.36
GREATBAYPOW,Physical,-230108.24,-108518.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-338626.36
HQENESER1,Financial,-101711.34,-326025.28,,,-4803453,2943902.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2287287.41
HQENESER1,Physical,4839239.64,-256133.28,,,1270451.33,3961732.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9815290.11
INDECKPEPPOW,Physical,74952.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74952.21
INDIANAPPOWLIG,Physical,,12867,,,1852379.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865246.38
JACKSONVILLELEA,Physical,-57262.67,69564,,,-4117013.28,1140742.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2963969.2199999997
LGEENEMAR,Physical,636804,23394.94,,,8021649.39,,,,1883053.46,,,,1669045,,,,790379.53,,,,,,,,,,,,,,,,,,,,,,,,13024326.319999998
MICHIGANSOUCEN,Physical,65261.53,46778.67,-43103.73,-41530.13,-37704.78,796986.49,-653225.43,-175547.3,-55506.88,743324,-632495.61,-155990.75,25895.19,743709.29,-599872.86,-147842.43,127505.89,740609.61,-562128.77,-138581.78,221670.76,730921.72,-527059,-129924.41,220694.63,716607.63,-493886.79,-121752.26,305683.67,703461.44,-463317,-114156.71,,,,,,,,,1095483.8999999997
MIDAMERIENECO,Physical,89937.88,,,,-1238573.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1148635.7000000002
MIECO,Physical,-2312225.35,,,,-4572690.5,,,,1880159.52,,,,1745087,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3259669.33
MINNESOTPOW,Physical,,,,,849744.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849744.69
MISSOURIJOIMUN,Physical,64897.71,6748.34,,,-899172.25,32527.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-794998.6799999999
MORGAN,Financial,-755867.56,,,,-3288227.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4044095
NEWENGPOW,Financial,-1192.25,1192.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NEWENGPOW,Physical,,,,,,-636134.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-636134.14
NEWYORIND,Financial,-54577.12,54577.12,,,1186187.56,-1186187.56,,,-566007.13,566007.13,,,375878.1,-375878.1,,,-581809.35,581809.35,,,,,,,,,,,,,,,,,,,,,,,0
NIAGARAMOHENE,Financial,-41926.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41926.09
NIAGARAMOHENE,Physical,169232.1,-67379.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101852.44
NORTHEASTUTISER,Physical,-130687.14,,,,-374127.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-504814.46
NORTHERNSTAPOWC,Physical,,,,,-110886.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110886.09
NSTARELE,Physical,1083024.33,463660.86,,,6192562.46,2879557.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10618805.23
OGEENERES,Physical,50875.91,,,,120823.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171699.11
OGLETHORPOW,Physical,,,,,174498.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174498.86
OLDDOMINELE,Physical,388235.86,177586.85,,,2128881.25,2630444.94,,,1122331.58,2551766.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8999247.34
PGEENEPOWLP,Financial,-974081.23,-177247.55,,,5018481.77,-3947927.4,,,-11860369.93,-1411347.64,,,-2136815.34,-1207676.56,,,-2298424,-1044861.87,,,-1742136,-975552.38,,,,,,,,,,,,,,,,,,,-22757958.130000003
PHYOIL-PRICE,Financial,4822.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4822.58
PSEGENERES,Financial,-2203914.4,-103317.87,,,-898277.38,-177584.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3383094.26
RESID-FIN-1%,Financial,,,,,-414972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-414972
RG&E,Financial,-20364.1,,,,2674034,211358.76,,,511925.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376953.8200000003
SELECTENE,Financial,-116324.63,,,,797147.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680822.62
SELECTENE,Physical,2557209.43,281547.29,,,2623704.6,4890400.24,,,-1078588,1100029.28,,,1610375.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,11984678.31
SITHEPOWMARLP,Physical,-665893.51,,,,-4027768.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4693661.72
SOUTHERNCOMSER,Physical,264112.29,,,,-2324195.71,,,,-1298377.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3358460.92
SOUTHERNINDGASE,Physical,-394116.8,33021.12,,,-91952.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-453048.22
SPLITROCENE,Physical,194005.43,,,,169102.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363107.8
STHRNILPWR,Physical,,,,,155672.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155672.56
TAUNTONMUNLIG,Physical,,,,,352657.22,1008698.9,,,306415.51,818266.46,,,202049.44,588902.91,,,216702.69,624814.6,,,85832.75,571885,,,88465.22,496458.43,,,,,,,,,,,,,,,5361149.13
TRANSALTENEMAR,Financial,,,,,140707.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140707.37
TXUELECO,Physical,1032481.71,,,,3107870.29,-5109552.39,,,889844.48,-774577.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-853933.0999999996
TXUENETRA,Financial,74680.13,,,,162756.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237436.87
TXUENETRA,Physical,-358549,84593.67,,,2173156.34,-976727.23,,,-1161109.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-238635.67000000016
UNITEDILLUMCO,Financial,-168564.83,-313064.13,-11403.9,47276.66,3981714.71,,18470.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3554429.07
UNITEDILLUMCO,Physical,1928670.72,1226138.31,37103.78,-137840.84,-2178928.17,39699518.37,-151425.55,-61158.94,2323434,36007239.38,,,-11709034.94,12572975.88,,,-10579333,10928016.36,,,-10270067.18,10069326.81,,,-10404263.72,9214599.39,,,-9979492.68,8810374.91,,,-1790.08,16073.49,,,-1837.81,18268.08,,,77376566.57000001
VERMONTPUBLIC,Physical,-28470.14,5807.4,,,-693950.83,-83883.6,,,-608699,-107696.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1516892.28
VIRGINIAELEPOW,Financial,,,,,,15607770.7,,,,15013336.59,,,,14200995.43,,,,13348151.25,,,,12516111.66,,,,76268.6,,,,,,,,,,,,,,,70762634.22999999
VIRGINIAELEPOW,Physical,4641978.3,86728.46,,,28333239.72,-5332784.34,,,4849302.44,-1214131.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31364332.959999997
WABASHVALPOWASS,Physical,-234421.35,,,,1601305.67,2198713.48,,,1488474.69,1944804.84,,,2544632.05,3978828.16,,,1143586,1825226.32,,,,,,,,,,,,,,,,,,,,,,,16491149.86
WISCONSINELEPOW,Physical,,,,,1432064.62,,,,1603466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3035530.62
