,,n,Statdat,,2002-04-08 00:00:00,,,,,,,,,,,2002-04-08 00:00:00,,,,,,2002-04-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,Mon0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,Mon0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,Errdev,,2002-04-08 00:00:00,,,,,,,,,,,2002-04-08 00:00:00,,,,,,2002-04-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,ZMET Mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,Open1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n,Open2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,y,Minana,,2002-04-10 00:00:00,,,,2002-04-10 00:00:00,,,,,,,2002-04-10 00:00:00,,,,,,2002-04-10 00:00:00,,,,,,,2002-04-10 00:00:00,,,,,,,2002-04-10 00:00:00,,,,,,,,,,,,,,,,,
,,y,Statdat,,2002-04-10 00:00:00,,,,2002-04-10 00:00:00,,,,,,,2002-04-10 00:00:00,,,,,,2002-04-10 00:00:00,,,,,,,2002-04-10 00:00:00,,,,,,,2002-04-10 00:00:00,,,,,,,,,,,,,,,,,
,2002-04-10 00:00:00,y,Mon0203,,,,,,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,y,Mon0204,1,2002-04-10 00:00:00,,,1,2002-04-10 00:00:00,,,,,,1,2002-04-10 00:00:00,,,,,1,2002-04-10 00:00:00,,,,,,1,2002-04-10 00:00:00,,,,,,1,2002-04-10 00:00:00,,,,,,,,,,,,,,,,,
,,y,Errdev,,2002-04-10 00:00:00,,,,2002-04-10 00:00:00,,,,,,,2002-04-10 00:00:00,,,,,,2002-04-10 00:00:00,,,,,,,2002-04-10 00:00:00,,,,,,,2002-04-10 00:00:00,,,,,,,,,,,,,,,,,
,,y,ZMET Mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,y,Open1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,y,Open2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
