,,,,,,,,
,,,,,,,,
,OLD CAS,,,Operational,,New CAS Name's,To Test,"Wish list
EBB"
10.0,LIPSCOMB SOUTH SYSTEM,R,5000003.0,Lipscomb/Mocane Lateral                 ,R,,,
,,,,,,,,
11.0,IVANHOE NORTH SYSTEM,D,,,,IVANHOE NORTH SYSTEM,,
11.0,IVANHOE SOUTH SYSTEM,R,,,,,,
,,,,,,,,
12.0,LEEDY EAST SYSTEM,D,,,,LEEDY SYSTEM,,
12.0,LEEDY WEST SYSTEM,R,,,,,,
,,,,,,,,
13.0,WEST TEXAS LAT. EAST SYSTEM,D,5000004.0,West Texas Lateral                      ,D,WEST TEXAS LATERAL           ,,X
13.0,WEST TEXAS LAT. WEST SYSTEM,R,5000004.0,West Texas Lateral                      ,R,,,
,,,,,,,,
14.0,ATOKA #2 WEST SYSTEM,D,5000005.0,Atoka #2 System                         ,D,ATOKA 2 SYSTEM                        ,x,X
14.0,ATOKA #2 EAST SYSTEM,R,5000005.0,Atoka #2 System                         ,R,,,
,,,,,,,,
15.0,ATOKA #1 WEST SYSTEM,D,5000006.0,Atoka #1 System                         ,D,ATOKA 1 SYSTEM                        ,x,
15.0,ATOKA #1 EAST SYSTEM,R,5000006.0,Atoka #1 System                         ,R,,,
,,,,,,,,
16.0,ATOKA #3 WEST SYSTEM,D,5000007.0,Atoka #3 System                         ,D,ATOKA 3 SYSTEM                         ,x,
16.0,ATOKA #3 EAST SYSTEM,R,5000007.0,Atoka #3 System                         ,R,,,
,,,,,,,,
17.0,COMP. STA. 9 EAST THRU WT-1 C/S,D,5000008.0,WT-1 System                             ,D,WT-1 SYSTEM,,
17.0,WEST TEXAS LAT. WEST TO COMP. STA. 9,R,5000008.0,WT-1 System                             ,R,,,
,,,,,,,,
18.0,MONUMENT LAT. EAST SYSTEM,D,5000009.0,Monument Lateral                        ,D,MONUMENT LATERAL,,
18.0,MONUMENT LAT. WEST SYSTEM,R,5000009.0,Monument Lateral                        ,R,,,
,,,,,,,,
19.0,KEYSTONE LAT. EAST SYSTEM,D,5000011.0,Keystone Lateral                        ,D,KEYSTONE LATERAL,,
19.0,KEYSTONE LAT. WEST SYSTEM,R,5000011.0,Keystone Lateral                        ,R,,,
,,,,,,,,
20.0,WT-1 C/S EAST THRU WT-2 C/S,D,5000010.0,WT-2 System                             ,D,WT-2 SYSTEM,,
20.0,WEST FLOW THRU WT-2 C/S,R,5000010.0,WT-2 System                             ,R,,,
,,,,,,,,
21.0,OASIS LAT. WEST SYSTEM,D,5000012.0,Oasis Lateral                           ,D,OASIS LATERAL,,
21.0,OASIS LAT. EAST SYSTEM,R,5000012.0,Oasis Lateral                           ,R,,,
,,,,,,,,
22.0,PYOTE SOUTH SYSTEM,D,5000013.0,Pyote Lateral                           ,D,PYOTE LATERAL,,
22.0,PYOTE NORTH SYSTEM,R,5000013.0,Pyote Lateral                           ,R,,,
,,,,,,,,
23.0,THOREAU PT. WEST TO COMP. STA. 4,D,,,,THOREAU/SJ WEST SYSTEM,,X
23.0,COMP. STA. 4 EAST TO THOREAU PT.,R,,,,,,
,,,,,,,,
24.0,ML THOREAU WEST DEL.,D,5000015.0,Thoreau Flow West                       ,D,M/L THOREAU WEST SYSTEM                     ,x,X
24.0,EAST FLOW THRU COMP. STA. 4,R,5000015.0,Thoreau Flow West                       ,R,,,
,,,,,,,,
25.0,THOREAU WEST TO SOCAL NEEDLES,D,,,,,,
25.0,EAST FLOW FROM SOCAL NEEDLES AREA,R,,,,,,
,,,,,,,,
26.0,SJ LAT. NORTH FROM THOREAU PT.,D,5000017.0,San Juan Lateral                        ,D,SAN JUAN LATERAL ,,X
26.0,SAN JUAN LAT. SOUTH TO THOREAU PT.,R,5000017.0,San Juan Lateral                        ,R,,,
,,,,,,,,
27.0,SJ LAT NORTH THRU BLOOMFIELD C/S,D,,,,BLOOMFIELD,,
27.0,SJ LAT SOUTH THRU BLOOMFIELD C/S,R,,,,,,
,,,,,,,,
28.0,BLOOMFIELD NORTH TO LA PLATA,D,5000021.0,I/B Link                                ,D,I/B LINK                                ,,
28.0,SJ LAT SOUTH OF LA PLATA TO BLANCO (I/B),R,5000021.0,I/B Link                                ,R,,,
,,,,,,,,
29.0,"NORTH FLOW THRU LA PLATA ""A"" C/S",D,5000018.0,La Plata System                         ,D,LA PLATA/IGNACIO,,X
29.0,"SJ LAT SOUTH THRU LA PLATA ""A"" COMP. STA",R,5000018.0,La Plata System                         ,R,,,
,,,,,,,,
30.0,SOUTH THRU LONE STAR/VALERO C/S,D,5000014.0,Pecos Lateral                           ,D,PECOS LATERAL                 ,,
,,,5000014.0,Pecos Lateral                           ,R,,,
,,,,,,,,
31.0,THOREAU WEST ON TOPOCK LAT.,D,5000016.0,Topock Lateral                          ,D,TOPOCK LATERAL,,
,,,5000016.0,Topock Lateral                          ,R,,,
,,,,,,,,
32.0,PNR Points,D,5000023.0,PNR Points                              ,D,PNR Points                              ,,
,PNR Points,R,5000023.0,PNR Points                              ,R,,,
,,,,,,,,
33.0,Crawford Lateral                        ,R,5000022.0,Crawford Lateral                        ,D,CRAWFORD LATERAL     ,,
,,,5000022.0,Crawford Lateral                        ,R,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"Not created, to date in CAS = RED",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Current EEB Groups below,,,,,,,
