Commodity:,NG
2016-11-01 00:00:00,5.235
2016-12-01 00:00:00,5.355
2017-01-01 00:00:00,5.44
2017-02-01 00:00:00,5.32
2017-03-01 00:00:00,5.18
2017-04-01 00:00:00,5.045
2017-05-01 00:00:00,5.08
2017-06-01 00:00:00,5.103
2017-07-01 00:00:00,5.148
2017-08-01 00:00:00,5.188
2017-09-01 00:00:00,5.202
2017-10-01 00:00:00,5.225
2017-11-01 00:00:00,5.335
2017-12-01 00:00:00,5.455
2018-01-01 00:00:00,5.54
2018-02-01 00:00:00,5.42
2018-03-01 00:00:00,5.28
2018-04-01 00:00:00,5.145
2018-05-01 00:00:00,5.18
2018-06-01 00:00:00,5.203
2018-07-01 00:00:00,5.248
2018-08-01 00:00:00,5.288
2018-09-01 00:00:00,5.302
2018-10-01 00:00:00,5.325
2018-11-01 00:00:00,5.435
2018-12-01 00:00:00,5.555
2019-01-01 00:00:00,5.64
2019-02-01 00:00:00,5.52
2019-03-01 00:00:00,5.38
2019-04-01 00:00:00,5.245
2019-05-01 00:00:00,5.28
2019-06-01 00:00:00,5.303
2019-07-01 00:00:00,5.348
2019-08-01 00:00:00,5.388
2019-09-01 00:00:00,5.402
2019-10-01 00:00:00,5.425
2019-11-01 00:00:00,5.535
2019-12-01 00:00:00,5.655
2020-01-01 00:00:00,5.74
2020-02-01 00:00:00,5.62
2020-03-01 00:00:00,5.48
2020-04-01 00:00:00,5.345
2020-05-01 00:00:00,5.38
2020-06-01 00:00:00,5.403
2020-07-01 00:00:00,5.448
2020-08-01 00:00:00,5.488
2020-09-01 00:00:00,5.502
2020-10-01 00:00:00,5.525
2020-11-01 00:00:00,5.635
2020-12-01 00:00:00,5.755
2021-01-01 00:00:00,5.84
2021-02-01 00:00:00,5.72
2021-03-01 00:00:00,5.58
2021-04-01 00:00:00,5.445
2021-05-01 00:00:00,5.48
2021-06-01 00:00:00,5.503
2021-07-01 00:00:00,5.548
2021-08-01 00:00:00,5.588
2021-09-01 00:00:00,5.602
2021-10-01 00:00:00,5.625
2021-11-01 00:00:00,5.735
2021-12-01 00:00:00,5.855
2022-01-01 00:00:00,5.94
2022-02-01 00:00:00,5.82
2022-03-01 00:00:00,5.68
2022-04-01 00:00:00,5.545
2022-05-01 00:00:00,5.58
2022-06-01 00:00:00,5.603
2022-07-01 00:00:00,5.648
2022-08-01 00:00:00,5.688
2022-09-01 00:00:00,5.702
2022-10-01 00:00:00,5.725
2022-11-01 00:00:00,5.835
2022-12-01 00:00:00,5.955
2023-01-01 00:00:00,6.04
2023-02-01 00:00:00,5.92
2023-03-01 00:00:00,5.78
2023-04-01 00:00:00,5.645
2023-05-01 00:00:00,5.68
2023-06-01 00:00:00,5.703
2023-07-01 00:00:00,5.748
2023-08-01 00:00:00,5.788
2023-09-01 00:00:00,5.802
2023-10-01 00:00:00,5.825
2023-11-01 00:00:00,5.935
2023-12-01 00:00:00,6.055
2024-01-01 00:00:00,6.14
2024-02-01 00:00:00,6.02
2024-03-01 00:00:00,5.88
2024-04-01 00:00:00,5.745
2024-05-01 00:00:00,5.78
2024-06-01 00:00:00,5.803
2024-07-01 00:00:00,5.848
2024-08-01 00:00:00,5.888
2024-09-01 00:00:00,5.902
2024-10-01 00:00:00,5.925
2024-11-01 00:00:00,6.035
2024-12-01 00:00:00,6.155
