,PEAK LOADS MWavg,,,,,,,,OFF PEAK LOADS MWavg,,,,,
2000-02-02,11421.1848144531,31152.7282714843,6569.9345703125,29027.75,3616.0875,81787.68515624989,,,9401.88830566406,25361.2465820312,4844.27770996093,21153.375,2489.4,63250.18759765619
2000-02-03,11163.4616699218,30294.7856445312,6598.15692138671,28984.3125,3545.50625,80586.22298583972,,,9216.24694824218,24916.3701171875,4887.77484130859,21226.75,2469.5,62716.64190673827
2000-02-04,11210.3053588867,30332.4403076171,6634.75,27968.4375,3459.075,79605.0081665038,,,9238.37866210937,25021.4516601562,5002.51782226562,21170.875,2456.3125,62889.535644531185
2000-02-05,10408.9556884765,28467.4947509765,5684.87243652343,24914.875,2950.1125,72426.31037597643,,,8999.35144042968,24059.8427734375,4718.56811523437,20254,2386.475,60418.23732910155
2000-02-06,,,,,,,,,9664.15686035156,26548.5715332031,5070.78232828776,22376.2083333333,2584.4375,66244.15655517572
2000-02-07,11279.8972167968,30637.0450439453,6600.64837646484,28601.75,3502.89375,80622.23438720695,,,8983.69812011718,24652.841796875,4730.17199707031,20641.5,2392.475,61400.68691406249
2000-02-08,11615.0341186523,31358.3460693359,6591.97241210937,28663.9375,3570.54375,81799.83385009757,,,9408.44287109375,25509.4440917968,4833.61254882812,21266.5,2465.8375,63483.83701171867
2000-02-09,11470.0447998046,31563.7595214843,6599.14282226562,28753.25,3517.68125,81903.8783935545,,,9442.10974121093,25695.8649902343,4865.81414794921,21154.5,2468.7625,63627.051379394434
2000-02-10,11405.9564819335,32533.388305664,6663.79330444335,29476.5625,3507.10625,83586.80684204084,,,9416.44421386718,26757.5400390625,4936.39678955078,22005.25,2472.125,65587.75604248047
2000-02-11,11391.7786865234,32021.6529541015,6721.84521484375,29055.9375,3445.525,82636.73935546864,,,9387.93005371093,26414.8957519531,5068.18664550781,22241.5,2467.975,65580.48745117185
2000-02-12,10601.2669677734,30892.125,5790.81237792968,26031.9375,2928.225,76244.36684570309,,,9165.61950683593,26109.0646972656,4806.50067138671,21562.5,2387.075,64030.75987548824
2000-02-13,,,,,,,,,10079.9364013671,28697.1109212239,5297.29783121744,23658.375,2579.666666,70312.38681980844
2000-02-14,11476.5310668945,31766.8604736328,6571.21850585937,28562.3125,3499.375,81876.29754638666,,,9140.30407714843,25561.9755859375,4709.08190917968,20941.875,2392.75,62745.98657226561
2000-02-15,11489.3233032226,32211.0062255859,6621.22116088867,28946.125,3524.725,82792.40068969718,,,9306.6142578125,26203.0678710937,4855.05944824218,21686.125,2458.25,64509.11657714838
2000-02-16,11550.9548339843,32824.0372314453,6686.76776123046,29443.375,3510.70625,84015.84107666007,,,9508.71472167968,26721.8491210937,4930.42358398437,22010.875,2483.05,65654.91242675774
2000-02-17,11714.1477050781,33267.3016357421,6744.01568603515,28810.5625,3502.26875,84038.29627685536,,,9670.87817382812,27361.1577148437,4995.82385253906,22124.625,2491.7875,66644.27224121089
2000-02-18,11747.8225708007,33138.4086914062,6794.42489624023,28466.75,3465.775,83613.18115844711,,,9681.34497070312,27336.1154785156,5122.91064453125,22217.625,2455.6,66813.59609374998
2000-02-19,10676.5930175781,30717.8995361328,5946.19073486328,25085.8125,2996.85625,75423.35203857419,,,9230.74462890625,25961.8146972656,4935.46807861328,20961.625,2401.575,63491.227404785124
2000-02-20,,,,,,,,,10223.3493245442,27664.4039713541,5250.66255696614,23061.8333333333,2579.233333,68779.48251919773
2000-02-21,11583.9149169921,31275.3262939453,6571.21850585937,27244.5,3482.30625,80157.26596679675,,,9225.82800292968,25166.4509277343,4709.08190917968,20709.75,2421.7625,62232.87333984365
2000-02-22,11822.7085571289,31729.2095947265,6628.53286743164,29375.5625,3510.11875,83066.13226928705,,,9576.66369628906,25811.1352539062,4860.42077636718,21550.625,2475.8125,64274.65722656244
2000-02-23,11806.4757080078,32158.5581054687,6642.95565795898,29379.25,3510.875,83498.11447143547,,,9719.05859375,26180.0864257812,4898.11907958984,22017.875,2490.0625,65305.201599121036
2000-02-24,11945.6027832031,33049.9464111328,6663.79330444335,29116.875,3504.85625,84281.07374877924,,,9861.96118164062,27182.3901367187,4936.39678955078,22154,2504.4375,66639.1856079101
2000-02-25,12159.9379882812,33033.3392333984,6634.75,28505.125,3444.825,83777.9772216796,,,10020.9677734375,27249.4431152343,5002.51782226562,21763.625,2470.7875,66507.34121093742
2000-02-26,11202.7044677734,30278.0358886718,5840.25076293945,25378.3125,2916.85,75616.15361938466,,,9685.60900878906,25590.0554199218,4847.53558349609,20928.25,2400.7,63452.15001220694
2000-02-27,,,,,,,,,9980.9375813802,27419.6151529947,5237.337890625,23188.3333333333,2579.7375,68405.9614583332
2000-02-28,11686.8318481445,31482.0876464843,6593.29074096679,28808.3125,3482.30625,82052.82898559558,,,9307.794921875,25332.8259277343,4724.89935302734,21281.125,2421.7625,63068.40770263664
2000-02-29,12129.4448852539,32135.4191894531,6679.71771240234,29062.6875,3510.04375,83517.31303710934,,,9825.12719726562,26141.5793457031,4897.95245361328,21983.75,2479.1625,65327.571496582
2000-03-01,10905.0204467773,31420.3826904296,6361.564453125,28645.125,3464.7,80796.7925903319,,,8591.7573852539,25685.1206054687,4735.98083496093,21916.625,2419.7,63349.183825683525
2000-03-02,10998.2362670898,30718.0007324218,6445.33892822265,29062.1875,3478.75,80702.51342773426,,,8656.2974243164,25256.3811035156,4790.26037597656,21921.125,2421.3875,63045.45140380856
2000-03-03,10768.9372558593,30640.2427978515,6302.17169189453,28538,3413.4625,79662.81424560532,,,8640.0474243164,25447.4099121093,4743.3447265625,21986.25,2410.275,63227.3270629882
2000-03-04,10036.2431640625,29286.5646972656,5496.38275146484,25473.875,2852.86875,73145.93436279293,,,8453.26239013671,25026.6374511718,4528.2587890625,20904.5,2343.075,61255.733630371
2000-03-05,,,,,,,,,9670.37622070312,27440.1222330729,4999.72159830729,24073.875,2528.758333,68712.85338508332
2000-03-06,11520.3142089843,32127.2738037109,6347.76699829101,29165.9375,3372.98125,82534.27376098621,,,9002.37316894531,25685.330078125,4615.83654785156,21656.625,2373.1625,63333.32729492187
2000-03-07,11412.890625,31276.5482177734,6279.91442871093,29455.8125,3417.3875,81842.55327148433,,,9041.87243652343,25499.6789550781,4669.01733398437,21752.75,2425.075,63388.3937255859
2000-03-08,11191.0724487304,30893.1428222656,6299.33404541015,29638.625,3451.15,81473.32431640614,,,8817.1298828125,25254.1193847656,4689.65228271484,22078.5,2421.1125,63260.51405029294
2000-03-09,11064.3316040039,30831.7250976562,6401.80688476562,28659.4375,3430.24375,80387.54483642572,,,8708.31866455078,25349.8852539062,4757.90686035156,21718.875,2425.425,62960.410778808546
2000-03-10,11019.5073852539,30771.8284912109,6299.87551879882,27973.875,3405.94375,79471.03014526362,,,8841.08288574218,25556.6948242187,4741.61651611328,21717.375,2410.2625,63267.03172607416
2000-03-11,10207.5338745117,29259.544555664,5582.0086364746,24499.4375,3013.80625,72562.3308166503,,,8597.53588867187,25003.5471191406,4598.80285644531,20271.375,2366.05,60837.310864257786
2000-03-12,,,,,,,,,9505.90753173828,27475.2220052083,5081.82218424479,22323.1666666666,2598.733333,66984.85172085797
2000-03-13,11262.2784423828,30210.2456054687,6337.74291992187,28341.1875,3483.75,79635.20446777336,,,8800.73486328125,24152.6911621093,4608.5474243164,20439.25,2349.975,60351.19844970695
2000-03-14,11076.2908325195,30510.9790039062,6276.90042114257,28510.1875,3478.91875,79853.27650756827,,,8775.20092773437,24875.5122070312,4666.77642822265,20833.375,2412.175,61563.03956298822
2000-03-15,11070.0056762695,31031.1813964843,6292.00338745117,28658.0625,3512.76875,80564.02171020496,,,8721.7446899414,25366.9614257812,4684.1948852539,20945.625,2422.2375,62140.7635009765
2000-03-16,11093.741027832,30208.692993164,6501.75137329101,28749.1875,3513.28125,80066.65414428701,,,8731.46557617187,24837.6274414062,4832.18682861328,21168.5,2425.3375,61995.11734619135
2000-03-17,11020.3782958984,30461.2545166015,6302.04876708984,28536.3125,3474.98125,79794.97532958974,,,8841.78161621093,25298.7561035156,4743.25219726562,21397.25,2418.225,62699.26491699215
2000-03-18,10313.2150878906,28632.7257080078,5576.16464233398,25223.75,2980.01875,72725.87418823238,,,8686.54833984375,24467.9038085937,4593.98803710937,20509.625,2355.8125,60613.87768554682
2000-03-19,,,,,,,,,9595.10888671875,26616.4122721354,4946.72408040364,22508.6666666666,2606.525,66273.43690592439
2000-03-20,11028.7446289062,31094.6315917968,6271.84494018554,28601.0625,3565.2125,80561.49616088854,,,8618.24359130859,24859.74609375,4560.62908935546,20302.375,2369.2875,60710.281274414054
2000-03-21,11206.4198608398,29961.1298828125,6336.65255737304,28718.75,3605.225,79828.17730102534,,,8878.29602050781,24427.2219238281,4711.20111083984,21521.875,2438.05,61976.644055175755
2000-03-22,10991.8107299804,29693.1201171875,6266.74661254882,28965.5625,3531.30625,79448.5462097167,,,8660.13714599609,24273.140625,4665.39202880859,21293.375,2425.3375,61317.38229980469
2000-03-23,10804.4358520507,29816.7908935546,6202.65460205078,28686.75,3532.4,79043.03134765607,,,8503.76428222656,24515.4047851562,4609.89422607421,21110.75,2429.0625,61168.87579345697
2000-03-24,10794.4484252929,29679.6628417968,6080.81045532226,28455.8125,3421.33125,78432.06547241197,,,8660.51531982421,24649.6262207031,4576.73669433593,21404.125,2410.575,61701.578234863235
2000-03-25,10169.1624145507,27174.2885742187,5342.33416748046,25036.0625,2895.3625,70617.21015624986,,,8565.21649169921,23221.6059570312,4401.34417724609,20622.875,2340.5,59151.541625976504
2000-03-26,,,,,,,,,9502.47503662109,25231.2200520833,4811.52439371744,22818.8333333333,2542.154166,64906.20698175513
2000-03-27,11174.7517700195,29088.4194335937,6106.72784423828,28897.125,3492.86875,78759.89279785147,,,8732.33892822265,23255.8061523437,4440.56274414062,20801.625,2351.3875,59581.72032470696
2000-03-28,10920.6580810546,29473.2561035156,6136.37069702148,28734.8125,3503.41875,78768.51613159168,,,8651.90106201171,24029.4597167968,4562.29479980468,21441.625,2413.875,61099.15557861319
2000-03-29,10907.1115112304,29820.8409423828,6102.56088256835,28775.9375,3503.99375,79110.44458618155,,,8593.40515136718,24377.5480957031,4543.16101074218,21314,2421.075,61249.18925781246
2000-03-30,11030.8546142578,29119.4877929687,6244.31085205078,29108.625,3486.925,78990.20325927729,,,8681.97009277343,23942.0815429687,4640.85375976562,21322.75,2421.9625,61009.61789550775
2000-03-31,10902.1978149414,28254.5012207031,6167.87939453125,29169.5,3630.9,78124.97843017575,,,8746.9638671875,23465.9978027343,4642.26934814453,21623.25,2468.975,60947.456018066325
2000-04-01,10128.9778442382,25788.4031982421,5433.19412231445,25659.25,3192.7625,70202.58766479474,,,8248.79803466796,22060.5139160156,4443.13677978515,20570,2685.7875,58008.236230468705
2000-04-02,,,,,,,,,9055.51369222005,23831.1122233072,4796.26629638671,22654.3478260869,2690.547826,63027.787864000864
2000-04-03,11084.5128173828,27765.2371826171,6280.96466064453,29788.25,3518.95,78437.91466064443,,,8314.65472412109,22264.0576171875,4542.25103759765,20565,2421.5375,58107.50087890624
2000-04-04,11455.3178710937,28556.1673583984,6149.54541015625,29368.0625,3489.6375,79018.73063964835,,,8682.47937011718,23164.0451660156,4535.52642822265,21369.375,2468.0375,60219.46346435543
2000-04-05,11562.9680175781,29972.7175292968,6092.3728942871,29232.5,3526.19375,80386.752191162,,,8808.10632324218,24474.2014160156,4513.6162109375,21380.5,2491.625,61668.04895019528
2000-04-06,11422.1001586914,29273.7961425781,6160.9627380371,28819.5625,3498.3,79174.72153930661,,,8734.50842285156,23855.7746582031,4524.02935791015,21648.375,2487.4375,61250.12493896481
2000-04-07,11248.562133789,28598.7052001953,6024.76165771484,28789.375,3402.9875,78064.39149169915,,,8733.12109375,23645.5927734375,4507.44744873046,21796.625,2466.375,61149.16131591796
2000-04-08,10557.4953613281,26132.6264648437,5395.89126586914,25773.6875,2922,70781.70059204094,,,8597.77270507812,22354.9775390625,4412.63134765625,21087.375,2396.5875,58849.34409179687
2000-04-09,,,,,,,,,9580.3574625651,24288.5662434895,4652.57460530598,23125.5416666666,2553.475,64200.514978027175
2000-04-10,11321.9053955078,28025.0416259765,6080.01867675781,29162.75,3463.9375,78053.65319824211,,,8492.72650146484,22472.3857421875,4396.93157958984,21382.625,2397.75,59142.41882324218
2000-04-11,11420.3624877929,27382.2673339843,6200.87869262695,30352.9375,3526.03125,78882.47726440415,,,8655.98504638671,22211.8071289062,4573.38671875,21761.25,2483.5875,59686.01639404291
2000-04-12,11683.1878662109,27079.985961914,6174.80563354492,30745.4375,3582.96875,79266.38571166982,,,8899.68420410156,22112.1435546875,4574.68762207031,22315.375,2517.25,60419.140380859375
2000-04-13,11808.409790039,27670.94140625,6071.51602172851,29442.5625,3498.3,78491.72971801752,,,9029.92053222656,22549.578125,4458.34808349609,21939.375,2487.4375,60464.659240722656
2000-04-14,11390.6067504882,28123.119140625,5894.80709838867,28354.125,3438.775,77201.43298950186,,,8843.40148925781,23252.375,4410.2215270996,21868.125,2481.3,60855.42301635742
2000-04-15,10279.9594726562,26445.7780761718,5433.75662231445,25112.3125,2958.975,70230.78167114247,,,8371.75408935546,22622.861328125,4443.59692382812,20745.75,2412.7625,58596.724841308576
2000-04-16,,,,,,,,,9504.56345621744,24526.7301432291,4726.77890014648,22813.2083333333,2611.7375,64183.018332926316
2000-04-17,11491.2376098632,27973.6138916015,6061.3369140625,28260.1875,3378.225,77164.6009155272,,,8619.74487304687,22431.1477050781,4383.4211730957,20624.375,2364.2625,58422.95125122067
2000-04-18,11433.857055664,27872.6340332031,6038.19580078125,28004.4375,3387.68125,76736.80563964834,,,8666.21331787109,22609.5803222656,4453.4019165039,21285.125,2428.7875,59443.10805664059
2000-04-19,11809.7477416992,27941.0532226562,6136.62103271484,27834.8125,3387.83125,77110.06574707024,,,8996.09106445312,22815.2470703125,4546.3980102539,20892.5,2436.8375,59687.07364501952
2000-04-20,11921.319946289,27329.6160888671,6128.84771728515,28251.4375,3554.1875,77185.40875244126,,,9116.26318359375,22271.42578125,4500.44708251953,20785.375,2512.15,59185.66104736328
2000-04-21,11767.5028076171,27398.0085449218,5894.6545715332,26606.75,3513.8875,75180.8034240721,,,9136.0146484375,22652.8488769531,4410.10736083984,20577.25,2514.825,59291.04588623044
2000-04-22,10412.4671630859,26485.1257324218,5222.81896972656,23832.125,2922,68874.53686523426,,,8479.66522216796,22656.5205078125,4271.09707641601,19895,2396.5875,57698.87030639647
2000-04-23,,,,,,,,,9562.9668782552,25232.0346679687,4636.99731445312,21362.25,2567.579166,63361.828026677016
2000-04-24,11641.2639160156,29504.5534667968,6051.68737792968,28429.625,3518.95,79146.07976074207,,,8732.2817993164,23658.7592773437,4376.44305419921,20367.625,2421.5375,59556.64663085931
2000-04-25,12227.710571289,28241.6469726562,6081.26354980468,29788.3125,3642.2875,79981.22109374989,,,9267.9091796875,22908.9138183593,4485.16583251953,21220,2537.575,60419.56383056632
2000-04-26,12438.3640136718,28042.1639404296,6050.21701049804,30624.625,3868.7125,81024.08246459943,,,9474.94055175781,22897.8090820312,4482.38446044921,21631.875,2652.775,61139.784094238224
2000-04-27,12459.6613769531,27580.7377929687,6082.72021484375,29550.0625,3632.89375,79306.07563476556,,,9527.93408203125,22476.0693359375,4466.57537841796,21548.125,2549.3625,60568.066296386714
2000-04-28,11997.7548828125,28534.321899414,5881.07455444335,27609.375,3494.65,77517.17633666986,,,9314.77685546875,23592.3603515625,4399.94747924804,21110.25,2506,60923.33468627929
2000-04-29,10910.2736816406,26930.619140625,5164.65499877929,25356.6875,2997.11875,71359.35407104489,,,8885.06677246093,23037.6147460937,4223.53186035156,20620.125,2430.125,59196.46337890619
2000-04-30,,,,,,,,,9885.0117594401,23663.3421223958,4694.80259195963,23594.125,2725.3375,64562.618973795536
2000-05-01,12452.3834228515,28325.6430664062,6018.8583984375,30547.875,3869.8125,81214.5723876952,,,8663.37884521484,22055.8317871093,4174.93063354492,21064,2624.0625,58582.20376586906
2000-05-02,13138.2514038085,28462.6770019531,6061.16137695312,30764.125,3663.21875,82089.43353271473,,,9343.11926269531,22449.9943847656,4279.51205444335,21913.25,2564.65,60550.52570190426
2000-05-03,13035.5377197265,29041.8422851562,6037.82586669921,30389.3125,3618.15625,82122.67462158191,,,9374.06884765625,23136.6899414062,4311.07458496093,21856.75,2547.425,61226.00837402338
2000-05-04,13105.8931274414,29215.7305908203,6019.04943847656,30108.4375,3791.5,82240.61065673827,,,9401.10192871093,23494.7863769531,4347.26202392578,21848.125,2653.9875,61745.26282958982
2000-05-05,12835.4809570312,29077.841796875,5941.11724853515,28838.375,3594.64375,80287.45875244135,,,9351.345703125,23479.2770996093,4339.92190551757,21511.5,2570.25,61252.29470825187
2000-05-06,12243.5177001953,26988.2681884765,5121.45137023925,25333.8125,2990.1625,72677.21225891105,,,9267.912109375,22681.0688476562,4148.0068359375,20716.625,2435.3375,59248.9502929687
2000-05-07,,,,,,,,,11005.8380126953,24505.7991536458,4516.9416809082,23038.5416666666,2626.795833,65693.9163469159
2000-05-08,13246.7706909179,29119.185180664,6153.02996826171,28861.625,3728.975,81109.58583984361,,,9216.05041503906,22673.7255859375,4267.99755859375,20723.875,2545.825,59427.47355957031
2000-05-09,13189.0229492187,29474.3402099609,6145.21716308593,29072.8125,3617.975,81499.36782226554,,,9379.22497558593,23247.9453125,4338.86016845703,21129.875,2539.3375,60635.24295654296
2000-05-10,13477.0204467773,29851.2740478515,6103.91839599609,28208,3396.48125,81036.6941406249,,,9691.54638671875,23781.5380859375,4358.2654724121,21176.75,2425.5625,61433.66244506835
2000-05-11,12775.8514404296,29839.1694335937,6084.93655395507,28772.75,3653.89375,81126.60117797837,,,9164.35681152343,23996.1447753906,4394.84896850585,21221.5,2576.4375,61353.288055419885
2000-05-12,12140.7288208007,29410.5954589843,6118.78210449218,29222.6875,3732.25625,80625.05013427717,,,8845.18096923828,23747.962890625,4469.70416259765,21517.375,2647.825,61228.04802246093
2000-05-13,11604.6264648437,26549.1746826171,5312.28488159179,25055.125,2945.53125,71466.74227905259,,,8784.29364013671,22312.052734375,4302.56823730468,20202.75,2410.65,58012.31461181639
2000-05-14,,,,,,,,,10658.8726196289,23618.1585286458,4589.70133463541,22148.2083333333,2438.875,63453.815816243405
2000-05-15,13222.3081665039,28367.8056640625,6066.47232055664,28571,3370.73125,79598.31740112304,,,9199.03125,22088.6618652343,4207.95761108398,20788.125,2347.1625,58630.93822631828
2000-05-16,12666.1442871093,28511.4807128906,6118.5662536621,27959.1875,3309.71875,78565.097503662,,,9007.38598632812,22488.4880371093,4320.04312133789,20871.5,2370.8875,59058.30464477531
2000-05-17,11806.3947143554,29025.8283691406,6249.91534423828,28436.6875,3309.875,78828.70092773429,,,8490.17193603515,23123.9328613281,4462.50894165039,20980.375,2378.975,59435.96373901364
2000-05-18,12450.9790039062,28923.7513427734,6280.17645263671,30177.8125,3474.7625,81307.48179931632,,,8931.31994628906,23259.9812011718,4535.86108398437,21458,2477.1,60662.262231445224
2000-05-19,13015.1873168945,28262.044555664,6173.65258789062,31651.8125,3640.18125,82742.87821044911,,,9482.271484375,22820.5512695312,4509.78637695312,22067.5,2595.8625,61475.97163085932
2000-05-20,12576.601989746,26319.8582763671,5291.26113891601,30022.375,3080.3375,77290.4339050291,,,9520.04504394531,22119.3342285156,4285.54055786132,22123.375,2485.625,60533.91983032223
2000-05-21,,,,,,,,,11737.3433024088,23954.5181477864,4613.26334635416,27537.9166666666,2704.075,70547.11646321595
2000-05-22,14284.0528564453,28860.9459228515,6126.03070068359,35933.25,3728.975,88933.2544799804,,,9937.70861816406,22472.6462402343,4249.26974487304,23613.375,2545.825,62818.824603271394
2000-05-23,14254.9066162109,28942.1502685546,6219.18588256835,34440.8125,3754.55,87611.60526733386,,,10137.2163085937,22828.1796875,4391.08609008789,24055,2616.15,64027.63208618159
2000-05-24,13904.4031982421,29137.5723876953,6196.5022277832,32358.875,3800.9875,85398.3403137206,,,9998.88427734375,23212.9555664062,4424.3713684082,23049.375,2650.3125,63335.89871215815
2000-05-25,13613.3453979492,29548.9864501953,6243.11895751953,30573.1875,3699.43125,83678.06955566403,,,9765.10705566406,23762.7846679687,4509.09631347656,22338.5,2602.0375,62977.52553710932
2000-05-26,13395.1934204101,28850.3996582031,6099.04486083984,30968.1875,3685.96875,82998.79418945304,,,9759.12670898437,23295.6262207031,4455.28625488281,22412.5,2621.7375,62544.276684570286
2000-05-27,13082.5170898437,26529.6928710937,5288.62008666992,28974,3716.50625,77591.33629760733,,,9903.0048828125,22295.6804199218,4283.40148925781,21994,2824.075,61300.161791992105
2000-05-28,,,,,,,,,11976.9092610677,24506.8753255208,4674.23298136393,26691.25,3198.9125,71048.18006795243
2000-05-29,,,,,,,,,12040.9110921223,24621.125813802,4711.13132731119,26137.0416666666,3069.4,70579.60989990208
2000-05-30,14317.6345214843,29839.6977539062,6294.15182495117,31787.9375,3895.375,86134.79660034168,,,10181.8245849609,23536.1223144531,4444.01620483398,22146.375,2694.3875,63002.72560424797
2000-05-31,14098.4821166992,30032.3463134765,6280.72225952148,31701.1875,3943.76875,86056.50693969718,,,10138.4494628906,23925.7932128906,4484.5054321289,22784.5,2728.525,64061.7731079101
2000-06-01,14389.8709106445,29163.9046630859,6115.51388549804,32857.375,3917.00625,86443.67070922845,,,10106.8530273437,23087.5258789062,4298.3189086914,22806.375,2691.05,62990.1228149413
2000-06-02,14473.0051879882,29016.9168701171,6030.32675170898,32503.125,3766.11875,85789.49255981427,,,10220.3665771484,23010.9130859375,4294.8657836914,22898.625,2629.1,63053.8704467773
2000-06-03,13726.2653198242,27063.6098632812,5210.64971923828,28748.5,3164.43125,77913.45615234367,,,9902.64819335937,22433.1118164062,4152.00411987304,21993.25,2488.725,60969.739129638605
2000-06-04,,,,,,,,,12491.4514160156,25328.9965820312,4565.95963541666,25601.25,2929.254166,70916.91179946346
