ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,,
Employee Expense,10779.63,,7515,,-3264.63,1.0,38112.93,,30060,,-8052.929999999993,,Employee Expense,6639.16,,9472.94,,11221.2,,10779.63,,7515,,7515,,7515,,7515,,7515,,7515,,7515,,7515,,98232.93,,90180,,-8052.929999999993
Supplies & Expense,2377.94,,1491,,-886.94,1.0,11205.19,,5964,,-5241.19,,Supplies & Expense,2407.67,,2880.28,,3539.3,,2377.94,,1491,,1491,,1491,,1491,,1491,,1491,,1491,,1491,,23133.19,,17892,,-5241.19
Outside Services,6477.36,,87947,,81469.64,,154237.35,,351788,,197550.65,,Outside Services,-34180.8,,97411.22,,84529.57,,6477.36,,87947,,87947,,87947,,87947,,87947,,146578,,146578,,381102,,1268230.35,,1465781,,197550.65
Outside Tax,0,,0,,0,,0,,0,,0,,Outside Tax,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Outside Legal,0,,0,,0,,0,,0,,0,,Outside Legal,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Rent,0,,0,,0,,0,,0,,0,,Rent,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Transportation,0,,0,,0,,0,,0,,0,,Transportation,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Other,1011.27,,0,,-1011.27,,4985.63,,0,,-4985.63,,Other,1085.86,,492.42,,2396.08,,1011.27,,0,,0,,0,,0,,0,,0,,0,,0,,4985.63,,0,,-4985.63
Marketing,92.01,,0,,-92.01,,821.67,,0,,-821.67,,Marketing,199.66,,150.94,,379.06,,92.01,,0,,0,,0,,0,,0,,0,,0,,0,,821.67,,0,,-821.67
Charitable Contributions,0,,0,,0,,0,,0,,0,,Charitable Contributions,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Technology,362.11,,0,,-362.11,,7762.42,,0,,-7762.42,,Technology,4366.62,,3019.71,,13.98,,362.11,,0,,0,,0,,0,,0,,0,,0,,0,,7762.42,,0,,-7762.42
System Development,0,,103,,103,,0,,412,,412,,System Development,0,,0,,0,,0,,103,,103,,103,,103,,103,,103,,103,,103,,824,,1236,,412
Insurance,0,,0,,0,,0,,0,,0,,Insurance,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Taxes Other than Income,9.04,,0,,-9.04,,155.91,,0,,-155.91,,Taxes Other than Income,101.81,,38.95,,6.11,,9.04,,0,,0,,0,,0,,0,,0,,0,,0,,155.91,,0,,-155.91
Deprec./Amor. Expense,0,,0,,0,,0,,0,,0,,Deprec./Amor. Expense,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Controllable Infrastructure (EIS),860.7,,2198,,1337.3,,5582.92,,8792,,3209.08,,Controllable Infrastructure (EIS),0,,3294.98,,1427.24,,860.7,,2198,,2198,,2198,,2198,,2198,,2198,,2198,,2198,,23166.92,,26376,,3209.08
EPSC Allocations (Corp Rent),36951.23,,11823,,-25128.23,,142350.88,,47292,,-95058.88,,EPSC Allocations (Corp Rent),12496.01,,57453.54,,35450.1,,36951.23,,11823,,11823,,11823,,11823,,11823,,11823,,11823,,11823,,236934.88,,141876,,-95058.88
   Total Direct Expenses,262813.17,,287279,,24465.83,,1176592.4,,1149116,,-27476.399999999907,,   Total Direct Expenses,184464.08,,401925.28,,327389.87,,262813.17,,287279,,287279,,287279,,287279,,287279,,345910,,345910,,580434,,3885241.4,,3857765,,-27476.399999999907
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocations-I/C Billing,-153072.61,,-232323.96,,-79251.35,,-682691.71,,-929295.84,,-246604.13,,Allocations-I/C Billing,-135322.39,,-179279.32,,-215017.39,,-153072.61,,-232323.96,,-232323.96,,-232323.96,,-232323.96,,-232323.96,,-290955,,-290955,,-525479.33,,-2951700.84,,-3198304.97,,-246604.13
Allocations - Other,0,,0,,0,,0,,0,,0,,Allocations - Other,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Net Direct Expenses,109740.56,,54955.04,,-54785.52,,493900.69,,219820.16,,-274080.53,,    Net Direct Expenses,49141.69,,222645.96,,112372.48,,109740.56,,54955.04,,54955.04,,54955.04,,54955.04,,54955.04,,54955,,54955,,54954.669999999925,,933540.56,,659460.03,,-274080.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headcount,20,,16,,-4,,20,,16,,-4,,Headcount,20,,19,,20,,20,,16,,16,,16,,16,,16,,16,,16,,16,,17.25,,16,,-1.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variance explanations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Unfavorable variances due to actual headcount 4 over plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
