COUNTERPARTY,Trade Date,Flow Date,Location,Daily QTY,TOTAL QTY,Fixed Price,,VOLUME,Price,Total $
"USGT/Aquila, L.P.",2001-01-29 08:41:33,2001-02-01 00:00:00,PERMIAN,5000,140000,6.745,,140000,6.745,944300
"Mirant Americas Energy Marketing, L.P.",2001-01-29 08:43:26,2001-02-01 00:00:00,PERMIAN,5000,140000,6.68,,140000,6.68,935200
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:35:32,2001-02-01 00:00:00,PERMIAN,10000,280000,6.51,,280000,6.51,1822800
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 13:17:10,2001-02-01 00:00:00,PERMIAN,5000,140000,6.55,,140000,6.55,917000
Aquila Energy Marketing Corporation,2001-01-29 13:19:36,2001-02-01 00:00:00,PERMIAN,5000,140000,6.54,,140000,6.54,915600
"USGT/Aquila, L.P.",2001-01-29 13:20:34,2001-02-01 00:00:00,PERMIAN,5000,140000,6.53,,140000,6.53,914200
"USGT/Aquila, L.P.",2001-01-29 13:30:16,2001-02-01 00:00:00,PERMIAN,5000,140000,6.46,,140000,6.46,904400
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 13:30:35,2001-02-01 00:00:00,PERMIAN,5000,140000,6.485,,140000,6.485,907900
"USGT/Aquila, L.P.",2001-01-29 13:31:28,2001-02-01 00:00:00,PERMIAN,5000,140000,6.485,,140000,6.485,907900
"USGT/Aquila, L.P.",2001-01-29 13:36:32,2001-02-01 00:00:00,PERMIAN,5000,140000,6.81,,140000,6.81,953400
WACOG,6.789481132075472,,,,2968000,,,2968000,,20151180
,,,,,,,,,,
"Calpine Energy Services, L.P.",2001-01-25 08:59:04,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.52,,140000,12.52,1752800
"Mirant Americas Energy Marketing, L.P.",2001-01-25 09:28:00,2001-02-01 00:00:00,PG&E CITY GATE,-10000,-280000,12.7,,280000,12.7,3556000
"El Paso Merchant Energy, L.P.",2001-01-25 10:37:00,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.8,,140000,12.8,1792000
"Calpine Energy Services, L.P.",2001-01-25 14:24:37,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.7,,140000,12.7,1778000
"El Paso Merchant Energy, L.P.",2001-01-25 14:25:19,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.8,,140000,12.8,1792000
Dynegy Marketing and Trade,2001-01-26 09:44:36,2001-02-01 00:00:00,PG&E CITY GATE,2500,70000,12.21,,70000,12.21,854700
Dynegy Marketing and Trade,2001-01-26 09:45:08,2001-02-01 00:00:00,PG&E CITY GATE,2500,70000,12,,70000,12,840000
"El Paso Merchant Energy, L.P.",2001-01-26 09:47:45,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.23,,140000,12.23,1712200
Dynegy Marketing and Trade,2001-01-26 10:02:45,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.12,,140000,12.12,1696800
"Enron Energy Services, Inc.",2001-01-26 12:33:05,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,11.94,,140000,11.94,1671600
Aquila Energy Marketing Corporation,2001-01-29 11:04:04,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.04,,140000,12.04,1685600
TXU Energy Trading Company,2001-01-29 11:27:56,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.19,,140000,12.19,1706600
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 11:35:22,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.15,,140000,12.15,1701000
Cook Inlet Energy Supply L.L.C.,2001-01-29 11:40:39,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.02,,140000,12.02,1682800
TXU Energy Trading Company,2001-01-29 11:57:40,2001-02-01 00:00:00,PG&E CITY GATE,-5000,-140000,12.05,,140000,12.05,1687000
BP Energy Company,2001-01-29 12:14:17,2001-02-01 00:00:00,PG&E CITY GATE,5000,140000,12.09,,140000,12.09,1692600
Coast,2001-01-29 12:15:32,2001-02-01 00:00:00,PG&E CITY GATE,6276,175728,11.6,,175728,11.6,2038444.8
"El Paso Merchant Energy, L.P.",2001-01-29 13:31:30,2001-02-01 00:00:00,PG&E CITY GATE,-2500,-70000,12.34,,70000,12.34,863800
WACOG,12.271634225466343,,,,105728,,,2485728,,30503944.8
,,,,,,,,,,
"Reliant Energy Services, Inc.",2001-01-25 09:12:10,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.095,,140000,7.095,993300
Aquila Energy Marketing Corporation,2001-01-25 09:14:29,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.13,,140000,7.13,998200
"e prime, inc.",2001-01-25 09:44:53,2001-02-01 00:00:00,ROCKIES,-2500,-70000,7.03,,70000,7.03,492100
"e prime, inc.",2001-01-25 09:49:59,2001-02-01 00:00:00,ROCKIES,2500,70000,7.04,,70000,7.04,492800
Aquila Energy Marketing Corporation,2001-01-25 10:23:07,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.1,,140000,7.1,994000
Arizona Public Service Company,2001-01-25 10:39:52,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.13,,140000,7.13,998200
"Reliant Energy Services, Inc.",2001-01-25 11:17:23,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.13,,140000,7.13,998200
Aquila Energy Marketing Corporation,2001-01-25 11:22:23,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.15,,140000,7.15,1001000
"Reliant Energy Services, Inc.",2001-01-25 11:30:00,2001-02-01 00:00:00,ROCKIES,-5000,-140000,7.18,,140000,7.18,1005200
"Duke Energy Trading and Marketing, L.L.C.",2001-01-25 11:35:00,2001-02-01 00:00:00,ROCKIES,5000,140000,7.12,,140000,7.12,996800
"Reliant Energy Services, Inc.",2001-01-25 13:15:18,2001-02-01 00:00:00,ROCKIES,5000,140000,7.17,,140000,7.17,1003800
BP Energy Company,2001-01-26 08:56:29,2001-02-01 00:00:00,ROCKIES,5000,140000,7,,140000,7,980000
Aquila Energy Marketing Corporation,2001-01-26 08:58:40,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.99,,140000,6.99,978600
Engage Energy Canada L.P.,2001-01-26 08:58:46,2001-02-01 00:00:00,ROCKIES,5000,140000,6.925,,140000,6.925,969500
BP Energy Company,2001-01-26 09:54:36,2001-02-01 00:00:00,ROCKIES,5000,140000,6.9,,140000,6.9,966000
Aquila Energy Marketing Corporation,2001-01-29 08:29:06,2001-02-01 00:00:00,ROCKIES,5000,140000,6.675,,140000,6.675,934500
"Avista Energy, Inc.",2001-01-29 08:42:19,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.65,,140000,6.65,931000
"El Paso Merchant Energy, L.P.",2001-01-29 08:53:04,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.62,,140000,6.62,926800
Aquila Energy Marketing Corporation,2001-01-29 08:54:49,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.67,,140000,6.67,933800
Aquila Energy Marketing Corporation,2001-01-29 09:06:38,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.68,,140000,6.68,935200
"e prime, inc.",2001-01-29 09:14:43,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.65,,140000,6.65,931000
"Mirant Americas Energy Marketing, L.P.",2001-01-29 09:22:36,2001-02-01 00:00:00,ROCKIES,10000,280000,6.635,,280000,6.635,1857800
Dynegy Marketing and Trade,2001-01-29 09:26:51,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.635,,140000,6.635,928900
Dynegy Marketing and Trade,2001-01-29 09:48:16,2001-02-01 00:00:00,ROCKIES,-10000,-280000,6.665,,280000,6.665,1866200
"Avista Energy, Inc.",2001-01-29 10:05:28,2001-02-01 00:00:00,ROCKIES,-10000,-280000,6.645,,280000,6.645,1860600
"Mirant Americas Energy Marketing, L.P.",2001-01-29 11:29:58,2001-02-01 00:00:00,ROCKIES,5000,140000,6.47,,140000,6.47,905800
EOG Resources,2001-01-29 11:33:32,2001-02-01 00:00:00,ROCKIES,20000,560000,6.63,,560000,6.63,3712800
EOG Resources,2001-01-29 11:33:32,2001-02-01 00:00:00,ROCKIES,10000,280000,6.66,,280000,6.66,1864800
Aquila Energy Marketing Corporation,2001-01-29 11:51:32,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.485,,140000,6.485,907900
EOG Resources,2001-01-29 12:05:32,2001-02-01 00:00:00,ROCKIES,20000,560000,6.52,,560000,6.52,3651200
Williams Energy Marketing & Trading Company,2001-01-29 12:26:19,2001-02-01 00:00:00,ROCKIES,5000,140000,6.34,,140000,6.34,887600
"Avista Energy, Inc.",2001-01-29 12:26:56,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.35,,140000,6.35,889000
National Fuels,2001-01-29 12:45:32,2001-02-01 00:00:00,ROCKIES,7450,208600,5.96,,208600,5.96,1243256
Kimball Energy Corporation,2001-01-29 12:55:32,2001-02-01 00:00:00,ROCKIES,400,11200,6.51,,11200,6.51,72912
"Avista Energy, Inc.",2001-01-29 12:55:32,2001-02-01 00:00:00,ROCKIES,-2400,-67200,6.55,,67200,6.55,440160
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:55:32,2001-02-01 00:00:00,ROCKIES,-5000,-140000,5.85,,140000,5.85,819000
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:55:32,2001-02-01 00:00:00,ROCKIES,-10000,-280000,5.85,,280000,5.85,1638000
Aquila Energy Marketing Corporation,2001-01-29 13:11:24,2001-02-01 00:00:00,ROCKIES,10000,280000,6.26,,280000,6.26,1752800
"Avista Energy, Inc.",2001-01-29 13:37:16,2001-02-01 00:00:00,ROCKIES,-5000,-140000,6.29,,140000,6.29,880600
"Mirant Americas Energy Marketing, L.P.",2001-01-29 14:32:33,2001-02-01 00:00:00,ROCKIES,-10000,-280000,5.84,,280000,5.84,1635200
Cook Inlet Energy Supply L.L.C.,2001-01-29 15:17:00,2001-02-01 00:00:00,ROCKIES,-5000,-140000,5.9,,140000,5.9,826000
WACOG,6.600868395773295,,,,-547400,,,7287000,,48100528
,,,,,,,,,,
"e prime, inc.",2001-01-25 09:59:43,2001-02-01 00:00:00,SAN JUAN,5000,140000,7.0325,,140000,7.0325,984550
"e prime, inc.",2001-01-25 10:36:43,2001-02-01 00:00:00,SAN JUAN,5000,140000,7.06,,140000,7.06,988400
S G Interests I Ltd,2001-01-26 12:33:14,2001-02-01 00:00:00,SAN JUAN,1500,42000,6.95,,42000,6.95,291900
"e prime, inc.",2001-01-29 10:45:20,2001-02-01 00:00:00,SAN JUAN,-5000,-140000,6.53,,140000,6.53,914200
Aquila Energy Marketing Corporation,2001-01-29 11:31:32,2001-02-01 00:00:00,SAN JUAN,-5000,-140000,6.49,,140000,6.49,908600
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:25:32,2001-02-01 00:00:00,SAN JUAN,5000,140000,6.2,,140000,6.2,868000
"Mirant Americas Energy Marketing, L.P.",2001-01-29 12:25:32,2001-02-01 00:00:00,SAN JUAN,-5000,-140000,6.49,,140000,6.49,908600
Highland,2001-01-29 12:45:32,2001-02-01 00:00:00,SAN JUAN,1500,42000,5.9,,42000,5.9,247800
"Mirant Americas Energy Marketing, L.P.",2001-01-29 12:55:32,2001-02-01 00:00:00,SAN JUAN,-4000,-112000,6.54,,112000,6.54,732480
"Mirant Americas Energy Marketing, L.P.",2001-01-29 12:55:32,2001-02-01 00:00:00,SAN JUAN,-10000,-280000,6.57,,280000,6.57,1839600
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:55:32,2001-02-01 00:00:00,SAN JUAN,5000,140000,6.2,,140000,6.2,868000
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 13:34:41,2001-02-01 00:00:00,SAN JUAN,5000,140000,6.2,,140000,6.2,868000
Sal River Project,2001-01-29 13:36:32,2001-02-01 00:00:00,SAN JUAN,-5000,-140000,6.54,,140000,6.54,915600
"Mirant Americas Energy Marketing, L.P.",2001-01-29 14:24:17,2001-02-01 00:00:00,SAN JUAN,-10000,-280000,5.85,,280000,5.85,1638000
"Mirant Americas Energy Marketing, L.P.",2001-01-29 14:32:35,2001-02-01 00:00:00,SAN JUAN,10000,280000,5.84,,280000,5.84,1635200
WACOG,6.362774390243902,,,,-168000,,,2296000,,14608930
,,,,,,,,,,
"El Paso Merchant Energy, L.P.",2001-01-24 09:41:32,2001-02-01 00:00:00,SOCAL,5000,140000,14.39,,140000,14.39,2014600
BP Energy Company,2001-01-24 09:43:32,2001-02-01 00:00:00,SOCAL,5000,140000,14.1,,140000,14.1,1974000
"Duke Energy Trading and Marketing, L.L.C.",2001-01-25 09:40:59,2001-02-01 00:00:00,SOCAL,-5000,-140000,13.24,,140000,13.24,1853600
Williams Energy Marketing & Trading Company,2001-01-25 09:46:51,2001-02-01 00:00:00,SOCAL,-5000,-140000,13.5,,140000,13.5,1890000
Southern California Gas Company,2001-01-25 11:40:00,2001-02-01 00:00:00,SOCAL,-10000,-280000,13,,280000,13,3640000
Scana Energy Trdaing LLC,2001-01-25 11:50:00,2001-02-01 00:00:00,SOCAL,-200,-5600,14,,5600,14,78400
"Mirant Americas Energy Marketing, L.P.",2001-01-25 13:30:00,2001-02-01 00:00:00,SOCAL,10000,280000,13.6,,280000,13.6,3808000
"El Paso Merchant Energy, L.P.",2001-01-25 14:25:50,2001-02-01 00:00:00,SOCAL,5000,140000,13.5,,140000,13.5,1890000
"Western Gas Resources, Inc.",2001-01-26 09:26:58,2001-02-01 00:00:00,SOCAL,-2500,-70000,12.93,,70000,12.93,905100
"Western Gas Resources, Inc.",2001-01-26 09:28:26,2001-02-01 00:00:00,SOCAL,-2500,-70000,13.19,,70000,13.19,923300
Texaco Natural Gas Inc.,2001-01-26 10:01:09,2001-02-01 00:00:00,SOCAL,2500,70000,12.92,,70000,12.92,904400
Southern California Gas Company,2001-01-26 12:33:14,2001-02-01 00:00:00,SOCAL,-2000,-56000,11.87,,56000,11.87,664720
San Diego Gas & Electric Company,2001-01-26 12:33:14,2001-02-01 00:00:00,SOCAL,5500,154000,12.47,,154000,12.47,1920380
Aquila Energy Marketing Corporation,2001-01-29 09:11:30,2001-02-01 00:00:00,SOCAL,10000,280000,12.6,,280000,12.6,3528000
Williams Energy Marketing & Trading Company,2001-01-29 09:25:49,2001-02-01 00:00:00,SOCAL,-5000,-140000,12.7,,140000,12.7,1778000
"El Paso Merchant Energy, L.P.",2001-01-29 09:33:49,2001-02-01 00:00:00,SOCAL,5000,140000,12.715,,140000,12.715,1780100
"El Paso Merchant Energy, L.P.",2001-01-29 09:52:56,2001-02-01 00:00:00,SOCAL,5000,140000,12.63,,140000,12.63,1768200
"El Paso Merchant Energy, L.P.",2001-01-29 10:14:05,2001-02-01 00:00:00,SOCAL,2500,70000,12.515,,70000,12.515,876050
"El Paso Merchant Energy, L.P.",2001-01-29 11:15:16,2001-02-01 00:00:00,SOCAL,2500,70000,12.13,,70000,12.13,849100
AEP,2001-01-29 11:21:32,2001-02-01 00:00:00,SOCAL,-600,-16800,12.6,,16800,12.6,211680
"Coral Energy Resources, L.P.",2001-01-29 11:30:57,2001-02-01 00:00:00,SOCAL,5000,140000,11.94,,140000,11.94,1671600
Williams Energy Marketing & Trading Company,2001-01-29 11:32:52,2001-02-01 00:00:00,SOCAL,-2500,-70000,11.96,,70000,11.96,837200
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 11:35:34,2001-02-01 00:00:00,SOCAL,-5000,-140000,12.095,,140000,12.095,1693300
"Coral Energy Resources, L.P.",2001-01-29 11:36:23,2001-02-01 00:00:00,SOCAL,5000,140000,12,,140000,12,1680000
AEP,2001-01-29 11:41:32,2001-02-01 00:00:00,SOCAL,-5000,-140000,12,,140000,12,1680000
Aquila Energy Marketing Corporation,2001-01-29 11:55:10,2001-02-01 00:00:00,SOCAL,5000,140000,11.69,,140000,11.69,1636600
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:30:47,2001-02-01 00:00:00,SOCAL,-2500,-70000,11.85,,70000,11.85,829500
"El Paso Merchant Energy, L.P.",2001-01-29 12:31:19,2001-02-01 00:00:00,SOCAL,2500,70000,11.78,,70000,11.78,824600
"El Paso Merchant Energy, L.P.",2001-01-29 12:31:58,2001-02-01 00:00:00,SOCAL,5000,140000,11.74,,140000,11.74,1643600
"Duke Energy Trading and Marketing, L.L.C.",2001-01-29 12:35:17,2001-02-01 00:00:00,SOCAL,-2500,-70000,11.81,,70000,11.81,826700
WACOG,12.718635321100917,,,,845600,,,3662400,,46580730
,,,,,,,,,,
Plains Gas Farmers Cooperative,2001-01-26 12:33:14,2001-02-01 00:00:00,TW PERMIAN,-100,-2800,7.15,,2800,7.15,20020
WACOG,7.15,,,,-2800,,,2800,,20020
