DATE,,CHECK #,DEBIT     #,Reconsile,DEBIT             +,CREDIT            -,BALANCE
2001-06-23 00:00:00,Coastal Mar,,J,6,,30.39,130495.88000000003
2001-06-23 00:00:00,Qstar Wireless Denver,,K,6,,31.06,130464.82000000004
2001-06-27 00:00:00,Ten Sixteen Greentree Road,157,,7,,3600,126864.82000000004
2001-06-27 00:00:00,Berenbaum Weinshienk & Ea,158,,7,,9489.5,117375.32000000004
2001-06-28 00:00:00,King Soopers,,L,7,,28.4,117346.92000000004
2001-07-01 00:00:00,Thomas Management Group,Deposit,,7,3750,,121096.92000000004
2001-07-01 00:00:00,Herman Schmidt,159,VOID,,,1739.95,119356.97000000004
2001-07-03 00:00:00,Total,,M,7,,32.15,119324.82000000005
2001-07-09 00:00:00,Phillips,,N,7,,27.26,119297.56000000006
2001-07-16 00:00:00,DIVIDEND,Deposit,,7,386.28,,119683.84000000005
2001-07-24 00:00:00,The Peaks Of Telluride,,O,7,,1260.98,118422.86000000006
2001-07-29 00:00:00,Lakspur Country Store,,P,8,,22.25,118400.61000000006
2001-07-30 00:00:00,Thomas Management Group,Deposit,,8,5393.73,,123794.34000000005
2001-07-31 00:00:00,Ten Sixteen Greentree Road,Deposit,,8,13422.68,,137217.02000000005
2001-08-01 00:00:00,Thomas Management Group,Deposit,,8,3750,,140967.02000000005
2001-08-01 00:00:00,Herman Schmidt,160,,8,,3479.9,137487.12000000005
2001-08-08 00:00:00,Denver International Airport,,Q,8,,48,137439.12000000005
2001-08-15 00:00:00,DIVIDEND,Deposit,,8,332.62,,137771.74000000005
2001-08-19 00:00:00,Office Max,,R,8,,147.74,137624.00000000006
2001-08-20 00:00:00,Phyllis & Angelo Family Trust,161,,8,,10600,127024.00000000006
2001-08-29 00:00:00,Arbors Management Inc,Deposit,,9,612.82,,127636.82000000007
2001-09-01 00:00:00,Herman Schmidt,162,,9,,1739.95,125896.87000000007
2001-09-02 00:00:00,Exxon/Mobil,,S,9,,27.56,125869.31000000007
2001-09-06 00:00:00,Aramark Coors Field,,T,9,,50,125819.31000000007
2001-09-07 00:00:00,Chevron,,U,9,,19.61,125799.70000000007
2001-09-07 00:00:00,King Soopers,,V,9,,30.2,125769.50000000007
2001-09-12 00:00:00,S K S COMPANY,163,,10,,3333.33,122436.17000000007
2001-09-12 00:00:00,S K S COMPANY,164,,10,,3333.33,119102.84000000007
2001-09-12 00:00:00,Ten Sixteen Greentree Road,165,,9,,18000,101102.84000000007
2001-09-13 00:00:00,Thomas Management Group,Deposit,,9,3750,,104852.84000000007
2001-09-14 00:00:00,Susan & Dan Sciullo,166,,9,,4000,100852.84000000007
2001-09-14 00:00:00,Coastal Mar,,W,9,,29,100823.84000000007
2001-09-15 00:00:00,Exxon/Mobil,,X,9,,11.68,100812.16000000008
2001-09-17 00:00:00,Save Mart,,Y,9,,26.75,100785.41000000008
2001-09-17 00:00:00,DIVIDEND,Deposit,,9,363.17,,101148.58000000007
2001-09-24 00:00:00,Berenbaum Weinshienk & Ea,167,,10,,10135.36,91013.22000000007
2001-09-24 00:00:00,Brinkerhoff & Revenig PC,168,,10,,2155,88858.22000000007
2001-09-26 00:00:00,Arbors Management Inc,Deposit,,10,1298.63,,90156.85000000008
2001-09-27 00:00:00,Arbors Management Inc,Deposit,,10,7012.5,,97169.35000000008
2001-09-28 00:00:00,AJS LLC,169,,10,,5000,92169.35000000008
2001-09-28 00:00:00,Dan Scoullo & Co Inc,170,,10,,25000,67169.35000000008
2001-09-28 00:00:00,Ten Sixteen Greentree Road,171,,10,,20000,47169.35000000008
2001-09-30 00:00:00,Voided check # 153 Back,Voided Ck,,9,1739.95,,48909.300000000076
2001-09-30 00:00:00,Voided check # 159 Back,Voided Ck,,9,1739.95,,50649.25000000007
2001-09-26 00:00:00,Shell,,Z,10,,18.06,50631.190000000075
2001-09-30 00:00:00,Exxon/Mobil,,AA,10,,32.19,50599.00000000007
2001-10-01 00:00:00,Herman Schmidt,172,,10,,1739.95,48859.050000000076
2001-10-01 00:00:00,Thomas Management Group,Deposit,,10,3750,,52609.050000000076
2001-10-06 00:00:00,Exxon/Mobil,,AB,10,,16.43,52592.620000000075
2001-10-10 00:00:00,Chevron,,AC,10,,17.84,52574.78000000008
2001-10-15 00:00:00,Rubinoff Close Acct,Deposit,,10,73.08,,52647.86000000008
2001-10-15 00:00:00,DIVIDEND,Deposit,,10,167.98,,52815.840000000084
2001-10-19 00:00:00,Exxon/Mobil,,AD,10,,13.06,52802.780000000086
2001-10-25 00:00:00,Stephen M. Farino,132,,10,,554.75,52248.030000000086
2001-10-28 00:00:00,Exxon/Mobil,,AE,10,,14.15,52233.880000000085
2001-10-30 00:00:00,Arbors Management Inc,Deposit,,,1247.95,,53481.83000000008
