,,                 HA/DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000-11-03 00:00:00,1,AZ5,NW1,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,2.15,25,25,22.99,26.99,27.43,31.11,-1,-1,-1,1.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,NW2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,NW3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,SF,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,NW1,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,2.15,25,25,22.99,26.99,27.43,31.11,-1,-1,-1,1.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,ZP26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,SR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,SR2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,SP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,SF,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,NW2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,NV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,NV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,NP15,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06001,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,NW3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FIN_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,SR2,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,II2,0,0,0,0,0,0,-50.0101,-69.9901,-69.9901,-69.9901,-105.8401,-79.9901,-79.9901,-82.0001,-78.0001,-79.6101,-76.9401,-120.0101,-124.6101,-117.6701,-117.8901,-69.9901,-51.8901,-56.0501,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,II1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,LA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADJ_SC_CNGS_PRC
,,2000-11-03 00:00:00,1,AZ5,HUMB,40.38,44.01,66.59,53.14,55.05,60.39,45.96,37.04,37.06,32.05,3.15,26,26,22.99,27.99,28.43,32.11,0,0,0,2.19,34.03,35.4,31.83,,ADJ_SC_CNGS_PRC
