AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA,AGA
1994-07-22 00:00:00,13,8,16,0,22,14,1,13,,10.875,,1994-07-22 00:00:00,56,43,68,48,54,56,48,60,,54.125, 
1994-07-29 00:00:00,27,5,15,0,11,1,16,19,,11.75,,1994-07-29 00:00:00,52,48,67,56,48,30,49,48,,49.75, 
1994-08-05 00:00:00,32,1,19,-2,21,-11,17,16,,11.625,,1994-08-05 00:00:00,60,36,67,50,43,30,49,55,,48.75, 
1994-08-12 00:00:00,23,5,20,14,19,-1,12,0,,11.5,,1994-08-12 00:00:00,44,48,55,62,49,38,40,35,,46.375, 
1994-08-19 00:00:00,23,-4,30,11,29,1,4,23,,14.625,,1994-08-19 00:00:00,70,38,67,52,40,43,52,57,,52.375, 
1994-08-26 00:00:00,22,6,19,5,14,4,12,12,,11.75,,1994-08-26 00:00:00,55,49,53,55,47,41,45,55,,50, 
1994-09-02 00:00:00,25,1,30,23,10,20,3,21,,16.625,,1994-09-02 00:00:00,50,49,65,55,40,51,40,49,,49.875, 
1994-09-09 00:00:00,12,20,24,31,-2,15,17,25,,17.75,,1994-09-09 00:00:00,49,53,67,59,36,45,50,60,,52.375, 
1994-09-16 00:00:00,15,18,29,29,18,18,17,28,,21.5,,1994-09-16 00:00:00,41,46,52,57,42,55,48,52,,49.125, 
1994-09-23 00:00:00,13,19,26,15,10,24,18,25,,18.75,,1994-09-23 00:00:00,43,46,57,51,31,46,57,58,,48.625, 
1994-09-30 00:00:00,9,26,30,29,7,19,25,13,,19.75,,1994-09-30 00:00:00,42,36,54,52,30,53,50,47,,45.5, 
1994-10-07 00:00:00,14,2,35,27,2,16,12,19,,15.875,,1994-10-07 00:00:00,24,41,56,55,27,44,47,46,,42.5, 
1994-10-14 00:00:00,3,18,7,21,6,11,6,15,,10.875,,1994-10-14 00:00:00,19,45,28,50,29,31,20,36,,32.25, 
1994-10-21 00:00:00,1,18,9,28,24,8,22,4,,14.25,,1994-10-21 00:00:00,53,29,43,35,28,32,47,16,,35.375, 
1994-10-28 00:00:00,-1,12,9,16,16,0,17,-2,,8.375,,1994-10-28 00:00:00,3,21,27,7,11,13,48,25,,19.375, 
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Change in Consuming Region West,,,,,,,,,,,,Total,,,,,,,,,,,
Week Ending:,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,7 Year Average,Consuming West vs. Average,Week Ending:,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,6 Year Average,Total vs. Average
1993-11-05 00:00:00,0,-3,-1,-5,-2,8,4,-2,,0.375,3.625,1993-11-05 00:00:00,0,3,4,27,-5,48,16,36,,17.375,-7.375
1993-11-12 00:00:00,0,0,-13,-3,4,14,5,-11,,-0.375,1.375,1993-11-12 00:00:00,0,11,-85,-22,7,33,9,-6,,-4.5,21.5
1993-11-19 00:00:00,0,-7,12,1,-4,-8,3,-31,,-4,6,1993-11-19 00:00:00,0,-15,-75,-86,-64,-45,-20,-94,,-48,63
1993-11-26 00:00:00,0,-8,-2,-6,-8,3,-3,-13,,-4.25,7.25,1993-11-26 00:00:00,0,-57,-61,-66,-108,-13,5,-146,,-54.25,66.25
1993-12-03 00:00:00,0,-12,0,-6,-3,8,-2,-5,,-4.875,-14.125,1993-12-03 00:00:00,0,-85,-73,-104,-36,8,-69,-73,,-56,40
1993-12-10 00:00:00,0,-15,-9,-8,-12,-1,-14,-7,,-10.25,-5.75,1993-12-10 00:00:00,0,-56,-75,-72,-69,27,-73,-158,,-62.25,40.25
1993-12-17 00:00:00,0,-24,-9,-4,-19,-14,-15,-12,,-12.875,6.875,1993-12-17 00:00:00,0,-161,-178,-53,-136,-49,-116,-158,,-112,67
1993-12-24 00:00:00,0,2,-12,-16,-29,-7,-15,-14,,-12.875,0.875,1993-12-24 00:00:00,0,-79,-154,-130,-135,-85,-173,-175,,-126.5,45.5
1993-12-31 00:00:00,0,-3,-24,-14,-22,-38,-10,-4,,-15.875,3.875,1993-12-31 00:00:00,0,-73,-139,-128,-96,-167,-133,-209,,-133.625,9.625
1994-01-07 00:00:00,0,-27,-10,4,-11,-7,-27,-9,,-11.75,4.75,1994-01-07 00:00:00,0,-192,-138,-15,-131,-158,-115,-167,,-138.25,-51.75
1994-01-14 00:00:00,-15,-3,-11,-17,-16,-17,-9,-13,,-12.625, ,1994-01-14 00:00:00,-190,-118,-197,-127,-43,-233,-110,-103,,-140.125, 
1994-01-21 00:00:00,-14,-13,-15,-28,-18,-12,-10,-23,,-16.625, ,1994-01-21 00:00:00,-253,-68,-105,-262,-159,-203,-195,-90,,-166.875, 
1994-01-28 00:00:00,-13,-13,-27,-15,-8,-6,-16,-19,,-14.625, ,1994-01-28 00:00:00,-135,-162,-161,-150,-136,-92,-242,-128,,-150.75, 
1994-02-04 00:00:00,-25,-2,-32,-9,-6,-18,-11,-20,,-15.375, ,1994-02-04 00:00:00,-204,-140,-213,-161,-102,-78,-213,-105,,-152, 
1994-02-11 00:00:00,-20,-5,-8,-11,18,-12,-15,-20,,-9.125, ,1994-02-11 00:00:00,-174,-193,-227,-75,-81,-93,-158,-95,,-137, 
1994-02-18 00:00:00,-18,-15,-3,-14,-21,-21,-15,-16,,-15.375, ,1994-02-18 00:00:00,-109,-206,-93,-147,-93,-59,-136,-81,,-115.5, 
1994-02-25 00:00:00,-16,2,-5,-1,-10,-9,-13,-5,,-7.125, ,1994-02-25 00:00:00,-64,-46,-64,-63,-77,-97,-74,-101,,-73.25, 
1994-03-04 00:00:00,-7,-7,-23,-11,-16,-6,-9,-13,,-11.5, ,1994-03-04 00:00:00,-132,-118,-62,-76,-47,-128,-37,-73,,-84.125, 
1994-03-11 00:00:00,-5,-8,-7,-11,-10,-2,-13,-3,,-7.375, ,1994-03-11 00:00:00,-27,-132,-118,-57,-54,-69,-31,-75,,-70.375, 
1994-03-18 00:00:00,4,0,0,-2,-8,-17,-9,5,,-3.375, ,1994-03-18 00:00:00,-50,-17,-72,-45,-143,-134,-62,-23,,-68.25, 
1994-03-25 00:00:00,-5,-5,1,2,4,-8,15,6,,1.25, ,1994-03-25 00:00:00,-21,16,-43,-54,-78,-87,-28,-12,,-38.375, 
1994-04-01 00:00:00,0,-6,-6,3,5,1,5,8,,1.25, ,1994-04-01 00:00:00,0,-33,-51,-1,-20,-37,-5,-49,,-24.5, 
1994-04-08 00:00:00,-2,5,-1,2,-11,-7,5,7,,-0.25, ,1994-04-08 00:00:00,21,-30,-15,21,53,2,2,14,,8.5, 
1994-04-15 00:00:00,-1,-2,6,0,-3,-15,8,1,,-0.75, ,1994-04-15 00:00:00,39,-4,-13,-16,22,30,-25,64,,12.125, 
1994-04-22 00:00:00,6,-6,1,2,-6,-6,8,9,,1, ,1994-04-22 00:00:00,79,30,27,-7,54,2,19,43,,30.875, 
1994-04-29 00:00:00,3,3,5,7,12,6,9,11,,7, ,1994-04-29 00:00:00,75,30,68,25,64,5,32,102,,50.125, 
1994-05-06 00:00:00,11,4,3,9,13,6,7,14,,8.375, ,1994-05-06 00:00:00,82,49,53,46,78,34,58,108,,63.5, 
1994-05-13 00:00:00,13,7,7,11,17,2,5,13,,9.375, ,1994-05-13 00:00:00,95,30,60,70,100,72,46,106,,72.375, 
1994-05-20 00:00:00,7,10,9,10,13,11,6,15,,10.125, ,1994-05-20 00:00:00,89,114,59,62,92,79,55,118,,83.5, 
1994-05-27 00:00:00,15,7,11,11,14,7,6,13,,10.5, ,1994-05-27 00:00:00,101,93,83,76,92,73,56,99,,84.125, 
1994-06-03 00:00:00,12,14,9,9,17,12,12,18,,12.875, ,1994-06-03 00:00:00,120,107,88,93,106,71,78,117,,97.5, 
1994-06-10 00:00:00,19,14,8,11,15,14,4,14,,12.375, ,1994-06-10 00:00:00,93,80,88,91,86,91,78,105,,89, 
1994-06-17 00:00:00,0,10,2,12,19,12,5,14,,9.25, ,1994-06-17 00:00:00,87,95,87,94,104,63,64,106,,87.5, 
1994-06-24 00:00:00,9,10,10,10,11,11,9,12,,10.25, ,1994-06-24 00:00:00,83,95,91,97,82,85,73,108,,89.25, 
1994-07-01 00:00:00,5,3,10,11,12,11,8,11,,8.875, ,1994-07-01 00:00:00,104,73,93,76,72,91,69,105,,85.375, 
1994-07-08 00:00:00,11,19,5,11,10,11,8,9,,10.5, ,1994-07-08 00:00:00,95,115,90,96,74,69,97,110,,93.25, 
1994-07-15 00:00:00,8,9,7,6,11,14,9,26,,11.25, ,1994-07-15 00:00:00,101,71,94,87,93,59,70,110,,85.625, 
1994-07-22 00:00:00,9,6,6,10,3,8,5,11,,7.25, ,1994-07-22 00:00:00,78,57,90,58,79,78,54,84,,72.25, 
1994-07-29 00:00:00,5,4,-1,4,7,10,-2,10,,4.625, ,1994-07-29 00:00:00,84,57,81,60,66,41,63,77,,66.125, 
1994-08-05 00:00:00,5,1,-2,7,6,7,-1,9,,4, ,1994-08-05 00:00:00,97,38,84,55,70,26,65,80,,64.375, 
1994-08-12 00:00:00,6,3,5,2,7,8,0,15,,5.75, ,1994-08-12 00:00:00,73,56,80,78,75,45,52,50,,63.625, 
1994-08-19 00:00:00,6,3,-4,7,7,7,-1,6,,3.875, ,1994-08-19 00:00:00,99,37,93,70,76,51,55,86,,70.875, 
1994-08-26 00:00:00,8,4,-1,5,10,5,-5,9,,4.375, ,1994-08-26 00:00:00,85,59,71,65,71,50,52,76,,66.125, 
1994-09-02 00:00:00,8,1,-1,6,7,-2,-1,7,,3.125, ,1994-09-02 00:00:00,83,51,94,84,57,69,42,77,,69.625, 
1994-09-09 00:00:00,15,3,7,6,1,6,5,10,,6.625, ,1994-09-09 00:00:00,76,76,98,96,35,66,72,95,,76.75, 
1994-09-16 00:00:00,11,7,3,2,10,8,2,10,,6.625, ,1994-09-16 00:00:00,67,71,84,88,70,81,67,90,,77.25, 
1994-09-23 00:00:00,-2,4,6,7,11,8,2,8,,5.5, ,1994-09-23 00:00:00,54,69,89,73,52,78,77,91,,72.875, 
1994-09-30 00:00:00,-3,5,0,6,4,7,3,6,,3.5, ,1994-09-30 00:00:00,48,67,84,87,41,79,78,66,,68.75, 
1994-10-07 00:00:00,7,5,3,5,12,2,3,0,,4.625, ,1994-10-07 00:00:00,45,48,94,87,41,62,62,65,,63, 
1994-10-14 00:00:00,2,7,3,6,6,7,3,12,,5.75, ,1994-10-14 00:00:00,24,70,38,77,41,49,29,63,,48.875, 
1994-10-21 00:00:00,6,5,5,0,6,2,2,5,,3.875, ,1994-10-21 00:00:00,60,52,57,63,58,42,71,25,,53.5, 
1994-10-28 00:00:00,2,1,-2,6,9,0,5,0,,2.625, ,1994-10-28 00:00:00,4,34,34,29,36,13,70,23,,30.375, 
