THURS,Desk,Region,Grand Total,2001-11-01 00:00:00,2001-12-01 00:00:00,Total 2001,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,Total 2002,2003-01-01 00:00:00,2003-02-01 00:00:00,2003-03-01 00:00:00,2003-04-01 00:00:00,2003-05-01 00:00:00,2003-06-01 00:00:00,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00,Total 2003,2004-01-01 00:00:00,2004-02-01 00:00:00,2004-03-01 00:00:00,2004-04-01 00:00:00,2004-05-01 00:00:00,2004-06-01 00:00:00,2004-07-01 00:00:00,2004-08-01 00:00:00,2004-09-01 00:00:00,2004-10-01 00:00:00,2004-11-01 00:00:00,2004-12-01 00:00:00,Total 2004,2005-01-01 00:00:00,2005-02-01 00:00:00,2005-03-01 00:00:00,2005-04-01 00:00:00,2005-05-01 00:00:00,2005-06-01 00:00:00,2005-07-01 00:00:00,2005-08-01 00:00:00,2005-09-01 00:00:00,2005-10-01 00:00:00,2005-11-01 00:00:00,2005-12-01 00:00:00,Total 2005,2006-01-01 00:00:00,2006-02-01 00:00:00,2006-03-01 00:00:00,2006-04-01 00:00:00,2006-05-01 00:00:00,2006-06-01 00:00:00,2006-07-01 00:00:00,2006-08-01 00:00:00,2006-09-01 00:00:00,2006-10-01 00:00:00,2006-11-01 00:00:00,2006-12-01 00:00:00,Total 2006,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00,2007-12-01 00:00:00,Total 2007,2008-01-01 00:00:00,2008-02-01 00:00:00,2008-03-01 00:00:00,2008-04-01 00:00:00,2008-05-01 00:00:00,2008-06-01 00:00:00,2008-07-01 00:00:00,2008-08-01 00:00:00,2008-09-01 00:00:00,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00,Total 2008,2009-01-01 00:00:00,2009-02-01 00:00:00,2009-03-01 00:00:00,2009-04-01 00:00:00,2009-05-01 00:00:00,2009-06-01 00:00:00,2009-07-01 00:00:00,2009-08-01 00:00:00,2009-09-01 00:00:00,2009-10-01 00:00:00,2009-11-01 00:00:00,2009-12-01 00:00:00,Total 2009,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,Total 2010,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,Total 2011,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,Total 2012,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,Total 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ROCKIES,948.86,244.49,126.34,370.83,2.52,3.41,3.78,4.16,4,7.48,12.29,16.66,13.64,18.69,19.33,23.18,129.13,27.07,27.04,32.27,34.43,41.66,62.28,75.83,83.19,65.13,0,0,0,448.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SP15,190316.84,199.01,-6.08,192.93,10344.2,9536.23,10318.47,-4.38,-20.27,-51.51,-17.27,-21.8,-23,-42.46,-45.09,-50.94,29922.18,9948.27,9145.87,9862.4,10077.21,10051.42,9639.72,9765.98,9722.16,9307.07,10689.89,9491.81,10269.21,117971.02,183.21,175.56,205.08,63.87,63.53,68.16,54.06,55.64,54.91,58.61,57.71,61.44,1101.78,479.85,469.71,539.48,262.91,257.72,272.87,267.1,293.48,276.14,291.83,284.75,300.25,3996.09,582.79,565.82,644.28,603.32,634.56,599.31,582.34,511.73,478.34,502.87,488,492.02,6685.39,1071.34,995.73,1128.4,1051.94,1101.41,1108.33,1072.33,1165.02,1041.3,1177.86,1096.12,1101.59,13111.37,374.77,361.89,377.99,422.85,424.5,409.62,427.49,428.88,413.62,448.89,401.3,437.23,4929.03,439.67,407.83,444.15,446.35,431.32,450.68,452.79,454.86,439.24,476.41,425.18,444.69,5313.18,583.79,562.36,634.97,613.56,591.99,617.65,619.63,621.55,599.38,588.37,567.26,591.53,7192.05,-11.88,-11.43,-12.89,-12.44,-11.99,-12.49,-12.04,-13.02,0,0,0,0,-98.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WSCC-N,2282.06,139.74,-0.01,139.73,-1.43,-2.06,-3.54,1.88,2.67,12.17,15.85,20.13,21.21,7.82,8.33,9.5,92.55,37.04,37.56,44.77,48.8,52.96,96.28,60.8,64.76,65.84,75.09,70.07,79.51,733.47,93,89.13,104.14,103.79,103.23,110.73,114.1,117.45,115.93,123.71,121.86,129.74,1326.8,-65.75,-64.35,-73.91,-72.57,-71.11,-75.28,-73.71,-80.95,-76.18,-80.5,-78.53,-82.78,-895.63,80.42,78.08,88.91,83.25,87.58,88.53,63.45,69.22,64.7,68.02,66.01,66.55,904.72,44.85,41.68,47.24,44.03,46.11,46.4,44.89,48.77,43.59,49.31,45.88,46.11,548.85,16.06,15.51,16.2,16.26,16.33,15.75,16.44,16.5,15.91,17.27,15.43,16.82,194.48,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72,5.51,6.23,6.02,5.8,6.06,6.07,6.09,5.88,6.13,5.91,6.16,71.58,-100.98,-97.16,-109.56,-105.74,-101.89,-106.18,-102.3,-110.69,0,0,0,0,-834.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WSCC-S,-73951.16,919.41,34998.41,35917.84,-25491.64,14632.86,15817.79,-25084.35,-25151.91,-33824.08,25771.61,26551.18,23408.54,5950.59,5590.39,5585.03,13755.95,-4529.1,-4108.61,-4380.29,-4710.67,-4675.32,-4329.3,-4960.58,-5119.78,-4567.13,-10865.49,-9645.33,-10431.52,-72323.15,-36.28,-47.32,-68.26,-82.33,-11.92,95.57,685.63,702.62,504.91,103.39,101.35,160.97,2108.3,-910.16,-908.44,-1081.01,-1080.76,-947.25,-907.53,-849.4,-911.82,-946.42,-1143.97,-1116.99,-1111.92,-11915.65,-1150.93,-1159.37,-1342.14,-1279.26,-1230.02,-1121.16,-875.62,-930.57,-967.36,-1551.41,-1482.91,-1423.32,-14514.05,-296.04,-276.06,-311.28,-408.1,-324.83,-295.41,388,421.55,298.79,-456.38,-425.73,-427.34,-2112.81,-473.31,-458.07,-476.83,-479.26,-372.27,-358.7,-456.01,-457.49,-494.77,-508.21,-455.35,-482.14,-5472.42,-1101.46,-1022.75,-1112.12,-1118.2,-969.96,-1012.89,-959.03,-963.39,-987.18,-1192.89,-1065.72,-1173.98,-12679.59,-1293.49,-1246,-1406.91,-1359.45,-1195.59,-1247.41,-1214.97,-1218.74,-1234.01,-1415.77,-1364.98,-1423.37,-15620.7,273.24,262.89,296.46,279.88,389.58,405.98,451.32,488.34,392.57,283.74,273.76,285.42,4083.18,275.11,275.71,298.44,276.93,416.89,417.71,464.36,502.47,387.77,302.55,280.6,281.06,4179.59,130.12,120.27,130.48,130.66,130.83,0,0,0,0,0,0,0,642.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WedPos,MID-COLUMBIA,-68713.22,0,0,0,0,0,0,0,0,0,10230.77,10601.06,9401.74,0,0,0,30233.58,16122.31,14841.24,16027.43,15976.96,15923.22,15259.41,15813.05,15755.01,15094.17,16239.2,14380,15515.92,186947.92,-386.31,-355.21,-397.95,-381.64,-365.4,-378.43,-376.78,-375.12,-359.14,-371.83,-355.96,-368.51,-4472.27,2116.15,2022.99,2265.37,2171.66,2078.39,2151.76,2059.26,2213.46,2040.11,2111.62,2021.11,2092.28,25344.15,2002.65,1914.57,2143.93,658.72,681.84,678.72,649.49,698.07,643.32,665.84,637.3,634.31,12008.77,-7550.51,-6939.76,-7769.89,-7160.83,-7411.2,-7376.25,-7057.79,-7584.82,-6709.69,-7510.74,-6920.6,-6885.66,-86877.73,-7124.71,-6817.94,-7054.24,-7018.96,-6982.49,-6679.98,-6910.68,-6874.16,-6575.77,-7065.02,-6250.14,-6738.33,-82092.43,-6705.71,-6162.74,-6643.78,-6612.35,-6326.86,-6548.6,-6516.28,-6484.01,-6204.65,-6667.62,-5898.09,-6357.54,-77128.22,-6082.25,-5812.32,-6505.75,-6233.99,-5963.67,-6171.52,-6139.87,-6108.27,-5844,-6046.29,-5784.51,-5984.55,-72676.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NP15,-973964.76,3020.75,-2125.31,895.43,268.81,247.74,267.89,35049.44,34985.2,33575.43,-7509.52,-7781.3,-6901.01,-3524.11,-3254.83,-3245.75,72178.01,-13240.63,-12188.54,-13162.72,-13121.27,-13077.16,-12531.97,-12986.67,-12939,-12396.3,-33635.66,-29784.81,-32137.56,-211202.28,-7282.14,-6695.91,-7501.51,-7194.2,-6887.94,-7133.6,-6970.38,-6939.64,-6644.13,-6878.92,-6585.32,-6817.4,-83531.12,-35269.2,-33716.57,-37756.09,-36194.35,-34639.79,-35862.59,-34320.98,-36890.95,-34001.83,-35193.7,-33685.11,-34871.39,-422402.55,-22029.16,-21060.29,-23583.2,-21737.7,-22500.88,-22397.62,-21433.23,-23036.34,-21229.68,-21972.56,-21031.06,-20932.29,-262944.01,-4924.25,-4525.93,-5067.32,-4670.1,-4833.39,-4810.6,-4602.9,-4946.62,-4375.89,-4898.31,-4513.43,-4490.65,-56659.39,1548.85,1482.16,1533.53,-915.52,-910.76,-871.3,-901.39,-896.63,-857.71,-921.52,-815.24,-878.91,-3404.44,-874.66,-803.84,-866.58,-862.48,-825.24,-854.17,-849.95,-845.74,-809.3,-869.69,-769.32,0,-9230.96,-528.89,-505.42,-565.72,-542.09,-518.58,-536.65,-533.9,-531.15,-508.17,1051.53,1006,1040.79,-1672.26,497.77,475.59,532.23,509.9,487.69,504.6,482.61,518.43,0,0,0,0,4008.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ROCKIES,-133997.95,-244.49,-1317.82,-1562.31,-1989.87,-1402.12,-1494.17,-1715.4,-3783.35,-8307.25,-10351.68,-11152.03,-6127.15,-5866.13,-4578.94,-5296.05,-62064.15,-5385.78,-4643.39,-4997.1,-4610.19,-5913.05,-10397.46,-12703.73,-13345.52,-8375.28,0,0,0,-70371.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SP15,-2820287.11,-1001.78,-15749.78,-16751.56,-22052.37,-29093.75,-41770.96,8518.93,29046.59,57449.39,15221.48,15772.6,13987.77,22027.59,20344.04,20287.58,109738.89,35547.04,32722.39,35337.66,-34672.92,-34556.64,-33115.67,15098.28,15043.04,14411.77,-106289.04,-94120.73,-101554.88,-256149.69,-28127,-25862.89,-28974.13,-8705.07,-8334.5,-8631.54,-6593.6,-6564.52,-6284.99,-6507.09,-6229.36,-6448.89,-147263.56,-49024.19,-46866.03,-52480.96,-24974.1,-23901.46,-24745.18,-23681.48,-25454.75,-23461.26,-24283.65,-23242.72,-24061.26,-366177.06,-45894.08,-43875.61,-49131.67,-45286.88,-46876.82,-43607.48,-41729.85,-36125.18,-33292.01,-34456.98,-32980.52,-32825.63,-486082.69,-70580.86,-64871.69,-72631.54,-66938.17,-69278.58,-68951.92,-65974.96,-70901.59,-62721.05,-70209.06,-64692.56,-64365.92,-812117.91,-21683.9,-20750.26,-21469.41,-23803.44,-23679.76,-22653.86,-23436.21,-23312.36,-22300.45,-23959.64,-21196.12,-22851.71,-271097.14,-22741.12,-20899.72,-22531.07,-22424.5,-21456.3,-22208.3,-22098.69,-21989.25,-21041.84,-22611.92,-20002.2,-20731.1,-260736.02,-26973.45,-25776.39,-28851.58,-27646.39,-26447.57,-27369.36,-27228.98,-27088.87,-25916.87,-25236.68,-24144.06,-24978.99,-317659.18,497.77,475.59,532.23,509.9,487.69,504.6,482.61,518.43,0,0,0,0,4008.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WSCC-N,-373128.55,-1434.38,3289.08,1854.7,10341.31,9530.78,10306.49,-4117.75,-4110.27,-13802.42,-14324.89,-14843.18,-13164.34,-4222.52,-3900.15,-3889.09,-46196.03,-13303.42,-12246.42,-13225.3,-13183.75,-13139.72,-22128.73,-13048.76,-13000.71,-12455.67,-13400.64,-11866.94,-12803.66,-163803.73,-14296.98,-13146.25,-14727.46,-14124.18,-13522.93,-14005.04,-13944.51,-13882.49,-13291.62,-13761.91,-13174.05,-13638.35,-165515.76,6697.69,6402.87,7170,6873.1,6578.16,6810.64,6517.06,7005.88,6456.97,6683.27,6396.84,6622.75,80215.24,-6344.93,-6065.9,-6792.59,-6261.56,-6480.9,-6450.41,-4546.44,-4886.5,-4503.27,-4660.85,-4461.13,-4440.18,-65894.66,-2954.55,-2715.56,-3040.39,-2802.06,-2900.03,-2886.36,-2761.74,-2967.97,-2625.53,-2938.98,-2708.06,-2694.39,-33995.63,-929.31,-889.3,-920.12,-915.52,-910.76,-871.3,-901.39,-896.63,-857.71,-921.52,-815.24,-878.91,-10707.71,0,0,0,0,0,0,0,0,0,0,0,0,0,-264.45,-252.71,-282.86,-271.04,-259.29,-268.33,-266.95,-265.58,-254.09,-262.88,-251.5,-260.2,-3159.87,4231,4042.53,4523.93,4334.14,4145.4,4289.07,4102.16,4406.68,0,0,0,0,34074.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WSCC-S,1084344.34,-248.98,75507.2,75258.25,-139266.9,43800.03,37802.02,-133499.3,-158881.37,-126649.47,-468090.37,-353280.75,-25470.77,-108071.28,-130695.57,-122776.17,-1685079.92,-142354.88,-132439.79,-143854.36,-34611.4,-40300.61,-44595.41,-113314.15,-109757.23,-101329.09,97045.31,86004.04,92762.49,-586745.04,5350.45,6765.62,9452.54,11011.35,1407.55,-12202.31,-83777.68,-83030.32,-57911.6,-11622.92,-11052.89,-17007.14,-242617.36,92880.69,90545.38,105055.68,102554.47,87759.16,82215.56,75210.51,79002.19,80328.32,95109.7,91100.56,89046.58,1070808.81,90569.52,89840.95,102282.45,95955.36,90803.72,81533.74,62739.07,65686.65,67321.92,106298.8,100214.6,94954.95,1048201.74,19498.31,17981.58,20030.81,25964.13,20427.41,18374.99,-23875.51,-25657.96,-18001.38,27200.07,25123.2,24966.46,132032.14,27381.95,26262.36,27080.34,26975.5,20763.46,19835.05,24996.77,24864.8,26673.03,27121.76,24047.86,25192.73,301195.63,56967.74,52408.65,56412.75,56174.72,48247.46,49910.15,46802.23,46570.59,47288.67,56614.99,50132.38,54730.11,622260.44,59764.7,57112.41,63926.05,61255.72,53413.72,55275.38,53390.15,53115.42,53358.25,60725.77,58096.64,60105.69,689539.9,-11448.6,-10938.6,-12241.22,-11472.73,-15850.04,-16399.39,-18097.74,-19441.21,-15520.12,-11116.13,-10637.01,-11008.22,-164171,-10532.82,-10484.32,-11267.25,-10382.78,-15520.11,-15445.71,-17051.48,-18324.07,-14048.32,-10886.92,-10031.76,-9981.58,-153957.09,-4590.59,-4218.26,-4546.81,-4524.66,-4501.84,0,0,0,0,0,0,0,-22382.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,MID-COLUMBIA,-63893.57,0,0,0,0,0,0,0,0,0,10219.310000000001,10586.539999999999,9386.44,0,0,0,30192.300000000003,16077.109999999999,14795.43,15972.85,15917.48,15858.679999999998,15192.86,15739.05,15676.23,15014.08,16147.87,14294.77,15419.3,186105.72,-383.79,-352.79999999999995,-395.13,-378.83,-362.59999999999997,-375.43,-373.69,-371.94,-356,-368.47999999999996,-352.65999999999997,-365,-4436.35,2095.44,2002.71,2242.08,2148.7999999999997,2055.98,2128.03,2036.0300000000002,2187.94,2016.1,2086.24,1996.35,2066.17,25061.870000000003,1977.22,1889.8799999999999,2115.8199999999997,649.94,672.61,669.39,640.4300000000001,688.1800000000001,634.08,656.12,627.87,624.8,11846.35,-7435.900000000001,-6833.24,-7649.18,-7048.3,-7293.37,-7257.68,-6943.08,-7460.19,-6598.299999999999,-7384.74,-6803.34,-6767.82,-85475.12,-7001.57,-6699.03,-6930.04,-6894.27,-6857.32,-6559.19,-6784.63,-6747.69,-6453.81,-6932.650000000001,-6131.81,-6609.4,-80601.43999999999,-6576.06,-6042.48,-6512.8099999999995,-6480.7300000000005,-6199.67,-6415.71,-6382.759999999999,-6349.88,-6075.129999999999,-6527.14,-5772.72,-6221.17,-75556.27,-5950.61,-5685.509999999999,-6362.57,-6095.639999999999,-5830.18,-6032.25,-6000.15,-5968.120000000001,-5708.85,-5905.33,-5648.6,-5842.83,-71030.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,NP15,-1048656.49,2986.3,-2124.93,861.3499999999999,268.77,247.68,267.78999999999996,4175.760000000002,4167.289999999997,3998.5499999999993,-7501.120000000001,-7770.66,-6889.79,-3517.3900000000003,-3247.68,-3237.66,-19038.410000000003,-3155.33,-2903.800000000001,-3134.879999999999,-3124.0200000000004,-3112.51,-2981.789999999999,-3089.01,-3076.6800000000003,-2946.75,-23354.100000000006,-20674.06,-22300.39,-93853.28,-16829.33,-15470.22,-17326.5,-16612.03,-15900.27,-16462.89,-16255.43,-16179.240000000002,-15486.189999999999,-16029.08,-15340.94,-15877.38,-193769.53,-34923.979999999996,-33378.65,-37367.979999999996,-35813.31,-34266.29,-35467.13,-33933.880000000005,-36465.61,-33601.62,-34770.759999999995,-33272.43,-34436.24,-417697.89,-21749.42,-20788.7,-23273.95,-21448.100000000002,-22196.29,-22089.809999999998,-21134.13,-22710.02,-20924.65,-21651.890000000003,-20719.870000000003,-20618.54,-259305.36000000002,-4849.51,-4456.46,-4988.59,-4596.71,-4756.55,-4733.27,-4528.089999999999,-4865.34,-4303.240000000001,-4816.13,-4436.96,-4413.799999999999,-55744.64,1522.08,1456.3100000000002,1506.53,-899.26,-894.43,-855.55,-884.9499999999999,-880.13,-841.8000000000001,-904.25,-799.8100000000001,-862.0899999999999,-3337.35,-857.75,-788.15,-849.5,-845.3100000000001,-808.65,-836.8399999999999,-832.5300000000001,-828.25,-792.41,-851.37,-752.97,0,-9043.71,-517.4399999999999,-494.39000000000004,-553.27,-530.0600000000001,-506.97,-524.54,-521.75,-518.9599999999999,-496.42,1027.01,982.36,1016.14,-1638.3,485.89,464.15999999999997,519.34,497.46,475.7,492.11,470.57,505.40999999999997,0,0,0,0,3910.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,ROCKIES,-133049.09000000003,0,-1191.48,-1191.48,-1987.35,-1398.7099999999998,-1490.39,-1711.24,-3779.35,-8299.77,-10339.39,-11135.37,-6113.509999999999,-5847.4400000000005,-4559.61,-5272.87,-61935.020000000004,-5358.71,-4616.35,-4964.83,-4575.759999999999,-5871.39,-10335.179999999998,-12627.9,-13262.33,-8310.150000000001,0,0,0,-69922.59000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
