,CINERGY PEAK VOLS,,,
2006-06-01,0.32,0.27,5.0,
2006-07-01,0.42000000000000004,0.30000000000000004,12.0,
2006-08-01,0.42000000000000004,0.30000000000000004,12.0,
2006-09-01,0.25,0.22000000000000003,3.0,
2006-10-01,0.25,0.22000000000000003,3.0,
2006-11-01,0.25,0.22000000000000003,3.0,
2006-12-01,0.27,0.24000000000000002,3.0,
2007-01-01,0.33,0.26,,FG -2 to 06
2007-02-01,0.33,0.26,,
2007-03-01,0.25,0.22,,
2007-04-01,0.25,0.22,,
2007-05-01,0.25,0.22,,
2007-06-01,0.3,0.25,,
2007-07-01,0.4,0.28,,
2007-08-01,0.4,0.28,,
2007-09-01,0.23,0.2,,
2007-10-01,0.23,0.2,,
2007-11-01,0.23,0.2,,
2007-12-01,0.25,0.22,,
2008-01-01,0.32,0.25,,FG -1 to 07
2008-02-01,0.32,0.25,,
2008-03-01,0.24,0.21,,
2008-04-01,0.24,0.21,,
2008-05-01,0.24,0.21,,
2008-06-01,0.29,0.24,,
2008-07-01,0.39,0.27,,
2008-08-01,0.39,0.27,,
2008-09-01,0.22,0.19,,
2008-10-01,0.22,0.19,,
2008-11-01,0.22,0.19,,
2008-12-01,0.24,0.21,,
2009-01-01,0.31,0.24,,
2009-02-01,0.31,0.24,,
2009-03-01,0.22999999999999998,0.19999999999999998,,
2009-04-01,0.22999999999999998,0.19999999999999998,,
2009-05-01,0.22999999999999998,0.19999999999999998,,
2009-06-01,0.27999999999999997,0.22999999999999998,,
2009-07-01,0.38,0.26,,
2009-08-01,0.38,0.26,,
2009-09-01,0.21,0.18,,
2009-10-01,0.21,0.18,,
2009-11-01,0.21,0.18,,
2009-12-01,0.22999999999999998,0.19999999999999998,,
2010-01-01,0.30000000000000004,0.23,,
2010-02-01,0.30000000000000004,0.23,,
2010-03-01,0.22,0.19,,
2010-04-01,0.22,0.19,,
2010-05-01,0.22,0.19,,
2010-06-01,0.27,0.22,,
2010-07-01,0.37,0.25,,
2010-08-01,0.37,0.25,,
2010-09-01,0.2,0.17,,
2010-10-01,0.2,0.17,,
2010-11-01,0.2,0.17,,
2010-12-01,0.22,0.19,,
2011-01-01,0.29000000000000004,0.22,,
2011-02-01,0.29000000000000004,0.22,,
2011-03-01,0.23,0.2,,
2011-04-01,0.23,0.2,,
2011-05-01,0.23,0.2,,
2011-06-01,0.26,0.21,,
2011-07-01,0.37,0.25,,
2011-08-01,0.37,0.25,,
2011-09-01,0.23,0.2,,
2011-10-01,0.23,0.2,,
2011-11-01,0.23,0.2,,
2011-12-01,0.25,0.22,,
2012-01-01,0.29000000000000004,0.22,,
2012-02-01,0.29000000000000004,0.22,,
2012-03-01,0.23,0.2,,
2012-04-01,0.23,0.2,,
2012-05-01,0.23,0.2,,
2012-06-01,0.26,0.21,,
2012-07-01,0.37,0.25,,
2012-08-01,0.37,0.25,,
2012-09-01,0.23,0.2,,
2012-10-01,0.23,0.2,,
2012-11-01,0.23,0.2,,
2012-12-01,0.25,0.22,,
2013-01-01,0.29000000000000004,0.22,,
2013-02-01,0.29000000000000004,0.22,,
2013-03-01,0.23,0.2,,
2013-04-01,0.23,0.2,,
2013-05-01,0.23,0.2,,
2013-06-01,0.26,0.21,,
2013-07-01,0.37,0.25,,
2013-08-01,0.37,0.25,,
2013-09-01,0.23,0.2,,
2013-10-01,0.23,0.2,,
2013-11-01,0.23,0.2,,
2013-12-01,0.25,0.22,,
2014-01-01,0.29000000000000004,0.22,,
2014-02-01,0.29000000000000004,0.22,,
2014-03-01,0.23,0.2,,
2014-04-01,0.23,0.2,,
2014-05-01,0.23,0.2,,
2014-06-01,0.26,0.21,,
2014-07-01,0.37,0.25,,
2014-08-01,0.37,0.25,,
2014-09-01,0.23,0.2,,
2014-10-01,0.23,0.2,,
2014-11-01,0.23,0.2,,
2014-12-01,0.25,0.22,,
2015-01-01,0.29000000000000004,0.22,,
2015-02-01,0.29000000000000004,0.22,,
2015-03-01,0.23,0.2,,
2015-04-01,0.23,0.2,,
2015-05-01,0.23,0.2,,
2015-06-01,0.26,0.21,,
2015-07-01,0.37,0.25,,
2015-08-01,0.37,0.25,,
2015-09-01,0.23,0.2,,
2015-10-01,0.23,0.2,,
2015-11-01,0.23,0.2,,
2015-12-01,0.25,0.22,,
2016-01-01,0.29000000000000004,0.22,,
2016-02-01,0.29000000000000004,0.22,,
2016-03-01,0.23,0.2,,
2016-04-01,0.23,0.2,,
2016-05-01,0.23,0.2,,
2016-06-01,0.26,0.21,,
2016-07-01,0.37,0.25,,
2016-08-01,0.37,0.25,,
2016-09-01,0.23,0.2,,
2016-10-01,0.23,0.2,,
2016-11-01,0.23,0.2,,
2016-12-01,0.25,0.22,,
2017-01-01,0.29000000000000004,0.22,,
2017-02-01,0.29000000000000004,0.22,,
2017-03-01,0.23,0.2,,
2017-04-01,0.23,0.2,,
2017-05-01,0.23,0.2,,
2017-06-01,0.26,0.21,,
2017-07-01,0.37,0.25,,
2017-08-01,0.37,0.25,,
2017-09-01,0.23,0.2,,
2017-10-01,0.23,0.2,,
2017-11-01,0.23,0.2,,
2017-12-01,0.25,0.22,,
2018-01-01,0.29000000000000004,0.22,,
2018-02-01,0.29000000000000004,0.22,,
2018-03-01,0.23,0.2,,
2018-04-01,0.23,0.2,,
2018-05-01,0.23,0.2,,
2018-06-01,0.26,0.21,,
2018-07-01,0.37,0.25,,
2018-08-01,0.37,0.25,,
2018-09-01,0.23,0.2,,
2018-10-01,0.23,0.2,,
2018-11-01,0.23,0.2,,
2018-12-01,0.25,0.22,,
2019-01-01,0.29000000000000004,0.22,,
2019-02-01,0.29000000000000004,0.22,,
2019-03-01,0.23,0.2,,
2019-04-01,0.23,0.2,,
2019-05-01,0.23,0.2,,
2019-06-01,0.26,0.21,,
2019-07-01,0.37,0.25,,
2019-08-01,0.37,0.25,,
2019-09-01,0.23,0.2,,
2019-10-01,0.23,0.2,,
2019-11-01,0.23,0.2,,
2019-12-01,0.25,0.22,,
