36.0,AUGMENT PURCHASE POST 2001,1309,1368,1175,1315,1243,1282,,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1315,1315,1315,1315,1315,1315,1315,1315,1315,1315,1315,1315,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243
37.0,TOTAL RESOURCES,9675.375,9643.291666666666,9573.375,9575.875,9633.041666666666,9620.191666666666,,9606,9367,10561,9185,9602,8460,8616,11218,10056,10433,9776.5,9224,9666,9459,10654,9279,9691,8550,8214.5,10310,10154,10544,9876,9322,9510,9275,10471,9097,9505,8363,8537,11132,9975,10350,9610.5,9055,9589,9424,10620,9247,9651,8516,8180,10275,10043,10416,9753.5,9196,9518,9354,10552,9178,9578,8444,8615.5,11212,9977,10348,9690,9130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RESERVES MAINTENANCE & DISTRIBUTION LOSSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,HYD SM THRM & MISC RES 18/,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.0,LARGE THERMAL RESERVES 19/,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.0,SPINNING RESERVES 20/,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.0,FEDERAL HYDRO MAINT 21/,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.0,FED TRANSMISSION LOSSES,-272.875,-271.9166666666667,-270,-270,-271.625,-271.28333333333336,,-271,-264,-298,-259,-271,-239,-243,-316,-284,-294,-275.5,-260,-273,-267,-300,-262,-273,-241,-231.5,-291,-286,-297,-278.5,-263,-268,-262,-295,-257,-268,-236,-241,-314,-281,-292,-271,-255,-270,-266,-299,-261,-272,-240,-230.5,-290,-283,-294,-275.5,-259,-268,-264,-298,-259,-270,-238,-243,-316,-281,-292,-273.5,-257
43.0,NET RESOURCES,9402.5,9371.375,9303.375,9305.875,9361.416666666666,9348.908333333333,,9335,9103,10263,8926,9331,8221,8373,10902,9772,10139,9501,8964,9393,9192,10354,9017,9418,8309,7983,10019,9868,10247,9597.5,9059,9242,9013,10176,8840,9237,8127,8296,10818,9694,10058,9339.5,8800,9319,9158,10321,8986,9379,8276,7949.5,9985,9760,10122,9478,8937,9250,9090,10254,8919,9308,8206,8372.5,10896,9696,10056,9416.5,8873
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SURPLUS/DEFICITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,FIRM SURPLUS/DEFICIT,-0.125,-4.083333333333333,0.125,-0.2916666666666667,-0.3333333333333333,-0.9416666666666667,,816,-147,-133,-2528,-2208,-1988,-1390.5,2672,1827,2255,1089,-266,647,-292,-286,-2190,-1879,-1649,-1712.5,1873,1960,2347,1245.5,-113,548,-431,-425,-2452,-2030,-1920,-1448,2895,1920,2340,1183.5,-179,824,-170,-176,-2360,-2068,-1824,-1850.5,2022,2021,2426,1249,-97,702,-406,-435,-2481,-2192,-1890,-1274.5,2791,1917,2340,1143.5,-219
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BPA RESOURCES,8366.375,8275.291666666666,8398.375,8260.875,8390.041666666666,8338.191666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SUBSCRIPTION RESOURCES,5996.083333333333,6035.166666666666,6361.125,6293.375,6485.208333333332,6234.191666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUGMENTATION,1309,1368,1175,1315,1243,1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SUBSCRIPTION LOADS,7032.333333333334,7135.333333333333,7266,7338.666666666667,7456.916666666667,7245.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA Power Sales,186.33333333333334,128.75,110,110,87.75,124.56666666666668,,178,174,174,170,170,170,200,200,200,200,200,200,170,170,170,95,95,95,125,125,125,125,125,125,95,95,95,95,95,95,125,125,125,125,125,125,95,95,95,95,95,95,125,125,125,125,125,125,95,95,95,95,95,95,75,75,75,108,75,75
,PA SSP,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,PA Presub,899.4166666666666,911.25,916.4166666666666,921.6666666666666,851.5,900.05,,785,861,955,977,956,873,831,902,956,979,930,788,800,876,970,992,972,889,846,917,962,983,935,793,804,881,975,998,978,893,852,922,967,988,941,798,809,886,980,1003,983,899,857,928,972,994,946,803,814,891,986,911,892,807,765,836,881,903,841,691
,,1085.75,1040,1026.4166666666665,1031.6666666666665,939.25,1024.6166666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
