Case / Topic,Docket Number,Initial Filing Date,Proposal / Complaint / Motion / Issues Raised,Enron's Positions,Next Agency Action Date,Next Enron Action Date,Update,Date Updated,Government Affairs Contact,Document Link
CPUC - Motion for Interim Relief,EL00-95-000 and EL00-98-000 (Consolidated),2000-10-19 00:00:00,"Until FERC finishes it's investigation FERC should require price cap based on forecast load levels, fuel costs and heat rates of gas-fired generators.  ISO would post hourly caps prior to day-ahead market.  ($65-70 for 34,000MW load and maximum of $120/MWh when load over 40,000 MW.)    FERC should also require jurisdictional generators and marketers to offer a percentage of their gen to retailers at FERC regulated price over the next 18-36 months.",,See F4,See G4,See Row H4 FERC Proposed Order Summary.  Order states parties can renew their motion in their 11/22 comments.   ,2000-11-07 00:00:00,Mary Hain & Sue Mara,
PG&E / SCE /TURN Motion,EL00-95-000 and EL00-98-000 (Consolidated),2000-11-16 00:00:00,"Find markets not workably competitive, make market monitoring reports part of the record, Emergency interim relief: $100 price cap in ISO and PX markets (including OOM), ISO authority to compel units w/ PGAs to operate  (with OOM exception to avoid black-outs)  Require all FERC jurisdictional sellers that are subject to a PGA to submit cost-of-service filings w/in 30 days of FERC order.  Institute expedited proceedings to adopt market mitigation measure to replace price cap and determine refund responsibility.",Asked commission to allow us to file comments after 11/1 order.,See F4,See G4,See Row H4 FERC Proposed Order Summary.  Order states parties can renew their motion in their 11/22 comments.   ,2000-11-01 00:00:00,Mary Hain & Sue Mara,http://rimsweb1.ferc.fed.us/rims.q?rp2~Docknum
SCE/PG&E Revenue Undercollections,,,"Both SCE and PG&E filed motions to revise Commission Decisions which prevent them from carrying costs incurred during the transition period into the post-transition era.  PG&E and SCE are concerned about their ability to recover an increasing undercollection resulting from the rate freeze.  TURN had filed a motion that would allow PG&E/SCE to fold the undercollection into their stranded costs and maintain the same recovery period through 2001.  The Commission has indicated that they are only interested in interim accounting measures to provide relief.  The TURN measure gives the utilities an opportunity of recovery, which they can present to Wall Street in order to continue to issue s-t debt.  It is not a long-term solution, however, such a solution will not be dealt with in this proceeding.  There is another docket that will be opened in December to deal more broadly with issues around the continuation of the rate freeze.  Also this is likely to be the basis of a settlement going into the next legislative session.",Generally supportive of TURN's comments,"Filed comments 11/9 and are in the process of filing reply comments, due 11/17.",,There was unanimous consumer protest against the utilities proposals to flow through the undercollections.,2000-11-13 00:00:00,Mona Petrochko,
SDG&E Answer to PG&E / SCE / TURN,,2000-11-20 00:00:00,"Independent Board, replace zonal w/ LMP, PX forward market only ISO running real-time, hour ahead, and day-ahead market,  ISO integrating short term power, ancillary service and transmission market, Replace inter-zonal rights with PTP transmission, Get rid of portfolio bidding - bid each unit separately",Asked commission to allow us to file comments after 11/1 order.,See F4,See G4,See Row H4 FERC Proposed Order Summary.  Order states parties can renew their motion in their 11/22 comments.   ,2000-11-15 00:00:00,,
CA Attorney General Investigation,,,,,,,Enron is reportedly not on the Investigation list.,,,
CAISO Compliance Filing - FERC Order Transmission Access Charges,ER00-2019-002,2000-10-27 00:00:00,"Order accepts ISO's proposal regarding the rejection of the ""buy down"" proposal and rejects the additional tariff sheets to place on file the sum of updated tariff sheets unrelated to the filing.",,Requests for rehearing due 11/27/00.,,City of San Diego filed an executied Non-Disclosure Certificate on 10/31/00,2000-11-06 00:00:00,,http://cips.ferc.fed.us/Q/CIPS/ELECTRIC/ER/ER002019.00K.TXT
CAISO Rate Filing - Unbundled Grid Management Charges,ER01-313,2000-11-01 00:00:00,"California Independent System Operator Corporation submits for approval its unbundled grid management charge filing, dated November 1, 2000.  (2 Volumes)  Request an effective date of 1/1/2001 Unbundles services into three categories: Control area services/scheduling; inter-zonal scheduling; market operations/billing and settlements",,Comments due 11/22/00,,,2000-11-06 00:00:00,,http://rimsweb1.ferc.fed.us/rims.q?rp2~rimsdocinfo~2101193 http://rimsweb1.ferc.fed.us/rims.q?rp2~rimsdocinfo~2101208
CAISO - Notice of Implementation,ER00-2383-000,2000-10-17 00:00:00,Filing specifies that effective 10/26/00 the CAISO will begin implementation of adjustment bids in conjunction with inter-scheduling coordinator energy trades.  Filing noticed 10/23,,Protests due 11/7,,,2000-11-02 00:00:00,,
Nevada - Provider of Last Resort Regulations,97-8001,,Purpose of the proposed regulation is to establish how the commission will select providers of last resort and the standarda that potential providers must meet and to define the relationship between an electric distribution utility and a PLR.,Monitoring role,,,,,Paul Kaufman,http://puc.state.nv.us/electric/78001.htm
Nevada - Investigation into Electric Resource Reliability Issues,00-6033,,Investigation into electric resource reliability issues as a result of the electric industry restructuring.,Monitoring role,"Comments due 11/10/00, Workshop 11/27",,"Reliability enhancement Workgroup met on 11/7/00 to address process and schedule rquirement for implementing enhancement programs and resources prior to summer 2001.  By 12/31/00 NPC and Sierra will file an advice letter revising Rule 15 such that parallel operation of generators can occur before competition begins and supporting tariffs. Participants will also develop ""load shedding"" tariffs and submit drafts to staff by 11/28/00.  More information is available on the PUCN website.",2000-11-13 00:00:00,Paul Kaufman,http://puc.state.nv.us/electric/06033.htm
Sierra Pacific/Nevada Power -Open Access Transmission Tariff,ER00-3188,2000-10-27 00:00:00,"Ferc approved the use of ""Firm Import Rights"" when retail access commences.  FERC states that ""for reatil copetition to work, competitors must have access to import capacity that is currently held by applicants on a first-in-time basis.  They are phusical rights to transmission service and do not eneitle the holder to congestion revenues; tey have a term of one year or less and are use it or lose it - must be scheduled in the day ahead.",,Compliance Filing Due 11/30/00,,,2000-11-06 00:00:00,,http://rimsweb1.ferc.fed.us/rims.q?rp2~getImagePages~2100343~30~14~1~50
Arizona Public Service - Quarterly Refund Payments,ER01-177-000,2000-10-26 00:00:00,10/19 filed quarterly refund payments to eligible wholesale customers under is Fuel Cost Adjustment Clause.,,Protests Due 11/9/00,,,2000-11-06 00:00:00,,http://rimsweb1.ferc.fed.us/rims.q?rp2~getImagePages~2100246~30~2~1~50
"US DOE - Bonneville Power Administration, Targeted Adjustement Charge for Uncommitted Loads",EF00-2013-000,2000-10-26 00:00:00,Order issued confirming and approving BPA's targeted adjustment charge for uncommitted loads to enable BPA to recover costs of serving new load that was unanticipated and not forecasted in its 1996 rate case.,,Requests for rehearing due 11/27/00,,,2000-11-07 00:00:00,,http://rimsweb1.ferc.fed.us/rims.q?rp2~getImagePages~2099766~30~3~1~50
Puget Sound Energy,EL01-10-000,2000-10-26 00:00:00,"Petitions the FERC for an order capping the prices at which sellers subject to Commission jurisdiction , including sellers of energy or capacity under the WSPP Agreement may sell capacity or energy into the Pacific Northwests wholesale power markets.",Opposing Puget's request,,Protests Due 11/16/00,,2000-11-15 00:00:00,Mary Hain & Sue Mara,
Arizona Independent Scheduling Administrator (AISAA),ER00-3583-000,2000-09-01 00:00:00,"Filed the AISA tariff including a protocols manual, two pro formas agreements, a rate schedule, Articles of Incorporation and By-laws.  AISA is requesting the the Commission accept and permit them to take effect November 1, 2000.",,"Comments, protests & interventions due 11/15/00",,FERC responded w/deficiency letter indicating APS & TEP had not updated their OATT's to reflect the protocols manual additions.  ER01-173-000 and ER01-208-000 respectively have since been filed.  Comments due 11/8 and 11/15.,2000-11-13 00:00:00,,http://rimsweb1.ferc.fed.us/rims.q?rp2~getImagePages~2085592~28~216~1~50
Pacificorp application for approval of revised tariffs for Electric Service in Oregon,UE 116,,Pre-hearing conference was held 10/24/00 and all petitionswere granted.  Future schedule was adopted,,12/15/00 Petitions to Intervene Due,,,2000-11-13 00:00:00,,http://www.pacificorp.com/regulatory/or.htm
PG&E Petition to Modify CPUC Decision,,,PG&E is attempting to modify Decision stating that they are under no obligation to provide the above market credit to ESP's unless the ESP can prove that the credit is being passed on to theend use customer.  They are currently in violation of the existing decision and we expect a similar filing from SCE.,Opposed,,,,2000-11-13 00:00:00,Sue Mara/Mona,
Federal suits against the California PUC filed by PGE & SCE,??,Last Two Weeks,"PGE & SCE have sued the California PUC in federal court to require the PUC to permit the utilities to flow through procurment costs (i.e., receive compensation for any undercollections) ",No action,??,,,,Mona Petrochko,
Edison proposal filed with PUC to address undercollection issue,,2000-11-16 00:00:00,"Edison proposes to declare the rate freeze over, raise frozen rate by 10% and keep in place for 5 years",Supportive of finding a solution; oppose Edison's proposal,??,??,,,,
