Issues and Questions,,,,,,,
Note - Blue shaded rows are closed questions/issues,,,,,,,
"Issue
#",Area,Status,Originator,Priority,Short Description,Action Owner,Status/Resolution
41,EES & EWS Volume Mgt Settlement,Open,Accenture,,How does ROC interface with Wholesale Scheduling?,,ROC get instructions from EES traders and provides scheduling information to EWS schedulers who will interact with the RTO for dispatchable load (the ROC will actually control assets as well).
42,Valuation and Risk Analysis,Open,Accenture,,Is VAR and Credit analysis already completed in an integrated EES /EWS fashion,,
43,Valuation and Risk Analysis (EWS),Open,Accenture,,Why is full requirements valuation calculation too slow,,
44,Valuation and Risk Analysis (EWS),Open,Accenture,,What is the issue associated with an inability to disaggregate gas deals,,
45,General,Open,Accenture,,Where does retail bill calculation take place - in valuation as part of the MTM / in settlement?,,
46,Valuation and Risk Analysis (EWS),Open,Accenture,,What is different between the flash report and the latest MTM from risk analysis,,
47,Volume Management through Invoicing (EWS),Open,Accenture,,What is the issue with the interface between trading and settlement (why do we need reconciliation),,
48,Volume Management through Invoicing (EWS),Open,Accenture,,Explain how flash to actual exceptions are handled (how difficult),,
49,Volume Management through Invoicing (EWS),Open,Accenture,,"Are adjustments easily explained during checkout with counterparties (e.g., new deals from prior period adjustments which are invalid)",,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
