Counter Party,P&L
EQUILONENTLLC,6839.6489
ERCOT-IMBALANCE,0
EUGENEWATELE,10401635.6499
EXELONGENCOM,4872889.8387
EXPRESSPIPPAR,3445276.9447
FIRSTENESOL,1943887.1949
FLORIDAPOWCOR,70507.495
FP&L,3991.5677
FPLENEPOW,-11850706.7486
FRANKLINCOUPUD,0
FRESHEXPINC,51754.9882
FRONTERAGENLP,-1505077.8167
GE,-835.2455
GENSYSENE,372102.2687
GLENDALECIT,109761.9114
GMP,189845.359
GPUSERJER,3109012.3352
GPUSERMET,8313299.2431
GPUSERPENN,7443875.8185
GREATBAYPOW,-456159.7415
HAFSLUNDENETRA,-35590.9281
HANSONPERCEM,4995179.5917
HOLNAM,2530772.4433
HQENESER1,10334500.977699999
IDACORPENE,-3908.3708
IDACORPENECOR,50402902.1258
IDAHOPOWER,1324393.1798
INDECKPEPPOW,-221000.4208
INDIANAPPOWLIG,1866027.0752
INTELCOR,440798.3351
INTERRECTCOR,32180.4083
JACKSONVILLELEA,-3135203.6451000003
KNAUFFIBGLA,6919450.4755
LASSEN,4362330.4306
LGEENEMAR,12999171.5071
LOSANGELWATPOW,217774.8473
LOUISIANAPACOR,6694271.3988
LOWERCOLRIVAUT,3608696.7721999995
LUZENACAME,4507165.5478
MACLARENENE,-833885.793
MCMINNWATLIGH,-646929.0243
MERCEDIRRDIS,6864773.4573
MERCHANTENEGRO,0
MERRILL,12448099.8773
METROPOLWATDIS,2912316.8389
MICHIGANSOUCEN,1023879.2631
MIDAMERIENECO,-1047692.1258
MIECO,-9994383.7767
MINNESOTMUNPOW,0
MINNESOTPOW,883403.1201
MIRANTAMEENE,133344.40579999983
MISSOURIJOIMUN,-742273.5563999999
MODESTOIRR,-1990470.1945999998
MORGAN,-91101583.1023
NCPA,3641920.3399
NEWALBPOW,0
NEWENGPOW,-917964.5957
NEWPOWCOM,6415811.4599
NEWYORIND,0
NG-X-OPT-PWR,0
NORTHEASTUTISER,-509406.4489
NORTHERNSTAPOWC,-105146.493
NOVEINV,164.8854
NPC,227984204.1475
NRGPOWMAR,-10690388.940599998
NSTARELE,9742140.0882
NYSEG,-7851.6377
OAKLANDMUNCORP,4206826.0333
OGEENERES,188593.3767
OGLETHORPOW,124288.1022
OLDDOMINELE,8574574.4107
OMAHAPUBPOW,-903528.8454000009
ONEOKPOWMAR,-159671.4433
ONTARIOPOWGEN,0
OTTERTAIPOW,132283.7716
PACIFICOPOWMAR,8269015.8501
PACIFICOR,2776128.6574
PALOALTOCIT,39828455.6234
PASADENA,62863.374
PEPCOENESER,-154540.171
PGEENEPOWLP,-112250601.506
PILOTPOWGRO,0
PINNACLEWESCAPC,-1624032.0289
PJMINTL L,0
PORTLANDGENELE,1770.7313
POWEREXCOR,-46864990.2452
PPL E,-11961804.482299998
PPLMON,-17052322.4921
PSEGENERES,-11188166.043100001
PUBLICSERNM,758045.8609
PUBSERCOLORADO,0
PUDGRAYSHARBOR,408532.3788
PUDOUGLASCTY,219492.3035
PUDSNOHOMISHCTY,113757616.0318
PUGETSOUENE,1489022.9528
PUGRANTCTY,12721789.667100001
QUIETLLC,6750.6486
RAINBOWENEMAR,33420.9302
REDDING,21168660.887
RELIANTENEHLP,-101026.21560000003
RELIANTENESER,-26394374.8411
RG&E,2466242.3139
SANDIEGO,-33233.9136
SANTACLARA,105728358.2513
SCE&G,0
SEATTLECITLIG,-1773129.764
SELECTENE,9394068.4837
SELECTENENEW,253430.3821
SEMPRAENETRA,0
SIERRA PACIFIC,113166301.6083
SIERRAPACHOL,238622.3289
SIERRAPOWCOR,0
SITHEPOWMARLP,-4937292.038500001
SMUD,5288352.080399999
SMURFITSTOCON,20482218.1956
SOUTHERNCOMSER,-3096796.1288
SOUTHERNINDGASE,-538082.23
SPLITROCENE,407078.6397
SRP,-6575999.0212
STHRNILPWR,158952.7426
STRATEGENELLC,885095.4126
TAUNTONMUNLIG,4426999.1564
TENASKAPOWSER,-82953.1756
TRACTEBEENEMAR,-29439837.079
TRANSAENEMARUS,-9835061.3741
TRANSALTENEMAR,77493.8642
TRANSCANPOWDIV,8971885.3476
TRISTAGEN,0
TUCSON,-1031253.7907
TURLOCKIRRDIS,1224368.9317
TXUELECO,91595.09880000004
TXUENETRA,295181.7764999997
UNITEDILLUMCO,45478975.6974
UNITEDSTAGYPCOM,0
UTAHASSMUNPOWSY,15449711.0516
VALLEYELECTRIC,14781848.1671
VERMONTPUBLIC,-1193959.0287
VERNONCIT,4724854.6728
VIRGINIAELEPOW,101456977.4748
WABASHVALPOWASS,16428864.9254
WAPADESERTSW,125882292.4679
WAPADESERTSWAFB,25494131.5145
WAPASIERRANEV,-38876.7236
WELDEDTUBCO,80495.3887
WESTAREACRSP,0
WESTERNRES,5018898.4179
WILLIAMSENEMAR,-171825708.9205
WIND,293951.404
WISCONSINELEPOW,3130568.5494
WPSENGRYSVC,864189.3289
XCELENE,858087.9076999999
Grand Total,986414194.5185996
