,ML7/CG,,,,,,,,,A,,-0.1453744350893394,,-1.2165877052181973,,-4.7327160319323935,,-4.3294204844565,,-17.176135606052156,,-27.600234262748586,
,VENTURA/DEMARCATION,,,,,,,,,A,,-0.3167232094046879,,-3.291718631883958,,-15.045369869879734,,-10.44972669099246,,-75.78821647113158,,-104.89175487329241,
,MID-CONTINENT,IF-ANR SE/SW,IF-NGPL/MIDCON,GD-MRT/MAINLINE,IF-NORAM/EAST,IF-ONG/OKLAHOMA,IF-PAN/TX/OK,IF-WNG/TOK,IF-ANR/OK,A,,5.119103859243815,,23.901261101809617,,31.593029391087185,,11.849649209485968,,66.84924304903993,,139.31228661066652,
,Other,,,,,,,,,A,,0.07919083708471407,,0.24150998496399478,,0.7579232006676531,,0.2845284366302396,,0.895970563129231,,2.2591230224758325,
,Total,,,,,,,,,,,8.772320064552247,,9.894178831635848,,42.39474831935044,,-65.08716399137668,,-129.4399719458391,,-133.4658887216772,
,East & Texas Region Notional,,,,,,,,,,,,,,,,,,,,,,
,IF-TRANSCO,IF-TRANSCO/Z6,,,,,,,,A,,-7.277001595966314,,-9.935979529138699,,-7.7770286694094715,,17.572589496569826,,176.64142013670863,,169.22399983876397,
,IF-TETCO,IF-TETCO/STX,,,,,,,,A,,4.643137129440229,,2.417253630675382,,0.675007499970512,,-12.768425310896944,,-60.90168638286924,,-65.93471343368006,
,IF-CGT/CITYGATE,,,,,,,,,A,,-0.3449383050473145,,-13.880126420522418,,-30.902325232275082,,-7.422743586947101,,-222.6794236243879,,-275.2295571691798,
,IF-CNG/CITYGATE,IF-CNG/N_CITYGA,,,,,,,,A,,5.585623323194618,,-13.26232317642751,,-16.045472843992908,,-17.283638292987714,,35.89607667307594,,-5.10973431713758,
,IF-TENN,IF-TENN/Z5,IF-TENN/Z6,,,,,,,A,,2.654559572830475,,5.601883140131555,,11.104540200445726,,-0.3326936053859235,,-105.6424661803161,,-86.61417687229428,
,Other,IF-FGT/Z3,IF-HEHUB,IF-SONAT/LA,IF-TGT/ZSL,NGW-ALGO/CITY,NGW-IROQ/Z2,,,A,,4.186804863303497,,4.32563471247558,,-20.15867953420669,,-26.577063482525865,,-602.9273328623236,,-641.1506363032771,
,Total,,,,,,,,,,,9.44818498775519,,-24.7336576428061,,-63.1039585794679,,-46.8119747821737,,-779.613412240112,,-904.814818256805,
,TOTAL BASIS,,,,,,,,,,,-3.03135262489939,,-54.5796821912044,,-87.0251581032747,,-151.474174469218,,-1017.06454704431,,-1313.17491443291, 
,,,,,,,,,,,,,,,,,,,,,,,
,CONTACT,,,,,,,,,,EXT,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,MONICA HWANG,,,,,,,,,,3-5070,,,,,,,,,,,,
,CHRIS ELLIOT,,,,,,,,,,3-7330,,,,,,,,,,,,
],TOM DONOVAN,,,,,,,,,,3-7847,,,,,,,,,,,,
,CATHY PITTENGER,,,,,,,,,,3-9292,,,,,,,,,,,,
