Overall Summary for All Cases Examined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results in Mdth/d by Contract Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Study 2,Study 2,,Study 1,Study 1,,Study 1b,Study 1b,,Study 3,Study 3,,Study 3b,Study 3b,,Study 4a,Study 4a,,Study 4b,Study 4b,,Study 5a,Study 5a,,Study 5b,Study 5b,,Study 6a,Study 6a,,Study 6b,Study 6b,
9L6T,West Texas Gas ,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,
,Sub-total,,222225,0,,222225,0,,222225,0,,222225,0,,222225,0,,222225,0,,222225,0,,222225,0,,222225,0,,222225,0,,222225,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD Contracts Flowing to California Delivery Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9MN4,"ABQ Energy Group, Ltd ",,2016,0,,2016,61,,2016,0,,2016,523,,2016,29,,2016,856,,2016,733,,2016,468,,2016,206,,2016,221,,2016,101,
9MDU,AEP Energy Services ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
9M84,Aera Energy LLC ,,7664,0,,7664,0,,7664,0,,7664,0,,7664,0,,7664,0,,7664,0,,7664,0,,7664,0,,7664,0,,7664,0,
9M85,Aera Energy LLC ,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,
9MDM,Allegheney Energy ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
9MCA,"Allegheny Energy Supply Company, LLC ",,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,
9MCX,"Allegheny Energy Supply Company, LLC ",,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
9MEQ,"Allegheny Energy Supply Company, LLC ",,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,
9M24,BP Energy ,,9580,0,,9580,550,,9580,0,,9580,3063,,9580,230,,9580,4181,,9580,3944,,9580,3107,,9580,1873,,9580,1778,,9580,865,
9M3B,BP Energy ,,15995,0,,15995,0,,15995,0,,15995,0,,15995,0,,15995,0,,15995,0,,15995,0,,15995,0,,15995,0,,15995,0,
9MEX,BP Energy ,,3413,0,,3413,197,,3413,0,,3413,1092,,3413,82,,3413,1491,,3413,1407,,3413,1108,,3413,669,,3413,635,,3413,310,
9MCQ,Burlington Resources ,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,
9MFH,Burlington Resources ,,3033,0,,3033,90,,3033,0,,3033,785,,3033,43,,3033,1275,,3033,1098,,3033,702,,3033,310,,3033,330,,3033,149,
97YW,Burlington Resources Marketing Inc. ,,84909,0,,84909,2496,,84909,0,,84909,23763,,84909,1154,,84909,41477,,84909,33748,,84909,20836,,84909,8799,,84909,9312,,84909,4134,
9M7X,Burlington Resources Marketing Inc. ,,14349,0,,14349,423,,14349,0,,14349,3652,,14349,196,,14349,5865,,14349,5084,,14349,3284,,14349,1461,,14349,1554,,14349,700,
9M7Y,Burlington Resources Marketing Inc. ,,38321,0,,38321,1127,,38321,0,,38321,9853,,38321,522,,38321,15961,,38321,13781,,38321,8807,,38321,3899,,38321,4146,,38321,1866,
9M7Z,Burlington Resources Marketing Inc. ,,49631,0,,49631,1459,,49631,0,,49631,12799,,49631,674,,49631,20787,,49631,17930,,49631,11421,,49631,5049,,49631,5370,,49631,2417,
9M86,City of Los Angeles DWP ,,23033,0,,23033,678,,23033,0,,23033,5942,,23033,314,,23033,9711,,23033,8322,,23033,5303,,23033,2344,,23033,2493,,23033,1122,
9M87,City of Los Angeles DWP ,,13795,0,,13795,406,,13795,0,,13795,3561,,13795,188,,13795,5817,,13795,4986,,13795,3177,,13795,1404,,13795,1493,,13795,673,
9MD6,Coral Energy Resources ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
9MF4,Coral Energy Resources ,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,1632,,3413,1531,,3413,1577,,3413,1467,
9MR9,Duke Energy Trading & Marketing ,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,
9MRA,Duke Energy Trading & Marketing ,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,
9MC2,Duke Energy Trading and Marketing ,,6820,0,,6820,0,,6820,0,,6820,0,,6820,0,,6820,0,,6820,0,,6820,0,,6820,0,,6820,0,,6820,0,
9MC9,Duke Energy Trading and Marketing ,,13948,0,,13948,0,,13948,0,,13948,0,,13948,0,,13948,0,,13948,0,,13948,0,,13948,0,,13948,0,,13948,0,
9MD4,Duke Energy Trading and Marketing ,,40403,0,,40403,0,,40403,0,,40403,0,,40403,0,,40403,0,,40403,0,,40403,0,,40403,0,,40403,0,,40403,0,
9ME3,Duke Energy Trading and Marketing ,,100000,0,,100000,0,,100000,0,,100000,0,,100000,0,,100000,0,,100000,0,,100000,0,,100000,0,,100000,0,,100000,0,
9MEN,Duke Energy Trading and Marketing ,,29487,0,,29487,0,,29487,0,,29487,0,,29487,0,,29487,0,,29487,0,,29487,0,,29487,0,,29487,0,,29487,0,
9MEZ,Duke Energy Trading and Marketing ,,13651,0,,13651,0,,13651,0,,13651,0,,13651,0,,13651,0,,13651,0,,13651,0,,13651,0,,13651,0,,13651,0,
9MCC,Dynegy Marketing and Trade ,,11926,0,,11926,0,,11926,0,,11926,0,,11926,0,,11926,0,,11926,0,,11926,0,,11926,0,,11926,0,,11926,0,
9MD7,Dynegy Marketing and Trade ,,34253,0,,34253,0,,34253,0,,34253,0,,34253,0,,34253,0,,34253,0,,34253,0,,34253,0,,34253,0,,34253,0,
9MF3,Dynegy Marketing and Trade ,,10238,0,,10238,0,,10238,0,,10238,2543,,10238,0,,10238,3737,,10238,2819,,10238,2233,,10238,790,,10238,12,,10238,0,
9MBV,El Paso Merchant Energy Gas ,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,
9MCB,El Paso Merchant Energy Gas ,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,
9MD5,El Paso Merchant Energy Gas ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
9ME2,El Paso Merchant Energy Gas ,,239106,0,,239106,13720,,239106,0,,239106,78277,,239106,5719,,239106,109786,,239106,102019,,239106,78466,,239106,46710,,239106,44319,,239106,21564,
9MEB,El Paso Merchant Energy Gas ,,1225,0,,1225,72,,1225,0,,1225,404,,1225,30,,1225,567,,1225,526,,1225,407,,1225,241,,1225,228,,1225,112,
9MF2,El Paso Merchant Energy Gas ,,3413,0,,3413,197,,3413,0,,3413,1120,,3413,82,,3413,1572,,3413,1461,,3413,1123,,3413,669,,3413,635,,3413,310,
9MBU,Enron North America ,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,
9MD3,Enron North America ,,22836,0,,22836,0,,22836,0,,22836,0,,22836,0,,22836,0,,22836,0,,22836,0,,22836,0,,22836,0,,22836,0,
9ME4,Enron North America ,,200000,0,,200000,11476,,200000,0,,200000,65474,,200000,4784,,200000,91831,,200000,85335,,200000,65545,,200000,39072,,200000,37072,,200000,18037,
9ME9,Enron North America ,,16450,0,,16450,945,,16450,0,,16450,5388,,16450,395,,16450,7557,,16450,7023,,16450,5395,,16450,3215,,16450,3050,,16450,1485,
9MK4,Enron North America Corp. ,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,
9MEP,Kerr-McGee Corporation ,,471,0,,471,15,,471,0,,471,125,,471,8,,471,203,,471,174,,471,111,,471,50,,471,52,,471,24,
9MDG,Mexicana de Cobre ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
9MDQ,MGI Supply ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
9MEK,Mirant Americas Energy Marketing ,,5909,0,,5909,175,,5909,0,,5909,1527,,5909,81,,5909,2497,,5909,2139,,5909,1364,,5909,602,,5909,641,,5909,289,
97YX,Mission Energy Fuel Company ,,7161,0,,7161,412,,7161,0,,7161,2485,,7161,172,,7161,3698,,7161,3251,,7161,2477,,7161,1427,,7161,1347,,7161,646,
9MBZ,Occidental Energy Marketing ,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,
9MEA,Occidental Energy Marketing ,,2718,0,,2718,81,,2718,0,,2718,705,,2718,38,,2718,1151,,2718,985,,2718,629,,2718,278,,2718,296,,2718,134,
9MED,Occidental Energy Marketing ,,2786,0,,2786,83,,2786,0,,2786,722,,2786,38,,2786,1179,,2786,1010,,2786,645,,2786,285,,2786,304,,2786,137,
9MEF,Occidental Energy Marketing ,,2651,0,,2651,79,,2651,0,,2651,687,,2651,38,,2651,1123,,2651,961,,2651,614,,2651,272,,2651,288,,2651,131,
9M88,OneOK Energy Marketing ,,7664,0,,7664,0,,7664,0,,7664,2417,,7664,0,,7664,3048,,7664,2492,,7664,2383,,7664,1135,,7664,15,,7664,0,
9M89,OneOK Energy Marketing ,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,
9MDW,Paramount Petroleum Corporation ,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,,2665,0,
9LVD,PG&E Energy Trading-Gas Corporation ,,4866,0,,4866,0,,4866,0,,4866,0,,4866,0,,4866,0,,4866,0,,4866,0,,4866,0,,4866,0,,4866,0,
9LVE,PG&E Energy Trading-Gas Corporation ,,15000,0,,15000,0,,15000,0,,15000,0,,15000,0,,15000,0,,15000,0,,15000,0,,15000,0,,15000,0,,15000,0,
9LVF,PG&E Energy Trading-Gas Corporation ,,22000,0,,22000,0,,22000,0,,22000,6931,,22000,0,,22000,8741,,22000,7149,,22000,6811,,22000,3255,,22000,41,,22000,0,
9MBQ,PG&E Energy Trading-Gas Corporation ,,53969,0,,53969,0,,53969,0,,53969,0,,53969,0,,53969,0,,53969,0,,53969,0,,53969,0,,53969,0,,53969,0,
9MC3,PG&E Energy Trading-Gas Corporation ,,19877,0,,19877,0,,19877,0,,19877,0,,19877,0,,19877,0,,19877,0,,19877,0,,19877,0,,19877,0,,19877,0,
9MCU,PG&E Energy Trading-Gas Corporation ,,57089,0,,57089,0,,57089,0,,57089,0,,57089,0,,57089,0,,57089,0,,57089,0,,57089,0,,57089,0,,57089,0,
9ME6,PG&E Energy Trading-Gas Corporation ,,41125,0,,41125,0,,41125,0,,41125,12954,,41125,0,,41125,16336,,41125,13363,,41125,12728,,41125,6082,,41125,78,,41125,0,
9MER,PG&E Energy Trading-Gas Corporation ,,17064,0,,17064,0,,17064,0,,17064,5377,,17064,0,,17064,6781,,17064,5547,,17064,5282,,17064,2524,,17064,33,,17064,0,
9MC7,PPL Energy Plus ,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,,1832,0,
9LY5,Reliant Energy Services ,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,,132990,0,
9MDY,Sacramento Municipal Utility ,,10000,0,,10000,294,,10000,0,,10000,2582,,10000,137,,10000,4220,,10000,3615,,10000,2304,,10000,1019,,10000,1083,,10000,488,
9M7R,Saguaro Power Company ,,12796,0,,12796,376,,12796,0,,12796,3303,,12796,175,,12796,5398,,12796,4625,,12796,2947,,12796,1303,,12796,1386,,12796,624,
9M7T,Saguaro Power Company ,,7664,0,,7664,226,,7664,0,,7664,1979,,7664,105,,7664,3234,,7664,2771,,7664,1769,,7664,781,,7664,831,,7664,375,
9MDF,San Diego Gas & Electric ,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,,3690,0,
9844,San Diego Gas and Electric Company ,,10230,0,,10230,302,,10230,0,,10230,2866,,10230,140,,10230,5007,,10230,4069,,10230,2514,,10230,1061,,10230,1124,,10230,499,
9MDP,Sempra Energy Trading ,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,,3075,0,
9MJX,Sempra Energy Trading Corp. ,,524,0,,524,0,,524,0,,524,0,,524,0,,524,0,,524,0,,524,0,,524,0,,524,0,,524,0,
9MJY,Sempra Energy Trading Corp. ,,1231,0,,1231,0,,1231,0,,1231,0,,1231,0,,1231,0,,1231,0,,1231,0,,1231,0,,1231,0,,1231,0,
9MJZ,Sempra Energy Trading Corp. ,,471,0,,471,15,,471,0,,471,125,,471,8,,471,203,,471,174,,471,111,,471,50,,471,52,,471,24,
9MK2,Sempra Energy Trading Corp. ,,309,0,,309,0,,309,0,,309,0,,309,0,,309,0,,309,0,,309,0,,309,0,,309,0,,309,0,
9MMU,Sempra Energy Trading Corp. ,,3414,0,,3414,101,,3414,0,,3414,883,,3414,47,,3414,1444,,3414,1236,,3414,789,,3414,349,,3414,370,,3414,168,
9M7L,Southern California Gas Company ,,624030,0,,624030,0,,624030,0,,624030,0,,624030,0,,624030,0,,624030,0,,624030,0,,624030,0,,624030,0,,624030,0,
9M7M,Southern California Gas Company ,,161027,0,,161027,0,,161027,0,,161027,0,,161027,0,,161027,0,,161027,0,,161027,0,,161027,0,,161027,0,,161027,0,
9M7N,Southern California Gas Company ,,206933,0,,206933,0,,206933,0,,206933,0,,206933,0,,206933,0,,206933,0,,206933,0,,206933,0,,206933,0,,206933,0,
9M7P,Southern California Gas Company ,,133127,0,,133127,0,,133127,0,,133127,0,,133127,0,,133127,0,,133127,0,,133127,0,,133127,0,,133127,0,,133127,0,
9M7Q,Southern California Gas Company ,,51332,0,,51332,0,,51332,0,,51332,0,,51332,0,,51332,0,,51332,0,,51332,0,,51332,0,,51332,0,,51332,0,
9MME,Southern California Gas Company ,,3414,0,,3414,0,,3414,0,,3414,0,,3414,0,,3414,0,,3414,0,,3414,0,,3414,0,,3414,0,,3414,4,
9MMF,Southern California Gas Company ,,11420,0,,11420,0,,11420,0,,11420,0,,11420,0,,11420,0,,11420,0,,11420,0,,11420,0,,11420,0,,11420,0,
9MMG,Southern California Gas Company ,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,
9MD2,Southwest Gas Corporation ,,985,0,,985,0,,985,0,,985,0,,985,0,,985,0,,985,0,,985,0,,985,0,,985,0,,985,0,
9MC8,Texaco Natural Gas ,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,
9MDV,Texaco Natural Gas ,,820,0,,820,0,,820,0,,820,0,,820,0,,820,0,,820,0,,820,0,,820,0,,820,0,,820,0,
9MDZ,Texaco Natural Gas ,,42000,0,,42000,1235,,42000,0,,42000,10610,,42000,571,,42000,17428,,42000,14637,,42000,9632,,42000,4273,,42000,4545,,42000,2047,
9MEY,Texaco Natural Gas ,,3413,0,,3413,101,,3413,0,,3413,864,,3413,47,,3413,1420,,3413,1193,,3413,786,,3413,349,,3413,370,,3413,168,
9M7U,Texaco Natural Gas Inc. ,,57465,0,,57465,1690,,57465,0,,57465,14515,,57465,782,,57465,23844,,57465,20024,,57465,13176,,57465,5845,,57465,6216,,57465,2799,
9M7V,Texaco Natural Gas Inc. ,,67062,0,,67062,1972,,67062,0,,67062,16937,,67062,912,,67062,27824,,67062,23367,,67062,15376,,67062,6821,,67062,7255,,67062,3266,
9M7W,Texaco Natural Gas Inc. ,,54498,0,,54498,1603,,54498,0,,54498,13766,,54498,742,,54498,22613,,54498,18991,,54498,12496,,54498,5544,,54498,5896,,54498,2654,
9MMW,Texaco Natural Gas Inc. ,,8199,0,,8199,0,,8199,0,,8199,0,,8199,0,,8199,0,,8199,0,,8199,0,,8199,0,,8199,0,,8199,0,
9M3X,"Tractabel Energy Marketing, Inc.",,13000,0,,13000,384,,13000,0,,13000,3355,,13000,178,,13000,5483,,13000,4698,,13000,2994,,13000,1325,,13000,1408,,13000,635,
9M82,U.S. Borax & Chemical Corporation ,,7281,0,,7281,419,,7281,0,,7281,2328,,7281,175,,7281,3178,,7281,3000,,7281,2362,,7281,1424,,7281,1351,,7281,658,
9M83,U.S. Borax & Chemical Corporation ,,12156,0,,12156,698,,12156,0,,12156,3885,,12156,291,,12156,5302,,12156,5006,,12156,3941,,12156,2377,,12156,2255,,12156,1098,
9MCZ,United States Gypsum ,,206,0,,206,0,,206,0,,206,0,,206,0,,206,0,,206,0,,206,0,,206,0,,206,0,,206,0,
9MEV,United States Gypsum ,,236,0,,236,8,,236,0,,236,63,,236,3,,236,105,,236,88,,236,58,,236,26,,236,27,,236,13,
9M8C,Williams ,,63532,0,,63532,1868,,63532,0,,63532,16047,,63532,865,,63532,26360,,63532,22137,,63532,14567,,63532,6463,,63532,6873,,63532,3094,
9M8D,Williams ,,38053,0,,38053,1119,,38053,0,,38053,9611,,38053,518,,38053,15790,,38053,13260,,38053,8725,,38053,3870,,38053,4117,,38053,1853,
9MDN,Williams Energy Marketing and Trade ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,
,Sub-total,,3208310,0,,3208310,47153,,3208310,0,,3208310,355888,,3208310,20513,,3208310,536081,,3208310,470178,,3208310,340605,,3208310,177032,,3208310,162479,,3208310,77140,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD Contracts Flowing to East Of California Delivery Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97JB,BP Energy,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,,61380,0,
9MRB,BP Energy Company ,,25575,0,,25575,0,,25575,0,,25575,0,,25575,94,,25575,0,,25575,0,,25575,378,,25575,134,,25575,102,,25575,107,
97J4,Burlington Resources Trading Inc.,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,,306900,0,
9JVC,Colorado Greenhouse ,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,,646,0,
9DWE,Conoco,,46035,0,,46035,0,,46035,0,,46035,0,,46035,513,,46035,0,,46035,0,,46035,1891,,46035,948,,46035,855,,46035,638,
9MRN,"El Paso Merchant Energy,LP ",,7000,0,,7000,403,,7000,0,,7000,2294,,7000,169,,7000,3219,,7000,2989,,7000,2303,,7000,1369,,7000,1300,,7000,633,
9E3X,Enron ,,16495,0,,16495,0,,16495,0,,16495,0,,16495,184,,16495,0,,16495,0,,16495,678,,16495,340,,16495,306,,16495,229,
9G55,Giant ,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,,4604,0,
9LLB,MGI Supply ,,9750,0,,9750,0,,9750,0,,9750,0,,9750,0,,9750,0,,9750,0,,9750,0,,9750,0,,9750,0,,9750,0,
9LLC,MGI Supply ,,40920,0,,40920,0,,40920,0,,40920,7703,,40920,0,,40920,12381,,40920,6794,,40920,4281,,40920,3210,,40920,47,,40920,0,
9LLD,MGI Supply ,,20460,0,,20460,0,,20460,0,,20460,3371,,20460,0,,20460,5411,,20460,3399,,20460,973,,20460,0,,20460,0,,20460,0,
9LVQ,MGI Supply ,,40000,0,,40000,0,,40000,0,,40000,0,,40000,0,,40000,0,,40000,0,,40000,0,,40000,0,,40000,0,,40000,0,
9MBW,MGI Supply ,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,,10795,0,
9MCJ,MGI Supply ,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,
9MEC,MGI Supply ,,8225,0,,8225,0,,8225,0,,8225,0,,8225,0,,8225,0,,8225,0,,8225,0,,8225,0,,8225,0,,8225,0,
9MFB,MGI Supply ,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,,3413,0,
97YR,Natural Gas Processing Co.,,5115,0,,5115,0,,5115,0,,5115,0,,5115,0,,5115,0,,5115,0,,5115,0,,5115,0,,5115,0,,5115,0,
982W,OneOK Energy Marketing ,,30690,0,,30690,0,,30690,0,,30690,642,,30690,0,,30690,2432,,30690,1980,,30690,3,,30690,4,,30690,2,,30690,0,
9DQH,OneOK Energy Marketing ,,50000,0,,50000,0,,50000,0,,50000,0,,50000,183,,50000,0,,50000,0,,50000,744,,50000,259,,50000,195,,50000,206,
9E4T,PG&E ,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,991,,25575,399,,25575,5,,25575,0,
9LGM,Phelps Dodge ,,12276,0,,12276,362,,12276,0,,12276,2404,,12276,168,,12276,3910,,12276,2643,,0,0,,0,0,,0,0,,0,0,
9F8B,Pimalco ,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,,409,0,
97ZL,Southwest Gas Corporation ,,153450,0,,176731,5194,,180000,0,,150821,38886,,117879,1604,,176731,74483,,176731,63838,,153450,35301,,153450,15607,,153450,16596,,153450,7471,
982V,"West Texas Gas, Inc. ",,1490,0,,1490,0,,1490,0,,1490,26,,1490,2,,1490,107,,1490,87,,1490,0,,1490,0,,1490,0,,1490,0,
,Sub-total,,885178,0,,908459,5959,,911728,0,,882549,55326,,849607,2917,,908459,101943,,908459,81730,,872902,47543,,872902,22270,,872902,19408,,872902,9284,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT2 Full Requirement Contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97VV,"Apache Nitrogen Products, Inc. ",,2129,0,,1951,0,,1431,0,,1795,0,,1436,0,,5000,0,,5000,0,,1795,0,,1789,0,,1826,0,,1974,0,
982D,Black Mountain Gas Company ,,901,0,,1329,0,,1322,0,,2691,0,,2220,0,,2952,0,,2952,0,,2662,0,,1833,0,,1777,0,,1482,0,
982B,"City of Benson, Arizona ",,569,0,,929,0,,839,0,,919,0,,627,0,,806,0,,569,0,,919,0,,529,0,,1004,0,,663,0,
982C,"City of Big Lake, Texas ",,478,0,,770,0,,368,0,,793,0,,515,0,,793,0,,793,0,,793,0,,359,0,,830,0,,420,0,
982H,"City of Deming, Texas ",,1710,0,,2709,0,,2470,0,,3392,0,,2597,0,,3392,0,,3392,0,,3392,0,,2291,0,,3567,0,,2237,0,
97ZF,"City of Denver City, Texas ",,916,0,,1446,0,,756,0,,1409,0,,906,0,,1446,0,,1446,0,,1409,0,,787,0,,1460,0,,721,0,
9825,"City of Goldsmith, Texas ",,64,0,,106,0,,57,0,,103,0,,66,0,,106,0,,106,0,,103,0,,45,0,,93,0,,44,0,
97ZT,"City of Morton, Texas ",,477,0,,721,0,,460,0,,787,0,,541,0,,787,0,,787,0,,787,0,,467,0,,835,0,,458,0,
97ZE,"City of Plains, Texas ",,281,0,,431,0,,256,0,,526,0,,344,0,,526,0,,526,0,,526,0,,286,0,,557,0,,295,0,
9824,"City of Safford, Arizona ",,1301,0,,2043,0,,1869,0,,2076,0,,1656,0,,2076,0,,2076,0,,2076,0,,831,0,,1950,0,,1037,0,
