DES,Company,STATE,FACILITY,FACILITY 
,,NM,La Guna (Station #6),
,,NM,Leupp (Station #3),
,,NM,Maljumar,
,,NM,Monument,
,,AZ,Mt. Air (Station #7),
,,CA,Needles,
,,NM,P-1,
,,TX,P-2,
,,NM,Roswell (Station #9),
,,NM,Artesia Plants,
,,,,
,0179,TX,ANDREWS COUNTY #1 CS,active
,,TX,BIG LAKE CS,abandoned
,,TX,BROWNFIELD CS,active
,,TX,GAINES COUNTY #2 CS,active
,,TX,GAINES COUNTY #3 CS,active
,,TX,GLASSCOCK COUNTY #1 CS,abandoned
,,TX,GLASSCOCK COUNTY #2 CS,abandoned
,,TX,IRION COUNTY #1 CS,active
,,TX,IRION COUNTY #3 CS,abandoned
,,TX,KERMIT CS,active
,,TX,MARTIN COUNTY #1 CS,active
,,TX,MARTIN COUNTY #2 CS,abandoned
,,TX,PLAINS MEASURING  STATION,active
,,TX,PLAINVIEW TS,active
,,TX,PLYMOUTH CS,abandoned
,,TX,REGAN COUNTY #1 CS,abandoned
,,TX,REGAN COUNTY #2 CS,to be sold
,,TX,REGAN COUNTY #3 CS,abandoned
,,TX,SEMINOLE CS,active
,,TX,SPRAYBERRY CS,active
,,TX,TEJAS #1 (IRION #2),SOLD
,,TX,TERRY COUNTY #1 CS,abandoned
,,TX,WINKLER COUNTY #1 CS,abandoned
,,,,
,,TX,ELDORADO CS,active
,,TX,GOMEZ CS, 3rd party Res.
,,TX,MITCHELL CS,SOLD
,,,,
,,TX,EUGENE ISLAND 384,
,,TX,ZAVALA COUNTY #2 CS,
,,TX,ZAVALA COUNTY #3 CS,
,,TX,TIVOLI DEHY,
,,,,
,1195,TX,,
,,,,
,,NM,,
,,,,
MIDLAND,0060,,,
,,,,
,0179,,,
,,,,
,1195,,,
,,,,
PURVIS,0179,TX,Wharton,
,,,,
,,,,
,,,,
SCHOEN,1195,LA,Maintenar,
,,LA,Haynesville Team,
,,LA,Jennings Team,
,,LA,Eloi Bay,
,,TX,Pearsall Team,
,,TX,White Oak Team,
,,,,
PARHAM,,,,
,,,,
,,,,
,,,,
,,,,
KRAUTSCH,0062,,Wiggins,
,,,Mt. Vernon,
,,,Munson,
,,,Caryville,
,,,Quincy,
,,,Perry,
,,,Brooker,
,,,Silver Springs,
,,,Orlando,
,,,Melborne,
,,,Ft. Pierce,
,,,West Palm,
,,,Plant City,
,,,Lecanto,
,,,Robstown,
,,,Port Lavaca,
,,,Vidor (CS  6),
,,,Vinton,
,,LA,Eunice,
,,LA,Port Barre,
,,,Zachary (CS 8),
,,LA,Franklin,
,,,Kaplan,
,,,Pine Grove,
