Curve Group ->,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,
2004-07-01 00:00:00,0,-14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70.5,0,63.2,0,-286.4,-291.5,0,87.4,14.1,0,370.3,14.1,0,22.5,-17,-46.5,563.7,0,-66.6,0,
2004-08-01 00:00:00,0,-14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70.1,0,62.9,0,-285.3,-290.2,0,87,14,0,368.6,14,0,22.4,-17.1,-46.3,561.2,0,-66.3,0,
2004-09-01 00:00:00,0,-13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.6,0,60.6,0,-274.3,-279.5,0,83.8,13.5,0,355,13.5,0,21.6,-16.2,-44.6,540.6,0,-64,0,
2004-10-01 00:00:00,0,-14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69.5,0,62.3,0,-282.5,-287.5,0,86.2,13.9,0,365.2,13.9,0,22.2,-16.4,-45.9,556.1,0,-65.7,0,
2004-11-01 00:00:00,0,-13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,86.8,0,-271.9,-277,0,83,13.4,0,365.2,13.4,0,21.4,-15.4,-44.2,535.6,0,-63.4,0,
2004-12-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68.9,0,89.3,0,-279.9,-284.9,0,85.4,13.8,0,375.6,13.8,0,22,-15.8,-45.5,550.9,0,-64.9,0,
2005-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68.5,0,88.9,0,-278.5,-283.3,0,85,13.7,0,373.3,13.7,0,21.9,-15.3,-42.5,548.3,0,-64.6,0,
2005-02-01 00:00:00,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61.6,0,79.9,0,-249.1,-254.7,0,76.4,12.3,0,335.6,12.3,0,19.7,-13.8,-38.2,492.9,0,-58.2,0,
2005-03-01 00:00:00,0,-13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.9,0,88,0,-275.8,-280.7,0,84.2,13.6,0,369.9,13.6,0,21.7,-15,-42.1,543.3,0,-64.2,0,
2005-04-01 00:00:00,0,-13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65.4,0,99.7,0,-265.6,-270.4,0,81.1,13.1,0,330.1,13.1,0,20.9,-14.4,-40.5,523.2,0,-61.9,0,
2005-05-01 00:00:00,0,-13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.3,0,102.6,0,-270.5,-278.1,0,83.4,13.5,0,339.5,13.5,0,21.5,-15.4,-41.7,538.2,0,-63.6,0,
2005-06-01 00:00:00,0,-13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64.8,0,72.9,0,-260.2,-267.8,0,80.3,13,0,327,13,0,20.7,-15.8,-40.2,518.3,0,-61.3,0,
2005-07-01 00:00:00,0,-13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66.6,0,75,0,-267.9,-275.4,0,82.6,13.3,0,336.3,13.3,0,21.3,-13.3,-41.3,533,0,-63,0,
2005-08-01 00:00:00,0,-13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66.3,0,39.8,0,-266.7,-274.1,0,82.2,13.3,0,334.6,13.3,0,21.2,-13.3,-41.1,530.4,0,-62.7,0,
2005-09-01 00:00:00,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-256.4,-263.9,0,15.3,12.8,0,322.2,12.8,0,20.4,-12.8,-39.6,510.8,0,-60.4,0,
2005-10-01 00:00:00,0,-13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-264,-271.4,0,15.8,13.1,0,331.4,13.1,0,21,-13.1,-40.7,525.3,0,-62.1,0,
2005-11-01 00:00:00,0,-12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-254,-261.4,0,15.2,12.6,0,319.1,12.6,0,20.2,-37.9,-39.2,505.8,0,-59.9,0,
2005-12-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-261.4,-268.8,0,15.6,13,0,328.2,13,0,20.8,-39,-40.3,520.2,0,-61.2,0,
2006-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-260.3,-268.1,0,15.5,12.9,0,326.1,12.9,0,20.7,-38.8,-19.2,517.6,-4.1,-9.2,0,
2006-02-01 00:00:00,0,-11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-232.9,-241,0,14,11.6,0,293.1,11.6,0,18.6,-34.9,-17.2,465.3,-3.7,-8.4,0,
2006-03-01 00:00:00,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-258.2,-265.7,0,15.4,12.8,0,323.1,12.8,0,20.5,-38.5,-19,513,-4.1,-9.3,0,
2006-04-01 00:00:00,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-248,-255.9,0,14.8,12.4,0,2.4,12.4,0,19.8,-37.1,-18.3,494,-4,-9.1,0,
2006-05-01 00:00:00,0,-12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255.5,-263.2,0,15.2,12.7,0,2.5,12.7,0,20.3,-38.1,-18.8,508.1,-4.1,-9.3,0,
2006-06-01 00:00:00,0,-12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,14.7,12.2,0,2.4,12.2,0,19.6,-36.7,-18.1,0,-3.9,-7.3,0,
2006-07-01 00:00:00,0,-12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,15.1,12.6,0,2.5,12.6,0,20.1,-37.7,-18.6,0,-4,-7.5,0,
2006-08-01 00:00:00,0,-12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,15,12.5,0,2.5,12.5,0,20,-37.6,-18.5,0,-4,-7.5,0,
2006-09-01 00:00:00,0,-12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,14.5,12.1,0,2.4,12.1,0,19.3,-36.2,-17.8,0,-3.9,-7.2,0,
2006-10-01 00:00:00,0,-12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,14.9,12.4,0,2.4,12.4,0,19.8,-37.2,-18.3,0,-4,-7.4,0,
2006-11-01 00:00:00,0,-12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,14.3,0,0,2.3,0,0,19.1,-35.8,-17.7,0,-3.8,-7.2,0,
2006-12-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,14.7,0,0,2.4,0,0,19.6,-36.8,-18.2,0,-3.9,-7.4,0,
2007-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,14.7,0,0,2.3,0,0,0,-36.6,-13.4,0,-2.4,-7.3,0,
2007-02-01 00:00:00,0,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,13.2,0,0,2.1,0,0,0,-32.9,-12.1,0,-2.2,-6.6,0,
2007-03-01 00:00:00,0,-12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,14.5,0,0,2.3,0,0,0,-36.3,-13.3,0,-2.4,-7.3,0,
2007-04-01 00:00:00,0,-11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,14,0,0,2.2,0,0,0,-35,-12.8,0,-2.3,-7,0,
2007-05-01 00:00:00,0,-12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,14.4,0,0,2.2,0,0,0,-35.9,-13.2,0,-2.4,-7.2,0,
2007-06-01 00:00:00,0,-11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,13.8,0,0,2.2,0,0,0,-34.6,-12.7,0,-2.3,-6.9,0,
2007-07-01 00:00:00,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,14.2,0,0,2.2,0,0,0,-35.6,-13.1,0,-2.4,-7.1,0,
2007-08-01 00:00:00,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,14.2,0,0,2.2,0,0,0,-35.4,-13,0,-2.4,-7.1,0,
2007-09-01 00:00:00,0,-11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,13.6,0,0,2.1,0,0,0,-34.1,-12.5,0,-2.3,-6.8,0,
2007-10-01 00:00:00,0,-11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,14,0,0,2.2,0,0,0,-35.1,-12.9,0,-2.3,-7,0,
2007-11-01 00:00:00,0,-11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,13.5,0,0,2.1,0,0,0,-33.8,-12.4,0,-2.3,-6.8,0,
2007-12-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,13.9,0,0,2.2,0,0,0,-34.7,-12.7,0,-2.3,-6.9,0,
2008-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13.8,0,0,1.7,0,0,0,-34.5,-12,0,-2.3,-6.9,0,
2008-02-01 00:00:00,0,-10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,12.9,0,0,1.6,0,0,0,-32.1,-11.1,0,-2.1,-6.4,0,
2008-03-01 00:00:00,0,-11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13.7,0,0,1.7,0,0,0,-34.2,-11.9,0,-2.3,-6.8,0,
2008-04-01 00:00:00,0,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,13.2,0,0,1.6,0,0,0,-32.9,-11.4,0,-2.2,-6.6,0,
2008-05-01 00:00:00,0,-11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,13.5,0,0,1.7,0,0,0,-33.8,-11.7,0,-2.3,-6.8,0,
2008-06-01 00:00:00,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,13,0,0,1.6,0,0,0,-32.6,-11.3,0,-2.2,-6.5,0,
2008-07-01 00:00:00,0,-11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,13.4,0,0,1.7,0,0,0,-33.5,-11.6,0,-2.2,-6.7,0,
2008-08-01 00:00:00,0,-11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,13.3,0,0,1.6,0,0,0,-33.3,-11.5,0,-2.2,-6.7,0,
2008-09-01 00:00:00,0,-10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,12.8,0,0,0,0,0,0,-32.1,-11.1,0,-2.1,-6.4,0,
2008-10-01 00:00:00,0,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,13.2,0,0,0,0,0,0,-33,-11.4,0,-2.2,-6.6,0,
2008-11-01 00:00:00,0,-10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,12.7,0,0,0,0,0,0,-31.7,-11,0,-2.1,-6.3,0,
2008-12-01 00:00:00,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,13,0,0,0,0,0,0,-32.6,-11.3,0,-2.2,-6.5,0,
2009-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,0,0,0,0,0,-32.4,-10.2,0,-1.9,-6.5,0,
2009-02-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,11.7,0,0,0,0,0,0,-29.1,-9.1,0,-1.7,-5.8,0,
2009-03-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12.8,0,0,0,0,0,0,-32.1,-10.1,0,-1.9,-6.4,0,
2009-04-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,12.4,0,0,0,0,0,0,-30.9,-9.7,0,-1.9,-6.2,0,
2009-05-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,12.7,0,0,0,0,0,0,-31.8,-10,0,-1.9,-6.4,0,
2009-06-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,12.2,0,0,0,0,0,0,-30.6,-9.6,0,-1.8,-6.1,0,
2009-07-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,12.6,0,0,0,0,0,0,-31.5,-9.9,0,-1.9,-6.3,0,
2009-08-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,12.5,0,0,0,0,0,0,-31.3,-9.8,0,-1.9,-6.3,0,
2009-09-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,12.1,0,0,0,0,0,0,-30.2,-9.4,0,-1.8,-6,0,
2009-10-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,12.4,0,0,0,0,0,0,-31,-9.7,0,-1.9,-6.2,0,
2009-11-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,11.9,0,0,0,0,0,0,-29.8,-9.4,0,-1.8,-6,0,
2009-12-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,12.3,0,0,0,0,0,0,-30.7,-9.6,0,-1.8,-6.1,0,
2010-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,12.2,0,0,0,0,0,0,-30.5,-6.7,0,-0.6,-6.1,0,
2010-02-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,11,0,0,0,0,0,0,-27.4,-6,0,-0.5,-5.5,0,
2010-03-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,12.1,0,0,0,0,0,0,-30.2,-6.6,0,-0.6,-6,0,
2010-04-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,11.6,0,0,0,0,0,0,-29.1,-6.4,0,-0.6,-5.8,0,
2010-05-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,-29.9,-6.6,0,-0.6,-6,0,
2010-06-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,11.5,0,0,0,0,0,0,-28.8,-6.3,0,-0.6,-5.8,0,
2010-07-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11.8,0,0,0,0,0,0,-29.6,-6.5,0,-0.6,-5.9,0,
2010-08-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,0,0,11.8,0,0,0,0,0,0,-29.4,-6.5,0,-0.6,-5.9,0,
2010-09-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,11.3,0,0,0,0,0,0,-28.3,-6.2,0,-0.6,-5.7,0,
2010-10-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,0,0,11.7,0,0,0,0,0,0,-29.1,-6.4,0,-0.6,-5.8,0,
2010-11-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,11.2,0,0,0,0,0,0,-28,-6.2,0,-0.6,-5.6,0,
2010-12-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,0,0,11.5,0,0,0,0,0,0,-28.8,-6.3,0,-0.6,-5.8,0,
2011-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,-28.7,-5.9,0,0,-5.7,0,
2011-02-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,-25.8,-5.3,0,0,-5.2,0,
