Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream,Enron North America & ENA Upstream
2001-08-15 00:00:00,36403,,36403,12903,5000,2000,16500,3,49500,0,0,3,0,15000,15000,3,45000
2001-08-16 00:00:00,36403,,36403,12903,5000,2000,16500,3.105,51232.5,0,0,3.105,0,15000,15000,3.105,46575
2001-08-17 00:00:00,36403,,36403,12903,5000,2000,16500,3.37,55605,0,0,3.37,0,15000,15000,3.37,50550
2001-08-18 00:00:00,39403,,39403,12903,5000,2000,19500,3.16,61620,0,0,3.16,0,15000,15000,3.16,47400
2001-08-19 00:00:00,39403,,39403,12903,5000,2000,19500,3.16,61620,0,0,3.16,0,15000,15000,3.16,47400
2001-08-20 00:00:00,39403,,39403,12903,5000,2000,19500,3.16,61620,0,0,3.16,0,15000,15000,3.16,47400
2001-08-21 00:00:00,39403,,39403,12903,5000,2000,19500,3.125,60937.5,0,0,3.125,0,15000,15000,3.125,46875
2001-08-22 00:00:00,39403,,39403,12903,5000,2000,19500,3.135,61132.49999999999,0,0,3.135,0,15000,15000,3.135,47025
2001-08-23 00:00:00,39403,,39403,12903,5000,2000,19500,3.155,61522.49999999999,0,0,3.155,0,15000,15000,3.155,47325
2001-08-24 00:00:00,40403,,40403,12903,5000,2000,20500,2.875,58937.5,0,0,2.875,0,15000,15000,2.875,43125
2001-08-25 00:00:00,41403,,41403,12903,5000,2000,21500,2.73,58695,0,0,2.73,0,15000,15000,2.73,40950
2001-08-26 00:00:00,41403,,41403,12903,5000,2000,21500,2.73,58695,0,0,2.73,0,15000,15000,2.73,40950
2001-08-27 00:00:00,41403,,41403,12903,5000,2000,21500,2.73,58695,0,0,2.73,0,15000,15000,2.73,40950
2001-08-28 00:00:00,33903,,33903,12903,5000,2000,14000,2.61,36540,0,0,2.61,0,15000,15000,2.61,39150
2001-08-29 00:00:00,31903,,31903,12903,5000,2000,12000,2.56,30720,0,0,2.56,0,15000,15000,2.56,38400
2001-08-30 00:00:00,29403,,29403,12903,5000,2000,9500,2.465,23417.5,0,0,2.465,0,15000,15000,2.465,36975
2001-08-31 00:00:00,29403,,29403,12903,5000,2000,9500,2.45,23275,0,0,2.45,0,15000,15000,2.45,36750
,1139187,,,389144,135685,54000,571358,,1695538.32,38500,38500,,121852.5,442500,442500,,1314187.5
,,,,2.895,4.425,3.1,,,,,,,,,,,
,,,,1126571.8800000001,600406.125,167400,,,,,,,,,,,
