Account Name,Account ID,ESI ID,Address,City,State,Zip (9 digits)
PILGRIM CLEANERS INC 142,425640082412,,708 W MAIN #1,TOMBALL,TX,
PILGRIM CLEARNERS INC #14,091904597131,,10816 W BELLFORT ST,HOUSTON,TX,
PILGRIM LAUNDRAY CO #55,091905749581,,8690 W BELLFORT ST,HOUSTON,TX,
PILGRIM LAUNDRY,121891939848,,12971 WESTHEIMER RD,HOUSTON,TX,
PILGRIM LAUNDRY,121892038588,,1726 S DAIRY ASHFORD,HOUSTON,TX,
PILGRIM LAUNDRY CLEANERS #01,387864155908,,1775 MASON,KATY,TX,
PILGRIM LAUNDRY CLEANERS #94,487873497951,,803 S MASON #460,KATY,TX,
PILGRIM LAUNDRY CO,141294800118,,9101 HILLCROFT ST,HOUSTON,TX,
PILGRIM LAUNDRY CO,141903599971,,12141 BISSONNET ST,HOUSTON,TX,
PILGRIM LAUNDRY CO #10,061890628642,,2538 BRIAR RIDGE #A,HOUSTON,TX,
PILGRIM LAUNDRY CO #10,061890628823,,2540 BRIAR RIDGE,HOUSTON,TX,
PILGRIM LAUNDRY CO #11,171265021641,,6701 CHIMNEY ROCK RD,BELLAIRE,TX,
PILGRIM LAUNDRY CO #123,061209838658,,3951 SAN FELIPE ST,HOUSTON,TX,
PILGRIM LAUNDRY CO #133,121260558955,,3762 RICHMOND AVE,HOUSTON,TX,
PILGRIM LAUNDRY CO #40,238059918201,,6385 WOODWAY DR,HOUSTON,TX,
PILGRIM LAUNDRY CO 154,238087718901,,1526 W GRAND PKY S,KATY,TX,
PILGRIM LAUNDRY CO INC,011575649004,,8242 LOUETTA RD,SPRING,TX,
PILGRIM LAUNDRY CO INC,325854060681,,11202 HUFFMEISTER RD #L,HOUSTON,TX,
PILGRIM LAUNDRY CO INC,365506295803,,202 SAWDUST #103,SPRING,TX,
PILGRIM LAUNDRY CO INC #130,238038330302,,208 CYPRESSWOOD DR,SPRING,TX,
PILGRIM LAUNDRY CO INC #131,238054606301,,18426 KUYKENDAHL RD,SPRING,TX,
PILGRIM LAUNDRY CO INC #150,238063932301,,24419 KUYKENDAHL RD B,TOMBALL,TX,
PILGRIM LAUNDRY CO INC #29,051846233259,,13605 VETERANS MEMORIAL DR,HOUSTON,TX,
PILGRIM SUITE B,171264080772,,6725 1/2 STELLA LINK,HOUSTON,TX,
PILGRIMS CLEANERS INC #125,238033456801,,7554 HIGHWAY 6 N,HOUSTON,TX,
