North System,,,,,,,,,,,South System,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Date,,Deliveries (end users),,,Receipts (Producers),,,,,,Date,Deliveries (end users),,,Receipts (Producers),,,,,,Total Receipts,Total Deliveries,Net
1999-06-01 00:00:00,30,20926329,142337,21068666,15667656,1224665,158619,17050940,4017726,,1999-06-01 00:00:00,2673045,18574,2691619,10484170,1291688,103761,11879619,-9188000,,28930559,23760285,-5170274
1999-07-01 00:00:00,31,22284525,168942,22453467,16290725,1321898,220137,17832760,4620707,,1999-07-01 00:00:00,2684851,19329,2704180,10927357,1067911,149218,12144486,-9440306,,29977246,25157647,-4819599
1999-08-01 00:00:00,31,20317968,114948,20432916,16151589,1482186,270355,17904130,2528786,,1999-08-01 00:00:00,2755664,21054,2776718,10649960,1151842,178389,11980191,-9203473,,29884321,23209634,-6674687
1999-09-01 00:00:00,30,19873236,104650,19977886,15273250,1458009,217332,16948591,3029295,,1999-09-01 00:00:00,894707,21539,916246,10493751,569510,101370,11164631,-10248385,,28113222,20894132,-7219090
1999-10-01 00:00:00,31,23255375,116191,23371566,16207447,1622085,271487,18101019,5270547,,1999-10-01 00:00:00,2718861,8289,2727150,10958208,1326143,215394,12499745,-9772595,,30600764,26098716,-4502048
1999-11-01 00:00:00,30,22284394,79320,22363714,15695263,2485705,419806,18600774,3762940,,1999-11-01 00:00:00,3057754,0,3057754,10951769,901352,712704,12565825,-9508071,,31166599,25421468,-5745131
1999-12-01 00:00:00,31,24860440,63906,24924346,16406983,2413107,483199,19303289,5621057,,1999-12-01 00:00:00,3166341,0,3166341,12116700,1312070,162126,13590896,-10424555,,32894185,28090687,-4803498
2000-01-01 00:00:00,31,25887603,85144,25972747,16337471,2216695,499624,19053790,6918957,,2000-01-01 00:00:00,3596476,0,3596476,11498424,1144916,225941,12869281,-9272805,,31923071,29569223,-2353848
2000-02-01 00:00:00,29,24789552,95680,24885232,15971801,2558461,856577,19386839,5498393,,2000-02-01 00:00:00,2105364,0,2105364,11108877,1559036,153479,12821392,-10716028,,32208231,26990596,-5217635
2000-03-01 00:00:00,31,25360745,75622,25436367,17511727,2659720,444755,20616202,4820165,,2000-03-01 00:00:00,3835887,0,3835887,12118155,1057869,552028,13728052,-9892165,,34344254,29272254,-5072000
2000-04-01 00:00:00,30,25560926,75415,25636341,17561778,2399797,689405,20650980,4985361,,2000-04-01 00:00:00,3352471,0,3352471,11341976,797198,826942,12966116,-9613645,,33617096,28988812,-4628284
2000-05-01 00:00:00,31,23071710,49878,23121588,18966175,2078285,331224,21375684,1745904,,2000-05-01 00:00:00,3597238,529,3597767,11587970,989503,492042,13069515,-9471748,,34445199,26719355,-7725844
2000-06-01 00:00:00,30,22757567,66839,22824406,18821780,1931295,400389,21153464,1670942,,2000-06-01 00:00:00,3531599,2177,3533776,11123627,1235085,331022,12689734,-9155958,,33843198,26358182,-7485016
2000-07-01 00:00:00,31,26132891,118869,26251760,19634474,2062352,593282,22290108,3961652,,2000-07-01 00:00:00,3487702,4646,3492348,12353877,1319412,709550,14382839,-10890491,,36672947,29744108,-6928839
2000-08-01 00:00:00,31,27991993,145912,28137905,19667667,1920496,579035,22167198,5970707,,2000-08-01 00:00:00,3412271,2669,3414940,12287215,1186358,657192,14130765,-10715825,,36297963,31552845,-4745118
2000-09-01 00:00:00,30,25494767,137467,25632234,19260200,1955226,580845,21796271,3835963,,2000-09-01 00:00:00,3568582,3478,3572060,11805544,1103931,779414,13688889,-10116829,,35485160,29204294,-6280866
2000-10-01 00:00:00,31,26689632,61044,26750676,19772467,1834840,870357,22477664,4273012,,2000-10-01 00:00:00,3672825,5977,3678802,12710509,1097271,945544,14753324,-11074522,,37230988,30429478,-6801510
2000-11-01 00:00:00,30,25591716,258096,25849812,19088571,1976542,355716,21420829,4428983,,2000-11-01 00:00:00,3878310,8280,3886590,13443371,857585,1375429,15676385,-11789795,,37097214,29736402,-7360812
2000-12-01 00:00:00,31,24610105,176842,24786947,20023531,3422582,3518680,26964793,-2177846,,2000-12-01 00:00:00,3166214,0,3166214,13884468,1195395,996734,16076597,-12910383,,43041390,27953161,-15088229
2001-01-01 00:00:00,31,23061112,184087,23245199,21628932,3162122,3345564,28136618,-4891419,,2001-01-01 00:00:00,2837248,0,2837248,14368876,1723559,1381710,17474145,-14636897,,,,
2001-02-01 00:00:00,28,22923098,24643,22947741,19607566,1607696,2947197,24162459,-1214718,,2001-02-01 00:00:00,2572930,0,2572930,13250025,1372896,1091832,15714753,-13141823,,,,
2001-03-01 00:00:00,31,23276254,685246,23961500,21823945,2237425,3047109,27108479,-3146979,,2001-03-01 00:00:00,2378487,0,2378487,14423705,1326618,1378511,17128834,-14750347,,,,
2001-04-01 00:00:00,,,,,,,,,,,2001-04-01 00:00:00,,,,,,,,,,,,
