20R,20R,20R,20R,20R,20R,20R,20R,20R,20R
Owens-Post Bankruptcy,500004994,100002337,2001-03-31 00:00:00,197675.34,To True up Promo pyaments for Owens,Amort,197675.33793103442,2/00-1/01,
Owens-Post Bankruptcy,500002679,100001629,2001-03-30 00:00:00,16570.35,Owens Corning Promo Pymt 2/01,Amort,16570.35,2001-02-01 00:00:00,
Owens-Post Bankruptcy,500004994,100018981,2001-05-31 00:00:00,16570.35,Owens Corning 02/01 promo amort r/c from 57300000,Amort,,,
Owens-Post Bankruptcy,500004994,100009716,2001-04-30 00:00:00,-16570.35,Owens Corning 02/01 promo amort r/c to 573000000,Amort,,,
Owens-Post Bankruptcy,500004994,100009716,2001-04-30 00:00:00,-197675.34,Owens 03/01 true-up $959156 & $33896 promo amort r,Amort,,,
Owens-Post Bankruptcy,500004994,100018981,2001-05-31 00:00:00,197675.34,Owens 03/01 true-up $959156 & $33896 promo amort r,Amort,,,
Owens-Post Bankruptcy,500004994,100002329,2001-03-31 00:00:00,16570.35,Owens Corning March Promo Amortization,Amort,16570.35,2001-03-01 00:00:00,
Owens-Post Bankruptcy,500004994,100009716,2001-04-30 00:00:00,-16570.35,Owens Corning 03/01 promo amort r/c to 57300000,Amort,,,
Owens-Post Bankruptcy,500004994,100018981,2001-05-31 00:00:00,16570.35,Owens Corning 03/01 promo amort r/c from 57300000,Amort,,,
Owens-Post Bankruptcy,500004994,100018998,2001-05-31 00:00:00,16570.35,Owens Corning 04/01 Promo r/c to 51009000,Amort,16570.35,2001-04-01 00:00:00,
Owens-Post Bankruptcy,500004994,100019023,2001-05-31 00:00:00,16570.35,Owens Corning 05/01 Promo Payment,Amort,16570.35,2001-05-01 00:00:00,
Owens-Post Bankruptcy,500004994,100025758,2001-06-22 00:00:00,16570.35,Owens Corning 06/01 Promo Payment,Amort,16570.35,2001-06-01 00:00:00,
Owens-Post Bankruptcy,500004994,100028823,2001-07-24 00:00:00,16570.35,Owens Corning 07/01 Promo Payment,Amort,16570.35,2001-07-01 00:00:00,
,Diff Stat order # used in 2/01,,,297097.43999999994,,,297097.43793103436,,0.0020689655793830752
, Need to Reclass this Entry to Stat 4994,,,,,,,,
5 Mil Promo,,,,,,,,,
"Quebecor-World, Inc.",None,100000149,2001-01-31 00:00:00,108807.87,Quebecor Promo Payment $5MM,Amort,90244.12236599361,2001-01-01 00:00:00,
"Quebecor-World, Inc.",500003461,100031187,2001-06-29 00:00:00,-108807.87,Quebecor 01/01 r/c amortizations,,,,
"Quebecor-World, Inc.",500003461,100031187,2001-06-29 00:00:00,-108807.87,Quebecor 02/01 r/c amortizations,Amort,90244.12236599361,2001-02-01 00:00:00,
"Quebecor-World, Inc.",500003461,100000304,2001-02-28 00:00:00,108807.87,Quebecor 2/01 $5MM,Amort,90244.12236599361,2001-03-01 00:00:00,
"Quebecor-World, Inc.",500003461,100031187,2001-06-29 00:00:00,-108807.87,Quebecor 03/01 r/c amortizations,Amort,90244.12236599361,2001-04-01 00:00:00,
"Quebecor-World, Inc.",500003461,100002330,2001-03-31 00:00:00,108807.87,Quebecor 3/01 promo $5,Amort,90244.12236599361,2001-05-01 00:00:00,
"Quebecor-World, Inc.",500003461,100031188,2001-06-29 00:00:00,541464.72,Quebecor 2001 Promo true up entry for 6 mos.,Amort,90244.12236599361,2001-06-01 00:00:00,
"Quebecor-World, Inc.",500003461,100028823,2001-07-24 00:00:00,90244.12,Quebecor 07/01 Promo Payment,Amort,90244.12236599361,2001-07-01 00:00:00,
,No Stat order # used in 1/01,,,631708.84,,,631708.8565619552,,-0.016561955213546753
,Need to Reclass this Entry to Stat 3461 & Was Also Originally Booked to Profit Center 13008 ,,,,,,,,
1.65 Mil IP Not Promo - Corrections Booked,,,,,,,,,
"Quebecor-World, Inc.",500003461,100031188,2001-06-29 00:00:00,-204818.94,Restore $1.65 WCP promo payment to orginial amount,Amort,-204818.94,,
"Quebecor-World, Inc.",500003461,100043220,2001-07-20 00:00:00,74295.59,Correct June Entry for WCP Promo,,74295.59,,
"Quebecor-World, Inc.",None,100000149,2001-01-31 00:00:00,35906.6,Quebecor Promo Payment $1.65MM,Amort,,,
"Quebecor-World, Inc.",500003461,100031187,2001-06-29 00:00:00,-35906.6,Quebecor 01/01 r/c amortizations,Amort,,,
"Quebecor-World, Inc.",500003461,100031187,2001-06-29 00:00:00,-35906.6,Quebecor 02/01 r/c amortizations,Amort,,,
"Quebecor-World, Inc.",500003461,100000304,2001-02-28 00:00:00,35906.6,Quebecor 02/01 $1.65MM,Amort,,,
"Quebecor-World, Inc.",500003461,100002330,2001-03-31 00:00:00,35906.6,Quebecor 3/01 $1.65MM,Amort,,,
"Quebecor-World, Inc.",500003461,100031187,2001-06-29 00:00:00,-35906.6,Quebecor 03/01 r/c amortizations,Amort,,,
,No Stat order # used in 1/01,,,-130523.35,,,-130523.35,,0
,Need to Reclass this Entry to Stat 3461 & Was Also Originally Booked to Profit Center 13008 ,,,,,,,,
Sponsorship,,,,,,,,,
S.F. Giants,500002742,100000109,2001-01-31 00:00:00,93750,Giants Sponsorship amort entry 1/01,Amort,93750,2001-01-01 00:00:00,
S.F. Giants,500002742,100009716,2001-04-30 00:00:00,-93750,Giants 01/01 sponsorship  promo amort r/c to 57300,Amort,,,
S.F. Giants,500002742,100018981,2001-05-31 00:00:00,93750,Giants 01/01 sponsorship  promo amort r/c from 573,Amort,,,
S.F. Giants,500002742,100000290,2001-02-28 00:00:00,93750,Booking Sponsorship pymt for the Giants 2/01,Amort,93750,2001-02-01 00:00:00,
S.F. Giants,500002742,100009716,2001-04-30 00:00:00,-93750,Giants 02/01 sponsorship  promo amort r/c to 57300,Amort,,,
S.F. Giants,500002742,100018981,2001-05-31 00:00:00,93750,Giants 02/01 sponsorship  promo amort r/c from 573,Amort,,,
S.F. Giants,500002742,100002341,2001-03-30 00:00:00,95833.33,Giants 3/01 sponsorship payment,Amort,95833.33333333333,2001-03-01 00:00:00,
S.F. Giants,500002742,100009716,2001-04-30 00:00:00,-95833.33,Giants 03/01 sponsorship  promo amort r/c to 57300,Amort,,,
S.F. Giants,500002742,100018981,2001-05-31 00:00:00,95833.33,Giants 03/01 sponsorship  promo amort r/c from 573,Amort,,,
S.F. Giants,500002742,100018998,2001-05-31 00:00:00,2592.59,Giants 04/01 Sponsorship r/c to 57300000,Amort,2592.5925925925926,2001-04-01 00:00:00,
S.F. Giants,500002742,100019023,2001-05-31 00:00:00,2592.59,Giants 05/01 Sponsorship Payment,Amort,2592.5925925925926,2001-05-01 00:00:00,
S.F. Giants,500002742,100025758,2001-06-22 00:00:00,2592.59,Giants 06/01 Sponsorship Payment,Amort,2592.5925925925926,2001-06-01 00:00:00,
S.F. Giants,500002742,100028823,2001-07-24 00:00:00,2592.59,Giants 07/01 Sponsorship Payment,Amort,2592.5925925925926,2001-07-01 00:00:00,
,,,,293703.6900000001,,,293703.70370370365,,-0.013703703531064093
Equipment,,,,,,,,,
S.F. Giants,500002742,100000109,2001-01-31 00:00:00,14210.32,Giants equipment amort entry 1/01,Amort,14210.31618673122,2001-01-01 00:00:00,
S.F. Giants,500002742,100009716,2001-04-30 00:00:00,-14210.32,Giants 01/01 equipment  promo amort r/c to 5730000,Amort,,,
S.F. Giants,500002742,100018981,2001-05-31 00:00:00,14210.32,Giants 01/01 equipment  promo amort r/c from 57300,Amort,,,
S.F. Giants,500002742,100000290,2001-02-28 00:00:00,14210.32,Booking equipment pymt for the Giants 2/01,Amort,14210.31618673122,2001-02-01 00:00:00,
S.F. Giants,500002742,100009716,2001-04-30 00:00:00,-14210.32,Giants 02/01 equipment  promo amort r/c to 5730000,Amort,,,
S.F. Giants,500002742,100018981,2001-05-31 00:00:00,14210.32,Giants 02/01 equipment  promo amort r/c from 57300,Amort,,,
S.F. Giants,500002742,100002341,2001-03-30 00:00:00,14210.32,Giants 3/01 equipment payment,Amort,,,
S.F. Giants,500002742,100009716,2001-04-30 00:00:00,-14210.32,Giants 03/01 equipment  promo amort r/c to 5730000,Amort,,,
S.F. Giants,500002742,100018981,2001-05-31 00:00:00,14210.32,Giants 03/01 equipment  promo amort r/c from 57300,Amort,14210.31618673122,2001-03-01 00:00:00,
S.F. Giants,500002742,100018998,2001-05-31 00:00:00,14444.91,Giants 04/01 Equipment r/c 51009000,Amort,14444.907234350268,2001-04-01 00:00:00,
S.F. Giants,500002742,100019023,2001-05-31 00:00:00,14444.91,Giants 05/01 Equipment Payment,Amort,14444.907234350268,2001-05-01 00:00:00,
S.F. Giants,500002742,100025758,2001-06-22 00:00:00,14444.91,Giants 06/01 Equipment Payment,Amort,14444.907234350268,2001-06-01 00:00:00,
S.F. Giants,500002742,100028823,2001-07-24 00:00:00,14444.91,Giants 07/01 Equipment Payment,Amort,14444.907234350268,2001-07-01 00:00:00,
,,,,100410.6,,,100410.57749759473,,0.022502405277919024
,,,,,,,,,
,,,,,,,,,
,GRAND TOTALS,,,2113021.1999999997,,,2079688.845694288,,33332.3543057121
