,Trade Date,2001-10-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,EES Sells,-61,-61,-61,-61,-61,-61,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-61,-61,-1112
,Transmission to SP-15,-0.7699999999999818,-1.4800000000000466,0.7600000000000193,0.9399999999999693,-10.54,-48.63,64.39,16.18,-20.38999999999995,-47.8,-67.05,-74.43,-59.01,-71.68,-71.19,-64.78,-45.69,-21.08,2.7200000000000273,15.39,7.239999999999981,29.35,-104.05,-79.11,-650.7099999999999
,SP-15 Load,-403.86,-388.79,-388.79,-401.79,-431.23,-481.45,-541.85,-606.16,-653.07,-680.4,-694.84,-699.85,-709.87,-716.16,-703.14,-672.85,-637.21,-610.56,-589.85,-568.41,-530.78,-492.12,-457.65,-434.83,-13495.510000000002
,Enpower Deals,516,516,516,516,516,516,695,695,695,695,695,695,670,670,670,670,670,670,670,670,695,695,516,516,15048
,Variance,50.370000000000005,64.7299999999999,66.97000000000003,54.14999999999998,13.230000000000018,-75.07999999999993,178.53999999999996,66.01999999999998,-17.460000000000036,-72.19999999999993,-105.88999999999999,-118.27999999999997,-137.88,-156.83999999999992,-143.32999999999993,-106.63,-51.90000000000009,-0.6399999999999864,43.870000000000005,77.98000000000002,132.46000000000004,193.23000000000002,-106.70000000000005,-58.940000000000055,-210.22000000000116
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZP-15,ZP-15,ZP-15,ZP-15,,,,,,,,,,,,,,,,,,,,,,
,ZP-15,ZP-15,ZP-15,ZP-15,,,,,,,,,,,,,,,,,,,,,,
,Peak Long Position Price,Peak Long Position Price,Peak Long Position Price,23.78,,,,,,,,,,,,,,,,,,,,,,
,Peak Short Position Price,Peak Short Position Price,Peak Short Position Price,24.28,,,,,,,,,,,,,,,,,,,,,,
,Off Peak Long Position Price,Off Peak Long Position Price,Off Peak Long Position Price,17.32,,,,,,,,,,,,,,,,,,,,,,
,Off Peak Short Position Price,Off Peak Short Position Price,Off Peak Short Position Price,17.82,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hours,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,TOTALS
,Generation Deals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,EES Buys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,EES Sells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Transmission to SP-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SP-15 Load,-17.88,-17.9,-17.83,-17.84,-18.2,-19.42,-20.93,-22.44,-23.6,-24.47,-25.08,-25.32,-25.62,-26.02,-26.01,-25.8,-25.2,-24.43,-23.67,-23.27,-22.72,-22,-21.14,-20.34,-537.13
,Enpower Deals,17.88,17.9,17.83,17.84,18.2,19.42,20.93,22.44,23.6,24.47,25.08,25.32,25.62,26.02,26.01,25.8,25.2,24.43,23.67,23.27,22.72,22,21.14,20.34,537.13
,Variance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
