"Ammonia Prices, July 6, 1990 to May 5, 2000",
10/09/1992,102.5
10/16/1992,107
10/23/1992,112.5
10/30/1992,113
11/06/1992,113.5
11/13/1992,115.5
11/20/1992,115.5
11/27/1992,116
12/04/1992,116.5
12/11/1992,116.5
12/18/1992,116.5
12/25/1992,117.3
01/01/1993,117.3
01/08/1993,117.3
01/15/1993,117.3
01/22/1993,117
01/29/1993,117
02/05/1993,117
02/12/1993,117
02/19/1993,117.3
02/26/1993,117.3
03/05/1993,117.3
03/12/1993,116.5
03/19/1993,116.5
03/26/1993,116.5
04/02/1993,109.5
04/09/1993,106
04/16/1993,105
04/23/1993,97.5
04/30/1993,94.5
05/07/1993,91.5
05/14/1993,91
05/21/1993,96.5
05/28/1993,98
06/04/1993,101
06/11/1993,96.5
06/18/1993,96
06/25/1993,95
07/02/1993,94
07/09/1993,93.5
07/16/1993,91.5
07/23/1993,91
07/30/1993,90.75
08/06/1993,90.5
08/13/1993,88
08/20/1993,87.5
08/27/1993,85.5
09/03/1993,94
09/10/1993,96
09/17/1993,104.5
09/24/1993,105.5
10/01/1993,106.5
10/08/1993,109
10/15/1993,110
10/22/1993,117.5
10/29/1993,121
11/05/1993,124
11/12/1993,126.8
11/19/1993,127.8
11/26/1993,127.8
12/03/1993,130.5
12/10/1993,131.5
12/17/1993,131
12/24/1993,131
12/31/1993,131
01/07/1994,131
01/14/1994,131
01/21/1994,130
01/28/1994,128.8
02/04/1994,130
02/11/1994,130
02/18/1994,132
02/25/1994,136
03/04/1994,142
03/11/1994,149.5
03/18/1994,149.5
03/25/1994,163
04/01/1994,190
04/08/1994,210
04/15/1994,215
04/22/1994,217.5
04/29/1994,219
05/06/1994,220
05/13/1994,220
05/20/1994,215
05/27/1994,207.5
06/03/1994,205.5
06/10/1994,195.5
06/17/1994,190
06/24/1994,185
07/01/1994,185
07/08/1994,182.5
07/15/1994,182.5
07/22/1994,183
07/29/1994,184.5
08/05/1994,185.5
08/12/1994,186.5
08/19/1994,193.5
08/26/1994,200
09/02/1994,220
09/09/1994,225
09/16/1994,230
09/23/1994,231
09/30/1994,231
10/07/1994,231
10/14/1994,231
10/21/1994,231
10/28/1994,230
11/04/1994,220
11/11/1994,215
11/18/1994,215
11/25/1994,215
12/02/1994,207.5
12/09/1994,205
12/16/1994,207.5
12/23/1994,220
12/30/1994,224.5
01/06/1995,227.5
01/13/1995,227.5
01/20/1995,227.5
01/27/1995,227.5
02/03/1995,232.5
02/10/1995,242.5
02/17/1995,245
02/24/1995,248
03/03/1995,250
03/10/1995,260
03/17/1995,260
03/24/1995,260
03/31/1995,251.25
04/07/1995,242.5
04/14/1995,252
04/21/1995,250
04/28/1995,249.5
05/05/1995,249
05/12/1995,248
05/19/1995,240
05/26/1995,230.5
06/02/1995,210
06/09/1995,205
06/16/1995,205
06/23/1995,188.5
06/30/1995,184.25
07/07/1995,180
07/14/1995,175
07/21/1995,175
07/28/1995,172.5
08/04/1995,172
08/11/1995,172
08/18/1995,173
08/25/1995,173.5
09/01/1995,176
09/08/1995,178.5
09/15/1995,180
09/22/1995,185
09/29/1995,185
10/06/1995,185
10/13/1995,185
10/20/1995,180
10/27/1995,180
11/03/1995,179.5
11/10/1995,179.5
11/17/1995,177
11/24/1995,177
12/01/1995,179
12/08/1995,184
12/15/1995,185
12/22/1995,191
12/29/1995,192
01/05/1996,193
01/12/1996,194.5
01/19/1996,194.5
01/26/1996,194.5
02/02/1996,194.5
02/09/1996,198
02/16/1996,194
02/23/1996,194
03/01/1996,194
03/08/1996,194
03/15/1996,194
03/22/1996,187
03/29/1996,187
04/05/1996,187
04/12/1996,187
04/19/1996,186.5
04/26/1996,175
05/03/1996,162.5
05/10/1996,160
05/17/1996,160
05/24/1996,159
05/31/1996,155.5
06/07/1996,152
06/14/1996,151
06/21/1996,150
06/28/1996,150
07/05/1996,150
07/12/1996,153.5
07/19/1996,153.5
07/26/1996,153.5
08/02/1996,153.5
08/09/1996,159
08/16/1996,165
08/23/1996,165
08/30/1996,173.75
09/06/1996,182.5
09/13/1996,197.5
09/20/1996,210
09/27/1996,222.5
10/04/1996,230
10/11/1996,227.5
10/18/1996,226.5
10/25/1996,226.5
11/01/1996,227.5
11/08/1996,227.5
11/15/1996,227.5
11/22/1996,227.5
11/29/1996,227.5
12/06/1996,227.5
12/13/1996,227.5
12/20/1996,225
12/27/1996,225
01/03/1997,225
01/10/1997,220
01/17/1997,220
01/24/1997,220
01/31/1997,220
02/07/1997,220
02/14/1997,222.5
02/21/1997,222.5
02/28/1997,220
03/07/1997,220
03/14/1997,199
03/21/1997,199
03/28/1997,199
04/04/1997,180
04/11/1997,174
04/18/1997,174
04/25/1997,170
05/02/1997,170
05/09/1997,170
05/16/1997,169
05/23/1997,169
05/30/1997,167.75
06/06/1997,166.5
06/13/1997,165
06/20/1997,162.5
06/27/1997,160
07/04/1997,173.5
07/11/1997,175
07/18/1997,175
07/25/1997,175
08/01/1997,175
08/08/1997,175
08/15/1997,175
08/22/1997,175
08/29/1997,172.5
09/05/1997,170
09/12/1997,163.5
09/19/1997,163.5
09/26/1997,156.5
10/03/1997,144
10/10/1997,142.5
10/17/1997,142.5
10/24/1997,142.5
10/31/1997,142.5
11/07/1997,142.5
11/14/1997,139.5
11/21/1997,139.5
11/28/1997,139.5
12/05/1997,139.5
12/12/1997,139.5
12/19/1997,137
12/26/1997,135
01/02/1998,133.5
01/09/1998,132
01/16/1998,125
01/23/1998,125
01/30/1998,125
02/06/1998,125
02/13/1998,125
02/20/1998,125
02/27/1998,125
03/06/1998,125
03/13/1998,117.5
03/20/1998,115
03/27/1998,115
04/03/1998,115
04/10/1998,121.5
04/17/1998,125.5
04/24/1998,145
05/01/1998,150
05/08/1998,150
05/15/1998,150
05/22/1998,150
05/29/1998,150
06/05/1998,150
06/12/1998,150
06/19/1998,140
06/26/1998,140
07/03/1998,138
07/10/1998,138
07/17/1998,125
07/24/1998,125
07/31/1998,125
08/07/1998,125
08/14/1998,125
08/21/1998,125
08/28/1998,125
09/04/1998,115
09/11/1998,115
09/18/1998,115
09/25/1998,104.5
10/02/1998,102
10/09/1998,106.5
10/16/1998,107.5
10/23/1998,105
10/30/1998,103.75
11/06/1998,102.5
11/13/1998,102.5
11/20/1998,98
11/27/1998,97.5
12/04/1998,97.5
12/11/1998,97.5
12/18/1998,97.5
12/25/1998,95
01/01/1999,95
01/08/1999,95
01/15/1999,92
01/22/1999,92
01/29/1999,92
02/05/1999,92
02/12/1999,91
02/19/1999,92.5
02/26/1999,98
03/05/1999,106.5
03/12/1999,115.5
03/19/1999,120
03/26/1999,120
04/02/1999,120
04/09/1999,120
04/16/1999,120
04/23/1999,120
04/30/1999,116
05/07/1999,112
05/14/1999,112
05/21/1999,112
05/28/1999,112
06/04/1999,108
06/11/1999,106.5
06/18/1999,105
06/25/1999,104
07/02/1999,103
07/09/1999,104
07/16/1999,104
07/23/1999,102.5
07/30/1999,102.5
08/06/1999,102.5
08/13/1999,106.5
08/20/1999,106.5
08/27/1999,111
09/03/1999,113.5
09/10/1999,113.5
09/17/1999,113.5
09/24/1999,113.5
10/01/1999,113.5
10/08/1999,118
10/15/1999,118
10/22/1999,118
10/29/1999,118
11/05/1999,118
11/12/1999,118
11/19/1999,118
11/26/1999,118
12/03/1999,118
12/10/1999,112
12/17/1999,109
12/24/1999,109
12/31/1999,110
01/07/2000,110
01/14/2000,111
01/21/2000,112
01/28/2000,112
02/04/2000,112
02/11/2000,112
02/18/2000,118.5
02/25/2000,116
03/03/2000,116
03/10/2000,117
03/17/2000,127.5
03/24/2000,135
03/31/2000,138.75
04/07/2000,142.5
04/14/2000,152.5
04/21/2000,159.5
04/28/2000,159.5
05/05/2000,173
