Deal Num,EOL Id,Deal Type,B/S,Counterparty,P/F,Start Date,End Date,Risk Type,Price Ref,Dlv Idx,Volume,UOM,Frequency,Position,Contract Price,Curve,Deal Value,Broker,Broker Fee,Modified By,Last Modified,Commodity,Sitara Id,System Id
YD4848.2,2087253,GDSWP,BUY,"Duke Energy Trading and Marketing, L.L.C.",FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,20000,MMBTU,DAY,,2.681,,-2239.99919891357,,,Tagg Bridge,37188.4499305556,NG,,
YD4848.1,2087253,GDSWP,SEL,"Duke Energy Trading and Marketing, L.L.C.",FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,-20000,MMBTU,DAY,,3.066,,-1260.0021362305,,,Tagg Bridge,37188.4498611111,NG,,
YD4817.1,2087203,GDSWP,SEL,"Reliant Energy Services, Inc.",FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,-5000,MMBTU,DAY,,3.1175,,1487.50233650207,,,Tagg Bridge,37188.4450810185,NG,,
YD4818.1,2087204,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,5000,MMBTU,DAY,,2.73,,-2275.00066757202,,,Tagg Bridge,37188.4450810185,NG,,
YD4783.2,2087157,GDSWP,BUY,"Coral Energy Holding, L.P.",FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,20000,MMBTU,DAY,,2.681,,-2239.99919891357,,,Tagg Bridge,37188.4413425926,NG,,
YD4783.1,2087157,GDSWP,SEL,"Coral Energy Holding, L.P.",FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,-20000,MMBTU,DAY,,3.056,,-2660.00080108645,,,Tagg Bridge,37188.4412731482,NG,,
YD4630.1,2086900,SWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,,-15000,MMBTU,DAY,,2.7,,2248.58385441363,,,Tagg Bridge,37188.427962963,NG,,
YD4512.1,2086690,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,20000,MMBTU,DAY,,2.7,,-4900.00667572021,,,Tagg Bridge,37188.4203703704,NG,,
YD4511.1,2086689,GDSWP,SEL,Aquila Risk Management Corporation,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,-20000,MMBTU,DAY,,3.08,,699.989318847631,,,Tagg Bridge,37188.4203703704,NG,,
YD4455.1,2086589,SWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,,-10000,MMBTU,DAY,,2.68,,-4497.10480653796,,,Tagg Bridge,37188.4166550926,NG,,
1130872,2086564,FWD,SEL,Aquila Energy Marketing Corporation,PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TRANSCO/Z6,,-2500,MMBTU,DAY,,0,,14999.6805356559,,,Sitara,37188.4165856481,NG,1130872,1680031:7550507
1130869,2086560,FWD,SEL,Aquila Energy Marketing Corporation,PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TRANSCO/Z6,,-2500,MMBTU,DAY,,0,,14999.6805356559,,,Sitara,37188.4165740741,NG,1130869,1680029:7550505
YD4448.1,2086577,SWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,,-10000,MMBTU,DAY,,2.68,,-4497.10480653796,,,Tagg Bridge,37188.4164930556,NG,,
YD4441.1,2086565,GDSWP,BUY,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,GDP-HEHUB,IF-HEHUB,2500,MMBTU,DAY,,0,,-749.520803483787,,,Tagg Bridge,37188.4162962963,NG,,
YD4441.2,2086565,SWP,BUY,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-HEHUB,2500,MMBTU,DAY,,2.6975,,1124.28192002441,,,Tagg Bridge,37188.4162847222,NG,,
YD4442.1,2086564,FWD,SEL,Aquila Energy Marketing Corporation,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TRANSCO/Z6,-2500,MMBTU,DAY,,3.2675,,4309.74336913399,,,Tagg Bridge,37188.4162384259,NG,,
YD4438.1,2086561,GDSWP,BUY,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,GDP-HEHUB,IF-HEHUB,2500,MMBTU,DAY,,0,,-749.520803483787,,,Tagg Bridge,37188.4162268518,NG,,
YD4438.2,2086561,SWP,BUY,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-HEHUB,2500,MMBTU,DAY,,2.695,,1311.66640968779,,,Tagg Bridge,37188.4162152778,NG,,
YD4439.1,2086560,FWD,SEL,Aquila Energy Marketing Corporation,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TRANSCO/Z6,-2500,MMBTU,DAY,,3.265,,4122.36334696273,,,Tagg Bridge,37188.4161574074,NG,,
1130855,2086502,FWD,SEL,Aquila Energy Marketing Corporation,PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TRANSCO/Z6,,-5000,MMBTU,DAY,,0,,27749.4089909633,,,Sitara,37188.4152777778,NG,1130855,1680010:7550474
YD4411.1,2086503,GDSWP,BUY,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,GDP-HEHUB,IF-HEHUB,5000,MMBTU,DAY,,0,,-1499.04160696757,,,Tagg Bridge,37188.415150463,NG,,
YD4411.2,2086503,SWP,BUY,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-HEHUB,5000,MMBTU,DAY,,2.7,,1873.79486072203,,,Tagg Bridge,37188.4151388889,NG,,
YD4412.1,2086502,FWD,SEL,Aquila Energy Marketing Corporation,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TRANSCO/Z6,-5000,MMBTU,DAY,,3.255,,6745.68651655537,,,Tagg Bridge,37188.4150810185,NG,,
YD4363.2,2086404,GDSWP,BUY,Colonial Energy Inc.,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,10000,MMBTU,DAY,,2.681,,-1119.99959945679,,,Tagg Bridge,37188.4130787037,NG,,
YD4361.2,2086403,GDSWP,BUY,Colonial Energy Inc.,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,10000,MMBTU,DAY,,2.681,,-1119.99959945679,,,Tagg Bridge,37188.4130208333,NG,,
YD4363.1,2086404,GDSWP,SEL,Colonial Energy Inc.,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-TETCO/M3,IF-TETCO/M3,-10000,MMBTU,DAY,,2.996,,-4129.9963951111,,,Tagg Bridge,37188.4129976852,NG,,
YD4361.1,2086403,GDSWP,SEL,Colonial Energy Inc.,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-TETCO/M3,IF-TETCO/M3,-10000,MMBTU,DAY,,2.9885,,-4654.99172210694,,,Tagg Bridge,37188.4129398148,NG,,
YD4356.1,2086396,GDSWP,SEL,Aquila Risk Management Corporation,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,-15000,MMBTU,DAY,,3.055,,-2099.99299049379,,,Tagg Bridge,37188.4126157407,NG,,
YD4357.1,2086397,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,15000,MMBTU,DAY,,2.685,,-2099.9939918518,,,Tagg Bridge,37188.4126157407,NG,,
YD4301.1,2086216,SWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,,-5000,MMBTU,DAY,,2.64,,-8244.71311274933,,,Tagg Bridge,37188.4080092593,NG,,
YD4291.1,2086178,SWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,,-5000,MMBTU,DAY,,2.64,,-8244.71311274933,,,Tagg Bridge,37188.4063078704,NG,,
YD4289.1,2086176,SWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,,-10000,MMBTU,DAY,,2.64,,-16489.4262254987,,,Tagg Bridge,37188.40625,NG,,
YD4266.1,2086088,SWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,,-15000,MMBTU,DAY,,2.64,,-24734.1393382481,,,Tagg Bridge,37188.4039467593,NG,,
YD4246.1,2085987,SWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,,-10000,MMBTU,DAY,,2.635,,-17988.5021428058,,,Tagg Bridge,37188.4014814815,NG,,
YD3972.1,2085069,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,10000,MMBTU,DAY,,2.675,,-699.996662139889,,,Tagg Bridge,37188.3858101852,NG,,
YD3971.1,2085068,GDSWP,SEL,"Mirant Americas Energy Marketing, L.P.",FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-TETCO/M3,IF-TETCO/M3,-10000,MMBTU,DAY,,2.9775,,-5425.0026702881,,,Tagg Bridge,37188.3858101852,NG,,
YD3954.1,2084996,GDSWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,GDP-HEHUB,IF-HEHUB,-5000,MMBTU,DAY,,0,,1499.04160696757,,,Tagg Bridge,37188.3846875,NG,,
YD3953.2,2084995,SWP,BUY,Williams Energy Marketing & Trading Company,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TRANSCO/Z6,5000,MMBTU,DAY,,3.175,,2248.56955843872,,,Tagg Bridge,37188.3846643519,NG,,
YD3953.1,2084995,GDSWP,BUY,Williams Energy Marketing & Trading Company,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,5000,MMBTU,DAY,,0,,2998.08321393515,,,Tagg Bridge,37188.3846643519,NG,,
YD3954.2,2084996,SWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-HEHUB,-5000,MMBTU,DAY,,2.6775,,-5246.64419478899,,,Tagg Bridge,37188.3846527778,NG,,
YD3896.2,2084839,GDSWP,BUY,"Duke Energy Trading and Marketing, L.L.C.",FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,20000,MMBTU,DAY,,2.681,,-2239.99919891357,,,Tagg Bridge,37188.3822800926,NG,,
YD3896.1,2084839,GDSWP,SEL,"Duke Energy Trading and Marketing, L.L.C.",FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,-20000,MMBTU,DAY,,3.046,,-4059.99946594241,,,Tagg Bridge,37188.3822222222,NG,,
1129848,2084774,FWD,SEL,New Jersey Natural Gas Company,PHY,2001-10-25 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,-5000,MMBTU,DAY,,2.97,,-174.998998641971,,,Sitara,37188.3815740741,NG,1129848,1678554:7548836
YD3877.1,2084775,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,5000,MMBTU,DAY,,2.665,,0.00133514404338086,,,Tagg Bridge,37188.3813657407,NG,,
1129815,2084728,FWD,BUY,"NUI Energy Brokers, Inc.",PHY,2001-10-25 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,2000,MMBTU,DAY,,2.9525,,34.9985313415539,,,Sitara,37188.3806712963,NG,1129815,1678508:7548785
YD3864.1,2084729,GDSWP,SEL,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,-2000,MMBTU,DAY,,2.645,,-280.000267028809,,,Tagg Bridge,37188.3805555556,NG,,
1129738,2084603,FWD,SEL,New Jersey Natural Gas Company,PHY,2001-10-25 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,-5000,MMBTU,DAY,,2.97,,525.00100135803,,,Sitara,37188.3793518519,NG,1129738,1678402:7548675
YD3835.1,2084604,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,5000,MMBTU,DAY,,2.66,,174.996995925905,,,Tagg Bridge,37188.3792476852,NG,,
YD3546.1,2083429,GDSWP,BUY,Williams Energy Marketing & Trading Company,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,5000,MMBTU,DAY,,0,,2998.08321393515,,,Tagg Bridge,37188.3586111111,NG,,
YD3546.2,2083429,SWP,BUY,Williams Energy Marketing & Trading Company,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TRANSCO/Z6,5000,MMBTU,DAY,,3.17,,2998.07177715528,,,Tagg Bridge,37188.358599537,NG,,
YD3545.2,2083428,SWP,SEL,PSEG Energy Resources & Trade LLC,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TRANSCO/Z6,-5000,MMBTU,DAY,,3.17,,-2998.07177715528,,,Tagg Bridge,37188.358599537,NG,,
YD3545.1,2083428,GDSWP,SEL,PSEG Energy Resources & Trade LLC,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,-5000,MMBTU,DAY,,0,,-2998.08321393515,,,Tagg Bridge,37188.358599537,NG,,
1128661,2082817,FWD,SEL,New Jersey Natural Gas Company,PHY,2001-10-25 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,-1200,MMBTU,DAY,,3,,378,,,Sitara,37188.3478125,NG,1128661,1676851:7546922
1128645,2082789,FWD,SEL,New Jersey Natural Gas Company,PHY,2001-10-25 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,-5000,MMBTU,DAY,,2.995,,1399.99599456787,,,Sitara,37188.3470833333,NG,1128645,1676831:7546897
YD3409.1,2082818,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,1200,MMBTU,DAY,,2.69,,-210.000480651855,,,Tagg Bridge,37188.3468981481,NG,,
YD3397.1,2082790,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,5000,MMBTU,DAY,,2.68,,-525.002336502074,,,Tagg Bridge,37188.3462962963,NG,,
1128380,2082277,FWD,SEL,Colonial Energy Inc.,PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TETCO/M3,,-5000,MMBTU,DAY,,0,,17999.616642787,,,Sitara,37188.3401736111,NG,1128380,1676492:7546559
YD3244.1,2082277,FWD,SEL,Colonial Energy Inc.,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TETCO/M3,-5000,MMBTU,DAY,,0.39,,-2998.08535833137,,,Tagg Bridge,37188.3360648148,NG,,
YD3224.1,2082217,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,5000,MMBTU,DAY,,2.655,,350.001001358034,,,Tagg Bridge,37188.3344791667,NG,,
1128342,2082211,FWD,SEL,New Jersey Natural Gas Company,PHY,2001-10-25 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,-5000,MMBTU,DAY,,2.95,,-174.998331069949,,,Sitara,37188.3344212963,NG,1128342,1676446:7546499
YD3220.1,2082212,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,5000,MMBTU,DAY,,2.645,,700.000667572022,,,Tagg Bridge,37188.3344097222,NG,,
1128335,2082195,FWD,SEL,New Jersey Natural Gas Company,PHY,2001-10-25 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,-5000,MMBTU,DAY,,2.9475,,-262.500333786015,,,Sitara,37188.334375,NG,1128335,1676439:7546492
1128331,2082188,FWD,SEL,New Jersey Natural Gas Company,PHY,2001-10-25 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,-5000,MMBTU,DAY,,2.9525,,-87.4963283538846,,,Sitara,37188.3343518519,NG,1128331,1676434:7546487
1128328,2082181,FWD,SEL,New Jersey Natural Gas Company,PHY,2001-10-25 00:00:00,2001-10-31 00:00:00,,FX-PRICE-CASH,,-5000,MMBTU,DAY,,2.9525,,-87.4963283538846,,,Sitara,37188.3343287037,NG,1128328,1676431:7546484
YD3217.1,2082196,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,5000,MMBTU,DAY,,2.645,,700.000667572022,,,Tagg Bridge,37188.3341782407,NG,,
YD3216.1,2082189,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,5000,MMBTU,DAY,,2.65,,524.996662139896,,,Tagg Bridge,37188.3340393519,NG,,
YD3214.1,2082182,GDSWP,BUY,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,5000,MMBTU,DAY,,2.65,,524.996662139896,,,Tagg Bridge,37188.3339699074,NG,,
YD3204.1,2082149,GDSWP,BUY,Castle Power LLC,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,5000,MMBTU,DAY,,3,,2625.00000000001,,,Tagg Bridge,37188.3332175926,NG,,
YD3205.1,2082150,GDSWP,SEL,G-DAILY-EST,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,-5000,MMBTU,DAY,,2.65,,-524.996662139896,,,Tagg Bridge,37188.3332060185,NG,,
1128111,2081826,FWD,BUY,"Mirant Americas Energy Marketing, L.P.",PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TRANSCO/Z6,,5000,MMBTU,DAY,,0,,-27749.4089909633,,,Sitara,37188.3242708333,NG,1128111,1676152:7545867
YD2996.1,2081826,FWD,BUY,"Mirant Americas Energy Marketing, L.P.",FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TRANSCO/Z6,5000,MMBTU,DAY,,0.53,,-2248.55812165892,,,Tagg Bridge,37188.3239814815,NG,,
1128090,2081801,FWD,BUY,"Mirant Americas Energy Marketing, L.P.",PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TETCO/M3,,10000,MMBTU,DAY,,0,,-35999.2332855741,,,Sitara,37188.3234490741,NG,1128090,1676128:7545846
1128083,2081791,FWD,BUY,"Mirant Americas Energy Marketing, L.P.",PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TETCO/M3,,5000,MMBTU,DAY,,0,,-17999.616642787,,,Sitara,37188.3234143518,NG,1128083,1676118:7545837
1128076,2081785,FWD,BUY,"Mirant Americas Energy Marketing, L.P.",PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TETCO/M3,,5000,MMBTU,DAY,,0,,-17999.616642787,,,Sitara,37188.3233796296,NG,1128076,1676111:7545830
YD2990.1,2081801,FWD,BUY,"Mirant Americas Energy Marketing, L.P.",FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,,IF-TETCO/M3,10000,MMBTU,DAY,,0.01,,6.70123819275349e-05,,,Tagg Bridge,37188.3233449074,NG,,
YD2988.1,2081791,FWD,BUY,"Mirant Americas Energy Marketing, L.P.",FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TETCO/M3,5000,MMBTU,DAY,,0.38,,4497.12553570147,,,Tagg Bridge,37188.3231597222,NG,,
YD2986.1,2081785,FWD,BUY,"Mirant Americas Energy Marketing, L.P.",FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TETCO/M3,5000,MMBTU,DAY,,0.39,,2998.08535833137,,,Tagg Bridge,37188.3230787037,NG,,
YD2937.2,2081622,GDSWP,SEL,PSEG Energy Resources & Trade LLC,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-HEHUB,IF-HEHUB,-20000,MMBTU,DAY,,2.681,,2239.99919891357,,,Tagg Bridge,37188.3144328704,NG,,
YD2937.1,2081622,GDSWP,BUY,PSEG Energy Resources & Trade LLC,FIN,2001-10-25 00:00:00,2001-10-31 00:00:00,,GDP-TRCOZ6/NY,IF-TRANSCO/Z6,20000,MMBTU,DAY,,3.036,,5459.99813079837,,,Tagg Bridge,37188.314375,NG,,
1128010,2081521,FWD,BUY,Aquila Energy Marketing Corporation,PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TRANSCO/Z6,,2500,MMBTU,DAY,,0,,-13874.7044954817,,,Sitara,37188.3083217593,NG,1128010,1676033:7545740
1128008,2081515,FWD,BUY,Aquila Energy Marketing Corporation,PHY,2001-11-01 00:00:00,2001-11-30 00:00:00,,IF-TRANSCO/Z6,,7500,MMBTU,DAY,,0,,-41624.1134864451,,,Sitara,37188.307962963,NG,1128008,1676032:7545738
YD2871.1,2081522,GDSWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,GDP-HEHUB,IF-HEHUB,-2500,MMBTU,DAY,,0,,749.520803483787,,,Tagg Bridge,37188.3079050926,NG,,
YD2871.2,2081522,SWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-HEHUB,-2500,MMBTU,DAY,,2.6025,,-8244.73169751661,,,Tagg Bridge,37188.3078935185,NG,,
YD2872.1,2081521,FWD,BUY,Aquila Energy Marketing Corporation,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TRANSCO/Z6,2500,MMBTU,DAY,,3.1675,,3185.46421895466,,,Tagg Bridge,37188.3078356481,NG,,
YD2868.2,2081516,SWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-HEHUB,-7500,MMBTU,DAY,,2.6,,-25296.3485615399,,,Tagg Bridge,37188.3077546296,NG,,
YD2868.1,2081516,GDSWP,SEL,NG-PRICE,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,GDP-HEHUB,IF-HEHUB,-7500,MMBTU,DAY,,0,,2248.56241045136,,,Tagg Bridge,37188.3077546296,NG,,
YD2869.1,2081515,FWD,BUY,Aquila Energy Marketing Corporation,FIN,2001-11-01 00:00:00,2001-11-30 00:00:00,,NX1,IF-TRANSCO/Z6,7500,MMBTU,DAY,,3.165,,10118.5327233778,,,Tagg Bridge,37188.3076967593,NG,,
