Number of Curves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to Fetch:,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01 00:00:00,5.365,0.48,-0.07,-0.105,0.375,0.54,-0.0225,0,-0.2075,-0.0475,0.28,0.005,-0.02,0.25,-0.125,-0.0625,0.1975,-0.125,0.1775,-0.065,-0.275,-0.105,-0.01,-0.0675,-0.1975,-0.065,-0.26,0.001,-0.08,0.01,1.99,-0.065,-0.1225,0.04,-0.105
2002-02-01 00:00:00,5.11,0.4675,-0.07,-0.0975,0.37,0.53,-0.0225,0,-0.2075,-0.0475,0.28,0.005,-0.0025,0.25,-0.1175,-0.0625,0.2025,-0.1175,0.1825,-0.0575,-0.275,-0.0975,-0.01,-0.0675,-0.2375,-0.065,-0.26,-0.009000000000000001,-0.08,0.01,1.99,-0.065,-0.1225,0.04,-0.0975
2002-03-01 00:00:00,4.777,0.4325,-0.07,-0.095,0.35,0.53,-0.0225,0,-0.2075,-0.0475,0.28,0.005,0.01,0.25,-0.115,-0.0625,0.2,-0.115,0.18,-0.055,-0.275,-0.095,-0.01,-0.0675,-0.1975,-0.065,-0.24,-0.009000000000000001,-0.08,0.01,1.84,-0.065,-0.1225,0.04,-0.095
2002-04-01 00:00:00,4.317,0.36,-0.06,-0.1,0.195,0.35,-0.0225,-0.02,-0.19,-0.0275,0.21,0.006,0.025,0.11,-0.12,-0.065,-0.04,-0.165,-0.06,-0.06,-0.59,-0.1,-0.0025,-0.075,-0.1075,-0.0625,-0.155,-0.024,-0.068,0.021,0.5,-0.055,-0.08,0.05,-0.1
2002-05-01 00:00:00,4.212,0.335,-0.06,-0.1,0.185,0.255,-0.0225,-0.02,-0.19,-0.02775,0.21,0.006,0.025,0.11,-0.12,-0.065,-0.04,-0.165,-0.06,-0.06,-0.59,-0.1,-0.0025,-0.075,-0.11,-0.0625,-0.14,-0.024,-0.068,0.021,0.44,-0.055,-0.08,0.05,-0.1
2002-06-01 00:00:00,4.192,0.3275,-0.06,-0.1,0.195,0.255,-0.0225,-0.02,-0.19,-0.02775,0.21,0.006,0.03,0.11,-0.12,-0.065,-0.04,-0.165,-0.06,-0.06,-0.59,-0.1,-0.0025,-0.075,-0.1025,-0.0625,-0.14,-0.024,-0.068,0.021,0.44,-0.055,-0.075,0.05,-0.1
2002-07-01 00:00:00,4.192,0.3225,-0.06,-0.1,0.2,0.265,-0.0225,-0.02,-0.19,-0.02775,0.21,0.006,0.0325,0.11,-0.12,-0.065,-0.04,-0.185,-0.06,-0.06,-0.59,-0.1,-0.0025,-0.075,-0.10310000000000001,-0.0625,-0.14,-0.024,-0.068,0.021,0.5,-0.055,-0.0725,0.05,-0.1
2002-08-01 00:00:00,4.192,0.32,-0.06,-0.1,0.21,0.265,-0.0225,-0.02,-0.19,-0.02775,0.21,0.006,0.035,0.11,-0.12,-0.065,-0.04,-0.185,-0.06,-0.06,-0.59,-0.1,-0.0025,-0.075,-0.1025,-0.0625,-0.14,-0.024,-0.068,0.021,0.5,-0.055,-0.07,0.05,-0.1
2002-09-01 00:00:00,4.187,0.32,-0.06,-0.1,0.185,0.245,-0.0225,-0.02,-0.19,-0.02775,0.21,0.006,0.0275,0.11,-0.12,-0.065,-0.04,-0.185,-0.06,-0.06,-0.59,-0.1,-0.0025,-0.075,-0.11,-0.0625,-0.135,-0.024,-0.068,0.021,0.46,-0.055,-0.0775,0.05,-0.1
2002-10-01 00:00:00,4.177,0.32,-0.06,-0.1,0.195,0.255,-0.0225,-0.02,-0.19,-0.02775,0.21,0.006,0.0175,0.11,-0.12,-0.065,-0.04,-0.185,-0.06,-0.06,-0.59,-0.1,-0.0025,-0.075,-0.11,-0.0625,-0.14,-0.024,-0.068,0.021,0.47,-0.055,-0.0875,0.05,-0.1
2002-11-01 00:00:00,4.267,0.32,-0.06,-0.1,0.27,0.3,-0.028000000000000004,0,-0.19,-0.0425,0.22,0.006,-0.0325,0.15,-0.12,-0.08,0.055,-0.185,0.025,-0.07,-0.16,-0.1,-0.008,-0.0675,-0.1375,-0.065,-0.15,-0.0265,-0.078,0.01,0.85,-0.065,-0.1375,0.04,-0.1
2002-12-01 00:00:00,4.36,0.3225,-0.06,-0.1025,0.31,0.37,-0.028000000000000004,0,-0.19,-0.0425,0.22,0.006,-0.055,0.15,-0.1225,-0.08,0.075,-0.1875,0.045,-0.0725,-0.16,-0.1025,-0.008,-0.0675,-0.1375,-0.065,-0.15,-0.0265,-0.078,0.01,1.26,-0.065,-0.16,0.04,-0.1025
2003-01-01 00:00:00,4.382,0.3225,-0.06,-0.105,0.31,0.4,-0.0225,0,-0.19,-0.0425,0.22,0.005,-0.0575,0.15,-0.125,-0.08,0.0875,-0.17,0.0575,-0.075,-0.16,-0.105,-0.01,-0.0675,-0.195,-0.065,-0.255,0.002,-0.078,0.01,1.58,-0.065,-0.1625,0.04,-0.105
2003-02-01 00:00:00,4.227,0.3125,-0.06,-0.0975,0.29,0.39,-0.0225,0,-0.19,-0.0425,0.22,0.005,-0.04,0.15,-0.1175,-0.08,0.0925,-0.1625,0.0625,-0.0675,-0.16,-0.0975,-0.01,-0.0675,-0.235,-0.065,-0.255,-0.008,-0.078,0.01,1.54,-0.065,-0.145,0.04,-0.0975
2003-03-01 00:00:00,4.027,0.305,-0.06,-0.095,0.27,0.39,-0.0225,0,-0.19,-0.0425,0.22,0.005,-0.0275,0.15,-0.115,-0.08,0.09,-0.16,0.06,-0.065,-0.16,-0.095,-0.01,-0.0675,-0.195,-0.065,-0.235,-0.008,-0.078,0.01,0.92,-0.065,-0.1325,0.04,-0.095
2003-04-01 00:00:00,3.792,0.295,-0.0575,-0.1,0.195,0.24,-0.0225,0,-0.19,-0.0225,0.155,0.005,0.015,0.065,-0.12,-0.0625,-0.06,-0.165,-0.08,-0.07,-0.345,-0.1,-0.0025,-0.075,-0.105,-0.065,-0.15,-0.023000000000000003,-0.066,0.021,0.5,-0.0625,-0.09,0.05,-0.1
2003-05-01 00:00:00,3.742,0.29,-0.0575,-0.1,0.185,0.195,-0.0225,0,-0.19,-0.02275,0.155,0.005,0.015,0.065,-0.12,-0.0625,-0.06,-0.165,-0.08,-0.07,-0.345,-0.1,-0.0025,-0.075,-0.1075,-0.065,-0.1375,-0.023000000000000003,-0.066,0.021,0.44,-0.0625,-0.09,0.05,-0.1
2003-06-01 00:00:00,3.752,0.29,-0.0575,-0.1,0.195,0.195,-0.0225,0,-0.19,-0.02275,0.155,0.005,0.02,0.065,-0.12,-0.0625,-0.06,-0.165,-0.08,-0.07,-0.345,-0.1,-0.0025,-0.075,-0.1,-0.065,-0.1375,-0.023000000000000003,-0.066,0.021,0.44,-0.0625,-0.085,0.05,-0.1
2003-07-01 00:00:00,3.767,0.29,-0.0575,-0.1,0.2,0.265,-0.0225,0,-0.19,-0.02275,0.155,0.005,0.0225,0.065,-0.12,-0.0625,-0.06,-0.185,-0.08,-0.07,-0.345,-0.1,-0.0025,-0.075,-0.10060000000000001,-0.065,-0.1375,-0.023000000000000003,-0.066,0.021,0.5,-0.0625,-0.0825,0.05,-0.1
2003-08-01 00:00:00,3.762,0.29,-0.0575,-0.1,0.21,0.205,-0.0225,0,-0.19,-0.02275,0.155,0.005,0.025,0.065,-0.12,-0.0625,-0.06,-0.185,-0.08,-0.07,-0.345,-0.1,-0.0025,-0.075,-0.1,-0.065,-0.1375,-0.023000000000000003,-0.066,0.021,0.5,-0.0625,-0.08,0.05,-0.1
2003-09-01 00:00:00,3.7740000000000005,0.29,-0.0575,-0.1,0.185,0.185,-0.0225,0,-0.19,-0.02275,0.155,0.005,0.0175,0.065,-0.12,-0.0625,-0.06,-0.185,-0.08,-0.07,-0.345,-0.1,-0.0025,-0.075,-0.1075,-0.065,-0.1325,-0.023000000000000003,-0.066,0.021,0.46,-0.0625,-0.0875,0.05,-0.1
2003-10-01 00:00:00,3.792,0.29,-0.0575,-0.1,0.195,0.205,-0.0225,0,-0.19,-0.02275,0.155,0.005,0.0075,0.065,-0.12,-0.0625,-0.06,-0.185,-0.08,-0.07,-0.345,-0.1,-0.0025,-0.075,-0.1075,-0.065,-0.1375,-0.023000000000000003,-0.066,0.021,0.47,-0.0625,-0.0975,0.05,-0.1
2003-11-01 00:00:00,3.927,0.2925,-0.06,-0.12,0.2775,0.3,-0.028000000000000004,0.01,-0.19,-0.0345,0.21,0.005,-0.0325,0.13,-0.14,-0.08,0.055,-0.205,0.025,-0.09,-0.29,-0.12,-0.006,-0.0675,-0.135,-0.065,-0.15,-0.025500000000000002,-0.07600000000000001,0.01,0.85,-0.065,-0.1225,0.04,-0.12
2003-12-01 00:00:00,4.052,0.295,-0.06,-0.1225,0.315,0.37,-0.028000000000000004,0.01,-0.19,-0.0345,0.21,0.005,-0.055,0.13,-0.1425,-0.08,0.075,-0.2075,0.045,-0.0925,-0.29,-0.1225,-0.006,-0.0675,-0.135,-0.065,-0.1475,-0.025500000000000002,-0.07600000000000001,0.01,1.26,-0.065,-0.145,0.04,-0.1225
2004-01-01 00:00:00,4.132,0.295,-0.06,-0.125,0.31,0.4,-0.025,0.01,-0.19,-0.0345,0.21,0.005,-0.0575,0.13,-0.145,-0.08,0.0875,-0.19,0.0575,-0.095,-0.29,-0.125,-0.01,-0.0675,-0.1925,-0.063,-0.2525,0.003,-0.07600000000000001,0.01,1.58,-0.065,-0.1475,0.04,-0.125
2004-02-01 00:00:00,4.017,0.2925,-0.06,-0.1175,0.29,0.39,-0.025,0.01,-0.19,-0.0345,0.21,0.005,-0.04,0.13,-0.1375,-0.08,0.0925,-0.1825,0.0625,-0.0875,-0.29,-0.1175,-0.01,-0.0675,-0.2325,-0.063,-0.2525,-0.007000000000000001,-0.0835,0.01,1.54,-0.065,-0.13,0.04,-0.1175
2004-03-01 00:00:00,3.877,0.29,-0.06,-0.115,0.27,0.39,-0.025,0.01,-0.19,-0.0345,0.21,0.005,-0.0275,0.13,-0.135,-0.08,0.09,-0.18,0.06,-0.085,-0.29,-0.115,-0.01,-0.0675,-0.1925,-0.063,-0.2325,-0.007000000000000001,-0.0835,0.01,0.92,-0.065,-0.1175,0.04,-0.115
2004-04-01 00:00:00,3.682,0.28,-0.0575,-0.12,0.195,0.24,-0.025,0.01,-0.195,-0.013500000000000002,0.165,0.005,0.015,0.075,-0.14,-0.0625,-0.08,-0.185,-0.1,-0.09,-0.35,-0.12,-0.0025,-0.075,-0.1025,-0.063,-0.15,-0.022000000000000002,-0.07150000000000001,0.021,0.5,-0.0625,-0.075,0.05,-0.12
2004-05-01 00:00:00,3.637,0.28,-0.0575,-0.12,0.185,0.195,-0.025,0.01,-0.195,-0.01375,0.155,0.005,0.015,0.065,-0.14,-0.0625,-0.08,-0.185,-0.1,-0.09,-0.35,-0.12,-0.0025,-0.075,-0.105,-0.063,-0.1375,-0.022000000000000002,-0.07150000000000001,0.021,0.44,-0.0625,-0.075,0.05,-0.12
2004-06-01 00:00:00,3.657,0.2775,-0.0575,-0.12,0.195,0.195,-0.025,0.01,-0.195,-0.01375,0.15,0.005,0.02,0.06,-0.14,-0.0625,-0.08,-0.185,-0.1,-0.09,-0.35,-0.12,-0.0025,-0.075,-0.0975,-0.063,-0.1375,-0.022000000000000002,-0.07150000000000001,0.021,0.44,-0.0625,-0.07,0.05,-0.12
2004-07-01 00:00:00,3.672,0.275,-0.0575,-0.12,0.2,0.265,-0.025,0.01,-0.195,-0.01375,0.15,0.005,0.0225,0.06,-0.14,-0.0625,-0.08,-0.205,-0.1,-0.09,-0.35,-0.12,-0.0025,-0.075,-0.0981,-0.063,-0.1375,-0.022000000000000002,-0.07150000000000001,0.021,0.5,-0.0625,-0.0675,0.05,-0.12
2004-08-01 00:00:00,3.682,0.275,-0.0575,-0.12,0.21,0.205,-0.025,0.01,-0.195,-0.01375,0.145,0.005,0.025,0.055,-0.14,-0.0625,-0.08,-0.205,-0.1,-0.09,-0.35,-0.12,-0.0025,-0.075,-0.0975,-0.063,-0.1375,-0.022000000000000002,-0.07150000000000001,0.021,0.5,-0.0625,-0.065,0.05,-0.12
2004-09-01 00:00:00,3.6990000000000003,0.275,-0.0575,-0.12,0.185,0.185,-0.025,0.01,-0.195,-0.01375,0.155,0.005,0.0175,0.065,-0.14,-0.0625,-0.08,-0.205,-0.1,-0.09,-0.35,-0.12,-0.0025,-0.075,-0.105,-0.063,-0.1325,-0.022000000000000002,-0.07150000000000001,0.021,0.46,-0.0625,-0.0725,0.05,-0.12
