Page: 1                                                                                                                        VSMTMACCT                                                                                                                   30NOV01 09:36,,,,,,,,,,,,,,,,,,,,,
ZAI*NET v6.02                                                                                                         Database: zainet_adhoc_prod                                                                                                            a/o 29NOV01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
                                                                                                               ETS MTM Financial Position and P&L report,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Company,Book,Group,Group Desc,Tnum,Trd Date,Start,End,Del Mo,Market,Comp,B/S,P/C,Instrument,Volume,Price 1,Price 2,Trd Diff,MTM,cpty_xref,Cpty,hedge_spec
TW,TTFW,0000F,Fuel Hedge 2002,AAA256,2001-03-07 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,IFERC,PERMEP,S,0,FIXED SWAP,-155000,2.6660416666666666,5.049999999999999,0,4298850.119999999,QV8401.1 Total,RMTC,HEDGE
TW,TTFW,0000F,Fuel Hedge 2002,AAA786,2001-08-10 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,IFERC,PERMEP,S,0,FIXED SWAP,-155000,2.6660416666666666,3.4600000000000004,0,1432012.1800000002,VV1743.1 Total,RMTC,HEDGE
TW,TTFW,0000F,Fuel Hedge 2002,AAA803,2001-09-14 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,IFERC,PERMEP,S,0,FIXED SWAP,-155000,2.6660416666666666,3.3624999999999994,0,1256215.51,Y31793.1 Total,RMTC,HEDGE
TW,TTFW,0000F,Fuel Hedge 2002,AAA813,2001-10-26 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,IFERC,PERMEP,S,0,FIXED SWAP,-155000,2.6660416666666666,3.145,0,864053.7100000001,Y37193.2 Total,RMTC,HEDGE
,,,,,,,,,,,,,,,,,,32616374.660000015,OCI decrease,,
,,,,,,,,,,,,,,,,,,,,,
TW,TTFW,0000F,Fuel Hedge 2002,AAA399,2000-12-06 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,IFERC,PERMEP,S,0,BASIS SWAP,-155000,2.6660416666666666,2.8229166666666665,0.030000000000000016,336890.11000000004,QF0967.1 Total,RMTC,SPEC
TW,TTFW,0000F,Fuel Hedge 2002,AAA313,2000-12-07 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,NYMEX,NG,S,0,FIXED SWAP,-155000,2.8229166666666665,4.47,0,2971182.63,QF4410.1 Total,RMTC,SPEC
TW,TTFW,0000F,Fuel Hedge 2002,AAA314,2000-12-07 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,NYMEX,NG,B,0,FIXED SWAP,155000,2.8229166666666665,4.39,0,-2826894.7699999996,QF4447.1 Total,RMTC,SPEC
TW,TTFW,0000F,Fuel Hedge 2002,AAA400,2000-12-08 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,2002-12-01 00:00:00,IFERC,PERMEP,B,0,BASIS SWAP,155000,2.6660416666666666,2.8229166666666665,0.040000000000000015,-354920.51999999996,QF5953.1 Total,RMTC,SPEC
,,,,,,,,,,,,,,,,,,126257.4499999995,Income hit,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,TW,32742632.11,Net Cash Flow exposure,,
