P/L Shipper DUNS #,94-7436333,,94-7436333,,,,,,,,94-7436334,,,,,,,,,,  [Determined by NomType; TA = 00-697-0917]
,,,,,,,,,,,,,,,,,,,,,
Citizens Contract # (downstream),DUKE,,DUKE,,DUKE,,DUKE,,DUKE,,,,,,,,,,,,  [So.Calif = S87; Ariz = EU3; Nev = EU2]
Downstream DUNS #,94-7436333,,94-7436333,,94-7436333,,94-7436333,,94-7436333,,76-PPL,,,,,,,,,,  [Default = 00-697-0917]
Citizens Priority (1 flows first),1,,1,,1,,1,,1,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TW - # 78069 - Citizens/Griffith Energy,,,,,,,,,,,,,,,,,,,,,
EP - # 288615 - IGRIFFITH,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Mandatory Entry Information by Nomination Type to SWG,,,,,,,Mandatory Entry Information by Nomination Type to Pipeline,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Title Assignmnt,,Non-T.A.,,,,,,Non-T.A.,,,,,Comments,,,,,,
Interstate Pipeline,,X,,X,,,,Interstate Pipeline,,X,,,,,,,,,,,
Nomination Type,,X,,X,,,,Nomination Type,,X,,,,,,,,,,,
P/L Delivery Point,,X,,X,,,,P/L Delivery Point,,X,,,,,,,,,,,
P/L Receipt Point,,X,,,,,,P/L Receipt Point,,X,,,,,,,,,,,
P/L Delivery Pt. Quantity,,X,,X,,,,P/L Delivery Pt. Quantity,,X,,,,,,,,,,,
P/L Shipper Contract,,,,X,,,,P/L Shipper Contract,,X,,,,,,,,,,,
P/L Package ID,,,,X,,,,P/L Package ID,,,,,,"Optional - If used, must match SWG Nom to P/L",,,,,,,
P/L Shipper DUNS #,,,,X,,,,P/L Shipper DUNS #,,X,,,,,,,,,,,
Downstream DUNS #,,,,,,,,Downstream DUNS #,,X,,,,Default = SWG DUNS No. (00-697-0917),,,,,,,
Downstream Contract #,,,,,,,,Downstream Contract #,,X,,,,Default = So. Calif=S87; Ariz = EU3; Nev = EU2,,,,,,,
Upstream DUNS #,,X,,,,,,Upstream DUNS #,,X,,,,,,,,,,,
Upstream Contract #,,X,,,,,,Upstream Contract #,,X,,,,,,,,,,,
