Counterparty,Global CP,NAME,Sign-Up Date,Status,Country,# Non-EOL Deal
6820,71318,"EOG Resources, Inc.",2000-01-20 00:00:00,Execute ID Mailed,USA,103
7484,1057,Commonwealth Gas Company,2000-06-14 00:00:00,Execute ID Mailed,USA,102
8055,71358,TXU Gas Distribution,2000-07-26 00:00:00,Execute ID Mailed,USA,102
5509,47245,"Twister Gas Services, LLC",1999-11-22 00:00:00,Execute ID Mailed,USA,101
5429,28020,Kansas City Power & Light Company Inc.,2000-05-02 00:00:00,Execute ID Mailed,USA,100
5890,58812,Montana Power Trading & Marketing Company,2000-04-10 00:00:00,Execute ID Mailed,USA,99
8183,5205,Cytec Industries Inc.,2000-08-10 00:00:00,Execute ID Mailed,USA,99
7010,34811,UGI Utilities Inc.,2000-03-14 00:00:00,Execute ID Mailed,USA,96
5136,1176,Devon Energy Corporation,2000-11-28 00:00:00,Execute ID Mailed,USA,96
5007,26,Baltimore Gas and Electric Company,1999-12-08 00:00:00,Execute ID Mailed,USA,94
8560,74827,Texaco Energy Marketing L.P.,2000-11-08 00:00:00,Execute ID Mailed,USA,92
6489,57065,"American Central Energy, L.L.C.",1999-11-19 00:00:00,Execute ID Mailed,USA,91
5108,831,California Department Of Water Resources,1999-12-10 00:00:00,Execute ID Mailed,USA,91
5755,55210,TransMontaigne Product Services Inc.,2000-04-03 00:00:00,Execute ID Mailed,USA,90
5849,57602,"Griffin Energy Marketing, L.L.C.",2000-04-18 00:00:00,Execute ID Mailed,USA,89
5563,50583,Muscatine Power & Water,2000-06-21 00:00:00,Execute ID Mailed,USA,86
8045,45583,Public Utility District No. 1 of Snohomish County,2000-07-20 00:00:00,Execute ID Mailed,USA,86
5056,202,Swift Energy Company,2000-03-24 00:00:00,Execute ID Mailed,USA,85
7153,31885,"Linder Oil Company, A Partnership",2000-04-05 00:00:00,Execute ID Mailed,USA,83
5096,631,Atlanta Gas Light Company,2000-07-19 00:00:00,Execute ID Mailed,USA,82
5009,31,Belco Oil & Gas Corp.,1999-11-16 00:00:00,Execute ID Mailed,USA,79
5236,3526,"Central and South West Services, Inc.",2000-01-17 00:00:00,Execute ID Mailed,USA,78
5057,203,Tauber Oil Company,2000-07-19 00:00:00,Execute ID Mailed,USA,75
5550,49624,Patina Oil & Gas Corporation,2000-02-23 00:00:00,Execute ID Mailed,USA,74
5242,3745,Bay State Gas Company,2001-01-10 00:00:00,Execute ID Mailed,USA,73
6879,1928,Kimball Energy Corporation,2000-02-07 00:00:00,Execute ID Mailed,USA,69
5245,3947,Texaco Inc.,1999-12-13 00:00:00,Execute ID Mailed,USA,65
5131,1070,Connecticut Natural Gas Corporation,2000-02-23 00:00:00,Execute ID Mailed,USA,64
7042,96,Forest Oil Corporation,2000-03-15 00:00:00,Execute ID Mailed,USA,64
8289,37810,"Venoco, Inc.",2000-08-31 00:00:00,Execute ID Mailed,USA,64
6823,59398,"Panaco, Inc.",2000-01-18 00:00:00,Execute ID Mailed,USA,63
8194,79744,NSTAR Companies,2000-08-30 00:00:00,Execute ID Mailed,USA,63
8558,79594,ANP Marketing Company,2000-11-08 00:00:00,Execute ID Mailed,USA,63
5190,2398,Northville Industries Corp.,2000-05-04 00:00:00,Execute ID Mailed,USA,62
5173,2089,Phillips Petroleum Company,1999-12-07 00:00:00,Execute ID Mailed,USA,61
8343,9646,Texas Petrochemicals LP,2000-09-25 00:00:00,Execute ID Mailed,USA,61
8740,52109,South Jersey Resources Group LLC,2001-01-23 00:00:00,Execute ID Mailed,USA,61
7559,64504,MRT Energy Marketing Company,2000-06-29 00:00:00,Execute ID Mailed,USA,60
7093,49220,Connecticut Municipal Electric Energy Cooperative,2000-03-30 00:00:00,Execute ID Mailed,USA,59
5482,45471,TXU Electric Company,2000-06-08 00:00:00,Execute ID Mailed,USA,59
8156,81542,"AGE Refining, Inc.",2000-08-10 00:00:00,Execute ID Mailed,USA,58
6796,1233,EOTT Energy Operating Limited Partnership,2000-01-11 00:00:00,Execute ID Mailed,USA,56
7009,26264,Public Utility District #1 of Chelan County,2000-04-03 00:00:00,Execute ID Mailed,USA,55
8202,51148,Gulfstream Trading Ltd.,2000-08-11 00:00:00,Execute ID Mailed,USA,54
6960,2842,Shoreline Gas Inc.,2000-02-24 00:00:00,Execute ID Mailed,USA,53
6860,51570,McMurry Oil Company,2000-01-31 00:00:00,Execute ID Mailed,USA,51
7525,52225,Tenaska Gas Company,2000-06-29 00:00:00,Execute ID Mailed,USA,51
5411,26595,Great Bay Power Corporation,2000-02-03 00:00:00,Execute ID Mailed,USA,49
8819,74822,"Texaco Aviation Products, LLC",2001-02-08 00:00:00,Execute ID Mailed,USA,47
6869,49088,Interchem Americas Inc.,2000-02-01 00:00:00,Execute ID Mailed,USA,46
5014,64,Clark Oil Trading Company,2000-06-15 00:00:00,Execute ID Mailed,USA,46
5188,2343,Niagara Mohawk Power Corporation,2000-08-28 00:00:00,Execute ID Mailed,USA,46
6921,966,City of Pasadena,2000-02-17 00:00:00,Execute ID Mailed,USA,45
5480,37110,Omaha Public Power District,1999-11-15 00:00:00,Execute ID Mailed,USA,44
7006,70801,"Petrous, LLC",2000-03-14 00:00:00,Execute ID Mailed,USA,44
5250,4130,Stone Energy Corporation,2000-06-28 00:00:00,Execute ID Mailed,USA,43
5461,34407,Tampa Electric Company,2000-07-17 00:00:00,Execute ID Mailed,USA,43
8673,36473,Hetch-Hetchy Water & Power,2001-01-02 00:00:00,Execute ID Mailed,USA,43
5469,35197,Western Farmers Electric Cooperative,2000-02-23 00:00:00,Execute ID Mailed,USA,41
5151,1521,Georgia Gulf Corporation,1999-12-16 00:00:00,Execute ID Mailed,USA,39
6968,71593,"Bank One, National Association",2000-02-25 00:00:00,Execute ID Mailed,USA,39
7148,27012,Ferrell North America,2000-04-03 00:00:00,Execute ID Mailed,USA,38
5158,1742,The Houston Exploration Company,2000-05-03 00:00:00,Execute ID Mailed,USA,38
7490,48664,"Mariner Energy, Inc.",2000-06-16 00:00:00,Execute ID Mailed,USA,38
6736,65334,Energen Resources Corporation,1999-12-22 00:00:00,Execute ID Mailed,USA,36
5019,93,"Farmland Industries, Inc.",2000-02-29 00:00:00,Execute ID Mailed,USA,36
7094,3015,Tennessee Gas Pipeline Co.,2000-03-28 00:00:00,Execute ID Mailed,USA,36
7036,67190,Cody Energy LLC,2000-03-15 00:00:00,Execute ID Mailed,USA,34
7390,52327,Sunoco Inc.,2000-05-17 00:00:00,Execute ID Mailed,USA,34
6812,1763,J. M. Huber Corporation,2000-01-17 00:00:00,Execute ID Mailed,USA,33
8140,34113,Southern Union Gas Company,2000-08-03 00:00:00,Execute ID Mailed,USA,33
5255,4375,"Du Pont, E.I. De Nemours and Company",2000-06-26 00:00:00,Execute ID Mailed,USA,32
8158,79749,"APS Energy Services Company, Inc.",2000-08-04 00:00:00,Execute ID Mailed,USA,32
5370,26143,Duke Power Company,2000-01-25 00:00:00,Execute ID Mailed,USA,31
5022,98,"Frito-Lay, Inc.",2000-02-24 00:00:00,Execute ID Mailed,USA,31
8004,55534,Energy Service Providers L.L.P.,2000-07-11 00:00:00,Execute ID Mailed,USA,31
6020,63841,Fuel and Marine Marketing LLC,1999-11-23 00:00:00,Execute ID Mailed,USA,30
6967,56940,Nexen Petroleum Sales U.S.A. Inc.,2000-02-28 00:00:00,Execute ID Mailed,USA,29
7047,272,"Coastal Corporation, The",2000-03-15 00:00:00,Execute ID Mailed,USA,29
5117,928,The Cincinnati Gas & Electric Company,2000-03-21 00:00:00,Execute ID Mailed,USA,29
5106,763,Boston Gas Company,2000-08-30 00:00:00,Execute ID Mailed,USA,29
8530,51156,"Texaco Natural Gas Liquids, a Division of Texaco Natural Gas",2000-11-09 00:00:00,Execute ID Mailed,USA,29
5318,9637,Texaco Refining and Marketing Inc.,2000-01-27 00:00:00,Execute ID Mailed,USA,28
5341,11313,Thermo Cogeneration Partnership LP,2000-05-22 00:00:00,Execute ID Mailed,USA,28
5062,224,"Vastar Resources, Inc.",2000-08-17 00:00:00,Execute ID Mailed,USA,28
6042,64325,"Amerigas Propane, L.P.",1999-11-15 00:00:00,Execute ID Mailed,USA,27
5841,57423,Calpine Natural Gas Company,1999-12-02 00:00:00,Execute ID Mailed,USA,27
5221,3030,Eastman Chemical Company,2000-07-24 00:00:00,Execute ID Mailed,USA,27
5001,7,American AGIP Co. Inc.,2000-09-14 00:00:00,Execute ID Mailed,USA,27
5121,983,"The Premcor Refining Group, Inc.",2000-02-15 00:00:00,Execute ID Mailed,USA,26
7238,65750,Global Companies LLC,2000-04-19 00:00:00,Execute ID Mailed,USA,26
7441,66190,"Laclede Energy Resources, Inc.",2000-06-09 00:00:00,Execute ID Mailed,USA,26
5532,48876,"Samsung America, Inc.",2000-08-08 00:00:00,Execute ID Mailed,USA,26
7432,3796,Hunt Petroleum Corporation,2000-05-23 00:00:00,Execute ID Mailed,USA,25
5200,2611,Potomac Electric Power Company,2000-06-02 00:00:00,Execute ID Mailed,USA,25
5873,58263,Kinetic Resources U.S.A.,2000-10-12 00:00:00,Execute ID Mailed,USA,25
8061,796,"Bryan, City Of",2000-08-08 00:00:00,Execute ID Mailed,USA,24
6806,962,City of Glendale,2000-01-13 00:00:00,Execute ID Mailed,USA,23
7220,51752,Petrex (London) Limited,2000-04-12 00:00:00,Execute ID Mailed,USA,23
6121,66726,Valero Energy Corporation,2000-05-08 00:00:00,Execute ID Mailed,USA,23
5826,57099,"Veba Oil Supply & Trading, Inc.",2000-05-23 00:00:00,Execute ID Mailed,USA,23
5161,1803,Illinois Power Company,2000-07-10 00:00:00,Execute ID Mailed,USA,23
5146,1394,"Atofina Petrochemicals, Inc.",2001-01-22 00:00:00,Execute ID Mailed,USA,23
6778,64502,ONEOK Power Marketing Company,2000-01-06 00:00:00,Execute ID Mailed,USA,22
8165,2702,Rohm and Haas Texas Inc.,2000-08-04 00:00:00,Execute ID Mailed,USA,22
5069,240,Wisconsin Public Service Corporation,2000-07-12 00:00:00,Execute ID Mailed,USA,21
8239,58772,EEX Corporation,2000-08-17 00:00:00,Execute ID Mailed,USA,21
5162,1805,Imperial Irrigation District,1999-12-06 00:00:00,Execute ID Mailed,USA,20
5762,55425,"WTG Gas Marketing, Inc.",1999-12-06 00:00:00,Execute ID Mailed,USA,20
5163,1836,International Paper Company,2000-02-15 00:00:00,Execute ID Mailed,USA,20
6975,3160,United States Gypsum Company,2000-03-02 00:00:00,Execute ID Mailed,USA,20
5135,1173,"Detroit Edison Company, The",2000-04-03 00:00:00,Execute ID Mailed,USA,20
5076,260,Bethlehem Steel Corporation,2000-02-29 00:00:00,Execute ID Mailed,USA,19
7088,49162,"Carthage Energy Services, Inc.",2000-03-28 00:00:00,Execute ID Mailed,USA,19
5035,143,Bayer Corporation,2000-07-07 00:00:00,Execute ID Mailed,USA,19
5805,56208,Solutia Inc.,2000-07-26 00:00:00,Execute ID Mailed,USA,19
8280,66259,Great River Energy,2000-08-28 00:00:00,Execute ID Mailed,USA,19
7448,46765,PPL Corporation,2000-06-06 00:00:00,Execute ID Mailed,USA,18
8580,86886,"NG Energy Trading, L.L.C.",2000-11-14 00:00:00,Execute ID Mailed,USA,18
5325,10839,Vermont Gas Systems Incorporated,1999-11-10 00:00:00,Execute ID Mailed,USA,17
5330,11134,St. Mary Land & Exploration Company,1999-12-20 00:00:00,Execute ID Mailed,USA,17
6821,65407,Kennecott Coal Sales Company,2000-01-18 00:00:00,Execute ID Mailed,USA,17
6997,58673,Wisconsin Public Power Inc.,2000-03-14 00:00:00,Execute ID Mailed,USA,17
7493,64011,"Transcanada Power Mktg, Ltd",2000-06-21 00:00:00,Execute ID Mailed,USA,17
8164,65716,QuikTrip Corporation,2000-08-04 00:00:00,Execute ID Mailed,USA,17
8392,1954,Koch Gateway Pipeline Company Inc.,2000-10-09 00:00:00,Execute ID Mailed,USA,17
5957,61686,"Conectiv, Inc.",1999-11-10 00:00:00,Execute ID Mailed,USA,16
5760,55286,"Aspect Resources, LLC",2000-03-03 00:00:00,Execute ID Mailed,USA,16
7373,53436,Consumers Energy Company,2000-05-17 00:00:00,Execute ID Mailed,USA,16
7637,2771,Samson Resources Company,2000-06-29 00:00:00,Execute ID Mailed,USA,16
5012,45,Callon Petroleum Company,2000-10-03 00:00:00,Execute ID Mailed,USA,16
8371,73537,North Coast Energy Inc,2000-10-05 00:00:00,Execute ID Mailed,USA,16
5779,55776,"Pioneer Natural Resources USA, Inc.",2000-03-03 00:00:00,Execute ID Mailed,USA,15
6983,71067,"R. Lacy, Inc.",2000-03-07 00:00:00,Execute ID Mailed,USA,15
7079,62000,Star Natural Gas Company,2000-03-28 00:00:00,Execute ID Mailed,USA,15
8316,49098,"Chesapeake Energy Marketing, Inc.",2000-09-14 00:00:00,Execute ID Mailed,USA,15
5757,55250,Duke Energy Corporation,2000-02-24 00:00:00,Execute ID Mailed,USA,14
7494,45648,Agave Energy Company,2000-06-21 00:00:00,Execute ID Mailed,USA,14
7496,2730,Rochester Gas & Electric Corporation,2000-06-22 00:00:00,Execute ID Mailed,USA,14
5276,5348,Diamond Shamrock Refining & Marketing Company,2000-06-30 00:00:00,Execute ID Mailed,USA,14
8160,68866,"Devon SFS Operating, Inc.",2000-08-08 00:00:00,Execute ID Mailed,USA,14
8314,79684,Coastal Field Services Company,2000-09-14 00:00:00,Execute ID Mailed,USA,14
5193,2418,Oklahoma Gas And Electric Company,2000-10-27 00:00:00,Execute ID Mailed,USA,14
5416,26628,Petrobras America Inc.,2000-03-28 00:00:00,Execute ID Mailed,USA,13
7468,49369,"Rio Vista Energy, Ltd.",2000-06-09 00:00:00,Execute ID Mailed,USA,13
5216,2899,Southern Natural Gas Company,2000-08-15 00:00:00,Execute ID Mailed,USA,13
5122,989,"Clayton Williams Energy, Inc.",1999-11-10 00:00:00,Execute ID Mailed,USA,12
7152,75400,Goodrich Petroleum Corporation,2000-04-05 00:00:00,Execute ID Mailed,USA,12
5043,167,Orlando Utilities Commission,2000-04-24 00:00:00,Execute ID Mailed,USA,12
5113,891,Central Vermont Public Service Corporation,2000-06-12 00:00:00,Execute ID Mailed,USA,12
5317,9580,"Terra International, Inc.",2000-07-07 00:00:00,Execute ID Mailed,USA,12
5017,88,Elf Exploration Inc.,2000-02-18 00:00:00,Execute ID Mailed,USA,11
7072,72337,"Royale Energy, Inc.",2000-03-21 00:00:00,Execute ID Mailed,USA,11
7349,3879,Apache Corporation,2000-05-24 00:00:00,Execute ID Mailed,USA,11
7443,28389,Apex Oil Company Inc.,2000-06-09 00:00:00,Execute ID Mailed,USA,11
5066,234,Westlake Petrochemical Corporation,2000-06-12 00:00:00,Execute ID Mailed,USA,11
5172,2063,Lyondell-Citgo Refining Company LP,2000-07-20 00:00:00,Execute ID Mailed,USA,11
8056,3120,Transwestern Pipeline Company,2000-07-25 00:00:00,Execute ID Mailed,USA,11
5116,911,Chevron USA Inc.,2000-08-01 00:00:00,Execute ID Mailed,USA,11
5393,26337,Alabama Electric Cooperative Inc.,2000-08-14 00:00:00,Execute ID Mailed,USA,11
5191,2403,Nuevo Energy Company,2000-08-29 00:00:00,Execute ID Mailed,USA,11
6097,65818,Degussa-Huls Corporation,1999-11-15 00:00:00,Execute ID Mailed,USA,10
5064,230,"West Texas Gas, Inc.",1999-11-16 00:00:00,Execute ID Mailed,USA,10
6614,53939,"Illinova Energy Partners, Inc.",1999-12-08 00:00:00,Execute ID Mailed,USA,10
5659,52163,"Suburban Propane, L.P.",2000-01-31 00:00:00,Execute ID Mailed,USA,10
5956,61470,PSEG Energy Technologies Inc.,2000-02-15 00:00:00,Execute ID Mailed,USA,10
5987,62708,Credit Suisse First Boston International,2000-02-23 00:00:00,Execute ID Mailed,USA,10
7492,55145,Huntsman Petrochemical Corporation,2000-06-22 00:00:00,Execute ID Mailed,USA,10
5885,58628,Pioneer Natural Resources Canada Inc.,2000-07-20 00:00:00,Execute ID Mailed,USA,10
8266,75657,Stewart Petroleum Corporation,2000-08-22 00:00:00,Execute ID Mailed,USA,10
5667,52719,Marubeni America Corporation,2000-03-08 00:00:00,Execute ID Mailed,USA,9
7463,65355,Reliant Energy Gas Transmission Company,2000-06-08 00:00:00,Execute ID Mailed,USA,9
8040,53409,NG Trading LLC,2000-07-19 00:00:00,Execute ID Mailed,USA,9
5288,5588,"PPG Industries, Inc.",2000-08-10 00:00:00,Execute ID Mailed,USA,9
5092,526,Albemarle Corporation,2000-08-28 00:00:00,Execute ID Mailed,USA,9
8405,60866,Red Cedar Gathering Company,2000-10-13 00:00:00,Execute ID Mailed,USA,9
6576,60302,Tanoma Energy Inc.,2001-01-02 00:00:00,Execute ID Mailed,USA,9
5046,171,Piedmont Natural Gas Company Inc.,2000-03-02 00:00:00,Execute ID Mailed,USA,8
7045,10836,Venture Oil Company Of Texas,2000-03-16 00:00:00,Execute ID Mailed,USA,8
7307,76771,"Broadwing Communication Services, Inc.",2000-05-01 00:00:00,Execute ID Mailed,USA,8
7553,2446,Ormet Primary Aluminum Corp.,2000-08-04 00:00:00,Execute ID Mailed,USA,8
5507,47171,Southern Minnesota Municipal Power Agency,1999-12-02 00:00:00,Execute ID Mailed,USA,7
5140,1238,Eagle Gas Marketing Company,2000-02-16 00:00:00,Execute ID Mailed,USA,7
7095,3356,Wisconsin Fuel & Light Company,2000-03-24 00:00:00,Execute ID Mailed,USA,7
7154,32616,"National Fuel Resources, Inc.",2000-04-10 00:00:00,Execute ID Mailed,USA,7
8006,63897,Lyondell Chemical Company,2000-07-11 00:00:00,Execute ID Mailed,USA,7
5175,2109,"Martin Gas Sales, Inc.",2000-10-05 00:00:00,Execute ID Mailed,USA,7
5496,46670,"Astra Oil Company, Inc.",2000-10-23 00:00:00,Execute ID Mailed,USA,7
6111,66242,Sapient Energy Corp.,2000-03-06 00:00:00,Execute ID Mailed,USA,6
5033,133,Madison Gas & Electric Co.,2000-03-28 00:00:00,Execute ID Mailed,USA,6
7150,26814,"Anaheim, City Of",2000-04-06 00:00:00,Execute ID Mailed,USA,6
6867,332,Panhandle Eastern Pipe Line Company,2000-06-09 00:00:00,Execute ID Mailed,USA,6
5917,59626,Rumpke Consolidated Companies Inc.,2000-07-17 00:00:00,Execute ID Mailed,USA,6
8059,10814,TransTexas Gas Corporation,2000-07-25 00:00:00,Execute ID Mailed,USA,6
8138,26316,National Gypsum Company,2000-08-09 00:00:00,Execute ID Mailed,USA,6
8257,23845,Taylor Energy Company,2000-08-18 00:00:00,Execute ID Mailed,USA,6
8260,51132,Shell Chemical Company,2000-08-24 00:00:00,Execute ID Mailed,USA,6
8288,56321,Texas Aromatics Inc.,2000-08-31 00:00:00,Execute ID Mailed,USA,6
8312,71631,Meridian Resource Corporation,2000-09-14 00:00:00,Execute ID Mailed,USA,6
8313,59675,City of Roseville,2000-09-18 00:00:00,Execute ID Mailed,USA,6
8577,1003,"Dominion Transmission, Inc.",2000-11-15 00:00:00,Execute ID Mailed,USA,6
8547,86912,"Aquila Broadband Services, Inc.",2000-11-21 00:00:00,Execute ID Mailed,USA,6
5164,1872,JN Exploration & Production Limited Partnership,2000-01-05 00:00:00,Execute ID Mailed,USA,5
6854,46274,Indiana Municipal Power Agency,2000-01-31 00:00:00,Execute ID Mailed,USA,5
6870,47905,Sabine Hub Services Company,2000-02-01 00:00:00,Execute ID Mailed,USA,5
6916,75437,"Arch Energy Resources, Inc.",2000-02-25 00:00:00,Execute ID Mailed,USA,5
7044,26216,Triad Energy Corporation,2000-03-15 00:00:00,Execute ID Mailed,USA,5
7173,51129,Denbury Resources Inc.,2000-04-05 00:00:00,Execute ID Mailed,USA,5
5727,54408,Browning Oil Company Inc.,2000-06-28 00:00:00,Execute ID Mailed,USA,5
8137,886,"Central Soya Company, Inc.",2000-08-01 00:00:00,Execute ID Mailed,USA,5
8198,27702,"Louisiana Gas Service, Co.",2000-08-15 00:00:00,Execute ID Mailed,USA,5
5790,56001,"El Paso Industrial Energy, L.P.",2000-10-12 00:00:00,Execute ID Mailed,USA,5
8539,50773,Castle Oil Corporation,2000-11-06 00:00:00,Execute ID Mailed,USA,5
8579,759,Bonneville Fuels Corporation,2000-11-14 00:00:00,Execute ID Mailed,USA,5
8661,85547,Edge Petroleum Corporation,2001-01-02 00:00:00,Execute ID Mailed,USA,5
5633,51161,Western Petroleum Company,1999-11-18 00:00:00,Execute ID Mailed,USA,4
5016,76,"Cox & Perkins Exploration, Inc.",1999-11-23 00:00:00,Execute ID Mailed,USA,4
6688,46301,"Estate of William G Helis, a Partnership",1999-12-14 00:00:00,Execute ID Mailed,USA,4
