Customer,Primary Lead,Facility Type
Enichem Elastomers,Papayoti,Industrial & Generation
Enron Methanol,Papayoti,Industrial & Generation
Enron MTBE (EGP Fuels),Papayoti,Industrial & Generation
Equistar,Papayoti,Industrial & Generation
Fina,Papayoti,Industrial & Generation
Geon,Papayoti,Industrial & Generation
Global Octanes,Papayoti,Industrial & Generation
Goodyear,Papayoti,Industrial & Generation
Hampshire Chemical,Papayoti,Industrial & Generation
Hoechst Celanese,Papayoti,Industrial & Generation
Javelina,Papayoti,Industrial & Generation
LaRoche Vitamins,Papayoti,Industrial & Generation
Liquid Carbonics,Papayoti,Industrial & Generation
Lonza,Papayoti,Industrial & Generation
Louisiana Pacific,Papayoti,Industrial & Generation
Lubrizol,Papayoti,Industrial & Generation
Mobil,Papayoti,Industrial & Generation
Olin,Papayoti,Industrial & Generation
OxyChem,Papayoti,Industrial & Generation
Praxair,Papayoti,Industrial & Generation
Qualitech Steel ,Papayoti,Industrial & Generation
Reynolds Metals,Papayoti,Industrial & Generation
Texas Industries,Papayoti,Industrial & Generation
Union Carbide,Papayoti,Industrial & Generation
Wyman-Gordon Forging,Papayoti,Industrial & Generation
CSW Energy,Wallis,IPP
PG&E Generating,Wallis,IPP
Bay City,Wallis/Ducote,LDC's & Municipalities
Brazos Fuel,Wallis/Ducote,COOP
City of Austin,Wallis/Ducote,LDC's & Municipalities
City of Brownsville,Wallis/Ducote,LDC's & Municipalities
City of Bryan,Wallis/Ducote,LDC's & Municipalities
City of Corpus Christi,Wallis/Ducote,LDC's & Municipalities
City of Denton,Wallis/Ducote,LDC's & Municipalities
City of Garland,Wallis/Ducote,LDC's & Municipalities
City of Greenville,Wallis/Ducote,LDC's & Municipalities
City of Koontz,Wallis/Ducote,LDC's & Municipalities
City of San Antonio,Wallis/Ducote,LDC's & Municipalities
City of Tom Ball,Wallis/Ducote,LDC's & Municipalities
CSW,Wallis/Ducote,LDC's & Municipalities
D & H Municipal,Wallis/Ducote,LDC's & Municipalities
Entergy - GSU,Wallis/Ducote,LDC's & Municipalities
Entex,Wallis/Ducote,LDC's & Municipalities
HL&P,Wallis/Ducote,LDC's & Municipalities
LCRA,Wallis/Ducote,Reclamation District
Southern Union,Wallis/Ducote,LDC's & Municipalities
Texas A & M Medical,Wallis/Ducote,LDC's & Municipalities
Texas New Mexico Power,Wallis/Ducote,COOP
Texas Utilities,Wallis/Ducote,LDC's & Municipalities
