EOLTRAN,DATE,TIME,COMBINED,DAY,USERNM,USER#,COUNTERPTY,ENRON,BEGDATE,ENDDATE,TENOR,QUAN,VOLUME,MEA,P,PRICEINDEX,QUOTED,INDEX,TRDPR,DISC,US000,TRADE,SETTL
902928,2001-02-19 00:00:00,07:56:00,2001-02-19 07:56:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,L,NXC2      ,29.41,     ,29.41,    ,735,     ,     
936818,2001-02-28 00:00:00,07:20:00,2001-02-28 07:20:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,10000,   ,L,NXC2      ,28.32,     ,28.32,    ,283,     ,     
936820,2001-02-28 00:00:00,07:20:00,2001-02-28 07:20:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,L,NXC2      ,28.3,     ,28.29,    ,707,     ,     
936830,2001-02-28 00:00:00,07:21:00,2001-02-28 07:21:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,L,NXC2      ,28.3,     ,28.29,    ,707,     ,     
936839,2001-02-28 00:00:00,07:21:00,2001-02-28 07:21:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,L,NXC2      ,28.3,     ,28.29,    ,707,     ,     
948756,2001-03-02 00:00:00,07:57:00,2001-03-02 07:57:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.7,     ,27.7,    ,692,     ,     
948759,2001-03-02 00:00:00,07:57:00,2001-03-02 07:57:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.7,     ,27.7,    ,692,     ,     
948773,2001-03-02 00:00:00,07:58:00,2001-03-02 07:58:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.68,     ,27.68,    ,692,     ,     
970693,2001-03-08 00:00:00,07:47:00,2001-03-08 07:47:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.85,     ,28.85,    ,721,     ,     
970762,2001-03-08 00:00:00,07:54:00,2001-03-08 07:54:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28.85,     ,28.85,    ,721,     ,     
1063980,2001-03-30 00:00:00,07:26:00,2001-03-30 07:26:00,MON,EOL123,55562,DUKE ENERG,N,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,15000,   ,S,NXC1      ,26.48,     ,26.48,    ,397,     ,     
736245,2001-01-04 00:00:00,00:19:00,2001-01-04 00:19:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,20000,   ,L,NXC2      ,27.98,     ,27.98,5.55,556,28.13,27.63
736247,2001-01-04 00:00:00,00:31:00,2001-01-04 00:31:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,5000,   ,L,NXC1      ,27.98,     ,27.98,5.55,139,28.13,27.63
736267,2001-01-04 00:00:00,01:23:00,2001-01-04 01:23:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,5000,   ,L,NXC1      ,27.96,     ,27.95,5.55,138,28.13,27.63
736357,2001-01-04 00:00:00,02:38:00,2001-01-04 02:38:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,20000,   ,L,NXC1      ,27.96,     ,27.95,5.55,555,28.13,27.63
736367,2001-01-04 00:00:00,02:52:00,2001-01-04 02:52:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,L,NXC1      ,27.94,     ,27.94,5.55,694,28.13,27.63
736369,2001-01-04 00:00:00,02:55:00,2001-01-04 02:55:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,27.96,     ,27.95,5.55,694,28.13,27.63
736375,2001-01-04 00:00:00,02:58:00,2001-01-04 02:58:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,5000,   ,L,NXC2      ,27.94,     ,27.94,5.55,138,28.13,27.63
736381,2001-01-04 00:00:00,03:00:00,2001-01-04 03:00:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,20000,   ,L,NXC1      ,27.94,     ,27.94,5.55,555,28.13,27.63
736429,2001-01-04 00:00:00,03:18:00,2001-01-04 03:18:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,L,NXC1      ,27.92,     ,27.92,5.55,693,28.13,27.63
736448,2001-01-04 00:00:00,03:33:00,2001-01-04 03:33:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,L,NXC1      ,27.9,     ,27.9,5.55,693,28.13,27.63
736456,2001-01-04 00:00:00,03:44:00,2001-01-04 03:44:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,L,NXC1      ,27.88,     ,27.87,5.55,692,28.13,27.63
736485,2001-01-04 00:00:00,04:03:00,2001-01-04 04:03:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,L,NXC1      ,27.84,     ,27.84,5.55,691,28.13,27.63
736499,2001-01-04 00:00:00,04:10:00,2001-01-04 04:10:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,L,NXC1      ,27.8,     ,27.79,5.55,690,28.13,27.63
736666,2001-01-04 00:00:00,06:53:00,2001-01-04 06:53:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC1      ,27.74,     ,27.74,5.55,689,28.13,27.63
736672,2001-01-04 00:00:00,06:56:00,2001-01-04 06:56:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,10000,   ,S,NXC1      ,27.76,     ,27.76,5.55,275,28.13,27.63
740806,2001-01-04 00:00:00,21:22:00,2001-01-04 21:22:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC1      ,28.01,     ,28.01,5.55,695,28.13,27.63
746150,2001-01-07 00:00:00,22:12:00,2001-01-07 22:12:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,L,NXC1      ,28.12,     ,28.12,5.36,699,27.95,27.63
746151,2001-01-07 00:00:00,22:40:00,2001-01-07 22:40:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,L,NXC1      ,28.1,     ,28.1,5.36,698,27.95,27.63
746152,2001-01-07 00:00:00,22:50:00,2001-01-07 22:50:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,L,NXC1      ,28.08,     ,28.08,5.36,698,27.95,27.63
751150,2001-01-08 00:00:00,19:06:00,2001-01-08 19:06:00,MON,RICHAR,52521,ECT - SING,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,20000,   ,S,NXC1      ,27.42,     ,27.42,5.3,545,27.32,27.63
