2001-10-03 12:51:17,,,,,,,Elk Basin,,,,,,,,,,,
,,50000,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,O18,O,18,Powder River Lat,B,B18,,,,,,
,,51000,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,E18,E,18,Powder River Lat,B,B18,,,,,,
,KN-55 Plant,135000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,D51,D,51,KN - 55,C,C51,,,,,,
,,126152,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,U51,U,51,KN - 55,C,C51,,,,,,
,,121638,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,F51,F,51,KN - 55,C,C51,,,,,,
,KN-740 Plant,130000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,D52,D,52,KN - 740,C,C52,,,,,,
,,83849,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,U52,U,52,KN - 740,C,C52,,,,,,
,,97108,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,F52,F,52,KN - 740,C,C52,,,,,,
,Medicine Bow,457000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,C17,C,17,Medicine Bow Lat,B,B17,,,,,,
,,438000,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,O17,O,17,Medicine Bow Lat,B,B17,,,,,,
,,448000,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,E17,E,17,Medicine Bow Lat,B,B17,,,,,,
,Utah Total Demand,,Capactiy,,,,,,,,,,,,,,,
,,240365,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Questar_d1.xls,Sheet1,P181,P,181,Utah Demand*,A,A181,,,,,,
,,0,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Questar_d1.xls,Sheet1,F181,F,181,Utah Demand*,A,A181,,,,,,
,Clay Basin,,Capactiy,,,,,,,,,,,,,,,
,,220774,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,WestSummary1.xls,Sheet1,N685,N,685,Clay Basin*,A,A685,,,,,,
,,258131,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,WestSummary1.xls,Sheet1,C685,C,685,Clay Basin*,A,A685,,,,,,
,Uinta Lateral,225000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,C9,C,9,Uinta Lat,B,B9,,,,,,
,,139000,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,O9,O,9,Uinta Lat,B,B9,,,,,,
,,151000,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,E9,E,9,Uinta Lat,B,B9,,,,,,
,Transco Northern Rec,395000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transcolorado_d1.xls,Sheet1,D8,D,8,Total,C,C8,,,,,,
,,143022,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transcolorado_d1.xls,Sheet1,P8,P,8,Total,C,C8,,,,,,
,,108823,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transcolorado_d1.xls,Sheet1,F8,F,8,Total,C,C8,,,,,,
,NW Plants Total,1114009,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,KernMojave_d1.xls,Sheet1,D9,D,9,Total,C,C9,,,,,,
,,745749,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,KernMojave_d1.xls,Sheet1,P9,P,9,Total,C,C9,,,,,,
,,736667,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,KernMojave_d1.xls,Sheet1,F9,F,9,Total,C,C9,,,,,,
,NW Interconnects Total,893194,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,KernMojave_d1.xls,Sheet1,D14,D,14,Total,C,C14,,,,,,
,,196491,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,KernMojave_d1.xls,Sheet1,P14,P,14,Total,C,C14,,,,,,
,,192806,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,KernMojave_d1.xls,Sheet1,F14,F,14,Total,C,C14,,,,,,
,La Plata B,File Not Found,Capactiy, , , ,,,,,,,,,,,,
,,182010,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,WestSummary1.xls,Sheet1,N72,N,72,La Plata B()=North,A,A72,,,,,,
,,147010,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,WestSummary1.xls,Sheet1,C72,C,72,La Plata B()=North,A,A72,,,,,,
,EPNG SJ Total,2810000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,elPaso_d1.xls,Sheet1,B6,B,6,SJ Total,A,A6,,,,,,
,,2715066,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,elPaso_d1.xls,Sheet1,N6,N,6,SJ Total,A,A6,,,,,,
,,2651735,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,elPaso_d1.xls,Sheet1,D6,D,6,SJ Total,A,A6,,,,,,
,Transco-Southern Rec,1209400,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transcolorado_d1.xls,Sheet1,D13,D,13,Total,C,C13,,,,,,
,,179102,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transcolorado_d1.xls,Sheet1,P13,P,13,Total,C,C13,,,,,,
,,208458,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transcolorado_d1.xls,Sheet1,F13,F,13,Total,C,C13,,,,,,
,Rockport Lateral,121000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,KN_d1.xls,Sheet1,C9,C,9,Rockport Lateral,B,B9,,,,,,
,,119341,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,KN_d1.xls,Sheet1,O9,O,9,Rockport Lateral,B,B9,,,,,,
,,119340,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,KN_d1.xls,Sheet1,E9,E,9,Rockport Lateral,B,B9,,,,,,
,Dull Knife,539000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,C27,C,27,Dull Knife,B,B27,,,,,,
,,538500,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,O27,O,27,Dull Knife,B,B27,,,,,,
,,539000,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,E27,E,27,Dull Knife,B,B27,,,,,,
,CIG Storage,,Capactiy,,,,,,,,,,,,,,,
,,0,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,WestSummary1.xls,Sheet1,N692,N,692,CIG*,A,A692,,,,,,
,,0,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,WestSummary1.xls,Sheet1,C692,C,692,CIG*,A,A692,,,,,,
,KIT Carson,315000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,C34,C,34,Kit Carson,B,B34,,,,,,
,,315000,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,O34,O,34,Kit Carson,B,B34,,,,,,
,,315000,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,E34,E,34,Kit Carson,B,B34,,,,,,
,CIG Into PSCO,0,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,C30,C,30,Into PSCO*,B,B30,,,,,,
,,18955,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,O30,O,30,Into PSCO*,B,B30,,,,,,
,,0,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,E30,E,30,Into PSCO*,B,B30,,,,,,
,San Juan Pt Rec,0,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,B8,B,8,San Juan Plt Rec*,A,A8,,,,,,
,,993345,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,X8,X,8,San Juan Plt Rec*,A,A8,,,,,,
,,1006794,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,D8,D,8,San Juan Plt Rec*,A,A8,,,,,,
,PNM Bloomfield,150000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,B20,B,20,PNM Bloomfield,A,A20,,,,,,
,,72744,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,X20,X,20,PNM Bloomfield,A,A20,,,,,,
,,89599,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,D20,D,20,PNM Bloomfield,A,A20,,,,,,
,EL Paso I/C,460000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,B21,B,21,El Paso I/C,A,A21,,,,,,
,,297774,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,X21,X,21,El Paso I/C,A,A21,,,,,,
,,251759,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,D21,D,21,El Paso I/C,A,A21,,,,,,
,NWPL Receipts,0,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,B22,B,22,NWPL Receipts*,A,A22,,,,,,
,,144291,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,X22,X,22,NWPL Receipts*,A,A22,,,,,,
,,136619,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,D22,D,22,NWPL Receipts*,A,A22,,,,,,
,TW/TC Blanco,200000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,B34,B,34,TW/TC Blanco,A,A34,,,,,,
,,66187,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,X34,X,34,TW/TC Blanco,A,A34,,,,,,
,,61189,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,Transwestern_d1.xls,Sheet1,D34,D,34,TW/TC Blanco,A,A34,,,,,,
