Controls Objective,Controls environment at 31/12/00,Controls Assessment at 31/12/00,"Action Plan (to achieve desired level of controls - denoted by L3, L4, L5)",Latest Completion Date,Responsibility,Comments,Implementation Progress - 31/1/01,Revised Controls Assessment at 31/01/01
System adequacy,MGMR system unreliable and not linked between sites.  Bergman system has 80% of required controls and can be implemented across all sites.,2,L4: Identify systems improvements required to achieve further controls enhancements.,2001-06-30 00:00:00,Jaeger,MGMR system scrapped.  Combined business now functioning on Bergman system. Systems improvements in process of identification and training program for Hamburg and Frankfurt during February.,,3
Accuracy and timeliness of reporting,DPR and TB Reports sent independently by site.  Difficulties in meeting deadlines.  MTM adjustments to be refined and automated.,2,L3: Ensure DPR and month end reporting feeds to Enron reporting systems,2001-01-31 00:00:00,Jaeger,Risk systems and monthly reporting feeds are well advanced.  Credit and Cash management feeds in process of development. ,,3
Accuracy and timeliness of reporting,DPR and TB Reports sent independently by site.  Difficulties in meeting deadlines.  MTM adjustments to be refined and automated.,2,"L4:  Refine Credit, Risk and Cash reporting feeds",2001-03-31 00:00:00,Jaeger,Risk systems and monthly reporting feeds are well advanced.  Credit and Cash management feeds in process of development. ,,3
OVERALL CONTROLS ASSESSMENT,,2,,,,,,2.5
,,,,,,,,
1. No acceptable controls in place,,,,,,,,
2. Below average controls in place,,,,,,,,
3. Average controls in place ,,,,,,,,
4. Good controls in place,,,,,,,,
5. Excellent controls in place,,,,,,,,
