Page: 1,,,VSMTMACCT,,2001-12-11 08:34:00,,,,,,,,,,,,,,
ZAI*NET v6.02,,,Database: zainet_adhoc_prod,,a/o 10DEC01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ETS MTM Financial Position and P&L report,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Company,Book,Group,Group Desc,Trd Date,Start,End,Market,Comp,B/S,Instrument,Volume,Price 1,Price 2,Trd Diff,MTM,cpty_xref,Cpty,hedge_spec,
TW,TTFW,00009,Fuel Hedge,2000-08-02 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,IFERC,PERMEP,S,FIXED SWAP,-305000,2.57,3.63,0,324400,NT6154.1,ENA,HEDGE,324400
TW,TTFW,00009,Fuel Hedge,2000-08-16 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,IFERC,PERMEP,S,FIXED SWAP,-305000,2.57,3.585,0,310675,NV5358.1,ENA,HEDGE,310675
TW,TTTW,00004,Transport Hedge,2001-01-12 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,IFERC,SJUAN,B,BASIS SWAP,0,2.65525,2.9552499999999995,-0.27,-300362.42,QL2915.1,RMTC,HEDGE,
TW,TTTW,00004,Transport Hedge,2001-01-12 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,NGI,SOCAL,S,BASIS SWAP,0,2.991916666666667,2.9552499999999995,1.05,10054807.549999999,QL2918.1,RMTC,HEDGE,
TW,TTTW,00007,Transport Hedge,2001-01-16 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,NGI,SOCAL,S,BASIS SWAP,0,3.43625,3.2920833333333337,1.03,11579182.160000002,QL5357.1,RMTC,HEDGE,
TW,TTTW,00007,Transport Hedge,2001-01-16 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,IFERC,SJUAN,B,BASIS SWAP,0,3.04125,3.2920833333333337,-0.15,-1321177.45,QL5358.1,RMTC,HEDGE,
TW,TTTW,00006,Transport Hedge,2001-01-16 00:00:00,2001-12-01 00:00:00,2001-12-31 00:00:00,IFERC,SJUAN,B,BASIS SWAP,0,2.09,2.316,-0.21,-6696,QL5363.1,RMTC,HEDGE,-6696
TW,TTTW,00006,Transport Hedge,2001-01-16 00:00:00,2001-12-01 00:00:00,2001-12-31 00:00:00,NGI,SOCAL,S,BASIS SWAP,0,2.225,2.316,0.9,395901,QL5365.1,RMTC,HEDGE,395901
TW,TTTW,00005,Transport Hedge,2001-01-16 00:00:00,2002-11-01 00:00:00,2002-12-31 00:00:00,NGI,SOCAL,S,BASIS SWAP,0,3.3475,3.2775,0.85,1000824.88,QL5424.1,RMTC,HEDGE,
TW,TTTW,00005,Transport Hedge,2001-01-16 00:00:00,2002-11-01 00:00:00,2002-12-31 00:00:00,IFERC,SJUAN,B,BASIS SWAP,0,3.0475,3.2775,-0.15,-102648.7,QL5444.1,RMTC,HEDGE,
TW,TTTW,00007,Transport Hedge,2001-01-17 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,NGI,SOCAL,S,BASIS SWAP,0,3.43625,3.2920833333333337,1.16,4072003.28,QL9270.1,RMTC,HEDGE,
TW,TTTW,00007,Transport Hedge,2001-01-17 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,IFERC,SJUAN,B,BASIS SWAP,0,3.04125,3.2920833333333337,-0.14,-445242.17,QL9273.1,RMTC,HEDGE,
TW,TTFW,0000F,Fuel Hedge 2002,2001-03-07 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,IFERC,PERMEP,S,FIXED SWAP,-1825000,2.8027083333333334,5.05,0,4056095.38,QV8401.1,RMTC,HEDGE,
TW,TTFW,0000F,Fuel Hedge 2002,2001-08-10 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,IFERC,PERMEP,S,FIXED SWAP,-1825000,2.8027083333333334,3.46,0,1186520.46,VV1743.1,RMTC,HEDGE,
TW,TTFW,0000F,Fuel Hedge 2002,2001-09-14 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,IFERC,PERMEP,S,FIXED SWAP,-1825000,2.8027083333333334,3.3625,0,1010555.94,Y31793.1,RMTC,HEDGE,
TW,TTFW,0000F,Fuel Hedge 2002,2001-10-26 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,IFERC,PERMEP,S,FIXED SWAP,-1825000,2.8027083333333334,3.145,0,618019.75,Y37193.2,RMTC,HEDGE,
,,,,,,,,,,,,,,,32993208.66,OCI reduction,,,
,,,,,,,,,,,,,,,,,,,
TW,TTFW,0000F,Fuel Hedge 2002,2000-12-06 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,IFERC,PERMEP,S,BASIS SWAP,0,2.802708333333334,2.9552499999999995,0.03,329329.36,QF0967.1,ENA,SPEC,
TW,TTFW,0000F,Fuel Hedge 2002,2000-12-07 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,NYMEX,NG,S,FIXED SWAP,-1825000,2.955250000000001,4.47,0,2734960.61,QF4410.1,ENA,SPEC,
TW,TTFW,0000F,Fuel Hedge 2002,2000-12-07 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,NYMEX,NG,B,FIXED SWAP,1825000,2.955250000000001,4.39,0,-2590535.44,QF4447.1,ENA,SPEC,
TW,TTFW,0000F,Fuel Hedge 2002,2000-12-08 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00,IFERC,PERMEP,B,BASIS SWAP,0,2.802708333333334,2.9552499999999995,0.04,-347376.99,QF5953.1,ENA,SPEC,
,,,,,,,,,,,,,,,126377.5399999998,Income hit,,,
