NEW GAS FIRED PLANT ADDITIONS (1999 THROUGH 2005),,,,,,,,,,,,,,,,,,,
NERC REGION,YEAR,Plant Description,Pipeline,State,Probability,Type,Month,Operational?,Plant Capacity,Merchant Capacity,Machine Type,Tot Plant Capacity High,Tot Plant Capacity Medium,Tot Plant Capacity Low,Tot Gas Usage High,Tot Gas Usage Medium,Tot Gas Usage Low,Summer Only,ID
ECAR,2000,AMP-Ohio - Hamilton Peaking,,OH,High,CT,June,Y,27.2,0,0,27.2,0,0,5004.8,0,0,5004.8,691
ECAR,2000,MCN Energy - Columbus,,OH,Dead,CT,June,N,0,0,,0,0,0,0,0,0,0,132
ECAR,2000,Matrix Power - Worthington Plant,,IN,High,CT,June,N,180,180,,180,0,0,33120,0,0,33120,131
ECAR,2000,Air Products - Calvert City,,KY,High,Cogen,April,Y,26,0,,26,0,0,4056,0,0,0,121
ECAR,2000,CMS Energy/DTE Energy Dearborn,PEPL/MichCon,MI,High,Cogen,June,Y,240,240,,240,0,0,37440,0,0,0,123
ECAR,2000,Detroit Edison - Del-Ray,ANR,MI,High,CT,January,Y,139.4,0,,139.4,0,0,25649.6,0,0,25649.6,48
ECAR,2000,Dayton Power & Light - Chester,,IN,Med,CT,,N,225,225,,0,225,0,0,41400,0,10350,125
ECAR,2000,Kentucky Utilities - EW Brown,,KY,High,CT,June,Y,75,0,0,75,0,0,13800,0,0,13800,684
ECAR,2000,Duke Energy/Cinergy - Vermilion County,Midwestern,IN,High,CT,June,Y,640,640,,640,0,0,117760,0,0,117760,127
ECAR,2000,ENA - Wheatland,Midwestern,IN,High,CT,May,Y,459,459,,459,0,0,84456,0,0,84456,128
ECAR,2000,Holland Board of Public Works,,MI,High,CT,April,Y,66.3,0,,66.3,0,0,12199.2,0,0,12199.2,129
ECAR,2000,Allegheny Energy Supply,,PA,High,CT,January,Y,74.5,0,,74.5,0,0,13708,0,0,13708,39
ECAR,2000,Allegheny Energy Supply,,PA,High,CT,June,N,220,0,,220,0,0,40480,0,0,40480,122
ECAR,2001,PSEG Global - Morristown,,IN,Med,CT,June,N,180,180,,0,180,0,0,33120,0,8280,225
ECAR,2001,Kentucky Utilities/LG&E - (Brown/Paddy's Run),,KY,High,CT,,N,284,0,,284,0,0,52256,0,0,52256,221
ECAR,2001,First Energy - West Loraine (Defiance),Columbia Gas/EOG,OH,High,CT,Spring,N,425,0,,425,0,0,78200,0,0,78200,219
ECAR,2001,NiSource - Whiting (BP Amoco Refining),,IN,High,Cogen,,N,525,425,,525,0,0,81900,0,0,0,222
ECAR,2001,Primary Energy - Indiana Harbor (LTV),,IN,High,Cogen,September,N,50,50,,50,0,0,7800,0,0,0,224
ECAR,2001,SEI - Zeeland I (Grand Rapids),,MI,Med,CC,June,N,300,300,,0,300,0,0,54000,0,0,226
ECAR,2001,SIG&E,,IN,High,CT,,N,80,0,,80,0,0,14720,0,0,14720,227
ECAR,2001,SIG&E,,IN,High,Cogen,,N,42,0,,42,0,0,6552,0,0,0,228
ECAR,2001,Putnam Energy Center,,IN,Med,CT,June,N,500,500,LM 6000,0,500,0,0,92000,0,23000,778
ECAR,2001,Cinergy - Cincinnati (West End),,OH,Med,CT,June,N,90,90,,0,90,0,0,16560,0,4140,205
ECAR,2001,Duke - DeSoto,,IN,Low,CT,June,N,320,320,,0,0,320,0,0,58880,0,218
ECAR,2001,Entergy - Jackson Generating (Bloomfield),,OH,Med,CT,June,N,640,640,,0,640,0,0,117760,0,29440,662
ECAR,2001,Columbia Electric - Henderson Co,,KY,Low,CT,June,N,500,500,,0,0,500,0,0,92000,0,208
ECAR,2001,Dayton Power & Light - Greenville (Darke Co),,OH,Med,CT,March,N,200,200,,0,200,0,0,36800,0,9200,216
ECAR,2001,Dayton Power & Light - Tait (Montgomery Co),,OH,High,CT,June,N,320,320,,320,0,0,58880,0,0,58880,215
ECAR,2001,Dayton Power & Light - West Lancaster (Fairfield),Columbia Gas,OH,High,CT,June,N,200,200,,200,0,0,36800,0,0,36800,214
ECAR,2001,Dayton Power & Light - (Chester) Wells Co.,,IN,Med,CT,June,N,400,400,,0,400,0,0,73600,0,18400,213
ECAR,2001,Dayton Power & Light - Greenville (Wells/Hamilton Co),,IN,Med,CT,May,N,200,0,,0,200,0,0,36800,0,9200,212
ECAR,2001,Consumers Energy @ Morrow Site,,MI ?,High,CC,,N,60,0,,60,0,0,10800,0,0,0,211
ECAR,2001,Constellation - Bristol (Wayne Co),,WV,Med,CT,June,N,300,300,,0,300,0,0,55200,0,13800,210
ECAR,2001,Columbia Electric - Ceredo (Twelvepole Creek),Columbia Gas,WV,Med,CT,,N,500,500,,0,500,0,0,92000,0,23000,209
ECAR,2001,Cinergy -Erlanger,,KY,Med,CT,,,80,80,,0,80,0,0,14720,0,3680,206
ECAR,2001,CMS Energy/DTE Energy Dearborn,PEPL/MichCon,MI,Med,CT,,N,310,310,,0,310,0,0,57040,0,14260,207
ECAR,2001,Dynegy - Riverside Generating,Tennessee,KY,High,CT,June,N,500,500,,500,0,0,92000,0,0,92000,217
ECAR,2002,LS Power - Columbus Station,,IN,Med,CC,,N,825,825,,0,825,0,0,148500,0,0,403
ECAR,2002,Duke - Vigo County,,IN,Low,CC,June,,620,620,,0,0,620,0,0,111600,0,714
ECAR,2002,Dayton Power & Light - Darby (Pickaway),,OH,Med,CT,June,N,480,480,,0,480,0,0,88320,0,22080,665
ECAR,2002,Dominion - Muskingum County,CNG,OH,Med,CT,July,N,600,600,,0,600,0,0,110400,0,27600,395
ECAR,2002,Dominion/Troy Energy (Wood Co),CNG,OH,High,CT,June,N,600,600,,600,0,0,110400,0,0,110400,402
ECAR,2002,Duke - Knox County,,IN,Low,CT,June,,620,620,GE PG7 - EA,0,0,620,0,0,114080,0,126
ECAR,2002,Dresden Energy - Cass (Muskingum Co),,OH,Low,CT,,N,500,500,,0,0,500,0,0,92000,0,394
ECAR,2002,Duke Energy/Cinergy - Butler County (Madison) II,TETCO,OH,Med,CT,June,,640,640,,0,640,0,0,117760,0,29440,144
ECAR,2002,PSEG - Waterford Township (Marietta),,OH,Med,CC,January,N,850,850,,0,850,0,0,153000,0,0,401
ECAR,2002,National Power Coop - Van Wert Co,,OH,Low,CT,,N,510,510,,0,0,510,0,0,93840,0,400
ECAR,2002,East Kentucky Power Coop - Clark County,,KY,High,CT,,N,80,0,,80,0,0,14720,0,0,14720,399
ECAR,2002,Duke - Waterford (Washington Co),,OH,Low,CC,,N,620,620,,0,0,620,0,0,111600,0,398
ECAR,2002,Dominion - Pleasants County,CNG,WV,Med,CT,August,N,600,600,,0,600,0,0,110400,0,27600,396
ECAR,2002,Cogentrix - Franklin (Jackson Co),,OH,Low,CC,,N,1200,1200,,0,0,1200,0,0,216000,0,392
ECAR,2002,Cogentrix - Bedford (Lawrence Co),,IN,Low,CT,,N,500,500,,0,0,500,0,0,92000,0,391
ECAR,2002,AEP - Buckeye Power (OREC),,OH,Med,CT,,N,510,0,,0,510,0,0,93840,0,23460,390
ECAR,2002,Dayton Power & Light - Hardinsburg Stn,,KY,Med,CT,,N,400,400,,0,400,0,0,73600,0,18400,397
ECAR,2002,Kinder Morgan - Jackson,,MI,High,CC,June,,550,550,,550,0,0,99000,0,0,0,717
ECAR,2002,Duke - Baroda (Berrien Co),,MI,Med,CT,,,640,640,,0,640,0,0,117760,0,29440,715
ECAR,2002,Decker Energy - Carson City/St. Clair Co.,,MI,Med,CT,,N,500,500,,0,500,0,0,92000,0,23000,393
ECAR,2002,SkyGen - Mt Vernon (Posey),,IN,Low,CT,,,440,440,,0,0,440,0,0,80960,0,727
ECAR,2002,Dynegy - Rolling Hills (Vinton Co),,OH,Low,CT,,,800,800,,0,0,800,0,0,147200,0,716
ECAR,2002,Ogden Energy - Indianapolis,,IN,Low,CT,,,250,250,,0,0,250,0,0,46000,0,718
ECAR,2003,Calpine - Fremont,,OH,Med,CC,,N,700,700,,0,700,0,0,126000,0,0,551
ECAR,2003,Dynegy - Bluegrass Gen. (Oldham),TGT,KY,High,CT,June,N,324,324,Siemens W501F,324,0,0,59616,0,0,59616,559
ECAR,2003,Tenaska - Pike County,Midwestern?,IN,Med,CC,Late,N,830,830,,0,830,0,0,149400,0,0,557
ECAR,2003,Panda - Mount Vernon,,IN,Med,CC,,,1070,1070,,0,1070,0,0,192600,0,0,705
ECAR,2003,SEI - Zeeland II (Grand Rapids),,MI,Med,CC,June,N,530,530,,0,530,0,0,95400,0,0,555
ECAR,2003,Dominion - Possum Plant Coal Conv.,,VA,Med,CC,,N,450,0,,0,450,0,0,81000,0,0,554
ECAR,2003,Indeck - Niles,,MI,Med,CC,,N,1100,1100,,0,1100,0,0,198000,0,0,552
ECAR,2003,Decker Energy - Carson City/St. Clair Co.,,MI,Med,CT,,N,500,500,,0,500,0,0,92000,0,23000,558
ECAR,2003,PSEG Global - Lawrenceburg,,IN,Med,CC,,N,1000,1000,,0,1000,0,0,180000,0,0,550
ECAR,2003,PG&E - Covert,,MI,Low,CC,January,N,1000,1000,,0,0,1000,0,0,180000,0,549
ECAR,2003,CME Energy - Benton Harbor (Meadowbrook),,MI,Med,CC,,,800,800,,0,800,0,0,144000,0,0,730
ECAR,2003,Calpine/CME Energy - Lawrence Co,,OH,Med,CC,June,N,1100,1100,,0,1100,0,0,198000,0,0,739
ECAR,2003,Kinder Morgan - Jackson,,MI,Med,CC,,N,550,550,,0,550,0,0,99000,0,0,553
ECAR,2003,Southern - (formerly Nordic Electric) - Wyandotte,,MI,Med,CC,July,N,480,480,,0,480,0,0,86400,0,0,223
ECAR,2003,Cinergy - Martinsville,,VA,Med,CT,June,N,330,330,,0,330,0,0,60720,0,15180,758
ECAR,2003,Southern Co - State Line (Hammond),,IN,Med,CC,,N,550,550,,0,550,0,0,99000,0,0,556
ECAR,2004,Entergy - Jackson Co (Bloomfield),,OH,Low,CT,,N,640,640,,0,0,640,0,0,117760,0,629
ECAR,2004,Dayton Power & Light - Darby (Pickaway Co),,OH,Low,CT,,N,480,480,,0,0,480,0,0,88320,0,630
ECAR,2004,Panda - Tallmadge Power (Kent Co),ANR,MI,Med,CC,,N,1000,1000,,0,1000,0,0,180000,0,0,631
ECAR,2004,Westlake - Marshall Co,,KY,Low,CC,,N,520,520,,0,0,520,0,0,93600,0,632
ECAR,2004,Panda - Cullonden (Campbell Co),,WV,Low,CC,,N,1000,1000,,0,0,1000,0,0,180000,0,628
ECAR,2004,Dayton Power & Light - Fairmount (Grant Co),,IN,Med,CT,,N,400,400,P&W FT 8 Twin Pac,0,400,0,0,73600,0,18400,747
,,,,,,,,,41440.1,36457.3,0,8760.099999999999,21910,10770,1580124.7999999998,3982900,1954840,1756767.6,36472
ERCOT,1998,Borger Energy - Blackhawk Station,,TX,High,Cogen,October,Y,225,225,0,225,0,0,35100,0,0,0,683
ERCOT,1999,BASF - Freeport,,TX,High,Cogen,July,Y,79.7,0,,79.7,0,0,12433.2,0,0,0,15
ERCOT,1999,Southern Co.-Wichita Falls,,TX,High,Cogen,October,N,80,80,,80,0,0,12480,0,0,0,19
ERCOT,1999,CSW - Mission (Frontera),,TX,High,CT,August,Y,280.5,280.5,,280.5,0,0,51612,0,0,51612,16
ERCOT,1999,Oxy/Conoco - Ingleside,,TX,High,Cogen,October,Y,465.4,205,,465.4,0,0,72602.4,0,0,0,18
ERCOT,2000,Calpine(was Duke) - Hildago/Edinburg,Duke Field Svs,TX,High,CC,June,Y,500,500,,500,0,0,90000,0,0,0,78
ERCOT,2000,Calpine - Pasadena expansion,Midcon/Channel/Tejas/HPL,TX,High,Cogen,June,N,510,510,,510,0,0,79560,0,0,0,77
ERCOT,2000,CSW - Mission (Frontera),,TX,High,CC,June,N,160,160,,160,0,0,28800,0,0,0,79
ERCOT,2000,ANP - Midlothian,Lone Star/Valero,TX,High,CC,June,Y,1100,1100,ABB GT24 OTC,1100,0,0,198000,0,0,0,76
ERCOT,2000,Dynegy - Lyondell,,TX,Low,Cogen,June,N,155,155,,0,0,155,0,0,24180,0,80
ERCOT,2000,Golden Spread - Pampa,,TX,Med,CC,,N,486,200,,0,486,0,0,87480,0,0,82
ERCOT,2000,LG&E /Columbia Electric - Gregory,,TX,High,Cogen,July,N,361,361,,361,0,0,56316,0,0,0,83
ERCOT,2000,PG&E(USGen)/UDS - Three Rivers,,TX,Dead,Cogen,,N,0,0,,0,0,0,0,0,0,0,84
ERCOT,2000,San Antonio Public Service (CPS Von Rosenburg),,TX,High,CC,June,Y,511,0,,511,0,0,91980,0,0,0,85
ERCOT,2000,Southern Co. - Brazos Electric (Bosque Co) (Whitney),,TX,High,CT,June,Y,300,300,7FA,300,0,0,55200,0,0,55200,86
ERCOT,2000,Reliant/Air Liquide - Orange (Sabine),,TX,High,Cogen,January,Y,88.5,48.5,,88.5,0,0,13806,0,0,0,17
ERCOT,2000,FPL (Panda) - Paris (Lamar Power),NGPL/Black Marlin(NNG),TX,High,CC,June,Y,1000,300,7FA,1000,0,0,180000,0,0,0,81
ERCOT,2001,ANP/US Gen - Edinburg Phase I,,TX,Low,CC,June,N,550,550,,0,0,550,0,0,99000,0,230
ERCOT,2001,ANP - Midlothian,Lone Star/Valero,TX,High,CT,October,N,550,550,,550,0,0,101200,0,0,101200,231
ERCOT,2001,Southern Co. - Brazos Electric (Bosque County) II,,TX,Med,CT,June,N,248,248,,0,248,0,0,45632,0,11408,697
ERCOT,2001,Reliant - Equistar Chemical,,TX,High,Cogen,November,N,750,450,,750,0,0,117000,0,0,0,250
ERCOT,2001,Constellation - Gilmer (Longview),HPL/Tejas/NGPL/Midcon,TX,Med,CC,June,N,800,800,,0,800,0,0,144000,0,0,240
ERCOT,2001,Coral/LCRA - Lost Pines,,TX,Low,1,,Y,1500,1500,,0,0,1500,0,0,276000,0,241
ERCOT,2001,Duke - Jack County,NGPL,TX,Med,CC,June,N,500,500,,0,500,0,0,90000,0,0,243
ERCOT,2001,Duke - Mesquite,,TX,Med,CC,June,N,500,500,,0,500,0,0,90000,0,0,244
ERCOT,2001,ENA - Austin Energy (Sand Hill Energy Center),,TX,High,CT,May,N,180,180,,180,0,0,33120,0,0,33120,245
ERCOT,2001,Garland Power & Light (2001?),,TX,Med,CT,June,N,85,0,,0,85,0,0,15640,0,3910,246
ERCOT,2001,Panda - Taylor Creek (Wichita Falls),,TX,Med,Cogen,Summer,N,1000,1000,,0,1000,0,0,156000,0,0,247
ERCOT,2001,ANP - Hayes County (San Marcos) 2002?,Oasis,TX,High,CC,June,N,1100,1100,,1100,0,0,198000,0,0,0,229
ERCOT,2001,Panda/PSEG - Marion (Guadalupe Power),,TX,High,CC,January,N,1000,1000,,1000,0,0,180000,0,0,0,249
ERCOT,2001,Conoco - Sabine River Works,Valero,TX,Med,Cogen,Summer,N,420,350,,0,420,0,0,65520,0,0,239
ERCOT,2001,Skygen/Polsky - Corpus Christi,HPL/Valero/Tejas,TX,High,Cogen,January,N,532,452,,532,0,0,82992,0,0,0,251
ERCOT,2001,Calpine/GenTex Power - Lost Pines I,,TX,High,CC,June,N,500,250,,500,0,0,90000,0,0,0,236
ERCOT,2001,Calpine - Edinburg (Magic Valley),Valero/TETCO/Tenn/Trunkline/HPL,TX,High,CC,January,N,700,300,,700,0,0,126000,0,0,0,232
ERCOT,2001,Calpine/Bayer - Baytown,Channel/Midcon/Tejas,TX,Med,Cogen,November,N,700,0,,0,700,0,0,109200,0,0,233
ERCOT,2001,Panda/PSEG - Ector County (Odessa),El Paso,TX,High,CC,June,N,1000,1000,,1000,0,0,180000,0,0,0,248
ERCOT,2001,Calpine/CITCO - Ship Channel,,TX,Med,Cogen,,N,560,0,,0,560,0,0,87360,0,0,235
ERCOT,2001,Tenaska Gateway Gen - Rusk County,Tejas,TX,High,CC,May,N,830,830,,830,0,0,149400,0,0,0,252
ERCOT,2001,Coastal - Bastrop,,TX,Med,CC,,N,550,550,,0,550,0,0,99000,0,0,237
ERCOT,2001,Cobisa - Forney,,TX,Low,CC,June,N,1500,1500,,0,0,1500,0,0,270000,0,238
ERCOT,2001,Calpine/Bayer - Baytown,Channel/Midcon/Tejas,TX,Med,CT,November,N,100,100,,0,100,0,0,18400,0,4600,234
ERCOT,2002,Constellation - Seguin (Rio Nogales),Oasis,TX,Med,CC,June,N,800,800,,0,800,0,0,144000,0,0,404
ERCOT,2002,AES - Granbury (Wolf Hollow),,TX,Med,CC,June,N,730,730,,0,730,0,0,131400,0,0,405
ERCOT,2002,Calpine (was Entergy) - Fairfield (Freestone),,TX,Low,CC,1Q,N,1000,1000,,0,0,1000,0,0,180000,0,406
ERCOT,2002,KN Power - Dallas,NGPL,TX,Low,CC,June,N,510,510,,0,0,510,0,0,91800,0,407
ERCOT,2002,Monterrey III,Export,TX,Med,CC,April,N,450,0,,0,450,0,0,81000,0,0,408
ERCOT,2003,Sempra/Doane Products - Cedar Bluff,,TX,Med,CC,May,N,578,578,,0,578,0,0,104040,0,0,562
ERCOT,2003,Wise County Power,,TX,Low,CT,,N,800,800,,0,0,800,0,0,147200,0,561
ERCOT,2004,Dynergy/ANP - El Paso,,TX,Low,CC,,N,1500,1500,,0,0,1500,0,0,270000,0,636
ERCOT,2004,Sempra - Montgomery Co (Dobbin),,TX,Low,CC,,N,578,578,,0,0,578,0,0,104040,0,638
ERCOT,2004,Cottonwood Energy - Newton,,TX,Low,CT,,N,1200,1200,,0,0,1200,0,0,220800,0,634
ERCOT,2004,Texas Industrial Power - Mt. Belvieu,,TX,Low,CT,,N,193,193,,0,0,193,0,0,35512,0,639
ERCOT,2004,Mobil Beaumont Expansion,HPL,TX,Med,CC,,N,740,740,,0,740,0,0,133200,0,0,637
ERCOT,2004,Ceng - Duval Co,,TX,Low,Cogen,,N,385,385,,0,0,385,0,0,60060,0,635
ERCOT,2004,ANP - Chambers (Harris Co),,TX,Low,CT,,N,2200,2200,,0,0,2200,0,0,404800,0,633
ERCOT,2004,Avista/Steag - Fort Bend (Coodine),,TX,Low,CT,,N,800,800,,0,0,800,0,0,147200,0,640
,,,,,,,,,34921.1,30149,0,12803.1,9247,12871,2235601.6,1601872,2330592,261050,16131
FRCC,1999,Cargill - Riverview,,FL,Low,1,July,N,35,0,,0,0,35,0,0,6440,0,71
FRCC,1999,FPC - Anclote,FGT,FL,High,CC,June,N,1000,400,,1000,0,0,180000,0,0,0,72
FRCC,1999,FPC - Hines Unit #1,FGT ****,FL,High,CC,April,Y,470,0,,470,0,0,84600,0,0,0,73
FRCC,1999,JEA - Brady Branch I,FGT,FL,High,CC,Sept,N,177,0,,177,0,0,31860,0,0,0,74
FRCC,1999,Lakeland - McIntosh I,FGT ****,FL,High,1,June,N,245,0,,245,0,0,45080,0,0,45080,75
FRCC,2000,FPL - Fort Meyers,FGT,FL,High,CC,October,N,1400,0,,1400,0,0,252000,0,0,0,88
FRCC,2000,TECO - Polk Power Station,FGT  ****,FL,High,SC,July,N,150,0,,150,0,0,27600,0,0,27600,92
FRCC,2000,TECO - Hardee,FGT,FL,High,CT,June,Y,75,0,,75,0,0,13800,0,0,13800,91
FRCC,2000,JEA - Kennedy,FGT  +++,FL,High,CT,June,Y,165,0,,165,0,0,30360,0,0,30360,89
FRCC,2000,Bio Energy Partners - CSL Gas Recovery,FGT,FL,High,CT,June,Y,2,0,0,2,0,0,368,0,0,368,692
FRCC,2000,Tallahassee - Purdom #8,FGT,FL,High,CC,May,Y,250,0,,250,0,0,45000,0,0,0,90
FRCC,2001,FPC - Intersession City,FGT  ****,FL,High,SC,December,N,255,0,,255,0,0,46920,0,0,46920,260
FRCC,2001,Reliant - Orlando (Seminole EC),FGT,FL,Med,CT,December,N,460,300,,0,460,0,0,84640,0,21160,265
FRCC,2001,TECO - IMC,FGT,FL,High,Cogen,,N,150,150,,150,0,0,23400,0,0,0,264
FRCC,2001,Polskly - Sterling Chemical (Skygen),Koch Gateway,FL,Med +,Cogen,,N,250,-56,,0,250,0,0,39000,0,0,263
FRCC,2001,FPL - Martin Expansion,FGT,FL,High,CT,,N,340,0,,340,0,0,62560,0,0,62560,261
FRCC,2001,FPC - Hines #2,FGT  ****,FL,delay,CC,June,N,0,0,,0,0,0,0,0,0,0,259
FRCC,2001,ENA - Ft. Pierce,FGT,FL,High,CT,June,N,190,190,,190,0,0,34960,0,0,34960,258
FRCC,2001,LS Power - Hardee Co.,FGT +++,FL,High,CT,October,,510,510,,510,0,0,93840,0,0,93840,477
FRCC,2001,ENA - Lakeland,FGT,FL,Low,CT,January,N,150,0,,0,0,150,0,0,27600,0,257
FRCC,2001,Calpine - Auburndale,FGT,FL,Low,1,,N,100,100,,0,0,100,0,0,18400,0,256
FRCC,2001,El Paso - Hardee Co,FGT,FL,Low,1,,N,640,640,,0,0,640,0,0,117760,0,255
FRCC,2001,El Paso - Pasco Co (510??),FGT,FL,Low,1,June,N,300,150,,0,0,300,0,0,55200,0,254
FRCC,2001,JEA - Brandy Branch,FGT  +++,FL,Med,CT,1Q & 4Q,N,450,230,,0,450,0,0,82800,0,20700,262
FRCC,2002,IMC Agrico (Polk Co),FGT,FL,Med,CC,,N,400,0,,0,400,0,0,72000,0,0,420
FRCC,2002,ENA - Pompano Beach,,FL,Low,CT,July,,510,510,GE 7FA,0,0,510,0,0,93840,0,529
FRCC,2002,FPL - Ft. Meyers,FGT,FL,High,CC,June,N,914,0,,914,0,0,164520,0,0,0,417
FRCC,2002,FPL - Sanford,FGT,FL,High,CC,January,N,1000,0,,1000,0,0,180000,0,0,0,418
FRCC,2002,Dynegy - Palmetto Power,FGT  ****,FL,Med,1,May,N,500,500,,0,500,0,0,92000,0,23000,412
FRCC,2002,Panda - Leesburgh,FGT  +++,FL,Low,CC,,N,1000,1000,,0,0,1000,0,0,180000,0,424
FRCC,2002,Seminole E.C. - Hardee Cty,FGT  ****,FL,Med,CC,January,N,500,0,,0,500,0,0,90000,0,0,426
FRCC,2002,TECO (inc. Polk Power Plt),FGT  ****/+++,FL,Low,CC,,N,540,0,,0,0,540,0,0,97200,0,428
FRCC,2002,Thermo Ecotek,FGT,FL,Low,CC,,N,210,210,,0,0,210,0,0,37800,0,429
FRCC,2002,ENA - Jacksonville,FGT,FL,Med,CT,January,N,120,120,,0,120,0,0,22080,0,5520,414
FRCC,2002,Seminole E.C. - Payne Creek,FGT  ****,FL,High,CC,,N,500,0,,500,0,0,90000,0,0,0,427
FRCC,2002,GRU - Kelly (Gainesville),FGT,FL,Med,CC,,N,110,0,,0,110,0,0,19800,0,0,419
FRCC,2002,Decker Energy - Fort Meade,FGT,FL,Low,CT,November,N,500,500,,0,0,500,0,0,92000,0,410
FRCC,2002,Constellation - Cocoa/Oleander,FGT  ****,FL,Med,SC,April,N,850,850,,0,850,0,0,156400,0,39100,409
FRCC,2002,Duke - New Smyrna Beach,FGT,FL,Low,CC,June,N,514,484,,0,0,514,0,0,92520,0,411
FRCC,2002,FMPA - Cane Island,FGT  ****,FL,High,CC,,N,240,0,,240,0,0,43200,0,0,0,416
FRCC,2002,ENA - Vero Beach,FGT,FL,Low,CT,June,N,150,150,,0,0,150,0,0,27600,0,415
FRCC,2002,Lakeland - McIntosh II,FGT  ****,FL,High,CC,June,N,120,0,,120,0,0,21600,0,0,0,423
FRCC,2002,KUA - Cane Island (Kissimmee),FGT  ****,FL,High,CC,,N,250,0,,250,0,0,45000,0,0,0,422
FRCC,2002,IPS/Avon Park - Hardee County,FGT  ****,FL,Med,1,July,N,680,680,,0,680,0,0,125120,0,31280,421
FRCC,2002,ENA - South Florida (Special),FGT,FL,High,CT,June,N,150,150,,150,0,0,27600,0,0,27600,413
FRCC,2002,EDC - Dade County,,FL,Low,1,May,N,74,74,,0,0,74,0,0,13616,0,666
FRCC,2002,Seminole E.C.,FGT,FL,Low,CC,,N,900,0,,0,0,900,0,0,162000,0,425
FRCC,2003,FPC - Polk County (Hines #2),FGT,FL,High,CT,November,N,530,0,,530,0,0,97520,0,0,97520,570
