,Forward curve as of,,Date,Nymex promt hist.
,,,1993-06-01 00:00:00,2.179
,,,1993-06-02 00:00:00,2.108
,,,1993-06-03 00:00:00,2.114
,,,1993-06-04 00:00:00,2.11
,,,1993-06-07 00:00:00,2.036
,,,1993-06-08 00:00:00,2.126
,,,1993-06-09 00:00:00,2.171
,,,1993-06-10 00:00:00,2.141
,,,1993-06-11 00:00:00,2.178
,,,1993-06-14 00:00:00,2.2
,,,1993-06-15 00:00:00,2.152
,,,1993-06-16 00:00:00,2.193
,,,1993-06-17 00:00:00,2.241
,,,1993-06-18 00:00:00,2.255
,,,1993-06-21 00:00:00,2.195
,,,1993-06-22 00:00:00,2.086
,,,1993-06-23 00:00:00,1.918
,,,1993-06-24 00:00:00,2.159
,,,1993-06-25 00:00:00,2.157
,,,1993-06-28 00:00:00,2.197
,,,1993-06-29 00:00:00,2.171
,,,1993-06-30 00:00:00,2.181
,,,1993-07-01 00:00:00,2.121
,,,1993-07-06 00:00:00,2.144
,,,1993-07-07 00:00:00,2.158
,,,1993-07-08 00:00:00,2.126
,,,1993-07-09 00:00:00,2.153
,,,1993-07-12 00:00:00,2.085
,,,1993-07-13 00:00:00,2.081
,,,1993-07-14 00:00:00,2.034
,,,1993-07-15 00:00:00,2.031
,,,1993-07-16 00:00:00,2.067
,,,1993-07-19 00:00:00,2.024
,,,1993-07-20 00:00:00,2.033
,,,1993-07-21 00:00:00,2.095
,,,1993-07-22 00:00:00,2.096
,,,1993-07-23 00:00:00,2.121
,,,1993-07-26 00:00:00,2.124
,,,1993-07-27 00:00:00,2.11
,,,1993-07-28 00:00:00,2.14
,,,1993-07-29 00:00:00,2.181
,,,1993-07-30 00:00:00,2.22
,,,1993-08-01 00:00:00,2.22
,,,1993-08-02 00:00:00,2.216
,,,1993-08-03 00:00:00,2.189
,,,1993-08-04 00:00:00,2.2
,,,1993-08-05 00:00:00,2.225
,,,1993-08-06 00:00:00,2.203
,,,1993-08-09 00:00:00,2.176
,,,1993-08-10 00:00:00,2.218
,,,1993-08-11 00:00:00,2.253
,,,1993-08-12 00:00:00,2.296
,,,1993-08-13 00:00:00,2.295
,,,1993-08-16 00:00:00,2.357
,,,1993-08-17 00:00:00,2.35
,,,1993-08-18 00:00:00,2.41
,,,1993-08-19 00:00:00,2.39
,,,1993-08-20 00:00:00,2.46
,,,1993-08-23 00:00:00,2.418
,,,1993-08-24 00:00:00,2.401
,,,1993-08-25 00:00:00,2.381
,,,1993-08-26 00:00:00,2.428
,,,1993-08-27 00:00:00,2.447
,,,1993-08-30 00:00:00,2.403
,,,1993-08-31 00:00:00,2.375
,,,1993-09-01 00:00:00,2.366
,,,1993-09-02 00:00:00,2.406
,,,1993-09-03 00:00:00,2.391
,,,1993-09-07 00:00:00,2.272
,,,1993-09-08 00:00:00,2.283
,,,1993-09-09 00:00:00,2.264
,,,1993-09-10 00:00:00,2.196
,,,1993-09-13 00:00:00,2.196
,,,1993-09-14 00:00:00,2.157
,,,1993-09-15 00:00:00,2.123
,,,1993-09-16 00:00:00,2.085
,,,1993-09-17 00:00:00,2.165
,,,1993-09-20 00:00:00,2.193
,,,1993-09-21 00:00:00,2.238
,,,1993-09-22 00:00:00,2.158
,,,1993-09-23 00:00:00,2.066
,,,1993-09-24 00:00:00,2.257
,,,1993-09-27 00:00:00,2.264
,,,1993-09-28 00:00:00,2.302
,,,1993-09-29 00:00:00,2.318
,,,1993-09-30 00:00:00,2.291
,,,1993-10-01 00:00:00,2.277
,,,1993-10-04 00:00:00,2.197
,,,1993-10-05 00:00:00,2.178
,,,1993-10-06 00:00:00,2.173
,,,1993-10-07 00:00:00,2.122
,,,1993-10-08 00:00:00,2.141
,,,1993-10-11 00:00:00,2.185
,,,1993-10-12 00:00:00,2.151
,,,1993-10-13 00:00:00,2.205
,,,1993-10-14 00:00:00,2.167
,,,1993-10-15 00:00:00,2.172
,,,1993-10-18 00:00:00,2.131
,,,1993-10-19 00:00:00,2.166
,,,1993-10-20 00:00:00,2.116
,,,1993-10-21 00:00:00,2.126
,,,1993-10-22 00:00:00,2.155
,,,1993-10-25 00:00:00,2.313
,,,1993-10-26 00:00:00,2.305
,,,1993-10-27 00:00:00,2.364
,,,1993-10-28 00:00:00,2.385
,,,1993-10-29 00:00:00,2.368
,,,1993-11-01 00:00:00,2.434
,,,1993-11-02 00:00:00,2.407
,,,1993-11-03 00:00:00,2.441
,,,1993-11-04 00:00:00,2.446
,,,1993-11-05 00:00:00,2.44
,,,1993-11-08 00:00:00,2.389
,,,1993-11-09 00:00:00,2.38
,,,1993-11-10 00:00:00,2.323
,,,1993-11-11 00:00:00,2.297
,,,1993-11-12 00:00:00,2.233
,,,1993-11-15 00:00:00,2.262
,,,1993-11-16 00:00:00,2.25
,,,1993-11-17 00:00:00,2.295
,,,1993-11-18 00:00:00,2.336
,,,1993-11-19 00:00:00,2.385
,,,1993-11-22 00:00:00,2.396
,,,1993-11-23 00:00:00,2.352
,,,1993-11-24 00:00:00,2.355
,,,1993-11-29 00:00:00,2.275
,,,1993-11-30 00:00:00,2.243
,,,1993-12-01 00:00:00,2.198
,,,1993-12-02 00:00:00,2.135
,,,1993-12-03 00:00:00,2.153
,,,1993-12-06 00:00:00,2.033
,,,1993-12-07 00:00:00,2.054
,,,1993-12-08 00:00:00,1.982
,,,1993-12-09 00:00:00,1.916
,,,1993-12-10 00:00:00,1.946
,,,1993-12-13 00:00:00,1.893
,,,1993-12-14 00:00:00,2.016
,,,1993-12-15 00:00:00,2.013
,,,1993-12-16 00:00:00,2.075
,,,1993-12-17 00:00:00,2.105
,,,1993-12-20 00:00:00,2.172
,,,1993-12-21 00:00:00,2.002
,,,1993-12-22 00:00:00,2.022
,,,1993-12-23 00:00:00,1.964
,,,1993-12-27 00:00:00,2.088
,,,1993-12-28 00:00:00,2.075
,,,1993-12-29 00:00:00,2.054
,,,1993-12-30 00:00:00,1.997
,,,1994-01-03 00:00:00,1.929
,,,1994-01-04 00:00:00,1.964
,,,1994-01-05 00:00:00,2.091
,,,1994-01-06 00:00:00,2.094
,,,1994-01-07 00:00:00,2.156
,,,1994-01-10 00:00:00,2.157
,,,1994-01-11 00:00:00,2.219
,,,1994-01-12 00:00:00,2.237
,,,1994-01-13 00:00:00,2.194
,,,1994-01-14 00:00:00,2.268
,,,1994-01-17 00:00:00,2.36
,,,1994-01-18 00:00:00,2.318
,,,1994-01-19 00:00:00,2.252
,,,1994-01-20 00:00:00,2.25
,,,1994-01-21 00:00:00,2.305
,,,1994-01-24 00:00:00,2.47
,,,1994-01-25 00:00:00,2.246
,,,1994-01-26 00:00:00,2.359
,,,1994-01-27 00:00:00,2.417
,,,1994-01-28 00:00:00,2.528
,,,1994-01-31 00:00:00,2.554
,,,1994-02-01 00:00:00,2.639
,,,1994-02-02 00:00:00,2.585
,,,1994-02-03 00:00:00,2.383
,,,1994-02-04 00:00:00,2.369
,,,1994-02-07 00:00:00,2.347
,,,1994-02-08 00:00:00,2.411
,,,1994-02-09 00:00:00,2.358
,,,1994-02-10 00:00:00,2.374
,,,1994-02-11 00:00:00,2.356
,,,1994-02-14 00:00:00,2.252
,,,1994-02-15 00:00:00,2.253
,,,1994-02-16 00:00:00,2.345
,,,1994-02-17 00:00:00,2.385
,,,1994-02-18 00:00:00,2.418
,,,1994-02-22 00:00:00,2.296
,,,1994-02-23 00:00:00,2.232
,,,1994-02-24 00:00:00,2.248
,,,1994-02-25 00:00:00,2.292
,,,1994-02-28 00:00:00,2.208
,,,1994-03-01 00:00:00,2.18
,,,1994-03-02 00:00:00,2.171
,,,1994-03-03 00:00:00,2.146
,,,1994-03-04 00:00:00,2.188
,,,1994-03-07 00:00:00,2.167
,,,1994-03-08 00:00:00,2.196
,,,1994-03-09 00:00:00,2.156
,,,1994-03-10 00:00:00,2.116
,,,1994-03-11 00:00:00,2.096
,,,1994-03-14 00:00:00,2.05
,,,1994-03-15 00:00:00,2.104
,,,1994-03-16 00:00:00,2.163
,,,1994-03-17 00:00:00,2.124
,,,1994-03-18 00:00:00,2.103
,,,1994-03-21 00:00:00,2.055
,,,1994-03-22 00:00:00,2.107
,,,1994-03-23 00:00:00,2.077
,,,1994-03-24 00:00:00,1.981
,,,1994-03-25 00:00:00,2.072
,,,1994-03-28 00:00:00,2.066
,,,1994-03-29 00:00:00,2.062
,,,1994-03-30 00:00:00,2.058
,,,1994-03-31 00:00:00,2.075
,,,1994-04-01 00:00:00,2.1
,,,1994-04-04 00:00:00,2.144
,,,1994-04-05 00:00:00,2.069
,,,1994-04-06 00:00:00,2.097
,,,1994-04-07 00:00:00,2.085
,,,1994-04-08 00:00:00,2.066
,,,1994-04-11 00:00:00,2.068
,,,1994-04-12 00:00:00,2.089
,,,1994-04-13 00:00:00,2.131
,,,1994-04-14 00:00:00,2.163
,,,1994-04-15 00:00:00,2.187
,,,1994-04-18 00:00:00,2.156
,,,1994-04-19 00:00:00,2.129
,,,1994-04-20 00:00:00,2.139
,,,1994-04-21 00:00:00,2.132
,,,1994-04-22 00:00:00,2.076
,,,1994-04-25 00:00:00,2.152
,,,1994-04-26 00:00:00,2.103
,,,1994-04-28 00:00:00,2.067
,,,1994-04-29 00:00:00,2.067
,,,1994-05-02 00:00:00,2.009
,,,1994-05-03 00:00:00,2.002
,,,1994-05-04 00:00:00,2.034
,,,1994-05-05 00:00:00,2.044
,,,1994-05-06 00:00:00,2.037
,,,1994-05-09 00:00:00,1.986
,,,1994-05-10 00:00:00,1.99
,,,1994-05-11 00:00:00,1.95
,,,1994-05-12 00:00:00,1.947
,,,1994-05-13 00:00:00,1.923
,,,1994-05-16 00:00:00,1.913
,,,1994-05-17 00:00:00,1.949
,,,1994-05-18 00:00:00,1.943
,,,1994-05-19 00:00:00,1.957
,,,1994-05-20 00:00:00,1.904
,,,1994-05-23 00:00:00,1.851
,,,1994-05-24 00:00:00,1.884
,,,1994-05-25 00:00:00,1.836
,,,1994-05-26 00:00:00,1.862
,,,1994-05-27 00:00:00,1.842
,,,1994-05-31 00:00:00,1.917
,,,1994-06-01 00:00:00,1.89
,,,1994-06-02 00:00:00,1.982
,,,1994-06-03 00:00:00,1.965
,,,1994-06-05 00:00:00,1.97
,,,1994-06-06 00:00:00,1.97
,,,1994-06-07 00:00:00,2.022
,,,1994-06-08 00:00:00,2.087
,,,1994-06-09 00:00:00,2.047
,,,1994-06-10 00:00:00,2.134
,,,1994-06-12 00:00:00,2.13
,,,1994-06-13 00:00:00,2.121
,,,1994-06-14 00:00:00,2.13
,,,1994-06-15 00:00:00,2.172
,,,1994-06-16 00:00:00,2.134
,,,1994-06-17 00:00:00,2.085
,,,1994-06-20 00:00:00,2.126
,,,1994-06-21 00:00:00,2.078
,,,1994-06-22 00:00:00,2.024
,,,1994-06-23 00:00:00,1.966
,,,1994-06-24 00:00:00,2.134
,,,1994-06-27 00:00:00,2.136
,,,1994-06-28 00:00:00,2.2
,,,1994-06-29 00:00:00,2.18
,,,1994-06-30 00:00:00,2.184
,,,1994-07-01 00:00:00,2.216
,,,1994-07-05 00:00:00,2.131
,,,1994-07-06 00:00:00,2.122
,,,1994-07-07 00:00:00,2.072
,,,1994-07-08 00:00:00,2.023
,,,1994-07-11 00:00:00,2.026
,,,1994-07-12 00:00:00,2.005
,,,1994-07-13 00:00:00,2
,,,1994-07-14 00:00:00,1.977
,,,1994-07-15 00:00:00,1.948
,,,1994-07-18 00:00:00,1.945
,,,1994-07-19 00:00:00,1.959
,,,1994-07-20 00:00:00,1.901
,,,1994-07-21 00:00:00,1.84
,,,1994-07-22 00:00:00,1.789
,,,1994-07-25 00:00:00,1.845
,,,1994-07-26 00:00:00,1.868
,,,1994-07-27 00:00:00,1.843
,,,1994-07-28 00:00:00,1.861
,,,1994-07-29 00:00:00,1.893
,,,1994-08-01 00:00:00,1.878
,,,1994-08-02 00:00:00,1.816
,,,1994-08-03 00:00:00,1.742
,,,1994-08-04 00:00:00,1.761
,,,1994-08-05 00:00:00,1.719
,,,1994-08-08 00:00:00,1.671
,,,1994-08-09 00:00:00,1.703
,,,1994-08-10 00:00:00,1.766
,,,1994-08-11 00:00:00,1.686
,,,1994-08-12 00:00:00,1.72
,,,1994-08-15 00:00:00,1.753
,,,1994-08-16 00:00:00,1.79
,,,1994-08-17 00:00:00,1.837
,,,1994-08-18 00:00:00,1.731
,,,1994-08-19 00:00:00,1.674
,,,1994-08-22 00:00:00,1.612
,,,1994-08-23 00:00:00,1.532
,,,1994-08-24 00:00:00,1.484
,,,1994-08-25 00:00:00,1.62
,,,1994-08-26 00:00:00,1.617
,,,1994-08-29 00:00:00,1.661
,,,1994-08-30 00:00:00,1.601
,,,1994-08-31 00:00:00,1.586
,,,1994-09-01 00:00:00,1.596
,,,1994-09-02 00:00:00,1.56
,,,1994-09-05 00:00:00,
,,,1994-09-06 00:00:00,1.596
,,,1994-09-07 00:00:00,1.631
,,,1994-09-08 00:00:00,1.659
,,,1994-09-09 00:00:00,1.638
,,,1994-09-12 00:00:00,1.688
,,,1994-09-13 00:00:00,1.675
,,,1994-09-14 00:00:00,1.684
,,,1994-09-15 00:00:00,1.631
,,,1994-09-16 00:00:00,1.628
,,,1994-09-19 00:00:00,1.633
,,,1994-09-20 00:00:00,1.556
,,,1994-09-21 00:00:00,1.493
,,,1994-09-22 00:00:00,1.445
,,,1994-09-23 00:00:00,1.406
,,,1994-09-26 00:00:00,1.716
,,,1994-09-27 00:00:00,1.715
,,,1994-09-28 00:00:00,1.702
,,,1994-09-29 00:00:00,1.707
,,,1994-09-30 00:00:00,1.657
,,,1994-10-03 00:00:00,1.683
,,,1994-10-04 00:00:00,1.692
,,,1994-10-05 00:00:00,1.664
,,,1994-10-06 00:00:00,1.647
,,,1994-10-07 00:00:00,1.624
,,,1994-10-10 00:00:00,1.658
,,,1994-10-11 00:00:00,1.664
,,,1994-10-12 00:00:00,1.642
,,,1994-10-13 00:00:00,1.61
,,,1994-10-14 00:00:00,1.632
,,,1994-10-17 00:00:00,1.653
,,,1994-10-18 00:00:00,1.635
,,,1994-10-19 00:00:00,1.585
,,,1994-10-20 00:00:00,1.557
,,,1994-10-21 00:00:00,1.597
,,,1994-10-24 00:00:00,1.683
,,,1994-10-25 00:00:00,1.947
,,,1994-10-26 00:00:00,2.031
,,,1994-10-27 00:00:00,2.008
,,,1994-10-28 00:00:00,1.992
,,,1994-10-31 00:00:00,1.95
,,,1994-11-01 00:00:00,1.936
,,,1994-11-02 00:00:00,1.869
,,,1994-11-03 00:00:00,1.861
,,,1994-11-04 00:00:00,1.856
,,,1994-11-07 00:00:00,1.759
,,,1994-11-08 00:00:00,1.754
,,,1994-11-09 00:00:00,1.775
,,,1994-11-10 00:00:00,1.741
,,,1994-11-11 00:00:00,1.741
,,,1994-11-14 00:00:00,1.703
,,,1994-11-15 00:00:00,1.735
,,,1994-11-16 00:00:00,1.659
,,,1994-11-17 00:00:00,1.618
,,,1994-11-18 00:00:00,1.685
,,,1994-11-21 00:00:00,1.661
,,,1994-11-22 00:00:00,1.874
,,,1994-11-23 00:00:00,1.875
,,,1994-11-28 00:00:00,1.871
,,,1994-11-29 00:00:00,1.77
,,,1994-11-30 00:00:00,1.695
,,,1994-12-01 00:00:00,1.653
,,,1994-12-02 00:00:00,1.635
,,,1994-12-05 00:00:00,1.728
,,,1994-12-06 00:00:00,1.691
,,,1994-12-07 00:00:00,1.784
,,,1994-12-08 00:00:00,1.847
,,,1994-12-09 00:00:00,1.842
,,,1994-12-12 00:00:00,1.913
,,,1994-12-13 00:00:00,1.768
,,,1994-12-14 00:00:00,1.714
,,,1994-12-15 00:00:00,1.718
,,,1994-12-16 00:00:00,1.685
,,,1994-12-19 00:00:00,1.577
,,,1994-12-20 00:00:00,1.573
,,,1994-12-21 00:00:00,1.592
,,,1994-12-22 00:00:00,1.639
,,,1994-12-23 00:00:00,1.571
,,,1994-12-27 00:00:00,1.694
,,,1994-12-28 00:00:00,1.685
,,,1994-12-29 00:00:00,1.686
,,,1994-12-30 00:00:00,1.725
,,,1995-01-03 00:00:00,1.683
,,,1995-01-04 00:00:00,1.617
,,,1995-01-05 00:00:00,1.552
,,,1995-01-06 00:00:00,1.499
,,,1995-01-09 00:00:00,1.454
,,,1995-01-10 00:00:00,1.439
,,,1995-01-11 00:00:00,1.437
,,,1995-01-12 00:00:00,1.343
,,,1995-01-13 00:00:00,1.323
,,,1995-01-16 00:00:00,1.39
,,,1995-01-17 00:00:00,1.434
,,,1995-01-18 00:00:00,1.335
,,,1995-01-19 00:00:00,1.359
,,,1995-01-20 00:00:00,1.425
,,,1995-01-23 00:00:00,1.389
,,,1995-01-24 00:00:00,1.416
,,,1995-01-25 00:00:00,1.361
,,,1995-01-26 00:00:00,1.382
,,,1995-01-27 00:00:00,1.391
,,,1995-01-30 00:00:00,1.378
,,,1995-01-31 00:00:00,1.354
,,,1995-02-01 00:00:00,1.39
,,,1995-02-02 00:00:00,1.435
,,,1995-02-03 00:00:00,1.482
,,,1995-02-06 00:00:00,1.538
,,,1995-02-07 00:00:00,1.421
,,,1995-02-08 00:00:00,1.438
,,,1995-02-09 00:00:00,1.489
,,,1995-02-10 00:00:00,1.47
,,,1995-02-13 00:00:00,1.39
,,,1995-02-14 00:00:00,1.392
,,,1995-02-15 00:00:00,1.386
,,,1995-02-16 00:00:00,1.399
,,,1995-02-17 00:00:00,1.419
,,,1995-02-21 00:00:00,1.428
,,,1995-02-22 00:00:00,1.428
,,,1995-02-23 00:00:00,1.46
,,,1995-02-24 00:00:00,1.469
,,,1995-02-27 00:00:00,1.43
,,,1995-02-28 00:00:00,1.483
,,,1995-03-01 00:00:00,1.483
,,,1995-03-02 00:00:00,1.481
,,,1995-03-03 00:00:00,1.448
,,,1995-03-06 00:00:00,1.431
,,,1995-03-07 00:00:00,1.432
,,,1995-03-08 00:00:00,1.449
,,,1995-03-09 00:00:00,1.442
,,,1995-03-10 00:00:00,1.463
,,,1995-03-13 00:00:00,1.456
,,,1995-03-14 00:00:00,1.47
,,,1995-03-15 00:00:00,1.506
,,,1995-03-16 00:00:00,1.62
,,,1995-03-17 00:00:00,1.566
,,,1995-03-20 00:00:00,1.523
,,,1995-03-21 00:00:00,1.513
,,,1995-03-22 00:00:00,1.548
,,,1995-03-23 00:00:00,1.566
,,,1995-03-24 00:00:00,1.566
,,,1995-03-27 00:00:00,1.657
,,,1995-03-28 00:00:00,1.635
,,,1995-03-29 00:00:00,1.659
,,,1995-03-30 00:00:00,1.687
,,,1995-03-31 00:00:00,1.685
,,,1995-04-03 00:00:00,1.681
,,,1995-04-04 00:00:00,1.694
,,,1995-04-05 00:00:00,1.654
,,,1995-04-06 00:00:00,1.636
,,,1995-04-07 00:00:00,1.623
,,,1995-04-10 00:00:00,1.597
,,,1995-04-11 00:00:00,1.623
,,,1995-04-12 00:00:00,1.621
,,,1995-04-13 00:00:00,1.619
,,,1995-04-17 00:00:00,1.656
,,,1995-04-18 00:00:00,1.679
,,,1995-04-19 00:00:00,1.717
,,,1995-04-20 00:00:00,1.694
,,,1995-04-21 00:00:00,1.672
,,,1995-04-24 00:00:00,1.713
,,,1995-04-25 00:00:00,1.685
,,,1995-04-26 00:00:00,1.668
,,,1995-04-27 00:00:00,1.652
,,,1995-04-28 00:00:00,1.662
,,,1995-05-01 00:00:00,1.695
,,,1995-05-02 00:00:00,1.666
,,,1995-05-03 00:00:00,1.666
,,,1995-05-04 00:00:00,1.653
,,,1995-05-05 00:00:00,1.651
,,,1995-05-08 00:00:00,1.66
,,,1995-05-09 00:00:00,1.681
,,,1995-05-10 00:00:00,1.678
,,,1995-05-11 00:00:00,1.651
,,,1995-05-12 00:00:00,1.662
,,,1995-05-15 00:00:00,1.73
,,,1995-05-16 00:00:00,1.717
,,,1995-05-17 00:00:00,1.695
,,,1995-05-18 00:00:00,1.743
,,,1995-05-19 00:00:00,1.741
,,,1995-05-22 00:00:00,1.729
,,,1995-05-23 00:00:00,1.757
,,,1995-05-24 00:00:00,1.81
,,,1995-05-25 00:00:00,1.775
,,,1995-05-26 00:00:00,1.769
,,,1995-05-30 00:00:00,1.718
,,,1995-05-31 00:00:00,1.718
,,,1995-06-01 00:00:00,1.735
,,,1995-06-02 00:00:00,1.688
,,,1995-06-05 00:00:00,1.731
,,,1995-06-06 00:00:00,1.686
,,,1995-06-07 00:00:00,1.693
,,,1995-06-08 00:00:00,1.697
,,,1995-06-09 00:00:00,1.704
,,,1995-06-12 00:00:00,1.712
,,,1995-06-13 00:00:00,1.708
,,,1995-06-14 00:00:00,1.698
,,,1995-06-15 00:00:00,1.673
,,,1995-06-16 00:00:00,1.628
,,,1995-06-19 00:00:00,1.62
,,,1995-06-20 00:00:00,1.603
,,,1995-06-21 00:00:00,1.565
,,,1995-06-22 00:00:00,1.565
,,,1995-06-23 00:00:00,1.532
,,,1995-06-26 00:00:00,1.56
,,,1995-06-27 00:00:00,1.569
,,,1995-06-28 00:00:00,1.532
,,,1995-06-29 00:00:00,1.52
,,,1995-06-30 00:00:00,1.53
,,,1995-07-05 00:00:00,1.472
,,,1995-07-06 00:00:00,1.471
,,,1995-07-07 00:00:00,1.5
,,,1995-07-10 00:00:00,1.565
,,,1995-07-11 00:00:00,1.527
,,,1995-07-12 00:00:00,1.536
,,,1995-07-13 00:00:00,1.487
,,,1995-07-14 00:00:00,1.512
,,,1995-07-17 00:00:00,1.494
,,,1995-07-18 00:00:00,1.525
,,,1995-07-19 00:00:00,1.495
,,,1995-07-20 00:00:00,1.463
,,,1995-07-21 00:00:00,1.438
,,,1995-07-24 00:00:00,1.385
,,,1995-07-25 00:00:00,1.432
,,,1995-07-26 00:00:00,1.47
,,,1995-07-27 00:00:00,1.49
,,,1995-07-28 00:00:00,1.523
,,,1995-07-31 00:00:00,1.614
,,,1995-08-01 00:00:00,1.459
,,,1995-08-02 00:00:00,1.422
,,,1995-08-03 00:00:00,1.432
,,,1995-08-04 00:00:00,1.456
,,,1995-08-07 00:00:00,1.478
,,,1995-08-08 00:00:00,1.471
,,,1995-08-09 00:00:00,1.539
,,,1995-08-10 00:00:00,1.504
,,,1995-08-11 00:00:00,1.503
