---------------,----------,---------,---------,-----,-----,----,-------,------------,-----,-------,-------,-------,-------,-------,--------,--------,--------,-----------,-----------,---------,-------------,-------------,-------------,-------------,---------,---------,---------,---------,-------------,-----------,---------,,
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,1400,1500,P,25,25,CALL,31.31,30.5,0,61,31.31,1.5347,1.115,0.0225,15,0,2,-4,57,-493,69,-13,2,-2,-29,67,,-185,20.249999999999968,46.75000000000003
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,1500,1600,P,25,25,CALL,30.55,30.5,0,61,30.55,1.5347,1.115,0.0225,13,0,2,-4,57,-482,58,-12,2,-2,-29,57,,-184,1.2500000000000178,55.749999999999986
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,1600,1700,P,25,25,CALL,30.21,30.5,0,61,30.21,1.5347,1.115,0.0225,13,0,2,-3,57,-474,53,-11,2,-2,-29,52,,-183,0,52
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,1700,1800,P,25,25,CALL,30.34,30.5,0,61,30.34,1.5347,1.115,0.0225,13,0,2,-4,57,-477,55,-11,2,-2,-29,54,,-184,0,54
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,1800,1900,P,25,25,CALL,32.6,30.5,0,61,32.6,1.5347,1.115,0.0225,17,0,1,-6,55,-499,89,-15,2,-2,-28,88,,-179,52.500000000000036,35.499999999999964
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,1900,2000,P,25,25,CALL,32.65,30.5,0,61,32.65,1.5347,1.115,0.0225,17,0,1,-6,55,-499,90,-15,2,-2,-28,89,,-178,53.749999999999964,35.250000000000036
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,2000,2100,P,25,25,CALL,32.08,30.5,0,61,32.08,1.5347,1.115,0.0225,16,0,2,-5,57,-498,80,-14,2,-2,-28,79,,-182,39.49999999999996,39.50000000000004
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,2100,2200,P,25,25,CALL,29.45,30.5,0,61,29.45,1.5347,1.115,0.0225,12,0,2,-3,55,-453,44,-10,2,-2,-28,43,,-178,0,43
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,600,700,P,25,25,CALL,22.98,30.5,0,61,22.98,1.5347,1.115,0.0225,2,0,1,0,15,-117,3,-1,0,-1,-8,3,,-49,0,3
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,700,800,P,25,25,CALL,28.37,30.5,0,61,28.37,1.5347,1.115,0.0225,10,0,2,-2,51,-411,32,-8,2,-2,-26,32,,-165,0,32
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,800,900,P,25,25,CALL,28.87,30.5,0,61,28.87,1.5347,1.115,0.0225,10,0,2,-2,53,-432,37,-9,2,-2,-27,37,,-171,0,37
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,900,1000,P,25,25,CALL,31.44,30.5,0,61,31.44,1.5347,1.115,0.0225,15,0,2,-5,57,-494,71,-13,2,-2,-29,69,,-185,23.500000000000032,45.49999999999997
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,1000,1100,P,25,25,CALL,32.2,30.5,0,61,32.2,1.5347,1.115,0.0225,16,0,2,-5,56,-499,83,-14,2,-2,-28,81,,-181,42.50000000000007,38.49999999999993
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,1100,1200,P,25,25,CALL,31.62,30.5,0,61,31.62,1.5347,1.115,0.0225,15,0,2,-5,57,-496,73,-14,2,-2,-29,72,,-184,28.000000000000025,43.99999999999997
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,1200,1300,P,25,25,CALL,31.4,30.5,0,61,31.4,1.5347,1.115,0.0225,15,0,2,-5,57,-494,70,-13,2,-2,-29,69,,-185,22.499999999999964,46.500000000000036
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,1300,1400,P,25,25,CALL,31.93,30.5,0,61,31.93,1.5347,1.115,0.0225,16,0,2,-5,57,-498,78,-14,2,-2,-28,77,,-183,35.74999999999999,41.25000000000001
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,1400,1500,P,25,25,CALL,31.31,30.5,0,61,31.31,1.5347,1.115,0.0225,15,0,2,-4,57,-493,69,-13,2,-2,-29,67,,-185,20.249999999999968,46.75000000000003
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,1500,1600,P,25,25,CALL,30.55,30.5,0,61,30.55,1.5347,1.115,0.0225,13,0,2,-4,57,-482,58,-12,2,-2,-29,57,,-184,1.2500000000000178,55.749999999999986
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,1600,1700,P,25,25,CALL,30.21,30.5,0,61,30.21,1.5347,1.115,0.0225,13,0,2,-3,57,-474,53,-11,2,-2,-29,52,,-183,0,52
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,1700,1800,P,25,25,CALL,30.34,30.5,0,61,30.34,1.5347,1.115,0.0225,13,0,2,-4,57,-477,55,-11,2,-2,-29,54,,-184,0,54
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,1800,1900,P,25,25,CALL,32.6,30.5,0,61,32.6,1.5347,1.115,0.0225,17,0,1,-6,55,-499,89,-15,2,-2,-28,88,,-179,52.500000000000036,35.499999999999964
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,1900,2000,P,25,25,CALL,32.65,30.5,0,61,32.65,1.5347,1.115,0.0225,17,0,1,-6,55,-499,90,-15,2,-2,-28,89,,-178,53.749999999999964,35.250000000000036
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,2000,2100,P,25,25,CALL,32.08,30.5,0,61,32.08,1.5347,1.115,0.0225,16,0,2,-5,57,-498,80,-14,2,-2,-28,79,,-182,39.49999999999996,39.50000000000004
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-03 00:00:00,2100,2200,P,25,25,CALL,29.45,30.5,0,61,29.45,1.5347,1.115,0.0225,12,0,2,-3,55,-453,44,-10,2,-2,-28,43,,-178,0,43
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,600,700,P,25,25,CALL,22.98,30.5,0,61,22.98,1.5347,1.115,0.0224,2,0,1,0,19,-127,4,-2,1,-1,-9,4,,-60,0,4
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,700,800,P,25,25,CALL,28.37,30.5,0,61,28.37,1.5347,1.115,0.0224,10,0,2,-3,55,-395,35,-8,1,-2,-27,35,,-176,0,35
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,800,900,P,25,25,CALL,28.87,30.5,0,61,28.87,1.5347,1.115,0.0224,11,0,2,-3,57,-414,40,-9,2,-2,-28,40,,-183,0,40
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,900,1000,P,25,25,CALL,31.44,30.5,0,61,31.44,1.5347,1.115,0.0224,15,0,2,-5,61,-474,74,-13,2,-2,-30,73,,-196,23.500000000000032,49.49999999999997
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,1000,1100,P,25,25,CALL,32.2,30.5,0,61,32.2,1.5347,1.115,0.0224,16,0,1,-6,60,-480,86,-14,2,-2,-30,85,,-193,42.50000000000007,42.49999999999993
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,1100,1200,P,25,25,CALL,31.62,30.5,0,61,31.62,1.5347,1.115,0.0224,15,0,2,-6,61,-475,77,-13,2,-2,-30,75,,-195,28.000000000000025,46.99999999999997
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,1200,1300,P,25,25,CALL,31.4,30.5,0,61,31.4,1.5347,1.115,0.0224,15,0,2,-5,61,-473,73,-13,2,-2,-30,72,,-196,22.499999999999964,49.500000000000036
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,1300,1400,P,25,25,CALL,31.93,30.5,0,61,31.93,1.5347,1.115,0.0224,16,0,2,-6,60,-478,81,-14,2,-2,-30,80,,-194,35.74999999999999,44.25000000000001
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,1400,1500,P,25,25,CALL,31.31,30.5,0,61,31.31,1.5347,1.115,0.0224,15,0,2,-5,61,-472,72,-13,2,-2,-31,71,,-196,20.249999999999968,50.75000000000003
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,1500,1600,P,25,25,CALL,30.55,30.5,0,61,30.55,1.5347,1.115,0.0224,14,0,2,-4,61,-460,61,-12,2,-2,-30,60,,-195,1.2500000000000178,58.749999999999986
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,1600,1700,P,25,25,CALL,30.21,30.5,0,61,30.21,1.5347,1.115,0.0224,13,0,2,-4,60,-453,56,-11,2,-2,-30,56,,-194,0,56
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,1700,1800,P,25,25,CALL,30.34,30.5,0,61,30.34,1.5347,1.115,0.0224,13,0,2,-4,60,-456,58,-11,2,-2,-30,57,,-195,0,57
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,1800,1900,P,25,25,CALL,32.6,30.5,0,61,32.6,1.5347,1.115,0.0224,17,0,1,-7,59,-481,92,-15,2,-2,-30,91,,-191,52.500000000000036,38.499999999999964
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,1900,2000,P,25,25,CALL,32.65,30.5,0,61,32.65,1.5347,1.115,0.0224,17,0,1,-7,59,-481,93,-15,2,-2,-30,92,,-190,53.749999999999964,38.250000000000036
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,2000,2100,P,25,25,CALL,32.08,30.5,0,61,32.08,1.5347,1.115,0.0224,16,0,1,-6,60,-479,84,-14,2,-2,-30,83,,-194,39.49999999999996,43.50000000000004
UTAHASSMUNPOWSY,804470.01,2001-12-03 00:00:00,2001-12-04 00:00:00,2100,2200,P,25,25,CALL,29.45,30.5,0,61,29.45,1.5347,1.115,0.0224,12,0,2,-3,59,-433,47,-10,2,-2,-29,46,,-189,0,46
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,600,700,P,25,25,CALL,22.98,30.5,0,61,22.98,1.5347,1.115,0.0224,2,0,1,0,20,-129,5,-2,1,-1,-10,5,,-63,0,5
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,700,800,P,25,25,CALL,28.37,30.5,0,61,28.37,1.5347,1.115,0.0224,10,0,2,-3,56,-390,36,-8,1,-2,-28,36,,-179,0,36
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,800,900,P,25,25,CALL,28.87,30.5,0,61,28.87,1.5347,1.115,0.0224,11,0,2,-3,58,-409,41,-9,2,-2,-29,41,,-186,0,41
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,900,1000,P,25,25,CALL,31.44,30.5,0,61,31.44,1.5347,1.115,0.0224,15,0,2,-6,62,-468,75,-13,2,-2,-31,74,,-200,23.500000000000032,50.49999999999997
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,1000,1100,P,25,25,CALL,32.2,30.5,0,61,32.2,1.5347,1.115,0.0224,16,0,1,-7,61,-474,87,-14,2,-2,-31,86,,-197,42.50000000000007,43.49999999999993
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,1100,1200,P,25,25,CALL,31.62,30.5,0,61,31.62,1.5347,1.115,0.0224,15,0,2,-6,62,-469,78,-13,2,-2,-31,77,,-199,28.000000000000025,48.99999999999997
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,1200,1300,P,25,25,CALL,31.4,30.5,0,61,31.4,1.5347,1.115,0.0224,15,0,2,-6,62,-467,74,-13,2,-2,-31,73,,-200,22.499999999999964,50.500000000000036
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,1300,1400,P,25,25,CALL,31.93,30.5,0,61,31.93,1.5347,1.115,0.0224,16,0,1,-6,62,-472,82,-14,2,-2,-31,81,,-198,35.74999999999999,45.25000000000001
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,1400,1500,P,25,25,CALL,31.31,30.5,0,61,31.31,1.5347,1.115,0.0224,15,0,2,-6,62,-466,73,-13,2,-2,-31,72,,-200,20.249999999999968,51.75000000000003
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,1500,1600,P,25,25,CALL,30.55,30.5,0,61,30.55,1.5347,1.115,0.0224,14,0,2,-5,62,-454,62,-12,2,-2,-31,61,,-199,1.2500000000000178,59.749999999999986
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,1600,1700,P,25,25,CALL,30.21,30.5,0,61,30.21,1.5347,1.115,0.0224,13,0,2,-4,61,-447,58,-11,2,-2,-31,57,,-198,0,57
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,1700,1800,P,25,25,CALL,30.34,30.5,0,61,30.34,1.5347,1.115,0.0224,13,0,2,-4,62,-450,59,-11,2,-2,-31,58,,-198,0,58
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,1800,1900,P,25,25,CALL,32.6,30.5,0,61,32.6,1.5347,1.115,0.0224,17,0,1,-7,60,-475,93,-15,2,-1,-30,92,,-194,52.500000000000036,39.499999999999964
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,1900,2000,P,25,25,CALL,32.65,30.5,0,61,32.65,1.5347,1.115,0.0224,17,0,1,-7,60,-476,94,-15,2,-1,-30,93,,-194,53.749999999999964,39.250000000000036
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,2000,2100,P,25,25,CALL,32.08,30.5,0,61,32.08,1.5347,1.115,0.0224,16,0,1,-6,61,-473,85,-14,2,-2,-31,84,,-197,39.49999999999996,44.50000000000004
UTAHASSMUNPOWSY,804470.01,2001-12-04 00:00:00,2001-12-05 00:00:00,2100,2200,P,25,25,CALL,29.45,30.5,0,61,29.45,1.5347,1.115,0.0224,12,0,2,-4,60,-427,48,-10,2,-2,-30,47,,-192,0,47
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,600,700,P,25,25,CALL,22.98,30.5,0,61,22.98,1.5347,1.115,0.0224,2,0,1,0,21,-132,5,-2,1,-1,-10,5,,-66,0,5
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,700,800,P,25,25,CALL,28.37,30.5,0,61,28.37,1.5347,1.115,0.0224,10,0,2,-3,57,-386,37,-8,1,-2,-28,36,,-183,0,36
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,800,900,P,25,25,CALL,28.87,30.5,0,61,28.87,1.5347,1.115,0.0224,11,0,2,-3,59,-403,42,-9,2,-2,-30,42,,-190,0,42
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,900,1000,P,25,25,CALL,31.44,30.5,0,61,31.44,1.5347,1.115,0.0224,15,0,2,-6,63,-462,76,-13,2,-2,-32,75,,-203,23.500000000000032,51.49999999999997
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,1000,1100,P,25,25,CALL,32.2,30.5,0,61,32.2,1.5347,1.115,0.0224,16,0,1,-7,62,-469,88,-14,2,-2,-31,87,,-201,42.50000000000007,44.49999999999993
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,1100,1200,P,25,25,CALL,31.62,30.5,0,61,31.62,1.5347,1.115,0.0224,15,0,1,-6,63,-464,79,-13,2,-2,-32,78,,-203,28.000000000000025,49.99999999999997
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,1200,1300,P,25,25,CALL,31.4,30.5,0,61,31.4,1.5347,1.115,0.0224,15,0,2,-6,63,-461,75,-13,2,-2,-32,74,,-203,22.499999999999964,51.500000000000036
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,1300,1400,P,25,25,CALL,31.93,30.5,0,61,31.93,1.5347,1.115,0.0224,16,0,1,-7,63,-467,83,-14,2,-2,-31,82,,-202,35.74999999999999,46.25000000000001
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,1400,1500,P,25,25,CALL,31.31,30.5,0,61,31.31,1.5347,1.115,0.0224,15,0,2,-6,63,-460,74,-13,2,-2,-32,73,,-203,20.249999999999968,52.75000000000003
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,1500,1600,P,25,25,CALL,30.55,30.5,0,61,30.55,1.5347,1.115,0.0224,14,0,2,-5,63,-448,63,-12,2,-2,-32,62,,-202,1.2500000000000178,60.749999999999986
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,1600,1700,P,25,25,CALL,30.21,30.5,0,61,30.21,1.5347,1.115,0.0224,13,0,2,-5,62,-441,59,-11,2,-2,-31,58,,-201,0,58
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,1700,1800,P,25,25,CALL,30.34,30.5,0,61,30.34,1.5347,1.115,0.0224,13,0,2,-5,63,-444,60,-11,2,-2,-31,59,,-202,0,59
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,1800,1900,P,25,25,CALL,32.6,30.5,0,61,32.6,1.5347,1.115,0.0224,17,0,1,-7,62,-470,94,-15,2,-1,-31,93,,-198,52.500000000000036,40.499999999999964
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,1900,2000,P,25,25,CALL,32.65,30.5,0,61,32.65,1.5347,1.115,0.0224,17,0,1,-7,61,-471,95,-15,2,-1,-31,94,,-198,53.749999999999964,40.250000000000036
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,2000,2100,P,25,25,CALL,32.08,30.5,0,61,32.08,1.5347,1.115,0.0224,16,0,1,-7,62,-468,86,-14,2,-2,-31,85,,-201,39.49999999999996,45.50000000000004
UTAHASSMUNPOWSY,804470.01,2001-12-05 00:00:00,2001-12-06 00:00:00,2100,2200,P,25,25,CALL,29.45,30.5,0,61,29.45,1.5347,1.115,0.0224,12,0,2,-4,61,-422,49,-10,2,-2,-30,48,,-196,0,48
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,600,700,P,25,25,CALL,22.98,30.5,0,61,22.98,1.5347,1.115,0.0224,3,0,1,0,22,-134,5,-2,1,-1,-11,5,,-70,0,5
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,700,800,P,25,25,CALL,28.37,30.5,0,61,28.37,1.5347,1.115,0.0224,10,0,2,-3,58,-381,38,-8,1,-2,-29,37,,-187,0,37
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,800,900,P,25,25,CALL,28.87,30.5,0,61,28.87,1.5347,1.115,0.0224,11,0,2,-4,60,-399,43,-9,1,-2,-30,43,,-193,0,43
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,900,1000,P,25,25,CALL,31.44,30.5,0,61,31.44,1.5347,1.115,0.0224,15,0,1,-6,64,-456,77,-13,2,-2,-32,76,,-207,23.500000000000032,52.49999999999997
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,1000,1100,P,25,25,CALL,32.2,30.5,0,61,32.2,1.5347,1.115,0.0224,16,0,1,-7,63,-463,89,-14,2,-1,-32,88,,-204,42.50000000000007,45.49999999999993
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,1100,1200,P,25,25,CALL,31.62,30.5,0,61,31.62,1.5347,1.115,0.0224,15,0,1,-6,64,-458,80,-13,2,-2,-32,79,,-206,28.000000000000025,50.99999999999997
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,1200,1300,P,25,25,CALL,31.4,30.5,0,61,31.4,1.5347,1.115,0.0224,15,0,1,-6,64,-456,76,-13,2,-2,-32,75,,-207,22.499999999999964,52.500000000000036
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,1300,1400,P,25,25,CALL,31.93,30.5,0,61,31.93,1.5347,1.115,0.0224,16,0,1,-7,64,-461,84,-14,2,-2,-32,83,,-205,35.74999999999999,47.25000000000001
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,1400,1500,P,25,25,CALL,31.31,30.5,0,61,31.31,1.5347,1.115,0.0224,15,0,2,-6,64,-455,75,-13,2,-2,-32,74,,-207,20.249999999999968,53.75000000000003
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,1500,1600,P,25,25,CALL,30.55,30.5,0,61,30.55,1.5347,1.115,0.0224,14,0,2,-5,64,-442,64,-12,2,-2,-32,63,,-206,1.2500000000000178,61.749999999999986
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,1600,1700,P,25,25,CALL,30.21,30.5,0,61,30.21,1.5347,1.115,0.0224,13,0,2,-5,63,-435,60,-11,2,-2,-32,59,,-205,0,59
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,1700,1800,P,25,25,CALL,30.34,30.5,0,61,30.34,1.5347,1.115,0.0224,13,0,2,-5,64,-438,61,-11,2,-2,-32,60,,-205,0,60
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,1800,1900,P,25,25,CALL,32.6,30.5,0,61,32.6,1.5347,1.115,0.0224,17,0,1,-8,63,-466,95,-15,2,-1,-31,94,,-202,52.500000000000036,41.499999999999964
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,1900,2000,P,25,25,CALL,32.65,30.5,0,61,32.65,1.5347,1.115,0.0224,17,0,1,-8,63,-466,96,-15,2,-1,-31,95,,-202,53.749999999999964,41.250000000000036
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,2000,2100,P,25,25,CALL,32.08,30.5,0,61,32.08,1.5347,1.115,0.0224,16,0,1,-7,64,-463,87,-14,2,-1,-32,86,,-205,39.49999999999996,46.50000000000004
UTAHASSMUNPOWSY,804470.01,2001-12-06 00:00:00,2001-12-07 00:00:00,2100,2200,P,25,25,CALL,29.45,30.5,0,61,29.45,1.5347,1.115,0.0224,12,0,2,-4,62,-416,50,-10,2,-2,-31,49,,-199,0,49
UTAHASSMUNPOWSY,804470.01,2001-12-07 00:00:00,2001-12-08 00:00:00,600,700,P,25,25,CALL,22.98,30.5,0,61,22.98,1.5347,1.115,0.0224,3,0,1,0,23,-136,6,-2,1,-1,-11,6,,-73,0,6
UTAHASSMUNPOWSY,804470.01,2001-12-07 00:00:00,2001-12-08 00:00:00,700,800,P,25,25,CALL,28.37,30.5,0,61,28.37,1.5347,1.115,0.0224,10,0,2,-3,59,-377,39,-8,1,-2,-30,38,,-190,0,38
