Sta,Name,Chart Rotation,Meter Type
737051,ARCHER - TBS #1,16,Chart Recorder
737061,CHAPIN - TBS #1,16,Chart Recorder
737071,AUDUBON - TBS #1,16,Chart Recorder
737081,AURELIA - TBS #1,16,Chart Recorder
737101,ARTHUR - TBS #1,16,Chart Recorder
737111,BOYDEN - TBS #1,16,Chart Recorder
737121,BRAYTON - TBS #1,16,Chart Recorder
737131,CALUMET - TBS #1,16,Chart Recorder
737171,ALLISON - TBS #1,16,Chart Recorder
737181,CLEGHORN - TBS #1,16,Chart Recorder
737191,APLINGTON - TBS #1,7,Chart Recorder
737192,APLINGTON TBS #2 O  GOLD SEED CO,16,Chart Recorder
737201,BRISTOW - TBS #1,16,Chart Recorder
737211,DAKOTA CITY - TBS #1,16,Chart Recorder
737214,DAKOTA CITY #4 FARM MATERIALS PR,16,Chart Recorder
737221,CLARKSVILLE - TBS #1,7,Chart Recorder
737241,DEFIANCE - TBS #1,16,Chart Recorder
737251,DUMONT - TBS #1,7,Chart Recorder
,,,
737261,ELK POINT - TBS #1,16,Chart Recorder
737262,ELK POINT TBS #2,7,Chart Recorder
737281,EXIRA - TBS #1,16,Chart Recorder
737291,DOON - TBS #1,16,Chart Recorder
737301,EARLY - TBS #1,16,Chart Recorder
737311,GAYVILLE - TBS #1,16,Chart Recorder
737313,GAYVILLE T.B.S. #3,16,Chart Recorder
737321,GERMANTOWN - TBS #1,16,Chart Recorder
737331,GILBERTVILLE - TBS #1,7,Chart Recorder
737341,GOLDFIELD - TBS #1,16,Chart Recorder
737351,GRANVILLE - TBS #1,16,Chart Recorder
737361,HAMLIN - TBS #1,16,Chart Recorder
737371,GALVA - TBS #1,16,Chart Recorder
737381,HOLSTEIN - TBS #1,16,Chart Recorder
737391,HOSPERS - TBS #1,16,Chart Recorder
737401,HUDSON - TBS #1,7,Chart Recorder
737421,HULL - TBS #1,16,Chart Recorder
737461,INWOOD - TBS #1,16,Chart Recorder
737471,CYLINDER - T.B.S. #1,16,Chart Recorder
737481,JANESVILLE - TBS #1,7,Chart Recorder
737491,JEFFERSON - TBS #1,16,Chart Recorder
737501,JESUP - TBS #1,7,Chart Recorder
737511,KINGSLEY - TBS #1,16,Chart Recorder
737521,LAKE CITY - TBS #1,16,Chart Recorder
737531,LAWTON - TBS #1,16,Chart Recorder
737532,LAWTON TBS #2 N. AMERICAN MFG,16,Chart Recorder
737551,LATIMER - TBS #1,16,Chart Recorder
737561,LOHRVILLE - TBS #1,16,Chart Recorder
737571,EARLING - TBS #1,16,Chart Recorder
737581,ELK HORN - TBS #1,16,Chart Recorder
737601,LYTTON - TBS #1,16,Chart Recorder
737611,MERIDEN - TBS #1,16,Chart Recorder
737621,MERRILL - TBS #1,16,Chart Recorder
737631,MOVILLE - TBS #1,16,Chart Recorder
737641,NASHUA - TBS #1,16,Chart Recorder
737651,IRWIN - TBS #1,16,Chart Recorder
737661,NEWKIRK - TBS #1,16,Chart Recorder
737671,ODEBOLT - TBS #1,16,Chart Recorder
,,,
737681,DENVER - T.B.S. #1,7,Chart Recorder
737691,ORANGE CITY - TBS #1,16,Chart Recorder
737701,KESLEY - TBS #1,7,Chart Recorder
737711,NEWELL - T.B.S. #1,16,Chart Recorder
737721,ROCKWELL - T.B.S. #1,16,Chart Recorder
737731,NEW HARTFORD - TBS #1,7,Chart Recorder
737751,PARKERSBURG - TBS #1,7,Chart Recorder
737772,ROCKWELL CITY TBS #1A,16,Chart Recorder
737781,RUTHVEN - TBS #1,16,Chart Recorder
737791,PLAINFIELD - TBS #1,7,Chart Recorder
737801,SCHALLER - TBS #1,16,Chart Recorder
737821,SHEFFIELD - TBS #1,16,Chart Recorder
737841,SHELL ROCK - TBS #1,7,Chart Recorder
737854,SIOUX CITY T.B.S. #1-B,16,Chart Recorder
737859,TERRA CHEMICAL INT. INC.,7,Chart Recorder
737861,SALIX T.B.S. #1,16,Chart Recorder
737863,SALIX T.B.S. #3,16,Chart Recorder
737871,SLOAN - T.B.S. #1,16,Chart Recorder
737881,SUTHERLAND - TBS #1,16,Chart Recorder
737891,THOR - TBS #1,16,Chart Recorder
737901,WASHBURN - TBS #1,16,Chart Recorder
737912,WATERLOO-T.B.S. #1A ORANGE CENTE,7,Chart Recorder
737931,WHITING - T.B.S. #1,16,Chart Recorder
741041,BATTLE CREEK-T.B.S. #1,16,Chart Recorder
741071,DANBURY-T.B.S. #1,16,Chart Recorder
741101,MAPLETON-T.B.S. #1,16,Chart Recorder
759041,BAGLEY - TBS #1,16,Chart Recorder
759051,BAYARD - TBS #1,16,Chart Recorder
759101,JAMAICA - TBS #1,16,Chart Recorder
759112,PERRY - TBS #2,16,Chart Recorder
759171,FENTON - T.B.S. #1,16,Chart Recorder
759811,WESLEY - T.B.S. #1,16,Chart Recorder
759821,YALE - T.B.S. #1,16,Chart Recorder
