CINERGY PRICE CURVES W/ ILLINOIS BASIS . MID PRICES AND MID VOLS,,,,,,2018-12-04 00:00:00
2009-01-01 00:00:00,32,30.855534726610507,0.31,6.511375047713359,9.431984886429687,155022.81713595963
2009-02-01 00:00:00,32,29.03858160991743,0.31,5.738175396702559,8.350923219445857,123393.72373069183
2009-03-01 00:00:00,32,27.359327587085858,0.23,3.4472598470733256,5.0421923920923035,82072.36243912175
2009-04-01 00:00:00,23,25.943223159821347,0.2,2.3907960796790775,3.5144193640243273,39591.58307948552
2009-05-01 00:00:00,23,27.129557950266474,0.2,2.770315294166823,4.0931970866370495,47405.63531378268
2009-06-01 00:00:00,23,34.00592534513319,0.23,6.092868094318972,9.047659047994685,100897.89564192216
2009-07-01 00:00:00,23,41.696261270011846,0.26,10.469301928521418,15.626795211882072,179150.69460085846
2009-08-01 00:00:00,23,40.49236384982465,0.26,9.844607573206009,14.770933660457578,168460.92479270123
2009-09-01 00:00:00,23,24.99394459461119,0.18,1.796436109083845,2.7091024882524763,29748.98196642847
2009-10-01 00:00:00,23,25.535629849293446,0.18,1.9481641015545623,2.9532490200753365,33336.984105801675
2009-11-01 00:00:00,32,25.63741674531538,0.21,2.5564469953616085,3.895209102054796,58900.538773131455
2009-12-01 00:00:00,32,27.708601392019332,0.23,3.6339644477926574,5.566098173342832,86517.42557304759
2010-01-01 00:00:00,32,30.846174307511358,0.3,6.324148787866893,9.737975859539112,150565.33434153494
2010-02-01 00:00:00,32,29.46329400136882,0.3,5.758526012212298,8.910395231978526,123831.34336661325
2010-03-01 00:00:00,32,27.942074269416185,0.22,3.522567744573402,5.479216481890772,83865.29286280354
2010-04-01 00:00:00,23,26.375673757630242,0.19,2.415345358034442,3.7765543105310666,39998.119129050356
2010-05-01 00:00:00,23,27.742506204851672,0.19,2.836632337010101,4.458961184281236,48540.45255091685
2010-06-01 00:00:00,23,35.25948652863375,0.22,6.339810360527272,10.017967633752065,104987.25957033162
2010-07-01 00:00:00,23,41.95712244548111,0.25,10.091670437377713,16.032301958923075,172688.66452440745
2010-08-01 00:00:00,23,42.130539516088774,0.25,10.149245535187683,16.211273786776026,173673.88959813162
2010-09-01 00:00:00,23,25.259947550098413,0.17,1.7614634414202197,2.828478193119224,29169.83458991883
2010-10-01 00:00:00,23,25.659614959609,0.17,1.867745403321589,3.0154313793770298,31960.859341639032
2010-11-01 00:00:00,32,26.352664425461672,0.2,2.6441546428437004,4.291704000332862,60921.32297111885
2010-12-01 00:00:00,32,28.26528518298753,0.22,3.65573828040274,5.966036359114167,87035.81697982845
2011-01-01 00:00:00,32,31.33489169546287,0.29,6.270879384740734,10.290319293709508,149297.09639190743
2011-02-01 00:00:00,32,29.95369536615952,0.29,5.725967628940889,9.444021358015114,123131.20789274487
2011-03-01 00:00:00,32,28.733470792214533,0.23,4.02370446375229,6.67261833641078,95796.35587301453
2011-04-01 00:00:00,23,26.908620063989737,0.2,2.816174516992797,4.695467234908124,46635.850001400715
2011-05-01 00:00:00,23,28.469004966001023,0.2,3.301083824545525,5.534540846823287,56488.14640562302
2011-06-01 00:00:00,23,36.057133846786655,0.21,6.305768334572538,10.629856559499373,104423.52362052123
2011-07-01 00:00:00,23,41.91551491617572,0.25,9.754057818237087,16.53468102540949,166911.437385673
2011-08-01 00:00:00,23,43.38290379993937,0.25,10.387823274966465,17.70837581987214,177756.43188122613
2011-09-01 00:00:00,23,25.626616298540092,0.2,2.457376999706467,4.212242814885836,40694.16311513909
2011-10-01 00:00:00,23,26.02410806724756,0.2,2.5697894105116714,4.429791959390931,43974.23639267573
2011-11-01 00:00:00,32,26.78038196918074,0.23,3.3809904457017863,5.859786432552534,77898.01986896916
2011-12-01 00:00:00,32,28.839061799387174,0.25,4.454461718559302,7.760203638021078,106051.82459545985
2012-01-01 00:00:00,32,31.726284172303913,0.29,6.330071382866254,11.085078339308392,150706.33948327976
2012-02-01 00:00:00,32,30.39727885920631,0.29,5.82456962821706,10.249938367462013,129724.81475965035
2012-03-01 00:00:00,32,28.970721058298636,0.23,4.0836624111495485,7.223556475956608,97223.83468464845
2012-04-01 00:00:00,23,27.29028880805289,0.2,2.943956376668121,5.2339840743185135,48751.917597624095
2012-05-01 00:00:00,23,29.46574494559774,0.2,3.608371855726474,6.448704389205421,61746.45919519143
2012-06-01 00:00:00,23,36.76369017995287,0.21,6.426121386364815,11.542980561728378,106416.57015820136
2012-07-01 00:00:00,23,43.51256611628255,0.25,10.120236182819555,18.27375988422252,173177.4815604082
2012-08-01 00:00:00,23,44.53881857091941,0.25,10.532644074481363,19.11857815806885,180234.60540252508
2012-09-01 00:00:00,23,25.671946576322394,0.2,2.495211130291362,4.552453400303533,41320.696317624956
2012-10-01 00:00:00,23,27.035644389811356,0.2,2.8718416052287954,5.267191282201114,49142.95354867515
2012-11-01 00:00:00,32,27.18032110079732,0.23,3.503287586451912,6.458363635110549,80715.74599185205
2012-12-01 00:00:00,32,29.054057840923413,0.25,4.488506008177225,8.318346007155318,106862.35104268337
2013-01-01 00:00:00,32,32.26807465083428,0.29,6.4202625106443465,11.961604607077476,152853.60985342058
2013-02-01 00:00:00,32,30.763121785495468,0.29,5.868368100216557,10.986604492682218,126193.38762705684
2013-03-01 00:00:00,32,29.168831915017865,0.23,4.109380672566462,7.734011124018769,97836.13505246233
2013-04-01 00:00:00,23,27.984572834786242,0.2,3.138117483280429,5.936707939938355,51967.2255231239
2013-05-01 00:00:00,23,30.105569645688895,0.2,3.7699726254685904,7.170065447647646,64511.77156701852
2013-06-01 00:00:00,23,37.268732599891074,0.21,6.4344959567140485,12.301429703030953,106555.25304318462
2013-07-01 00:00:00,23,45.30466486056485,0.25,10.491822013501274,20.165475892330882,179536.0582950338
2013-08-01 00:00:00,23,45.06000150015757,0.25,10.35619090381035,20.011866196820968,177215.13874600272
2013-09-01 00:00:00,23,26.05961246990976,0.2,2.600809944593328,5.052012986115175,43069.41268246551
2013-10-01 00:00:00,23,27.449583023716528,0.2,2.973547742459087,5.807101620722177,50883.34896895989
2013-11-01 00:00:00,32,27.300733412468265,0.23,3.5090326006583217,6.888874552234107,80848.11111916773
2013-12-01 00:00:00,32,29.60084593366585,0.25,4.593345274192158,9.066229303125226,109358.36428796689
2014-01-01 00:00:00,32,32.67129418029191,0.29,6.4120558987522305,12.72463837117466,152658.2268374931
2014-02-01 00:00:00,32,31.16783608484906,0.29,5.881577568926239,11.730003428972076,126477.44404218983
2014-03-01 00:00:00,32,29.561307577270153,0.23,4.163642696302611,8.348466740449126,99128.00531357258
2014-04-01 00:00:00,23,28.39569089253033,0.2,3.2183310553282842,6.487245114310138,53295.562276236386
2014-05-01 00:00:00,23,30.3629906118024,0.2,3.78011991807948,7.661112930522679,64685.41203817606
2014-06-01 00:00:00,23,38.85066365806426,0.21,6.786001970075599,13.826257929515172,112376.1926244519
2014-07-01 00:00:00,23,46.41753878843868,0.25,10.502861824883107,21.51607665457708,179724.9715473997
2014-08-01 00:00:00,23,45.42914134430227,0.25,10.081388092392858,20.766092652764748,172512.71303702658
2014-09-01 00:00:00,23,26.476613640110774,0.2,2.687858935035082,5.566182871411682,44510.94396418096
2014-10-01 00:00:00,23,27.86354159032294,0.2,3.0470974059357445,6.34474617281756,52141.93081037245
2014-11-01 00:00:00,32,27.336284482717865,0.23,3.466245400659809,7.256243141982019,79862.29403120201
2014-12-01 00:00:00,32,30.192138199689833,0.25,4.673300669896395,9.836967157195877,111261.94234889335
2015-01-01 00:00:00,32,33.039552932730174,0.29,6.3527147369652655,13.446102717399336,151245.43245766903
2015-02-01 00:00:00,32,31.57254602546018,0.29,5.85619085854444,12.458194447605466,125931.52822213963
2015-03-01 00:00:00,32,30.16275878683802,0.23,4.247689088207624,9.08590561619156,101128.9818120471
2015-04-01 00:00:00,23,28.806808950274412,0.2,3.2708670269118203,7.034333346302143,54165.55796565974
2015-05-01 00:00:00,23,30.53836036590744,0.2,3.741857895968259,8.091932949927394,64030.67231580886
2015-06-01 00:00:00,23,40.63410943476012,0.21,7.137951841262284,15.519981994565086,118204.48249130342
2015-07-01 00:00:00,23,48.22964494158002,0.25,10.713737816596598,23.424568599222308,183333.481517601
2015-08-01 00:00:00,23,46.499033810690996,0.25,10.035070131579788,22.0637352960643,171720.12009159333
2015-09-01 00:00:00,23,26.75994820657729,0.2,2.717478123975287,6.007440110561488,45001.437733030754
2015-10-01 00:00:00,23,27.944502703248414,0.2,3.009415778759013,6.690071007425928,51497.12280612424
2015-11-01 00:00:00,32,28.015758824744445,0.23,3.5763861036669966,7.99402966864416,82399.9358284876
2015-12-01 00:00:00,32,30.595286166935942,0.25,4.6622843474767155,10.4798076483661,110999.66574472563
2016-01-01 00:00:00,32,33.25044038016579,0.29,6.210716308195188,14.039279660276836,147864.73386551102
2016-02-01 00:00:00,32,32.02926342412444,0.29,5.812514529795701,13.209439532000259,129456.32360760985
2016-03-01 00:00:00,32,30.8033557225813,0.23,4.3091671490140016,9.84798727384849,102592.65148372538
2016-04-01 00:00:00,23,28.90863557794721,0.2,3.2184510930647097,7.3959496949159345,53297.550101151595
2016-05-01 00:00:00,23,31.56058879997624,0.2,3.9135986670187672,9.044334012431927,66969.50039002515
2016-06-01 00:00:00,23,41.77835126585196,0.21,7.206838612286985,16.747348294739393,119345.24741947248
2016-07-01 00:00:00,23,47.04979068701982,0.25,9.79858251034101,22.8994913178028,167673.34391695537
2016-08-01 00:00:00,23,49.16247822909502,0.25,10.48866958662581,24.65245367211228,179482.1139663409
2016-09-01 00:00:00,23,27.04328099285172,0.2,2.7269834103745207,6.445184283646405,45158.84527580206
2016-10-01 00:00:00,23,27.986345028690177,0.2,2.9463574939116013,7.003445544117998,50418.06943581533
2016-11-01 00:00:00,32,28.780102713904565,0.23,3.677585901603819,8.790433458535924,84731.57917295198
2016-12-01 00:00:00,32,30.801044886698108,0.25,4.568849221636719,10.983375107450613,108775.16226872701
2017-01-01 00:00:00,32,33.68862068664279,0.29,6.1134846051406875,14.781397893660206,145549.8414791895
2017-02-01 00:00:00,32,32.38197026542488,0.29,5.708958249583982,13.87649307352405,122765.43819905397
2017-03-01 00:00:00,32,31.21733421812626,0.23,4.278688722209689,10.459298182205087,101867.02109836829
2017-04-01 00:00:00,23,28.96990775366457,0.2,3.141473441814082,7.72264950162087,52022.800196441196
2017-05-01 00:00:00,23,32.66486844605351,0.2,4.070729416825347,10.064834179315818,69658.32178071534
2017-06-01 00:00:00,23,42.92259869067739,0.21,7.229130357446246,17.975027974892654,119714.39871930983
2017-07-01 00:00:00,23,48.07664500854063,0.25,9.654600202693716,24.145006153277322,165209.51866849486
2017-08-01 00:00:00,23,50.318392200219186,0.25,10.3427395983313,26.016852202872908,176984.96000664524
2017-09-01 00:00:00,23,27.188951068033617,0.2,2.6878683444023994,6.799679176908487,44511.09978330373
2017-10-01 00:00:00,23,28.73328300291055,0.2,3.03503941280959,7.722651072148301,51935.5944319977
2017-11-01 00:00:00,32,29.18004892232694,0.23,3.6580520716003613,9.360979192928507,84281.51972967233
2017-12-01 00:00:00,32,30.96230181146936,0.25,4.446233187323445,11.444407927746234,105855.91972379659
