,"*  Broken Floor  (may be sold by a load serving entity (LSE) to achieve an index minus pricing by selling a floor for only certain months, and then spreading those earnings over other months to achieve better than index.)",EPMI Prodcut Descriptions,,,,,,,,,,,
,*  Caps  (strips or series of call options; can be used to hedge power requirements; a one-way Contract for differences (CFD) in some markets; provides some protection for the buyer above a predetermined price - the cap price - for a predetermined period of time),EPMI Prodcut Descriptions,,,,,,,,,,,
,*  Cash on Delivery (C.O.D.) options,Exotica,,,,,,,,,,,
,"*  Chooser Options (referred to as an ""as you like it"" option)",,,,,,,,,,,,
,*  Compound Options (Captions and Floptions),,,,,,,,,,,,
,"*  Digital (""Cash or nothing"") Options (also referred to as binary options)",Exotica,,,,,,,,,,,
,*  European options,Exotica,,,,,,,,,,,
,*  Floors ( strips or series of put options; may be used to hedge generator price risk; also a one-way CFD; guarantees the minimum price that will be paid or received at a predetermined level - the floor price).,EPMI Prodcut Descriptions,,,,,,,,,,,
,*  Forward start options (options that will start at some time in the future.),,,,,,,,,,,,
,"*  Ladder and Cliquet Options (discrete level and time versions of lookback options, respectively.  Depending on the level of discreteness they can be much cheaper than lookback options and are therefore relatively more popular.)",,,,,,,,,,,,
,*  Lookback Options     (Hindsight options - the payout is a function of the highest or lowest price at which the underlying asset trades over some period during the life of the option.  There are 2 basic styles of lookback options - fixed strike and floating strike options.),"Exotica, Kaminski, p. 71",,,,,,,,,,,
,*  Quanto   (options on commodity with exchange rate risk),,,,,,,,,,,,
,*  Rainbow Options (various dual commodity options),Exotica,,,,,,,,,,,
,"*  Shout options (a European option where the holder can ""shout"" to the writer at one time during its life. At the end of the life of the option, the option holder receives either the usual payoff from a European option or the intrinsic value at the time of the shout, whichever is greater.)",,,,,,,,,,,,
,*  Swaption (European option on an energy swap.),Exotica,,,,,,,,,,,
,*  Swing Options (path-dependent American-style options; or series of flexible forward contract or swaps),"Kaminski, p. 86",,,,,,,,,,,
,*  Take or Pay options (ToP),,,,,,,,,,,,
Collars,"*  Accordion (simple variation on a collar;  provides a ""band"" where prices are within a maximum and minimum price.)",EPMI Prodcut Descriptions,,,,,,,,,,,
,*  Average Rate Collar (a regular collar except that settlement is made against the average of any given period; provides price stability while allowing for some upside potential within a certain range.),EPMI Prodcut Descriptions,,,,,,,,,,,
,*  Costless collar (achieved by establishing the collar bands at strikes that result in exactly offsetting premiums).,,,,,,,,,,,,
,*  Regular collar (constructed by buying a cap and selling a floor).,EPMI Prodcut Descriptions,,,,,,,,,,,
,"*  Three Way Collar (used to enhance collar price, but may give up protection in extreme price environments; may be used to hedge load and generation price risk)",EPMI Prodcut Descriptions,,,,,,,,,,,
Swaps ,*  Differential Swap   (exchange of the difference between 2 floating prices (the differential) for a fixed price differential),,,,,,,,,,,,
       (Contracts for Differences) ,*  Double-Up Swap  (The fixed payer may achieve a better swap price than the market price but in return the swap provider has the option to double the volume before the pricing period starts.),,,,,,,,,,,,
,*  Extendable Swap  (similar to the double-up swap except that the swap provider has the option to extend the period of the swap for a predetermined period.),,,,,,,,,,,,
,*  Fixed Profile Swap,EPMI Prodcut Descriptions,,,,,,,,,,,
,*  Margin or Crack Swap  (price differential between the raw commodity or energy and the refined product or products),"Kaminski, p. 23",,,,,,,,,,,
,*  Megawatt Daily Swap,EPMI Prodcut Descriptions,,,,,,,,,,,
,"*  Participating Swap (may be used to hedge power requirements, generation price risk, etc..  The fixed price payer is fully protected when prices rise above the agreed fixed price but participates in a certain percentage of the savings if prices fall.)","EPMI Prodcut Descriptions; Kaminski, p. 23",,,,,,,,,,,
,*  Vanilla Swap (exchange of a floating energy price for a fixed energy price),"EPMI Prodcut Descriptions; Kaminski, p. 173",,,,,,,,,,,
,*  Variable Volume Swap  (underlying quantity or volume is not known in advance),Exotica,,,,,,,,,,,
Weather-related Products,*  Broken Cap with Weather Component (Embedding a weather derivative into the broken cap structure may help mitigate the loss of revenue due to weaker prices.),,,,,,,,,,,,
,*  Precipitation hegge (cash or physical settlement),,,,,,,,,,,,
,"*  Indexed Swaps (Contracts may be written in terms of CDD, HDD, max/min temperatures, precipitation, streamflow, or a combination of these.)",EPMI Prodcut Descriptions,,,,,,,,,,,
Dispatchable Supply Contract,"*  also known as a ""putable forward"".",EPMI Prodcut Descriptions,,,,,,,,,,,
Unit Outage Multi-Trigger Options,*  allows generators to hedge against losses if an outage or de-rate were to occur while power prices were high.  The generator can buy an option that makes payment when an outage occurs and prices are above the specified strike.,,,,,,,,,,,,
Straddle,* provides a method to profit from a volatility-based view as opposed to a directional view.,Exotica,,,,,,,,,,,
Strangle,*  provides a method to profit from a volatility-based view as opposed to a directional view.,Exotica,,,,,,,,,,,
Spreads,*  Asian spreads  (spread option on an asian spread),Exotica,,,,,,,,,,,
,*  Bull Spreads,Exotica,,,,,,,,,,,
,*  Calendar Spreads,Exotica,,,,,,,,,,,
,"*  Crack Spreads (If the futures contracts underlying the option are written on two separate energies, then the option is often referred to as a crack spread option.  Common spreads are heat spreads, gasoline spreads, resid spreads, frac spreads and spark spreads.)","Kaminski, pp. 73, 158",,,,,,,,,,,
,*  Spread options between two baskets,,,,,,,,,,,,
Strips ,*  Annual Strips,Exotica,,,,,,,,,,,
,*  Daily Strips,Exotica,,,,,,,,,,,
,*  Daily fixed price spread options (finds the average price for a strip of daily spread options),,,,,,,,,,,,
,*  Asian strips  (Asian option on a strip),Exotica,,,,,,,,,,,
,*  Forward start options strips,,,,,,,,,,,,
Reverse Tolling,*  A natural gas generator exchanges its natural gas for power.  This allows the generator to meet its power obligations while realizing maximum value in an environment where natural gas is expensive relative to power.,,,,,,,,,,,,
Hybrid & Complex Structures,"*  A number of types of options are commonly seen in the energy markets that combine aspects of the exotics mentioned above.   One of the most common practices in the enrgy markets is to settle against an average of prices over some time period.  Thus Asian options are pervasive in these markets.  Perhaps the most prevalent type of average is the calendar month averaging of a daily closing price (for futures) or a daily index price (for spot or physical commodities). Asian-style averaging is often combined with spread options to give rise to Asian spread options.  d heating oil futures closing prices.  Asian meets American (inset on p. 82);  Compound Asian Option (Exotica); Option on a strip (call or put on a cap or a floor), i.e., a compound option on a cap or floor (Exotica); Option on a collar (Exotica);  Broken Cap with Weather Component (EPMI Prodcut Descriptions)","Kaminski, pp. 83, 157, 158",,,,,,,,,,,
