Vendor,Contact Point,Product Name,Area,Contact,# of User Instances,# of Server Instances,# of Other Instances,Total # Instances,List Cost ,List Cost Total,Enron Cost,Enron Cost Total,Instance/General Comments
Altove Gmbh,Hillier,XML Spy ver. 4.1,EnronOnline,Bob Hillier,20,,,10,3399,0,3399,0,
Automated QA,Hillier,AQtime ver. 2.0 Standart Edition,EnronOnline,Bob Hillier,4,,,4,349.99,17499.5,349.99,17499.5,
BEA,HIllier,Weblogic Developer Edition,EnronOnline,Bob Hillier,,1,,0,3326.67,13306.68,2495,9980,
BEA,HIllier,Weblogic Enterprise Edition,EnronOnline,Bob Hillier,,50,,50,22666.67,113333.34999999999,17000,85000,
Borland,UBS,Delphi 6 Enterprise,EnronOnline,Bob Hillier,4,,,4,2999,2999,2200,2200,
Borland,UBS,Jbuilder,EnronOnline,Bob Hillier,5,,,5,2999,0,2200,0,
C2Net,Hillier,Stronghold Apache SSL,EnronOnline,Bob Hillier,,1,,1,995,3980,995,3980,
Cisco,UBS,NetCool,EnronOnline,Bob Hillier,,,,0,,0,0,0,
Developer Express Inc.,Hillier,ExpressInspector Suite v. 1.1.1,EnronOnline,Bob Hillier,4,,,4,199.99,799.96,199.99,799.96,
Developer Express Inc.,Hillier,ExpressMasterView,EnronOnline,Bob Hillier,4,,,4,,0,199.99,799.96,
Developer Express Inc.,Hillier,ExpressPrinting System ver.2,EnronOnline,Bob Hillier,4,,,4,,0,199.99,799.96,
Developer Express Inc.,Hillier,ExpressQuantumGrid,EnronOnline,Bob Hillier,4,,,4,,0,199.99,199.99,
Developer Express Inc.,Hillier,ExpressBars Professional v. 4,EnronOnline,Bob Hillier,4,,,4,299.99,899.97,299.99,899.97,
EldoS,HIllier,ElPack ver. 2.78c Site License,EnronOnline,Bob Hillier,1,,,1,,0,0,0,
Embarcadero,UBS,DBArtisan,EnronOnline,Bob Hillier,3,,,3,3054.52,6109.04,2349.99,4699.98,
Personal Productivity,McAuliffe,EtherPage,EnronOnline,Bob Hillier,,,1,1,395,790,395,790,"Enron owns two complete licenses for this product.  Currently, there are two Unix servers running this tool.  I have been told that this will be split between NetCo and the Estate but any fail-over functionality for both organizations would be lost"
HALLoGRAM,Hillier,Jprobe -Unix,EnronOnline,Bob Hillier,2,,,2,395,395,395,395,
HALLoGRAM,Hillier,Jprobe -Windows,EnronOnline,Bob Hillier,2,,,2,395,39500,395,39500,
Legato,McAuliffe,Enterprise License,EnronOnline,Bob Hillier,,,,1,,0,1200000,12000000,"$1,980,000 for Enron Enterprise"
LSI Logic,Hillier,TAS,EnronOnline,Bob Hillier,100,,,100,1495,14950,400,4000,
MicroEdge,Hillier,Visual Slick Edit for Windows,EnronOnline,Bob Hillier,10,,,10,,0,195,780,
MicroEdge,Hillier,Visual Slick Edit for Solaris,EnronOnline,Bob Hillier,10,,,10,,0,336,1344,
ModelMaker Tools,Hillier,ModelMaker 6 for Delphi,EnronOnline,Bob Hillier,4,,,4,,0,1200,4800,Still checking
Netscape,UBS,Enterprise Server,EnronOnline,Bob Hillier,,4,,4,,0,0,0,
NuMega,Hillier,BoundsChecker  ver.6.5 Delphi Edition,EnronOnline,Bob Hillier,4,,,4,,0,419,17598,
Oracle,UBS,Designer 6i,EnronOnline,Bob Hillier,5,,,5,6100,6100,6100,6100,
Oracle,UBS,Oracle 8i,EnronOnline,Bob Hillier,,,42,42,40000,280000,20000,140000,
PocketTech,Hillier,PocketStudio Professional,EnronOnline,Bob Hillier,1,,,1,,0,0,0,
Quest,Hillier,Spotlight,EnronOnline,Bob Hillier,,7,,7,,0,0,0,
Quest,Hillier,SQL Lab,EnronOnline,Bob Hillier,,5,,5,1980,13860,714,4998,Follow up on this.
Quest,Hillier,Toad,EnronOnline,Bob Hillier,,7,,7,1980,9900,714,3570,Follow up on this.
Quest,Hillier,Iwatch,EnronOnline,Bob Hillier,,7,,7,8640,34560,5184,20736,
Quest,Hillier,Schema Manager,EnronOnline,Bob Hillier,,5,,5,12600,50400,7560,30240,
QuSoft AS,Hillier,QuickReport Professional ver. 3,EnronOnline,Bob Hillier,4,,,4,299,598,299,598,
Raize Software,Hillier,Raize Components ver. 2.52,EnronOnline,Bob Hillier,4,,,4,,0,3240,48600,
Rational,McAuliffe,Quantify,EnronOnline,Bob Hillier,2,,,2,,0,750,1500,
Rational,McAuliffe,ClearQuest,EnronOnline,Bob Hillier,15,,,15,1200,48000,1080,43200,
Rational,McAuliffe,Purify,EnronOnline,Bob Hillier,2,,,2,750,3000,1080,4320,
Rational,McAuliffe,ClearCase,EnronOnline,Bob Hillier,40,,,40,,0,1500,1500,
Steema Software S.L.,Hillier,TeeChart Pro ver. 4.03,EnronOnline,Bob Hillier,4,,,4,,0,0,0,
SUN Microsystems Inc.,McAuliffe,Sun Ray Server,EnronOnline,Bob Hillier,,1,,1,1000,1000,1000,1000,
SUN Microsystems Inc.,McAuliffe,Workshop w/C++,EnronOnline,Bob Hillier,5,,,5,12500,12500,12500,12500,
Tibco,UBS,Enterprise License,EnronOnline,Bob Hillier,,,,1,,0,0,0,7000000
Tibco,UBS,PortalBuilder,EnronOnline,Bob Hillier,,,,1,,0,0,0,Should we maintain this.
Tibco,UBS,PortalPak,EnronOnline,Bob Hillier,,,,1,,0,0,0,Should we maintain this.
Tibco,UBS,Rendezvous,EnronOnline,Bob Hillier,,,,1,,0,8000,8000,
Tibco,UBS,RVRD,EnronOnline,Bob Hillier,,,,1,,0,8000,96000,
Tibco,UBS,TibAQ Adapter,EnronOnline,Bob Hillier,,,,1,,0,25000,100000,
Togethersoft,UBS,Together J,EnronOnline,Bob Hillier,12,,,12,,0,5036,20144,
Turbo Power,Hillier,XML Partner 2.53 Professional,EnronOnline,Bob Hillier,4,,,4,32,160,32,160,
Turbo Power,Hillier,SysTools 3.02,EnronOnline,Bob Hillier,4,,,4,303,606,303,606,
"Van Dyke Technologies, Inc",Hillier,CRT ver.3 – Terminal Emulator,EnronOnline,Bob Hillier,5,,,5,695,2085,695,2085,
Verisign,UBS,Code Signing Certificates (IE/Netscape),EnronOnline,Bob Hillier,,,2,2,,0,500,8000,
Verisign,UBS,Server Side Certificates,EnronOnline,Bob Hillier,,,3,3,,0,695,695,
Veritas,McAuliffe,Volume Manager,EnronOnline,Bob Hillier,,,16,16,4250,3612500,4250,3612500,4250 per server
WebTrends,McAuliffe,Webtrends,EnronOnline,Bob Hillier,,1,,1,,0,2699,59378,
Tibco,UBS,Client,All,Chris Behney,,,,850,,0,300,900,
Citrix,UBS,Metaframe,All Areas,Chris Behney,,,,22,,0,10000,220000,
Citrix,UBS,Load Balancin,All Areas,Chris Behney,,,,3,,0,1495,1495,
Citrix,UBS,User License Pack,All Areas,Chris Behney,,,,22,,0,9975,139650,
Microsoft,UBS,All Client and Server,All Areas,Chris Behney,,,,1,300000,255000000,300000,255000000,All of Microsoft
Veritas,McAuliffe,VxVM 3.11,Unix,Chris Behney,,,,14,,0,4250,4250,
ABC Software,McAuliffe,LAN Licenser,System Software,Chris Behney ?,,,,850,,0,19.5,19.5,This price does not include support or maintenance.
Avaya,UBS,Memory Configuration,System Software,Chris Behney ?,,,,1,,0,0,0,
Avaya,UBS,Offer Category ,System Software,Chris Behney ?,,,,1,,0,0,0,
Avaya,UBS,Software  Load,System Software,Chris Behney ?,,,,1,,0,0,0,
Cisco,UBS,Cisco secure,System Software,Chris Behney ?,,,,1,,0,0,0,
Cisco,UBS,Cisco works,System Software,Chris Behney ?,,,,1,,0,0,0,
Compaq,UBS,SAN,System Software,Chris Behney ?,,,,1,5995,5095750,5995,5095750,
Funk,McAuliffe,Steel-belted RADIUS SPE,System Software,Chris Behney ?,,,,2,395,395,395,395,
Lucent,McAuliffe,Vital,System Software,Chris Behney ?,,,,850,,0,90000,90000,91915.08
Lucent,McAuliffe,Vital,System Software,Chris Behney ?,,,,1,1495,1495,91915.08,91915.08,
MicroMuse,UBS,MicroMuse Impact,System Software,Chris Behney ?,,,,1,,0,60000,60000,"Never purchased by Enron, not currently owned"
MicroMuse,UBS,MicroMuse NetCool,System Software,Chris Behney ?,,,,1,,0,100000,85000000,Only one Object Server is owned by Enron Net Works.  This needs to remain with Enron and not be transferred to UBS.
MicroMuse,UBS,MicroMuse NetCool,System Software,Chris Behney ?,,,,1,,0,100000,10000000,EBS owns multiple instances and most likely all are not used.  Perhaps one of these instances could be transferred to UBSW.
Netegrity,McAuliffe,Siteminder,System Software,Chris Behney ?,,,,850,,0,15,15,
NetIQ,McAuliffe,Applications Manager,System Software,Chris Behney ?,,,,100,1200,1200,660,660,For all items listed where NetIQ is the vendor a new license key needs to be supplied by the vendor for the correct number of available licenses between NetCo and the Estate.
NetIQ,McAuliffe,NetIQ Application Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,The NetIQ Database server requires a Microsoft SQL 2000 license.  If two servers are built as proposed then two SQL licenses will need to exist.  Not sure if these are included somewhere else in this list.
NetIQ,McAuliffe,NetIQ Application Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Application Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,1200,660,660,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,300000,660,165000,
NetIQ,McAuliffe,NetIQ Operations Manager,System Software,Chris Behney ?,,,,1,1200,1020000,660,561000,
NetIQ,McAuliffe,Operations Manager,System Software,Chris Behney ?,,,,250,1200,1200,660,660,
NetSupport,McAuliffe,NetInstall,System Software,Chris Behney ?,,,,850,,0,0,0,
Network Appliance,McAuliffe,SW-C6100-12MTH-SMRTFLTR,System Software,Chris Behney ?,,,,1,179.95,179.95,179.95,179.95,
Network Appliance,McAuliffe,SW-C6100-24MTH-SMRTFLTR,System Software,Chris Behney ?,,,,1,179.95,359.9,179.95,359.9,
Network Appliance,McAuliffe,SW-C6100-36MTH-SMRTFLTR,System Software,Chris Behney ?,,,,1,371.25,315562.5,371.25,315562.5,
Optus,McAuliffe,FACsys,System Software,Chris Behney ?,,,,2,,0,0,0,
Powerquest,UBS,ImagePro,System Software,Chris Behney ?,,,,850,,0,200,800,Check on this
Remedy,McAuliffe,Helpdesk User,System Software,Chris Behney ?,,,,1,,0,0,0,Not Going
Re-Soft,McAuliffe,MAILSweeper,System Software,Chris Behney ?,,,,4,,0,10000,60000,
Sophos,McAuliffe,Sophos Antivirus,System Software,Chris Behney ?,,,,850,498,996,485,970,Seems very high
Symantec,McAuliffe,Norton Antivirus for MS Exchange,System Software,Chris Behney ?,,,,6,229.95,195457.5,179.95,152957.5,
Symantec,McAuliffe,Norton Antivirus Server,System Software,Chris Behney ?,,,,2,179.95,152957.5,179.95,152957.5,"Should this be $1,000"
Symantec ,McAuliffe,Norton Antivirus Client,System Software,Chris Behney ?,,,,850,,0,179.95,179.95,
Symantec ,McAuliffe,PC Anywhere,System Software,Chris Behney ?,,,,850,,0,179.95,1079.6999999999998,
Telalert,McAuliffe,TelAlert,System Software,Chris Behney ?,,,,1,,0,0,0,Don't think we will need this
Tidal Soft,McAuliffe,SysAdmiral Agent,System Software,Chris Behney ?,,,,6,,0,0,0,
Tidal Soft,McAuliffe,SysAdmiral Master,System Software,Chris Behney ?,,,,2,,0,0,0,
Verisign,UBS,Go! For Exhange,System Software,Chris Behney ?,,,,25,,0,45,135,
Veritas,McAuliffe,Veritas NerveCenter,System Software,Chris Behney ?,,,,1,55960,111920,55960,111920,
Adobe,UBS,Acrobat 5.0,DCAF,Chris Schomer,5,,,3,249,249,217,217,
Borland,UBS,Delphi 5.0,DCAF,Chris Schomer,3,,,2,2999,14995,2200,11000,
Borland,UBS,J-Builder,DCAF,Chris Schomer,4,,,1,2999,8997,2200,6600,
IPSwitch,McAuliffe,Winzip,DCAF,Chris Schomer,4,,,5,10149.99,30449.97,30,90,
IPSwitch,McAuliffe,WS FTP Pro v 6.7,DCAF,Chris Schomer,4,,,3,,0,108.96,544.8,
Norton,McAuliffe,PC anywhere,DCAF,Chris Schomer,4,,,3,,0,47.44,237.2,
Optus,McAuliffe,FACSYS 4.7,DCAF,Chris Schomer,,3,,5,,0,0,0,
Optus,McAuliffe,FACSYS Client 4.7,DCAF,Chris Schomer,0,,,5,,0,0,0,
Oracle,UBS,Oracle Report Builder,DCAF,Chris Schomer,2,,,2,5000,20000,1500,6000,
Oracle,UBS,Oracle Report Server,DCAF,Chris Schomer,2,,,2,5000,15000,1500,4500,
Powersoft,Hillier,Powerbuilder 6.5,DCAF,Chris Schomer,2,,,4,,0,2995,5990,
Quest,Hillier,TOAD,DCAF,Chris Schomer,2,,,3,1980,3960,714,1428,Follow up on this.
Rational,McAuliffe,ClearCase,DCAF,Chris Schomer,5,,,2,3600,3600,1500,1500,
Scootersoftware,McAuliffe,BeyondCompare,DCAF,Chris Schomer,5,,,2,89.95,179.9,89.95,179.9,
SUN Microsystems Inc.,McAuliffe,Java 1.3,DCAF,Chris Schomer,5,,,1,,0,600,5400,
Tibco,UBS,TIBCO 6.5,DCAF,Chris Schomer,,,,2,,0,8000,600000,
Oracle,,Oracle Enterprise Edition 8i,DCAF,Chris Schomer,,,,9,,0,,,
,,BDE,DCAF,Chris Schomer,,,,75,,0,,,
Remote Terminal Server,,Remote Terminal Server,DCAF,Chris Schomer,,,,3,,0,,,
Microsoft,,MS Word,DCAF,Chris Schomer,,,,75,,0,,,
Microsoft,,ISS,DCAF,Chris Schomer,,,,2,,0,,,
Microsoft,,Visual Studio,DCAF,Chris Schomer,4,,,4,,0,,,
Borland,UBS,Delphi,TAGG,Chris Schomer,2,,,3,2999,8997,2200,6600,
Hummingbird,UBS,Exceed,TAGG,Chris Schomer,4,,,7,395,1185,218,654,Use Reflections
Oracle,UBS,Oracle Developer 2000,TAGG,Chris Schomer,2,,,3,5000,10000,1500,3000,
Oracle,UBS,Oracle Reports 6.0,TAGG,Chris Schomer,2,,,3,5000,35000,1500,10500,
Powersoft,Hillier,Powerbuilder,TAGG,Chris Schomer,2,,,2,,0,2995,2995,
Quest,Hillier,TOAD,TAGG,Chris Schomer,2,,,7,1980,13860,714,4998,Follow up on this.
Scientific Computing,McAuliffe,Paradise,TAGG,Chris Schomer,0,,,1,60,600,60,600,
Citrix,,Terminal Server,TAGG,Chris Schomer,,,,7,,,,,
BEA,HIllier,Weblogic 6.1,Unify,Chris Schomer,,,24 (based on CPUs),10,,0,5750,5750,
Borland,UBS,J-Builder,Unify,Chris Schomer,15,,,5,2999,11996,2200,8800,
Brio,Hillier,SQR,Unify,Chris Schomer,5,4,,1,,0,35000,210000,
Compuware Dev Studio,Hillier,DB Partner,Unify,Chris Schomer,20,,,4,299.99,1499.95,299.99,1499.95,
Hummingbird,UBS,Exceed,Unify,Chris Schomer,8,,,6,395,790,218,436,Use Reflections
IPSwitch,McAuliffe,WS FTP Pro v 6.7,Unify,Chris Schomer,20,,,5,,0,108.96,1089.6,
Kamira,Hillier,Bug Seeker,Unify,Chris Schomer,,,,2,,0,0,0,
Linar,Hillier,Jintegra,Unify,Chris Schomer,,8,,10,399,798,399,798,
Mercury Interactive,UBS,Loadrunner,Unify,Chris Schomer,5,,,5,315,630,315,630,
MicroEdge,Hillier,Visual SlickEdit 6.0a,Unify,Chris Schomer,6,,,2,,0,336,5712,
Norton,McAuliffe,PC anywhere,Unify,Chris Schomer,20,,,2,,0,47.44,759.04,
Powersoft,Hillier,Powerbuilder 6.5,Unify,Chris Schomer,20,,,17,2995,29950,2995,29950,
Sylvan-faust,Hillier,SQL Programmer,Unify,Chris Schomer,20,,,16,579,6948,579,6948,
Tibco,UBS,Tibco 6.5,Unify,Chris Schomer,20,,,10,,0,8000,16000,
Tidal Soft,McAuliffe,Sysadmiral 2.3.11,Unify,Chris Schomer,,,,12,,0,0,0,
"Van Dyke Technologies, Inc",Hillier,CRT 3.3,Unify,Chris Schomer,,,,2,32,288,32,288,
Microsoft,,Visual Studio 6.0,Unify,Chris Schomer,20,,,20,,,,,
Oracle,,Oracle Client 8.1.6,Unify,Chris Schomer,,,,9,,,,,
Microsoft,,SQL Server 2000 Enterprise,Unify,Chris Schomer,2,,,15,,,,,
Compuware ,,DevPartner 6.5.1 Studio Enterprise Edition,Unify,Chris Schomer,2,,,2,,,,,
Personal Productivity,,EtherPage Client  3.25,Unify,Chris Schomer,6,,,6,,,,,"Enron owns two complete licenses for this product.  Currently, there are two Unix servers running this tool.  I have been told that this will be split between NetCo and the Estate but any fail-over functionality for both organizations would be lost"
IBM,UBS,Lotus Notes,Unify,Chris Schomer/ Mike Croucher,,,,18,,0,500,1000,171000
ActionPoint,Hillier,InputAccel,LiveLink - EDMS,Cornelio Pua,,,,2,,0,0,0,
Adobe,UBS,Facsys 4.6,LiveLink - EDMS,Cornelio Pua,,,,2,677,1354,28.19,56.38,
Adobe,UBS,Capture 3.0,LiveLink - EDMS,Cornelio Pua,,,,2,699,1398,699,1398,
Kofax,Hillier,Ascent Capture 3.2,LiveLink - EDMS,Cornelio Pua,,,,2,,0,2500,7500,
OpenText,Hillier,LiveLink 8+,LiveLink - EDMS,Cornelio Pua,,,,2,,0,0,0,
SUN Microsystems Inc.,,SUN Solaris 2.8,LiveLink - EDMS,Cornelio Pua,,,,2,,0,,,
Oracle,,Oracle Enterprise Edition 8i,LiveLink - EDMS,Cornelio Pua,,,,2,,,,,
Powerserv,Hillier,PowerTools 2.0,Credit Aggregation System,Ramesh Ganapathy,,,,3,2995,5990,2995,5990,
Powersoft,Hillier,Powerbuilder 7.0,Credit Aggregation System,Ramesh Ganapathy,2,,,3,2995,5990,2995,5990,
Oracle,,Oracle Enterprise Edition 8i,Credit Aggregation System,Ramesh Ganapathy,,1,,3,,0,,,
SUN Microsystems Inc.,,SUN Solaris 2.8,Credit Aggregation System,Ramesh Ganapathy,,2,,ZERO???,,0,,,
Hummingbird,,Exceed,Credit Aggregation System,Ramesh Ganapathy,2,,,2,,,,,
Hummingbird,UBS,Exceed,EDI Hub,Maria Santiago,,,,2,395,0,218,0,Use Reflections
EC Outlook,,,EDI Hub,Maria Santiago,,,,2,,,,,
IBM Corp,,AIX ,EDI Hub,Maria Santiago,,,,,,,,,
Oracle,,,EDI Hub,Maria Santiago,,,,,,,,,
Sterling Commerce,,,EDI Hub,Maria Santiago,,,,,,,,,
Sterling Commerce,,,EDI Hub,Maria Santiago,,,,,,,,,
RMS,,,EDI Hub,Maria Santiago,,,,,,,,,
Software FX,McAuliffe,Chart FX,PortTrac,Ramesh Ganapathy,,,,20,1869,5607,1869,5607,Portrac not moving to NewCo
Microsoft,,Microsoft Visual Studio ,PortTrac,Ramesh Ganapathy,,,,20,,,,,Portrac not moving to NewCo
Software FX,McAuliffe,Chart FX,RAC Website,Ramesh Ganapathy,2,1,,3,1229,2458,1229,2458,
Tibco,UBS,Tibco,RAC Website,Ramesh Ganapathy,,1,,1,,0,8000,24000,
Microsoft,,Microsoft Visual Studio ,RAC Website,Ramesh Ganapathy,3,,,3,,0,,,
Borland,UBS,J-Builder 5.0,Risk Optics,Ramesh Ganapathy,1,,,3,2999,2999,2200,2200,
Verisign,UBS,Verisign Class 3 Security Certificate,Risk Optics,Ramesh Ganapathy,1,,,1,,0,695,2085,
Visual Insights,Hillier,In 3-D for Java,Risk Optics,Ramesh Ganapathy,1,,,2,,0,0,0,
Apex Software Corp.,Hillier,Olectra Chart,Risktrac,Ramesh Ganapathy,2,,,3,,0,405.55,2027.75,
DBI Technologies,Hillier,Component ToolBox,Risktrac,Ramesh Ganapathy,2,,,20,179.99,899.95,179.99,899.95,
Iona,UBS,Orbixweb/Comet,Risktrac,Ramesh Ganapathy,,2,,1,39.95,199.75,0,0,
Macromedia,Hillier,Macromedia Flash,Risktrac,Ramesh Ganapathy,1,,,3,,0,348.68,1743.4,
Sheridan/Infragistics,McAuliffe,Sheridan Active Tree,Risktrac,Ramesh Ganapathy,3,,,5,195,585,195,585,
Sheridan/Infragistics,McAuliffe,Sheridan Active Tree View,Risktrac,Ramesh Ganapathy,,,,5,,0,195,585,
Sheridan/Infragistics,McAuliffe,Sheridan Component Suite,Risktrac,Ramesh Ganapathy,2,,,5,1869,56070,1869,56070,Does this include the first two Sheridan products
Videosoft,Hillier,Videosoft VS-OCX library,Risktrac,Ramesh Ganapathy,2,,,5,,0,0,0,
Microsoft,,Microsoft Visual Studio ,Risktrac,Ramesh Ganapathy,,,,5,,0,,,
Castlemount Software,,Active Multimedia Button 4,Risktrac,Ramesh Ganapathy,2,,,2,,,,,
Iona,UBS,Orbixweb,RAC Analytics-Credit Risk,Ramesh Ganapathy/ Winston Jia,,,,3,29,870,0,0,
Rational,McAuliffe,Rational Rose 2000,RAC Analytics-Credit Risk,Ramesh Ganapathy/ Winston Jia,,,,3,,0,3495,3495,
SAS,UBS,SAS 8.2,RAC Analytics-Credit Risk,Ramesh Ganapathy/ Winston Jia,,,,30,,0,0,0,
Tibco,UBS,Tibco,RAC Analytics-Credit Risk,Ramesh Ganapathy/ Winston Jia,,,,1,,0,8000,24000,
Iona,UBS,Orbixweb,RAC Analytics-Market Risk,Ramesh Ganapathy/ Winston Jia,,,,3,39.95,,0,,
Rational,McAuliffe,Rational Rose 2000,RAC Analytics-Market Risk,Ramesh Ganapathy/ Winston Jia,,,,3,,0,3495,3495,
SAS,UBS,SAS 8.2,RAC Analytics-Market Risk,Ramesh Ganapathy/ Winston Jia,,,,30,,0,0,0,
Tibco,UBS,Tibco,RAC Analytics-Market Risk,Ramesh Ganapathy/ Winston Jia,,,,1,,0,8000,8000,
Borland,UBS,Delphi 6.0,Curve Manager,Steve Nat,6,,,3,2999,14995,2200,11000,
Tibco,UBS,Rendezvous,Curve Manager,Steve Nat,6,2,,3,,0,8000,40000,
Oracle,,Oracle 8.1.7.3,Curve Manager,Steve Nat,,4,,ZERO???,,0,,,
,TurboPower,Sleuth QA Suite,Curve Manager,Steve Nat,6,,,6,,,,,
Databeaken,Hillier,Databeacon,Decision Support,Steve Nat,,1,,1,349.99,349.99,349.99,349.99,
Tibco,UBS,Rendezvous,Curve Manager,Steve Nat,,1,,1,,,,,
ESCA,Hillier,Eterra,EMS,Steve Nat,,,,1,1999,9995,1999,9995,
Allround Automations,Hillier,PL/SQL Developer,EnPower,Steve Nat,15,,,1,200,400,200,400,
Automated QA,Hillier,AQTime,EnPower,Steve Nat,15,,,5,349.99,0,349.99,0,
Borland,UBS,Delphi 6.0,EnPower,Steve Nat,15,,,5,2999,8997,2200,6600,
Developer Express Inc.,Hillier,Bars,EnPower,Steve Nat,15,,,5,129.99,389.97,129.99,389.97,
Developer Express Inc.,Hillier,EQGrid,EnPower,Steve Nat,15,,,5,179.99,539.97,179.99,539.97,
Developer Express Inc.,Hillier,MasterView,EnPower,Steve Nat,15,,,1,415,,415,,
Symantec,McAuliffe,PC anywhere,EnPower,Steve Nat,,5,,5,179.95,0,179.95,0,
Tibco,UBS,Rendezvous,EnPower,Steve Nat,15,6,,5,,,8000,,
Oracle,,Oracle 8.1.7.3,EnPower,Steve Nat,,10,,2,,0,,,
All Around Automations,,DOA,EnPower,Steve Nat,15,,,15,,,,,
DevExpress,,PrintingSystem,EnPower,Steve Nat,15,,,15,,,,,
Eagle Software,,CodeRush,EnPower,Steve Nat,15,,,15,,,,,
EFD System,,HyperString,EnPower,Steve Nat,15,,,15,,,,,
ForeFront,,ForeHelp,EnPower,Steve Nat,15,,,15,,,,,
Quest ,,Toad,EnPower,Steve Nat,15,,,15,,,,,
MS,,Visual SourceSafe,EnPower,Steve Nat,15,,,15,,,,,
