ENRON CAPITAL AND TRADE RESOURCES,,,,,,,,,,,,,,,,,,,,,,,,,
DAILY POSITION STATEMENT,,,,,,,,,,,,,,,,Approval:,,,,,,,,,
RISK BOOKS,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GRAND  TOTAL,,,,,,,,
   Prior Day Hedge Management,,,,,,,,,,,,,,,,,,,37043,,,,,,
         Prior Day New Deals,,1164930.6132999999,,-386253.8868,,1227738.0086000003,,-2012327,,-281817.87759999995,,-402826.0163,,-328734.93389999995,,,-1019291.0926999998,,37073,,,,,,
         Prior Day Change in Price,,-27475437.6427,,2030432.2791999993,,535842.03,,1488831,,0,,1587332.1514,,28476.24,,,-21804523.942100003,,37104,,,,,,
         Prior Day Change in Basis Price,,0,,0,,-165098164.2011,,0,,0,,0,,-1682756.0793999997,,,-166780920.2805,,37135,,,,,,
         Prior Day Change in Index Price,,0,,0,,0,,0,,-1477987.1171,,0,,0,,,-1477987.1171,,37165,,,,,,
         Prior Day Gamma,,0,,0,,0,,0,,0,,0,,0,,,0,,37196,,,,,,
         Prior Day Change in Implied Volatility,,0,,0,,0,,0,,0,,0,,0,,,0,,37226,,,,,,
         Prior Day Theta,,0,,0,,0,,0,,0,,0,,0,,,0,,,-28100141.3888,181820025.58420005,-343957718.6984,-190237834.50299993,32128402.15,
         Prior Day Change in time,,0,,0,,0,,0,,0,,0,,0,,,0,,,,,,,,
         Prior Day  Broker Fees,,0,,0,,0,,0,,0,,0,,0,,,0,,GD-NEW,,,GD-NEW JR,,,
   Prior Day Hedge Management - Total,,-26310507.029400002,,1644178.3923999993,,-163334584.1625,,-523496,,-1759804.9947,,1184506.1351,,-1983014.7732999995,,,-191082722.4324,,Daily - Financial,-23067445.622999992,,Daily - Financial,-1099330.6096,,
   Prior Day Prudency,,0,,0,,0,,0,,0,,0,,0,,,0,,Daily - Physical ,6640531.854270799,,Daily - Physical ,0,,
   Prior Day Other,,0,,1578.2656999999997,,-47279.0168,,0,,0,,0,,424.4404000000003,,,-45276.3107,,Total Daily P&L,-16426913.768729193,,Total Daily P&L,-1099330.6096,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
