,,,,,,,,,BSCTMP vs NBSK,BSCTMP vs SBSK,,,
340,450,400,60,0.028987536873252187,0.011049836186584935,0,1994-02-01,,,,,,
350,455,400,50,0.13353139262452257,0.07410797215372183,0.10660973505825827,1994-03-01,,,,,,
400,490,445,45,0,0.040005334613699206,0.03315220731690055,1994-04-01,,,,,,
400,510,460,60,0.13976194237515863,0.09352605801082355,0.12260232209233228,1994-05-01,,,,,,
460,560,520,60,0,0,0,1994-06-01,,,,,,
460,560,520,60,0.14165051706302684,0.06899287148695142,0.12629372532429206,1994-07-01,,,,,,
530,600,590,60,0,0.04879016416943205,0,1994-08-01,,,,,,
530,630,590,60,0.12405264866997882,0.10536051565782635,0.112117298120706,1994-09-01,,,,,,
600,700,660,60,0,0,0,1994-10-01,,,,,,
600,700,660,60,0,0,0,1994-11-01,,,,,,
600,700,660,60,0.09531017980432493,0.06899287148695142,0.0870113769896297,1994-12-01,,,,,,
660,750,720,60,0,0,0,1995-01-01,,,,,,
660,750,720,60,0.10763066419236536,0.09531017980432493,0.09909090264423097,1995-02-01,,,,,,
735,825,795,60,0,0,0,1995-03-01,,,,,,
735,825,795,60,0,0,0,1995-04-01,,,,,,
735,825,795,60,0.10943384104546204,0.09806121317621473,0.10157979281792023,1995-05-01,,,,,,
820,910,880,60,0,0,0,1995-06-01,,,,,,
820,910,880,60,0,0,0,1995-07-01,,,,,,
820,910,880,60,0,0,0,1995-08-01,,,,,,
820,910,880,60,-0.01227009259181436,0.0791970416611931,0,1995-09-01,,,,,,
810,985,880,70,-0.02500130220541727,0,0,1995-10-01,,,,,,
790,985,880,90,-0.051959738930711104,-0.05209511188340193,-0.02298951822469872,1995-11-01,,,,,,
750,935,860,110,-0.1431008436406733,-0.08361414004113357,-0.08489944378648627,1995-12-01,,,,,,
650,860,790,140,-0.34574587340654206,-0.20585205420414873,-0.29191040856130207,1996-01-01,,,,,,
460,700,590,130,-0.24512245803298496,-0.19671029424605427,-0.20633643299782845,1996-02-01,,,,,,
360,575,480,120,-0.08701137698962981,-0.1005412292218774,-0.13353139262452263,1996-03-01,,,,,,
330,520,420,90,0,0,0,1996-04-01,,,,,,
330,520,420,90,0.127833371509885,0,0.1124779834266903,1996-05-01,,,,,,
375,520,470,95,0.06453852113757116,0.109199291964992,0.12014431184206321,1996-06-01,,,,,,
400,580,530,130,0.024692612590371414,0,0,1996-07-01,,,,,,
410,580,530,120,0.01212136053234482,0,0,1996-08-01,,,,,,
415,580,530,115,-0.024391453124159124,0.033901551675681416,0,1996-09-01,,,,,,
405,600,530,125,-0.012422519998557209,-0.03390155167568134,-0.00947874395454377,1996-10-01,,,,,,
400,580,525,125,-0.025317807984289897,0,-0.009569451016150672,1996-11-01,,,,,,
390,580,520,130,-0.025975486403260677,0,-0.009661910911736859,1996-12-01,,,,,,
380,580,515,135,-0.026668247082161294,0,-0.02955880224154439,1997-01-01,,,,,,
370,580,500,130,0,-0.03509131981127006,-0.040821994520255166,1997-02-01,,,,,,
370,560,480,110,0,0,-0.02105340919783238,1997-03-01,,,,,,
370,560,470,100,0.05264373348542188,0.03509131981127019,0.06187540371808745,1997-04-01,,,,,,
390,580,500,110,0.06213178110700618,0,0.03922071315328133,1997-05-01,,,,,,
415,580,520,105,0.04706751085798573,0.050430853626891904,0.05608946665104358,1997-06-01,,,,,,
435,610,550,115,0.033901551675681416,0,0.018018505502678212,1997-07-01,,,,,,
450,610,560,110,0,0,0,1997-08-01,,,,,,
450,610,560,110,0,0,0,1997-09-01,,,,,,
450,610,560,110,0,0,0,1997-10-01,,,,,,
450,610,560,110,-0.02247285585205863,0,-0.03636764417087483,1997-11-01,,,,,,
440,610,540,100,-0.04652001563489282,-0.033336420267591836,-0.037740327982847086,1997-12-01,,,,,,
420,590,520,100,-0.02409755157906053,-0.05218575317057019,-0.019418085857101627,1998-01-01,,,,,,
410,560,510,100,0,-0.018018505502678365,0,1998-02-01,,,,,,
410,550,510,100,0,0,0,1998-03-01,,,,,,
410,550,510,100,0,0,0,1998-04-01,,,,,,
410,550,510,100,0,0.044451762570833796,0.03846628082779614,1998-05-01,,,,,,
410,575,530,120,0,0,-0.019048194970694474,1998-06-01,,,,,,
410,575,520,110,-0.02469261259037152,-0.04445176257083381,-0.049271049006782794,1998-07-01,,,,,,
400,550,495,95,-0.0779615414697118,-0.04652001563489282,-0.07333127308554963,1998-08-01,,,,,,
370,525,460,90,-0.055569851154810765,-0.048790164169432056,-0.02197890671877523,1998-09-01,,,,,,
350,500,450,100,0,0,0,1998-10-01,,,,,,
350,500,450,100,0,0,0,1998-11-01,,,,,,
350,500,450,100,0,0,0,1998-12-01,,,,,,
350,500,450,100,0,-0.020202707317519466,0,1999-01-01,,,,,,
350,490,450,100,0.028170876966696224,0,0.021978906718775167,1999-02-01,,,,,,
360,490,460,100,0.08004270767353636,0.02020270731751947,0.010810916104215676,1999-03-01,,,,,,
390,500,465,75,0.050010420574661416,0.03922071315328133,0.05236798551731594,1999-04-01,,,,,,
410,520,490,80,0.024097551579060524,0.03774032798284711,0.040005334613699206,1999-05-01,,,,,,
420,540,510,90,0.023530497410194036,0,0.019418085857101516,1999-06-01,,,,,,
430,540,520,90,0,0,0,1999-07-01,,,,,,
430,540,520,90,0.08894748601649612,0.07145896398214505,0.07410797215372183,1999-08-01,,,,,,
470,580,560,90,0,0,0,1999-09-01,,,,,,
470,580,560,90,0.06187540371808745,0.050430853626891904,0.05218575317057025,1999-10-01,,,,,,
500,610,590,90,0,0,0,1999-11-01,,,,,,
500,610,590,90,0.058268908123975824,0.04800921918636066,0.049596941139372186,1999-12-01,,,,,,
530,640,620,90,0,0,0,2000-01-01,,,,,,
530,640,620,90,0.018692133012152546,0,0,2000-02-01,,,,,,
540,640,620,80,0.07145896398214505,0.06062462181643484,0.06252035698133393,2000-03-01,,,,,,
580,680,660,80,0,0,0,2000-04-01,,,,,,
580,680,660,80,0,0,0,2000-05-01,,,,,,
580,680,660,80,0.050430853626891904,0.04317217186520878,0.044451762570833796,2000-06-01,,,,,,
610,710,690,80,0,0,0,2000-07-01,,,,,,
610,710,690,80,0,0,0,2000-08-01,,,,,,
610,710,690,80,0,0,0,2000-09-01,,,,,,
610,710,690,80,0,0,0,2000-10-01,,,,,,
610,710,690,80,-0.016529301951210582,0,-0.014598799421152636,2000-11-01,,,,,,
600,710,680,80,-0.05129329438755058,-0.028573372444056,-0.02985296314968116,2000-12-01,,,,,,
570,690,660,90,-0.07275935428242832,-0.02941388520629334,-0.04652001563489282,2001-01-01,,,,,,
530,670,630,100,-0.07847161544149521,-0.05365271349232014,-0.08269171584511341,2001-02-01,,,,,,
490,635,580,90,-0.08515780834030683,-0.0735024619929265,-0.09015109699429745,2001-03-01,,,,,,
450,590,530,80,,,,2001-04-01,,,,,,
