Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix
,,,L. Approval of Import under Grupo Eletrogêneo Regime,NTP,Secretaria de Receita Federal (SRF),,ESA,June 2001
,,,,,,,,
,,,M. Construction Power,LNTP,Light,,ESA,December 2000
,,,,,,,,
,,,N. Heavy Load Transportation,NTP,Nova Dutra,,EE&CC/NEPCO,June 2001
,,,,,,,,
,,,O. Heavy Load Transportation,NTP,DNER,,EE&CC/NEPCO,June 2001
,,,,,,,,
,,,P. Transmission Line ROW (700 meters),NTP,Landowner,,ESA,January 2001
,,,,,,,,
,,,Q. Contruction of Water Intake/Discharge Structure,NTP,IEF (IBAMA),,ESA,January 2001
,,,,,,,,
,,,R. Provisional Access Road,LNTP,Nova Dutra,,ESA,December 2000
,,,,,,,,
,,,S. Provisional Access Road,LNTP,DNER,,ESA,December 2000
,,,,,,,,
,,,T. Use of Radio Frequency,NTP,ANATEL,,ESA,April 2001
,,,,,,,,
,,,U. Use of Radio Frequency,NTP,FISTEL,,ESA,April 2001
,,,,,,,,
,,,V. Land Fill / Waste Truck Traffic,LNTP,Nova Dutra,,ESA,December 2000
,,,,,,,,
,,,,,,,,
,,,5. Water Licenses,,,,,
,,,,,,,,
,,,,,,,,
,,,A. Water Quantity,NTP,SERLA,,ESA,December 2000
,,,,,,,,
,,,B. Water Intake/Discharge Structures,NTP,SERLA,,ESA,December 2000
,,,,,,,,
,,,C. Water Well,NTP,SERLA,,ESA,March 2000
,,,,,,,,
,,,D. Construction Water,LNTP,SERLA,,ESA,December 2000
,,,,,,,,
,,,E. Placement of Barge in the Guandu River to Install Structures,NTP,SERLA,,ESA,December 2000
