,,,,,Marketing Status,,,Internal Category,,,,,,
Dresdner,132.0,117,,,3,1,11,2,,,Signing SLA for free trial in NY.  Scheduling meeting in London week of 26 Feb.,,,
HSBC Banking Group,124.0,182,,,5,,,3,,,,,,
Bank of Tokyo-Mitsubishi,118.0,109,,,5,,,3,,,,,,
Credit Agricole-Indosuez,108.0,67,,,5,,,3,,,,,,
Sumitomo,97.0,76,,,5,,,2,,,,,,
Royal Bank of Scotland,94.0,154,,,2,4,9,1,No,,Signing SLA for free trial (also trialing other products).  Meeting in London week of 26 Feb.,,,
Toronto Dominion,93.0,92,36.0,24.0,5,,,2,,,,,,
ING,90.0,85,,,5,,,2,,,,,,
Wells Fargo,84.0,9,67.0,9.0,5,,,Other,,,,,,
Heller Financial,70.0,7,77.0,9.0,4,,,Other,,,,,,
PNC Bank,70.0,6,,,5,,,Other,,,,,,
SunTrust,65.0,7,49.0,6.0,5,,,3,,,,,,
KeyBank,63.0,7,72.0,10.0,5,,,Other,,,,,,
Goldman Sachs,59.0,92,35.0,19.0,5,,,3,,,,,,
UBS,53.0,114,,,5,,,2,,,,,,
Merrill Lynch,45.0,71,16.0,8.0,5,,,3,,,,,,
GECC,44.0,4,46.0,6.0,5,,,Other,,,,,,
US Bank National Assoc.,44.0,5,,,5,,,Other,,,,,,
Union Bank of California,41.0,5,38.0,7.0,5,,,3,,,,,,
MSDW,38.0,99,17.0,6.0,5,,,3,,,,,,
CIBC,37.0,7,44.0,15.0,4,3,10,1,,,,,,
Bank of Montreal,33.0,6,33.0,7.0,5,,,3,,,,,,
National City Corporation,30.0,2,,,5,,,Other,,,,,,
Wachovia Bank,22.0,6,,,5,,,3,,,,,,
ANZ,0.0,0,,,4,,,2,,,,,,
Bayerische Landesbank,0.0,0,,,4,2,4,2,,,Not a market leader.,,,
Bear Stearns,0.0,0,,,5,,,2,,,,,,
Dai-Ichi,0.0,0,,,5,,,2,,,,,,
Fuji,0.0,0,,,5,0,0,2,,,Call ,,,
Hypoverinsbank,0.0,0,,,5,,,2,,,,,,
IBJ,0.0,0,,,5,,,2,,,,,,
KBC,0.0,0,,,4,2,4,2,,,,,,
Lehmen Bros.,0.0,0,35.0,13.0,5,,,2,,,,,,
NAB,0.0,0,,,4,1,5,2,,,,,,
Royal Bank of Canada,0.0,0,,,5,1,2,2,,,,,,
State Bank of India,0.0,0,,,5,,,2,,,,,,
Arab Bank,,,,,5,,,3,,,,,,
Banca Bilbao ,,,,,5,,,3,,,,,,
Banca di Roma,,,,,5,,,3,,,,,,
Banca Intesa,,,,,5,,,3,,,,,,
Banca Nationale dei Lavoro,,,,,5,,,3,,,,,,
Banca Santender,,,,,5,,,3,,,,,,
Banesto,,,,,5,,,3,,,,,,
Bank Austria Creditanstalt,,,,,5,,,3,,,,,,
Bank Commerciale Italiana,,,,,5,,,3,,,,,,
Bank Hapoalim,,,,,5,,,3,,,,,,
Bank of China,,,,,5,,,3,,,,,,
Christiana Bank,,,,,5,,,3,,,,,,
Co Bank,,,,,5,,,3,,,,,,
Compass Bank,,,,,5,,,3,,,,,,
Fortis Bank,,,,,5,,,3,,,,,,
Gulf International Bank,,,,,5,,,3,,,,,,
Heleba,,,,,5,,,3,,,,,,
Mellon,,,,,5,,,3,,,,,,
Natexis Banques Populaires,,,,,5,,,3,,,,,,
Nomura,,,,,5,,,3,,,,,,
Nord/LB,,,,,5,,,3,,,,,,
RZB Finance,,,,,5,,,3,,,,,,
Sanwa,,,,,5,,,3,,,,,,
Scotia,,,,,5,,,2,,,,,,
Standard Chartered,,,,,5,,,3,,,,,,
,,,,,,48,140,,,,,,,
