,ENT,SOCO,TVA,VACAR,HHUB
1997-07-04,,,,,2.105
1997-07-05,,,,,2.105
1997-07-06,,,,,2.105
1997-07-07,27.07,,,,2.105
1997-07-08,25.34,,,,2.125
1997-07-09,23.1,,,,2.125
1997-07-10,22.97,,,,2.15
1997-07-11,22.94,,,,2.15
1997-07-12,,,,,2.16
1997-07-13,,,,,2.16
1997-07-14,35.36,,,,2.16
1997-07-15,67.11,,,,2.17
1997-07-16,137.5,,,,2.205
1997-07-17,199.06,,,,2.23
1997-07-18,144.69,,,,2.265
1997-07-19,,,,,2.245
1997-07-20,,,,,2.245
1997-07-21,41.5,,,,2.245
1997-07-22,30.73,,,,2.165
1997-07-23,30.99,,,,2.17
1997-07-24,40.83,,,,2.205
1997-07-25,68.27,,,,2.235
1997-07-26,57.5,,,,2.22
1997-07-27,57.5,,,,2.22
1997-07-28,45,,,,2.22
1997-07-29,40.47,,,,2.19
1997-07-30,28.51,,,,2.215
1997-07-31,23.69,,,,2.22
1997-08-01,27.16,,26.28,,2.215
1997-08-02,,,,,2.22
1997-08-03,,,,,2.22
1997-08-04,28.37,,,,2.22
1997-08-05,21.98,,,,2.255
1997-08-06,21.1,,,,2.335
1997-08-07,21.36,,,,2.375
1997-08-08,21.02,,17.94,,2.475
1997-08-09,20.5,,,,2.365
1997-08-10,17.5,,,,2.365
1997-08-11,25.7,,,,2.365
1997-08-12,22.97,,,,2.535
1997-08-13,24.76,,,,2.57
1997-08-14,25.99,,,,2.43
1997-08-15,22.33,,22.06,,2.555
1997-08-16,,,,,2.515
1997-08-17,,,,,2.515
1997-08-18,33.73,,,,2.515
1997-08-19,17.5,,,,2.55
1997-08-20,29.96,,,,2.615
1997-08-21,28.43,,,,2.625
1997-08-22,22.78,,,,2.44
1997-08-23,,,16.58,,2.44
1997-08-24,,,15.91,,2.44
1997-08-25,,,,,2.44
1997-08-26,24.35,,,,2.52
1997-08-27,23.64,,,,2.58
1997-08-28,24.39,,23.24,,2.505
1997-08-29,24.39,,,,2.565
1997-08-30,,,20,,2.7
1997-08-31,,,,,2.7
1997-09-01,,,,,2.7
1997-09-02,28.57,,25.56,,2.7
1997-09-03,21.91,,17.36,,2.78
1997-09-04,19.99,,15.26,,2.845
1997-09-05,18.6,,15.08,,2.705
1997-09-06,,,,,2.635
1997-09-07,,,,,2.635
1997-09-08,20.8,,17.09,,2.635
1997-09-09,21.19,,17.36,,2.655
1997-09-10,20.98,,16.88,,2.745
1997-09-11,20.02,,16.05,,2.725
1997-09-12,19.27,,16.53,,2.765
1997-09-13,,,15,,2.87
1997-09-14,,,,,2.87
1997-09-15,21.05,,17.37,,2.87
1997-09-16,28.32,,27.01,,2.865
1997-09-17,31.33,,27.58,,2.825
1997-09-18,32.64,,28.58,,2.745
1997-09-19,37,,32.39,,2.835
1997-09-20,,,17.9,,2.93
1997-09-21,,,16,,2.93
1997-09-22,20.03,,16.77,,2.93
1997-09-23,21.24,,18.48,,2.93
1997-09-24,20.72,,17.59,,3.095
1997-09-25,20.73,,16.67,,3.015
1997-09-26,21.04,,17,,3.045
1997-09-27,,,,,3.265
1997-09-28,,,15.67,,3.265
1997-09-29,21.38,,17.87,,3.265
1997-09-30,22.06,25,18.46,,2.99
1997-10-01,21.38,24,19.5,,2.945
1997-10-02,23.69,21.75,20.31,,3.1
1997-10-03,23.82,25,21.82,,2.975
1997-10-04,,,19,,2.895
1997-10-05,,,19,,2.895
1997-10-06,27.39,,25.11,,2.895
1997-10-07,38.61,43.67,41.87,,2.985
1997-10-08,45.6,43.67,48.23,,2.83
1997-10-09,28.56,35,30.3,,2.785
1997-10-10,28.02,40,28.96,,2.785
1997-10-11,,,19,,2.755
1997-10-12,,23.5,,,2.755
1997-10-13,29.22,35.5,30.18,,2.755
1997-10-14,25.16,25.75,24.75,,2.87
1997-10-15,23.19,23.63,23.49,,2.82
1997-10-16,23.7,23.63,24.31,,2.835
1997-10-17,23.43,23.17,23.35,,2.92
1997-10-18,22,18.93,17.79,,2.98
1997-10-19,22,18.89,17.63,,2.98
1997-10-20,23.21,22.75,22.07,,2.98
1997-10-21,23.5,22.75,24.1,,3.025
1997-10-22,27.78,22.75,29.68,,3.14
1997-10-23,23.93,24.08,24.25,,3.225
1997-10-24,23.81,23.63,24.5,,3.345
1997-10-25,,22.75,19.38,,3.2
1997-10-26,,23,18.6,,3.2
1997-10-27,22.87,24.13,24.45,,3.2
1997-10-28,23.25,25.36,24.01,,3.435
1997-10-29,24.63,25.36,24.58,,3.625
1997-10-30,25.41,24.42,25.58,,3.4
1997-10-31,24.78,24.25,23.94,,3.235
1997-11-01,,,,,3.225
1997-11-02,,,,,3.225
1997-11-03,27.48,26,25.47,,3.225
1997-11-04,28.17,28.5,28.66,,3.24
1997-11-05,29.56,27.25,27.38,,3.135
1997-11-06,26.08,25,22.94,,3.185
1997-11-07,23.38,21.25,20.94,,3.23
1997-11-08,24.25,,20.65,,3.075
1997-11-09,24.25,,19.72,,3.075
1997-11-10,26.78,25,26.51,,3.075
1997-11-11,29.91,27.82,29.36,,3.185
1997-11-12,31.6,26,29.99,,3.255
1997-11-13,30.16,28,27.22,,3.275
1997-11-14,31.02,28,27.9,,3.26
1997-11-15,33,,24.5,,3.225
1997-11-16,33,,24.64,,3.225
1997-11-17,34.5,39,36.34,,3.225
1997-11-18,37.21,,34.63,,3.095
1997-11-19,29.22,27.38,27.55,,2.995
1997-11-20,24.44,24.08,22.98,,2.98
1997-11-21,23.71,23.5,20.71,,2.76
1997-11-22,21.75,,19.42,,2.57
1997-11-23,20.75,,18.97,,2.57
1997-11-24,25.05,25.5,22.82,,2.57
1997-11-25,24.05,,21.1,,2.595
1997-11-26,20.6,21.75,17.85,,2.47
1997-11-27,,,,,2.43
1997-11-28,20.42,,18.42,,2.43
1997-11-29,20.6,21.75,15,,2.43
1997-11-30,20.6,21.75,15,,2.43
1997-12-01,23.87,,19.25,,2.43
1997-12-02,23.92,24,22.42,,2.495
1997-12-03,24.38,24,22.15,,2.615
1997-12-04,23.95,23.78,22.87,,2.53
1997-12-05,25.37,25.45,25.1,,2.475
1997-12-06,,,22,,2.435
1997-12-07,,,21.33,,2.435
1997-12-08,25.37,28.5,25.89,,2.435
1997-12-09,23.72,23.63,23.18,,2.305
1997-12-10,22.2,20.13,20.06,,2.34
1997-12-11,22.28,20.75,19.88,,2.46
1997-12-12,23.8,23.88,21.99,,2.285
1997-12-13,,,18.25,,2.29
1997-12-14,,,17,,2.29
1997-12-15,21.58,,19.1,,2.29
1997-12-16,22.43,,19.77,,2.24
1997-12-17,22.26,20.5,19.31,,2.285
1997-12-18,21.89,22,18.48,,2.36
1997-12-19,21.18,18.5,17.74,,2.35
1997-12-20,,,,,2.375
1997-12-21,,,,,2.375
1997-12-22,20.62,,17.4,,2.375
1997-12-23,20.07,,16.41,,2.35
1997-12-24,18.8,,15.5,,2.215
1997-12-25,,18,15.05,,2.08
1997-12-26,18.74,18,15.5,,2.08
1997-12-27,,,,,2.08
1997-12-28,,,15.05,,2.08
1997-12-29,18.74,18,15.5,,2.08
1997-12-30,21.88,18,19.11,,2.29
1997-12-31,21.8,21,18.71,,2.27
1998-01-01,,,,,2.27
1998-01-02,21.28,18.67,18.89,,2.27
1998-01-03,,15,,,2.18
1998-01-04,,14,,,2.18
1998-01-05,20.98,21,19,,2.18
1998-01-06,19.06,,16.64,,2.04
1998-01-07,17.39,,16.31,,2.145
1998-01-08,16.39,,15.14,,2.135
1998-01-09,16.12,18.5,15.74,,2.115
1998-01-10,,,,,2.08
1998-01-11,,,,,2.08
1998-01-12,19.22,,19.25,,2.08
1998-01-13,18.33,18.25,18.11,,1.995
1998-01-14,17.53,18.25,18.15,,2.02
1998-01-15,18.14,18.25,19.14,,2.04
1998-01-16,17.45,18.25,17.61,,2.075
1998-01-17,,16.75,,,2.11
1998-01-18,,16.75,,,2.11
1998-01-19,16.94,,16.99,,2.11
1998-01-20,17.28,,17.28,,2.135
1998-01-21,18.09,21.58,19.03,,2.115
1998-01-22,18.06,21.58,17.71,,2.075
1998-01-23,17.74,21.58,17.35,,2.09
1998-01-24,,,,,2.125
1998-01-25,,,,,2.125
1998-01-26,17.3,,16.94,,2.125
1998-01-27,17.23,,16.31,,2.08
1998-01-28,16.7,,16,,2.06
1998-01-29,16.37,,15.86,,2.095
1998-01-30,16.2,,15.25,,2.11
1998-01-31,16.5,,15.25,,2.105
1998-02-01,,,,,2.105
1998-02-02,16.86,,15.79,,2.105
1998-02-03,17.68,18,16.45,,2.22
1998-02-04,18.53,18,17.06,,2.26
1998-02-05,19.89,21.71,19.79,,2.215
1998-02-06,20.33,23,21.05,,2.305
1998-02-07,,18,,,2.35
1998-02-08,,18,15.25,,2.35
1998-02-09,18.84,21.5,18.13,,2.35
1998-02-10,18.02,19.88,17.27,,2.25
1998-02-11,18,19.88,16.61,,2.185
1998-02-12,17.67,16.5,16.39,,2.215
1998-02-13,17.64,16.25,15.75,,2.195
1998-02-14,15,15,,,2.22
1998-02-15,14.5,15,,,2.22
1998-02-16,17.49,18,15.88,,2.22
1998-02-17,,,,,2.22
1998-02-18,17.49,17,16.14,,2.175
1998-02-19,17.71,17,16.26,,2.18
1998-02-20,18.16,17,16.72,,2.22
1998-02-21,,,,,2.19
1998-02-22,,,,,2.19
1998-02-23,18.64,,16.75,,2.19
1998-02-24,18.57,18.75,16.5,,2.19
1998-02-25,18.2,18.75,15.55,,2.185
1998-02-26,17.32,17.4,14.69,,2.205
1998-02-27,17.1,18.25,14.53,,2.22
1998-02-28,,17,,,2.19
1998-03-01,,17,,,2.23
1998-03-02,20.58,20,19.24,,2.23
1998-03-03,19.37,21,18.69,,2.275
1998-03-04,18.78,21,18.21,,2.235
1998-03-05,18.4,21,18.48,,2.19
1998-03-06,17.37,20.23,17.86,,2.115
1998-03-07,,,,,2.09
1998-03-08,,,,,2.09
1998-03-09,18.54,18.75,18.99,,2.09
1998-03-10,25.66,29.5,28.99,,2.165
1998-03-11,38.69,28.99,43.53,,2.23
1998-03-12,39.7,50.5,46.42,,2.25
1998-03-13,28.41,28,34.3,,2.245
1998-03-14,,,22.25,,2.205
1998-03-15,,,,,2.205
1998-03-16,22.14,,20,,2.205
1998-03-17,18.74,,17.83,,2.2
1998-03-18,17.55,15.5,16.54,,2.205
1998-03-19,17.75,15.5,16.13,,2.205
1998-03-20,18.6,15.5,16.02,,2.235
1998-03-21,,,,,2.285
1998-03-22,,,,,2.285
1998-03-23,21.2,,21.25,,2.285
1998-03-24,18.19,,18.83,,2.325
1998-03-25,18.15,15,17.05,,2.28
1998-03-26,19.26,17.5,18.56,,2.325
1998-03-27,18.85,17.5,18.05,,2.285
1998-03-28,,,,,2.25
1998-03-29,,,,,2.25
1998-03-30,18.65,,16.97,,2.25
1998-03-31,19.05,,17.82,,2.26
1998-04-01,20.13,,18.78,,2.31
1998-04-02,20.13,,17.92,,2.46
1998-04-03,20.21,,18.13,,2.4
1998-04-04,,19.75,17.69,,2.505
1998-04-05,,,17.59,,2.505
1998-04-06,21.38,23,20.65,,2.505
1998-04-07,22.88,23,22.74,,2.505
1998-04-08,22.03,23,20.46,,2.5
1998-04-09,22.56,23,22.72,,2.65
1998-04-10,,,,,2.59
1998-04-11,,19.63,16,,2.59
1998-04-12,,19,15,,2.59
1998-04-13,29.34,,29.84,,2.59
1998-04-14,22.17,,21.61,,2.55
1998-04-15,22.3,,21.97,,2.415
1998-04-16,24.48,24.75,24.04,,2.48
1998-04-17,25.11,25,24.31,,2.475
1998-04-18,20.33,,,,2.39
1998-04-19,,,,,2.39
1998-04-20,25.3,22,25,,2.39
1998-04-21,22.31,19.25,21.23,,2.4
1998-04-22,22.41,19.25,20.76,,2.455
1998-04-23,21.26,19.25,18.95,,2.51
1998-04-24,19.99,19.25,17.91,,2.335
1998-04-25,,,16.5,,2.305
1998-04-26,,,16,,2.305
1998-04-27,21.7,,20.69,,2.305
1998-04-28,21.81,,19.95,,2.28
1998-04-29,22.82,21,21.28,,2.265
1998-04-30,23.51,21,21.98,,2.29
1998-05-01,21.95,21.63,20.9,,2.175
1998-05-02,,,,,2.115
1998-05-03,16.5,,,,2.115
1998-05-04,20.91,,19.93,,2.115
1998-05-05,19.66,22,18.32,,2.055
1998-05-06,21.16,21.5,19.73,,2.175
1998-05-07,23.14,24.4,20.67,,2.115
1998-05-08,23.22,21,20.06,,2.15
1998-05-09,,,,,2.11
1998-05-10,,,,,2.11
1998-05-11,21.06,21.83,19.54,,2.11
1998-05-12,24.17,21.83,23.27,,2.175
1998-05-13,33.76,21.83,30.79,,2.23
1998-05-14,34.98,36.29,33.54,,2.235
1998-05-15,46.29,42,43.06,,2.17
1998-05-16,,32.33,32.8,,2.17
1998-05-17,,32.5,28.5,,2.17
1998-05-18,42.42,,41.28,,2.17
1998-05-19,96.2,132.5,121.6,,2.19
1998-05-20,138.24,132.5,118.71,,2.16
1998-05-21,70.8,75,66.56,,2.175
1998-05-22,44.8,40,39.65,,2.105
1998-05-23,,25.67,22,,2.01
1998-05-24,,25.67,23,,2.01
1998-05-25,,,,,2.01
1998-05-26,35.28,,34.13,,2.01
1998-05-27,33.21,35.84,31.31,,2.09
1998-05-28,46.23,45,49.6,,2.08
1998-05-29,65.33,70,70.5,,2.085
1998-05-30,,37,,,2.115
1998-05-31,,37,,,2.115
1998-06-01,38.4,43,37.71,,2.065
1998-06-02,33.85,36.38,29.57,,2.165
1998-06-03,33.42,43.24,31.18,,2.19
1998-06-04,31.81,42.6,30.26,,2.12
1998-06-05,27.68,31.5,26.39,,2.035
1998-06-06,,22,15,,2.01
1998-06-07,,22,15,,2.01
1998-06-08,21.3,28,19.62,,2.01
1998-06-09,18.07,20.6,17.25,,2
1998-06-10,20.17,25.45,19.44,,2.005
1998-06-11,29.7,39.67,30.5,,1.97
1998-06-12,37.64,56.67,39.98,,1.99
1998-06-13,,,24,,2.005
1998-06-14,,,18,,2.005
1998-06-15,34.91,,34.79,,2.005
1998-06-16,29.81,45,28.09,,2.085
1998-06-17,42.07,45,44.17,,2.09
1998-06-18,75.73,73,95.12,,2.025
1998-06-19,49.76,61.67,53.67,,2.15
1998-06-20,42,73.83,55,,2.195
1998-06-21,42,66.33,55,,2.195
1998-06-22,90,121.67,97.63,,2.195
1998-06-23,152.89,167.37,164.81,,2.345
1998-06-24,280.88,288,298.75,,2.37
1998-06-25,343.38,345,400,,2.405
1998-06-26,1538,1125,1816.67,,2.38
1998-06-27,,689.12,95,,2.405
1998-06-28,,546.82,95,,2.405
1998-06-29,575,587.5,1621.4301,,2.405
1998-06-30,49.5,75,73.24,,2.38
1998-07-01,49,49.14,51.28,,2.365
1998-07-02,33.11,43,29.71,,2.465
1998-07-03,,,,,2.36
1998-07-04,,24,25,,2.36
1998-07-05,,24,25,,2.36
1998-07-06,64.26,50,70.63,,2.36
1998-07-07,58.83,53,63.93,,2.37
1998-07-08,57.73,80,57.64,,2.34
1998-07-09,49.64,80,52.32,,2.38
1998-07-10,46.18,72.33,41.81,,2.37
1998-07-11,,,33.77,,2.315
1998-07-12,,,33.77,,2.315
1998-07-13,107.88,,116.58,,2.315
1998-07-14,75.77,90,88.97,,2.275
1998-07-15,66.57,,70.24,,2.235
1998-07-16,47.65,48.13,48.62,,2.215
1998-07-17,39.19,39.63,36.09,,2.145
1998-07-18,45,38.38,25,,2.155
1998-07-19,38,38.38,25,,2.155
1998-07-20,287.5,,343.06,,2.155
1998-07-21,1337.35,500,1343,,2.18
1998-07-22,488.95,336.67,420,,2.07
1998-07-23,66.86,75,72.77,,2.005
1998-07-24,34.95,35.82,31.78,,1.985
1998-07-25,,27.19,20.5,,1.965
1998-07-26,,26.71,20.67,,1.965
1998-07-27,47.25,44,47.29,,1.965
1998-07-28,41.16,40,37.52,,2.005
1998-07-29,44.98,40,44.52,,1.955
1998-07-30,41.59,45,40.22,,1.99
1998-07-31,36.53,37,33.15,,1.985
1998-08-01,,31.5,21.52,,1.845
1998-08-02,,31.5,21.44,,1.845
1998-08-03,42.2,,39.68,,1.845
1998-08-04,30.69,29.5,28.32,,1.825
1998-08-05,28.61,30,27.11,,1.9
1998-08-06,28.62,31.8,27.78,,1.91
1998-08-07,29.06,32.63,26.68,,1.845
1998-08-08,,27,21.61,,1.815
1998-08-09,,27,21.61,,1.815
1998-08-10,48.99,50,48.92,,1.815
1998-08-11,33.31,40.92,31.97,,1.855
1998-08-12,34.18,37,31.21,,1.87
1998-08-13,31.19,31,28.41,,1.835
1998-08-14,28.24,28,25.44,,1.825
1998-08-15,,24,21.5,,1.825
1998-08-16,,24,22,,1.825
1998-08-17,45.89,,44.55,,1.825
1998-08-18,61.36,,68.21,,1.895
1998-08-19,37.7,44,34.81,,1.94
1998-08-20,32.91,32,29.47,,1.96
1998-08-21,30.32,29,26.67,,1.895
1998-08-22,,26,22,,1.925
1998-08-23,,26,22,,1.925
1998-08-24,28.48,28.9,26.36,,1.925
1998-08-25,59,70,55.66,,1.895
1998-08-26,83.8,90,96.55,,1.88
1998-08-27,48.53,55,49.13,,1.83
1998-08-28,42.54,55,41.64,,1.75
1998-08-29,,,26.58,,1.64
1998-08-30,,,27.23,,1.64
1998-08-31,42.19,,40.31,,1.64
1998-09-01,29.45,37.71,34.23,,1.57
1998-09-02,29.36,32,32.21,,1.84
1998-09-03,23.89,24.44,24.72,,1.72
1998-09-04,24.13,24.67,24.8,,1.685
1998-09-05,,28.27,29.85,,1.69
1998-09-06,,27.6,29.85,,1.69
1998-09-07,,,,,1.69
1998-09-08,37.41,35.86,40.71,,1.69
1998-09-09,18.09,20.03,18.35,,1.795
1998-09-10,16.3,19.5,16.95,,1.775
1998-09-11,21.02,22.5,22.98,,1.87
1998-09-12,,21.46,22,,1.845
1998-09-13,,21.38,22,,1.845
1998-09-14,24.27,29.67,29.2,,1.845
1998-09-15,33.38,38.83,40.68,,1.83
1998-09-16,31.56,42.6,40.34,,1.935
1998-09-17,35.2,41.25,42.1,,2.12
1998-09-18,35.96,38,42.32,,2.115
1998-09-19,,25.5,30,,2.245
1998-09-20,,25.5,30,,2.245
1998-09-21,29.52,,36.1,,2.245
1998-09-22,27.59,30,32.13,,2.17
1998-09-23,22.87,25,24.13,,2.285
1998-09-24,23.32,22.92,23.25,,2.185
1998-09-25,26.68,24.4,25.23,,2.165
1998-09-26,,,28.15,,2.385
1998-09-27,,,28.15,,2.385
1998-09-28,35.01,36.5,38.71,,2.385
1998-09-29,45.25,47.5,48.6,,2.235
1998-09-30,45.76,42,54,,2.17
1998-10-01,26.96,30.25,27.49,,2.175
1998-10-02,23.93,21,24.07,,2.325
1998-10-03,,21.5,17.19,,2.125
1998-10-04,,21.5,17.19,,2.125
1998-10-05,27.11,,28.09,,2.125
1998-10-06,21.13,,21.65,,2.07
1998-10-07,22.24,25,24.77,,1.995
1998-10-08,21.44,25,23.93,,2.045
1998-10-09,19.67,22,19.95,,2.025
1998-10-10,,18.75,,,1.795
1998-10-11,,18.75,,,1.795
1998-10-12,19.87,24,19.91,,1.795
1998-10-13,18.17,19.9,17.5,,1.735
1998-10-14,18.17,,17.31,,1.675
1998-10-15,19.13,19.42,18.53,,1.795
1998-10-16,22.24,23.92,23.2,,1.75
1998-10-17,,20.75,18.26,,1.63
1998-10-18,,20.75,18.26,,1.63
1998-10-19,20.31,22.67,20.31,,1.63
1998-10-20,19.24,21.69,19.1,,1.745
1998-10-21,19.97,23.5,19.74,,1.95
1998-10-22,19.29,21.6,19.19,,2.03
1998-10-23,18.51,20.75,17.87,,1.95
1998-10-24,,21.46,22,,1.845
1998-10-25,,19,16.8,,1.845
1998-10-26,18.55,20.55,17.98,,1.845
1998-10-27,18.3,19.5,17.23,,1.9
1998-10-28,19.23,20.08,18.38,,1.84
1998-10-29,20.4,20.88,19.69,,1.69
1998-10-30,21.47,20.88,20.39,,1.72
1998-10-31,,17.67,,,1.78
1998-11-01,,17.25,17.5,,1.755
1998-11-02,21.89,21.5,21.63,,1.755
1998-11-03,21.81,21.67,21.32,,1.8
1998-11-04,22,21.94,22.18,,2.08
1998-11-05,23.39,22.75,23.5,,2.11
1998-11-06,21.96,22.92,22.08,,2.25
1998-11-07,,21.75,19.5,,2.25
1998-11-08,,21.42,19.5,,2.25
1998-11-09,21.33,23.33,22.27,,2.25
1998-11-10,20.9,,19.08,,2.27
1998-11-11,22.66,,21.57,,2.275
1998-11-12,23.5,23.5,23.79,,2.335
1998-11-13,22.6,25,22.82,,2.23
1998-11-14,,21.25,17.5,,2.23
1998-11-15,,20.17,17.5,,2.23
1998-11-16,22.27,24,23.03,,2.23
1998-11-17,20.73,24,19.17,,2.195
1998-11-18,20.94,21.88,18.92,,2.125
1998-11-19,21.87,21,19.29,,2.1
1998-11-20,21.95,20.75,20.75,,2.115
1998-11-21,,,,,2.095
1998-11-22,,19,16.8,,2.095
1998-11-23,20.78,,19.39,,2.095
1998-11-24,18.01,,16.14,,2.035
1998-11-25,17.22,17.5,15.91,,2.015
1998-11-26,,,,,1.87
1998-11-27,,,,,1.87
1998-11-28,,,,,1.87
1998-11-29,,,,,1.87
1998-11-30,19.13,,18.33,,1.87
1998-12-01,17.63,,16.77,,1.645
1998-12-02,17.82,18.75,17.13,,1.395
1998-12-03,18.01,18.75,17.61,,1.375
1998-12-04,17.59,18.75,17.44,,1.185
1998-12-05,,,,,1.01
1998-12-06,,,,,1.01
1998-12-07,17.52,,18.61,,1.01
1998-12-08,16.71,,17.34,,1.55
1998-12-09,17.1,19,18.45,,1.795
1998-12-10,16.39,18.88,17.13,,1.64
1998-12-11,16.36,19,16.72,,1.575
1998-12-12,,18,,,1.53
1998-12-13,,18,,,1.53
1998-12-14,16.96,19.08,17.51,,1.53
1998-12-15,17.57,19.25,17.8,,1.81
1998-12-16,19.36,20.33,20.22,,1.855
1998-12-17,19.3,20.88,20.57,,1.965
1998-12-18,19.22,19.63,19.59,,1.99
1998-12-19,,,,,2.01
1998-12-20,,,16,,2.01
1998-12-21,20.07,20.63,19.96,,2.01
1998-12-22,24.15,20.63,24.52,,2.045
