1464241,,,,,,,,,,,,,,
,,,Phy/,Call/,Opt,,Option,Monthly,Option,Stike,Mid,Mid,Mid,Premium
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-17 00:00:00,2002-01-17 00:00:00,45000,6447.1392,2.6900001,2.45,1.14,658.2613,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-18 00:00:00,2002-01-18 00:00:00,45000,8857.5547,2.6900001,2.45,1.14,1188.1929,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-19 00:00:00,2002-01-19 00:00:00,45000,10556.2921,2.6900001,2.45,1.14,1704.3955,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-20 00:00:00,2002-01-20 00:00:00,45000,11834.8922,2.6900001,2.45,1.14,2196.4391,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-21 00:00:00,2002-01-21 00:00:00,45000,12844.6319,2.6900001,2.45,1.14,2663.8715,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-22 00:00:00,2002-01-22 00:00:00,45000,13670.707,2.6900001,2.45,1.14,3108.5826,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-23 00:00:00,2002-01-23 00:00:00,45000,14364.8491,2.6900001,2.45,1.14,3532.8722,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-24 00:00:00,2002-01-24 00:00:00,45000,14960.4296,2.6900001,2.45,1.14,3938.9186,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-25 00:00:00,2002-01-25 00:00:00,45000,15480.0439,2.6900001,2.45,1.14,4328.6467,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-26 00:00:00,2002-01-26 00:00:00,45000,15939.6018,2.6900001,2.45,1.14,4703.7196,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-27 00:00:00,2002-01-27 00:00:00,45000,16350.6732,2.6900001,2.45,1.14,5065.5652,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-28 00:00:00,2002-01-28 00:00:00,45000,16721.9015,2.6900001,2.45,1.14,5415.4107,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-29 00:00:00,2002-01-29 00:00:00,45000,17059.893,2.6900001,2.45,1.14,5754.3145,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-30 00:00:00,2002-01-30 00:00:00,45000,17369.7967,2.6900001,2.45,1.14,6083.1948,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-31 00:00:00,2002-01-31 00:00:00,45000,17655.6948,2.6900001,2.45,1.14,6402.8521,0
1464244,,,,,,,,,,,,,,
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2002-04-01 00:00:00,2002-04-01 00:00:00,1050000,44674.1381,2.2705,2.2955,0.58,116752.3668,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2002-05-01 00:00:00,2002-05-01 00:00:00,1085000,50998.2687,2.3355,2.3605,0.63,134827.2675,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2002-06-01 00:00:00,2002-06-01 00:00:00,1050000,48439.1912,2.3955,2.4205,0.63,131229.409,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2002-07-01 00:00:00,2002-07-01 00:00:00,1085000,54928.4227,2.4605,2.4855,0.68,150762.8408,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2002-08-01 00:00:00,2002-08-01 00:00:00,1085000,58891.416,2.5055,2.5305,0.73,163114.7298,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2002-09-01 00:00:00,2002-09-01 00:00:00,1050000,55908.5581,2.5035,2.5285,0.73,155037.4047,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2002-10-01 00:00:00,2002-10-01 00:00:00,1085000,62709.5341,2.5255,2.5505,0.78,173895.6263,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2002-11-01 00:00:00,2002-11-01 00:00:00,1050000,64596.5489,2.828,2.873,0.85,210676.9941,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2003-04-01 00:00:00,2003-04-01 00:00:00,1050000,35851.758,2.8,2.835,0.48,122024.914,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2003-05-01 00:00:00,2003-05-01 00:00:00,1085000,41591.5413,2.8,2.835,0.53,138530.6107,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2003-06-01 00:00:00,2003-06-01 00:00:00,1050000,39428.7998,2.85,2.885,0.53,133686.7092,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2003-07-01 00:00:00,2003-07-01 00:00:00,1085000,45294.5284,2.885,2.92,0.58,152455.2844,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2003-08-01 00:00:00,2003-08-01 00:00:00,1085000,49075.0655,2.915,2.95,0.63,164657.4055,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2003-09-01 00:00:00,2003-09-01 00:00:00,1050000,46489.5636,2.915,2.95,0.63,156388.2151,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2003-10-01 00:00:00,2003-10-01 00:00:00,1085000,52608.4168,2.95,2.985,0.68,176575.4116,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2003-11-01 00:00:00,2003-11-01 00:00:00,1050000,60875.2378,3.14475,3.18475,0.83,215008.8739,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2004-04-01 00:00:00,2004-04-01 00:00:00,1050000,32053.119,2.98375,3.01875,0.45,116389.667,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2004-05-01 00:00:00,2004-05-01 00:00:00,1085000,37378.1611,2.99475,3.02975,0.5,133049.9859,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2004-06-01 00:00:00,2004-06-01 00:00:00,1050000,35388.3283,3.04475,3.07975,0.5,128087.866,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2004-07-01 00:00:00,2004-07-01 00:00:00,1085000,40823.3202,3.09375,3.12875,0.55,147023.6545,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2004-08-01 00:00:00,2004-08-01 00:00:00,1085000,44384.355,3.14875,3.18375,0.6,160260.4404,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2004-09-01 00:00:00,2004-09-01 00:00:00,1050000,41998.9639,3.11875,3.15375,0.6,150794.4317,0
PEOPLE GAS,N17872.9,GDP-CHI. GATE,P,C,EUR,2004-10-01 00:00:00,2004-10-01 00:00:00,1085000,47658.5224,3.12375,3.15875,0.65,169145.8636,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2002-04-01 00:00:00,2002-04-01 00:00:00,900000,38292.1184,2.2705,2.2955,0.58,77676.7357,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2002-05-01 00:00:00,2002-05-01 00:00:00,930000,43712.8017,2.3355,2.3605,0.63,92458.259,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2002-06-01 00:00:00,2002-06-01 00:00:00,900000,41519.3068,2.3955,2.4205,0.63,90152.8292,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2002-07-01 00:00:00,2002-07-01 00:00:00,930000,47081.5051,2.4605,2.4855,0.68,106186.9697,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2002-08-01 00:00:00,2002-08-01 00:00:00,930000,50478.3566,2.5055,2.5305,0.73,116814.1507,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2002-09-01 00:00:00,2002-09-01 00:00:00,900000,47921.6212,2.5035,2.5285,0.73,110671.6547,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2002-10-01 00:00:00,2002-10-01 00:00:00,930000,53751.0292,2.5255,2.5505,0.78,126138.3795,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2002-11-01 00:00:00,2002-11-01 00:00:00,900000,55368.4705,2.828,2.873,0.85,140746.9735,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2003-04-01 00:00:00,2003-04-01 00:00:00,900000,30730.0783,2.8,2.835,0.48,73997.729,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2003-05-01 00:00:00,2003-05-01 00:00:00,930000,35649.8926,2.8,2.835,0.53,87223.1177,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2003-06-01 00:00:00,2003-06-01 00:00:00,900000,33796.1141,2.85,2.885,0.53,84187.5022,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2003-07-01 00:00:00,2003-07-01 00:00:00,930000,38823.8815,2.885,2.92,0.58,99368.3382,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2003-08-01 00:00:00,2003-08-01 00:00:00,930000,42064.3419,2.915,2.95,0.63,109942.4188,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2003-09-01 00:00:00,2003-09-01 00:00:00,900000,39848.1973,2.915,2.95,0.63,103975.37,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2003-10-01 00:00:00,2003-10-01 00:00:00,930000,45092.9287,2.95,2.985,0.68,120396.4657,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2003-11-01 00:00:00,2003-11-01 00:00:00,900000,52178.7753,3.14475,3.18475,0.83,150196.4292,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2004-04-01 00:00:00,2004-04-01 00:00:00,900000,27474.102,2.98375,3.01875,0.45,70564.6628,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2004-05-01 00:00:00,2004-05-01 00:00:00,930000,32038.4238,2.99475,3.02975,0.5,84006.2943,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2004-06-01 00:00:00,2004-06-01 00:00:00,900000,30332.8528,3.04475,3.07975,0.5,80856.7488,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2004-07-01 00:00:00,2004-07-01 00:00:00,930000,34991.4173,3.09375,3.12875,0.55,96260.7479,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2004-08-01 00:00:00,2004-08-01 00:00:00,930000,38043.7328,3.14875,3.18375,0.6,107747.0926,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2004-09-01 00:00:00,2004-09-01 00:00:00,900000,35999.1119,3.11875,3.15375,0.6,100725.8913,0
PEOPLE GAS,N17872.A,GDP-CHI. GATE,P,P,EUR,2004-10-01 00:00:00,2004-10-01 00:00:00,930000,40850.162,3.12375,3.15875,0.65,115644.4223,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2002-04-01 00:00:00,2002-04-01 00:00:00,450000,19146.0592,2.2705,2.2955,0.58,50036.7286,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2002-05-01 00:00:00,2002-05-01 00:00:00,465000,21856.4009,2.3355,2.3605,0.63,57783.1146,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2002-06-01 00:00:00,2002-06-01 00:00:00,450000,20759.6534,2.3955,2.4205,0.63,56241.1753,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2002-07-01 00:00:00,2002-07-01 00:00:00,465000,23540.7526,2.4605,2.4855,0.68,64612.6461,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2002-08-01 00:00:00,2002-08-01 00:00:00,465000,25239.1783,2.5055,2.5305,0.73,69906.3128,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2002-09-01 00:00:00,2002-09-01 00:00:00,450000,23960.8106,2.5035,2.5285,0.73,66444.602,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2002-10-01 00:00:00,2002-10-01 00:00:00,465000,26875.5146,2.5255,2.5505,0.78,74526.697,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2002-11-01 00:00:00,2002-11-01 00:00:00,450000,27684.2353,2.828,2.873,0.85,90290.1403,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2003-04-01 00:00:00,2003-04-01 00:00:00,450000,15365.0392,2.8,2.835,0.48,52296.3917,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2003-05-01 00:00:00,2003-05-01 00:00:00,465000,17824.9463,2.8,2.835,0.53,59370.2617,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2003-06-01 00:00:00,2003-06-01 00:00:00,450000,16898.0571,2.85,2.885,0.53,57294.3039,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2003-07-01 00:00:00,2003-07-01 00:00:00,465000,19411.9407,2.885,2.92,0.58,65337.979,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2003-08-01 00:00:00,2003-08-01 00:00:00,465000,21032.1709,2.915,2.95,0.63,70567.4595,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2003-09-01 00:00:00,2003-09-01 00:00:00,450000,19924.0987,2.915,2.95,0.63,67023.5207,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2003-10-01 00:00:00,2003-10-01 00:00:00,465000,22546.4643,2.95,2.985,0.68,75675.1764,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2003-11-01 00:00:00,2003-11-01 00:00:00,450000,26089.3876,3.14475,3.18475,0.83,92146.6603,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2004-04-01 00:00:00,2004-04-01 00:00:00,450000,13737.051,2.98375,3.01875,0.45,49881.2858,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2004-05-01 00:00:00,2004-05-01 00:00:00,465000,16019.2119,2.99475,3.02975,0.5,57021.4225,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2004-06-01 00:00:00,2004-06-01 00:00:00,450000,15166.4264,3.04475,3.07975,0.5,54894.7997,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2004-07-01 00:00:00,2004-07-01 00:00:00,465000,17495.7086,3.09375,3.12875,0.55,63010.1377,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2004-08-01 00:00:00,2004-08-01 00:00:00,465000,19021.8664,3.14875,3.18375,0.6,68683.0459,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2004-09-01 00:00:00,2004-09-01 00:00:00,450000,17999.556,3.11875,3.15375,0.6,64626.185,0
PEOPLE GAS,N17872.B,GDP-CHI. GATE,P,C,EUR,2004-10-01 00:00:00,2004-10-01 00:00:00,465000,20425.081,3.12375,3.15875,0.65,72491.0844,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2002-04-01 00:00:00,2002-04-01 00:00:00,150000,6407.9912,2.2805,2.2955,0.58,13642.3664,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2002-05-01 00:00:00,2002-05-01 00:00:00,155000,7309.378,2.3455,2.3605,0.63,16138.6584,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2002-06-01 00:00:00,2002-06-01 00:00:00,150000,6942.5388,2.4055,2.4205,0.63,15728.6026,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2002-07-01 00:00:00,2002-07-01 00:00:00,155000,7868.0291,2.4705,2.4855,0.68,18432.977,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2002-08-01 00:00:00,2002-08-01 00:00:00,155000,8432.8383,2.5155,2.5305,0.73,20209.3715,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2002-09-01 00:00:00,2002-09-01 00:00:00,150000,8006.7426,2.5135,2.5285,0.73,19157.426,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2002-10-01 00:00:00,2002-10-01 00:00:00,155000,8977.7635,2.5355,2.5505,0.78,21765.3334,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2002-11-01 00:00:00,2002-11-01 00:00:00,150000,9253.5853,2.838,2.873,0.85,24145.6804,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2003-04-01 00:00:00,2003-04-01 00:00:00,150000,5153.1519,2.81,2.835,0.48,12972.5802,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2003-05-01 00:00:00,2003-05-01 00:00:00,155000,5970.8945,2.81,2.835,0.53,15210.1631,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2003-06-01 00:00:00,2003-06-01 00:00:00,150000,5660.6115,2.86,2.885,0.53,14678.5948,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2003-07-01 00:00:00,2003-07-01 00:00:00,155000,6496.5349,2.895,2.92,0.58,17240.434,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2003-08-01 00:00:00,2003-08-01 00:00:00,155000,7034.5269,2.925,2.95,0.63,19009.0254,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2003-09-01 00:00:00,2003-09-01 00:00:00,150000,6664.791,2.925,2.95,0.63,17987.1606,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2003-10-01 00:00:00,2003-10-01 00:00:00,155000,7537.5939,2.96,2.985,0.68,20753.4443,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2003-11-01 00:00:00,2003-11-01 00:00:00,150000,8715.1827,3.15475,3.18475,0.83,25706.9986,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2004-04-01 00:00:00,2004-04-01 00:00:00,150000,4608.6323,2.99375,3.01875,0.45,12364.739,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2004-05-01 00:00:00,2004-05-01 00:00:00,155000,5367.0377,3.00475,3.02975,0.5,14636.7334,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2004-06-01 00:00:00,2004-06-01 00:00:00,150000,5081.3306,3.05475,3.07975,0.5,14087.4269,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2004-07-01 00:00:00,2004-07-01 00:00:00,155000,5855.5401,3.10375,3.12875,0.55,16685.1416,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2004-08-01 00:00:00,2004-08-01 00:00:00,155000,6361.9245,3.15875,3.18375,0.6,18605.9387,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2004-09-01 00:00:00,2004-09-01 00:00:00,150000,6021.1735,3.12875,3.15375,0.6,17408.5784,0
PEOPLE GAS,N18064.6,GDP-CHI. GATE,P,P,EUR,2004-10-01 00:00:00,2004-10-01 00:00:00,155000,6828.6772,3.13375,3.15875,0.65,19922.3317,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-02-01 00:00:00,2002-02-01 00:00:00,1260000,102426.8029,2.3122501,2.30475,1.14,231873.8432,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-03-01 00:00:00,2002-03-01 00:00:00,1395000,82865.9795,2.2942501,2.28675,0.79,184797.7985,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-12-01 00:00:00,2002-12-01 00:00:00,1395000,118561.131,3.0550001,3.07,1.15,373836.1779,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2003-01-01 00:00:00,2003-01-01 00:00:00,1395000,121351.038,3.1370001,3.152,1.18,392291.7291,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2003-02-01 00:00:00,2003-02-01 00:00:00,1260000,103640.2854,3.0950001,3.11,1.18,331225.7446,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2003-03-01 00:00:00,2003-03-01 00:00:00,1395000,85001.7461,3.0250001,3.04,0.83,268580.3407,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2003-12-01 00:00:00,2003-12-01 00:00:00,1395000,112007.2168,3.3237501,3.33375,1.13,379625.7088,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2004-01-01 00:00:00,2004-01-01 00:00:00,1395000,108577.9501,3.3787501,3.38875,1.1,374156.8951,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2004-02-01 00:00:00,2004-02-01 00:00:00,1305000,97659.3565,3.2837501,3.29375,1.1,327486.5277,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2004-03-01 00:00:00,2004-03-01 00:00:00,1395000,73468.4688,3.1837501,3.19375,0.75,241065.7267,0
