Dates,OTH.PG&E.LARGE - MidPoint,OTH.SOCAL.LARGE - MidPoint
2000-05-19 00:00:00,3.755,3.825
2000-05-20 00:00:00,3.91,3.945
2000-05-21 00:00:00,3.91,3.945
2000-05-22 00:00:00,3.91,3.945
2000-05-23 00:00:00,4.625,4.865
2000-05-24 00:00:00,4.19,4.215
2000-05-25 00:00:00,4.085,4.15
2000-05-26 00:00:00,4.245,4.3
2000-05-27 00:00:00,4.16,4.225
2000-05-28 00:00:00,4.16,4.225
2000-05-29 00:00:00,4.16,4.225
2000-05-30 00:00:00,4.16,4.225
2000-05-31 00:00:00,4.7,4.76
2000-06-01 00:00:00,4.775,4.825
2000-06-02 00:00:00,4.665,4.72
2000-06-03 00:00:00,4.2,4.22
2000-06-04 00:00:00,4.2,4.22
2000-06-05 00:00:00,4.2,4.22
2000-06-06 00:00:00,4.385,4.455
2000-06-07 00:00:00,4.62,4.67
2000-06-08 00:00:00,4.42,4.45
2000-06-09 00:00:00,4.265,4.365
2000-06-10 00:00:00,4.355,4.43
2000-06-11 00:00:00,4.355,4.43
2000-06-12 00:00:00,4.355,4.43
2000-06-13 00:00:00,4.65,4.83
2000-06-14 00:00:00,4.555,4.805
2000-06-15 00:00:00,4.425,4.685
2000-06-16 00:00:00,4.495,4.775
2000-06-17 00:00:00,4.46,4.67
2000-06-18 00:00:00,4.46,4.67
2000-06-19 00:00:00,4.46,4.67
2000-06-20 00:00:00,4.43,4.72
2000-06-21 00:00:00,4.165,4.41
2000-06-22 00:00:00,4.355,4.47
2000-06-23 00:00:00,4.61,4.875
2000-06-24 00:00:00,4.485,4.685
2000-06-25 00:00:00,4.485,4.685
2000-06-26 00:00:00,4.485,4.685
2000-06-27 00:00:00,4.58,4.83
2000-06-28 00:00:00,4.775,5.09
2000-06-29 00:00:00,4.815,5.105
2000-06-30 00:00:00,4.68,4.825
2000-07-01 00:00:00,4.455,4.73
2000-07-02 00:00:00,4.455,4.73
2000-07-03 00:00:00,4.455,4.73
2000-07-04 00:00:00,4.455,4.73
2000-07-05 00:00:00,4.455,4.73
2000-07-06 00:00:00,4.295,4.84
2000-07-07 00:00:00,4.295,4.555
2000-07-08 00:00:00,3.59,4.135
2000-07-09 00:00:00,3.59,4.135
2000-07-10 00:00:00,3.59,4.135
2000-07-11 00:00:00,4.325,4.74
2000-07-12 00:00:00,4.215,4.69
2000-07-13 00:00:00,4.415,4.805
2000-07-14 00:00:00,4.3,4.72
2000-07-15 00:00:00,4.045,4.655
2000-07-16 00:00:00,4.045,4.655
2000-07-17 00:00:00,4.045,4.655
2000-07-18 00:00:00,4.345,4.705
2000-07-19 00:00:00,4.225,4.675
2000-07-20 00:00:00,4.32,4.76
2000-07-21 00:00:00,4.3,4.625
2000-07-22 00:00:00,4.235,4.62
2000-07-23 00:00:00,4.235,4.62
2000-07-24 00:00:00,4.235,4.62
2000-07-25 00:00:00,4.325,4.625
2000-07-26 00:00:00,4.155,4.53
2000-07-27 00:00:00,4.08,4.53
2000-07-28 00:00:00,4.14,4.62
2000-07-29 00:00:00,4.155,4.605
2000-07-30 00:00:00,4.155,4.605
2000-07-31 00:00:00,4.155,4.605
2000-08-01 00:00:00,4.215,4.615
2000-08-02 00:00:00,4.13,4.535
2000-08-03 00:00:00,4.29,4.645
2000-08-04 00:00:00,4.34,4.755
2000-08-05 00:00:00,4.36,4.75
2000-08-06 00:00:00,4.36,4.75
2000-08-07 00:00:00,4.36,4.75
2000-08-08 00:00:00,4.285,4.87
2000-08-09 00:00:00,4.39,4.875
2000-08-10 00:00:00,4.365,4.77
2000-08-11 00:00:00,4.36,4.765
2000-08-12 00:00:00,4.36,4.74
2000-08-13 00:00:00,4.36,4.74
2000-08-14 00:00:00,4.36,4.74
2000-08-15 00:00:00,4.37,4.765
2000-08-16 00:00:00,4.21,4.68
2000-08-17 00:00:00,4.175,4.73
2000-08-18 00:00:00,4.315,4.925
2000-08-19 00:00:00,4.345,4.925
2000-08-20 00:00:00,4.345,4.925
2000-08-21 00:00:00,4.345,4.925
2000-08-22 00:00:00,4.695,5.29
2000-08-23 00:00:00,5.29,5.775
2000-08-24 00:00:00,5.285,5.76
2000-08-25 00:00:00,5.025,5.75
2000-08-26 00:00:00,5.23,6.475
2000-08-27 00:00:00,5.23,6.475
2000-08-28 00:00:00,5.23,6.475
2000-08-29 00:00:00,5.665,6.925
2000-08-30 00:00:00,6.63,7.285
2000-08-31 00:00:00,5.35,6.13
2000-09-01 00:00:00,5.155,6.18
2000-09-02 00:00:00,5.245,5.875
2000-09-03 00:00:00,5.245,5.875
2000-09-04 00:00:00,5.245,5.875
2000-09-05 00:00:00,5.245,5.875
2000-09-06 00:00:00,5.71,6.205
2000-09-07 00:00:00,5.925,6.34
2000-09-08 00:00:00,5.865,6.225
2000-09-09 00:00:00,5.78,6.15
2000-09-10 00:00:00,5.78,6.15
2000-09-11 00:00:00,5.78,6.15
2000-09-12 00:00:00,5.98,6.325
2000-09-13 00:00:00,6.04,6.36
2000-09-14 00:00:00,6,6.39
2000-09-15 00:00:00,6.005,6.37
2000-09-16 00:00:00,6.05,6.395
2000-09-17 00:00:00,6.05,6.395
2000-09-18 00:00:00,6.05,6.395
2000-09-19 00:00:00,5.98,6.31
2000-09-20 00:00:00,5.89,6.25
2000-09-21 00:00:00,5.765,6.075
Sum,730.225,777.455
Average,4.1967,4.4681
Average (+),4.1967,4.4681
Average (-),,
Percent (+),100,100
Percent (-),0,0
Maximum,6.63,7.285
Minimum,2.95,2.975
Std Deviation,0.8911,1.0728
Zstat,4.7094,4.1648
Variance,0.7941,1.151
Last,5.765,6.075
