BOOK_ID,LAST OFFICIALIZED,COMMODITY_CD,Active/Inactive,Book Adminstrator,Trading Group
GAS-CHASE-MAHIV-IDX,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE-MAHIV-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE-MAHV-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE-MAHV-IDX,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE-MAHV-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-ECT-STRATEG-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-ECT-STRATEG-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-ENERGYAMER-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-ENERGYAMER-IDX,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-ENERGYAMER-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-EXEC-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-EXEC-GDL,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-EXEC-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
JL-COAL-SPEC-PRC,2001-02-05 00:00:00,COAL,Active,Kori Loibl,Errol McLaughlin
JL-OIL-SPEC-PRC,2001-02-05 00:00:00,WTI,Active,Kori Loibl,Errol McLaughlin
NG-CORP-AFF-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
NG-CORP-AFF-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
NG-EXOTIC-BAS,1999-01-05 00:00:00,NG,Inactive,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-EXOTIC-GDL,1999-01-05 00:00:00,NG,Inactive,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-EXOTIC-PRC,2001-02-05 00:00:00,NG,Active,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-FPL-HDG-BAS,2000-10-31 00:00:00,NG,Inactive,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-FPL-HDG-PRC,1999-12-30 00:00:00,NG,Inactive,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-LTX-BAS,2001-02-05 00:00:00,NG,Active,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-LTX-GDL,2001-02-05 00:00:00,NG,Active,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-LTX-PRC,2001-02-05 00:00:00,NG,Active,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-MM-PRC,2001-02-05 00:00:00,NG,Active,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-OPT2-XL-BAS,2001-02-05 00:00:00,NG,Active,Susan Scott,Errol McLaughlin
NG-OPT-XL-BAS,2001-02-05 00:00:00,NG,Active,Susan Scott,Errol McLaughlin
NG-OPT-XL-PRC,2001-02-05 00:00:00,NG,Active,Susan Scott,Errol McLaughlin
NG-PR-CAN-PRC,2001-02-05 00:00:00,NG,Active,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-PRICE-BAS,2001-02-05 00:00:00,NG,Active,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-PRICE-GDL,2001-02-05 00:00:00,NG,Active,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
NG-PRICE-PRC,2001-02-05 00:00:00,NG,Active,"Joey Taylor, Bilal Bajwa",Errol McLaughlin
OIL-NG-HDG-CAB-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
OIL-NG-HDG-CAB-GDL,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
OIL-NG-HDG-SPEC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
OPTIONS-GDOPT-GDL,2001-02-05 00:00:00,NG,Active,Susan Scott,Errol McLaughlin
OPTIONS-PRICE-BAS,2001-02-05 00:00:00,NG,Active,Susan Scott,Errol McLaughlin
OPTIONS-PRICE-PRC,2001-02-05 00:00:00,NG,Active,Susan Scott,Errol McLaughlin
