,NEW YORK CITY CPARK,,,CHICAGO,,,PHILADELPHIA,,,DETROIT,,,INDIANAPOLIS,,,BALTIMORE,,,COLUMBUS OH,,,MILWAUKEE,,,WASHINGTON DC,,,BOSTON,
1994-03-31,0,141.5,,0,185.5,,0,128,,0,183.5,,0,173.5,,0,134.5,,0,170,,0,199.5,,0,123.5,,0,154
1994-04-07,0,105.5,,0,151,,0,70,,0,154,,0,145.5,,0,69.5,,0,140,,0,173.5,,0,57,,0,121
1994-04-14,0,87.5,,0,107,,0,73,,0,109,,0,87.5,,0,71,,0,87,,0,129,,0,49.5,,0,101.5
1994-04-21,2.5,40.5,,2,69.5,,11.5,30.5,,0,82.5,,0.5,50.5,,7.5,27,,0,64.5,,0,77.5,,10,16,,0,85.5
1994-04-28,1,42,,20.5,66.5,,16,24.5,,23,61.5,,14,36.5,,25.5,25,,14.5,45,,4.5,87,,34,19,,1,84.5
1994-05-05,2.5,45,,0,115.5,,5,34.5,,0,104.5,,0,86.5,,3.5,52,,0,86.5,,0,122.5,,7,39,,0,67
1994-05-12,0,40.5,,0,78.5,,0,36.5,,0,72,,0,63.5,,0,52,,0,75,,0,82,,0,44,,0,49
1994-05-19,0.5,46.5,,0,68.5,,2,39.5,,2,61.5,,1.5,45,,3,48.5,,0,54.5,,0,83.5,,11.5,35,,0,85
1994-05-26,31,16,,19.5,22.5,,41,18,,23.5,14.5,,35,10.5,,32,22,,23.5,16,,11.5,34.5,,48,14.5,,7.5,34.5
1994-06-02,26,12.5,,26.5,35,,32,12,,21.5,33.5,,22.5,17,,25.5,13.5,,17,24.5,,33,34.5,,37,7.5,,28,22
1994-06-09,46.5,0,,18.5,29.5,,50,0,,20,13,,46.5,0,,50.5,1.5,,29.5,8,,16.5,34,,68.5,0,,28,0.5
1994-06-16,72.5,0,,80.5,3.5,,96.5,0,,77.5,0,,85,0,,92.5,0,,89.5,0,,80,5,,107,0,,26,0.5
1994-06-23,100.5,0,,74,0,,119.5,0,,110.5,0,,116,0,,116,0,,119,0,,78,0,,131.5,0,,82.5,0
1994-06-30,76.5,0,,35.5,1.5,,110,0,,34,0,,48,0,,93.5,0,,37,1,,38.5,1,,106,0,,69.5,0
1994-07-07,102.5,0,,85.5,1.5,,117.5,0,,78.5,0,,101.5,0,,108,0,,91,0,,67.5,0,,121,0,,78,0
1994-07-14,105.5,0,,42.5,0,,132,0,,57,0,,64,0,,115,0,,62,0,,42.5,0.5,,130,0,,70.5,0
1994-07-21,96,0,,74.5,0,,125,0,,72.5,0,,84.5,0,,114,0,,84,0,,81.5,0,,128.5,0,,76,1
1994-07-28,100.5,0,,40.5,0,,113,0,,50,0,,56,0,,90,0,,58,0,,53.5,0,,99,0,,113,0
1994-08-04,99.5,0,,43,0,,104.5,0,,61,0,,62,0,,99,0,,65.5,0,,54.5,0,,101.5,0,,111.5,0
1994-08-11,43,0,,10,21,,47.5,0,,7.5,8.5,,22.5,4.5,,39,0,,14.5,6.5,,9.5,19.5,,53.5,0,,38.5,2.5
1994-08-18,78.5,0,,26.5,0,,75.5,0,,30,1,,50,0,,74,0,,53.5,2,,35,0,,87,0,,61.5,0
1994-08-25,48,0,,51,0,,62.5,0,,54.5,0,,53,0,,56.5,0,,54.5,0,,65,0,,60.5,0,,26,1.5
1994-09-01,55.5,0,,26.5,10.5,,66,0,,26,8.5,,45.5,4.5,,61,0,,46.5,3.5,,43,9,,73,0,,46,0
1994-09-08,12,1.5,,7.5,18.5,,13,3.5,,7,11.5,,7,14.5,,12,0.5,,1.5,17,,14,11,,30.5,0,,7.5,26.5
1994-09-15,37.5,2.5,,83,0,,43,2.5,,45.5,2,,72,0,,41.5,1,,39.5,0,,71,0,,52,0,,16,7.5
1994-09-22,29.5,2,,28,0,,29.5,2.5,,31.5,0,,28,0,,26,2.5,,18.5,2.5,,39,0,,39.5,1.5,,16,12
1994-09-29,13,8,,0,42.5,,25.5,5,,11,30.5,,0,44,,21.5,5,,7.5,25.5,,4,30,,30.5,2,,2.5,14.5
1994-10-06,0,65.5,,2.5,52,,0,63.5,,0,87.5,,8,35.5,,0,55.5,,6,61,,0,52.5,,3,40,,0,79.5
1994-10-13,0.5,50,,3,87.5,,3.5,51,,1.5,71.5,,1.5,59.5,,4,61.5,,1.5,59.5,,4.5,81.5,,5.5,48,,1,64.5
1994-10-20,0.5,36.5,,6,23,,0,42.5,,0,44.5,,2.5,21.5,,2,49,,0,31,,5,24.5,,2,36,,0,82
1994-10-27,0,49,,0,111,,0,59.5,,0,111,,0,104.5,,0,64,,0,103.5,,0,96,,0,48,,0,49.5
1994-11-03,0,48.5,,0,94.5,,0,57.5,,0,97,,0,79.5,,0,65.5,,0,97.5,,0,83.5,,0,47.5,,0,49
1994-11-10,2.5,37,,0,107,,0,50.5,,0,96.5,,0,74.5,,2.5,45,,0,71,,0,122,,5.5,34,,3.5,54
1994-11-17,0,93,,0,126.5,,0,89.5,,0,120.5,,0,96,,0,88,,0,105.5,,0,128.5,,0,78.5,,0,117.5
1994-11-24,0,122,,0,172,,0,122,,0,158,,0,146.5,,0,118.5,,0,149.5,,0,175.5,,0,104.5,,0,151
1994-12-01,0,140,,0,197.5,,0,136.5,,0,188,,0,163.5,,0,144.5,,0,167.5,,0,199,,0,139.5,,0,168
1994-12-08,0,105,,0,174,,0,110,,0,159.5,,0,124,,0,109,,0,121.5,,0,186,,0,92.5,,0,131
1994-12-15,0,201.5,,0,273,,0,196,,0,264,,0,237.5,,0,190,,0,223.5,,0,280.5,,0,176.5,,0,230
1994-12-22,0,161,,0,205.5,,0,171.5,,0,200.5,,0,173,,0,167,,0,185,,0,207,,0,154,,0,181.5
1994-12-29,0,146,,0,196,,0,144.5,,0,203,,0,200,,0,134.5,,0,200.5,,0,184.5,,0,138,,0,174.5
1995-01-05,0,239,,0,335.5,,0,242.5,,0,298,,0,283.5,,0,232.5,,0,279,,0,329.5,,0,223.5,,0,251.5
1995-01-12,0,217,,0,286,,0,207,,0,277,,0,227.5,,0,193,,0,231,,0,285.5,,0,189,,0,252
1995-01-19,0,108,,0,209.5,,0,86.5,,0,169.5,,0,148.5,,0,90.5,,0,144.5,,0,208.5,,0,90,,0,117
1995-01-26,0,193.5,,0,310.5,,0,196.5,,0,253.5,,0,313,,0,198.5,,0,295,,0,280.5,,0,194.5,,0,209.5
1995-02-02,0,221.5,,0,255.5,,0,220.5,,0,269,,0,261,,0,207.5,,0,274,,0,253.5,,0,202,,0,251.5
1995-02-09,0,301,,0,335.5,,0,309,,0,342.5,,0,335.5,,0,299,,0,346.5,,0,327,,0,287.5,,0,328
1995-02-16,0,246.5,,0,325.5,,0,253.5,,0,309,,0,291,,0,237,,0,293.5,,0,329.5,,0,231.5,,0,245
1995-02-23,0,172,,0,195,,0,172,,0,217,,0,181.5,,0,169.5,,0,200,,0,212,,0,162.5,,0,198
1995-03-02,0,217,,0,260.5,,0,204.5,,0,274,,0,195.5,,0,187.5,,0,203,,0,269,,0,178,,0,263.5
1995-03-09,0,174,,0,255.5,,0,161.5,,0,252.5,,0,207,,0,159.5,,0,192,,0,259,,0,153,,0,195.5
1995-03-16,0,130,,0,70.5,,0,111.5,,0,111,,0,74,,0,103,,0,106,,0,85.5,,0,93.5,,0,201.5
1995-03-23,0,112.5,,0,148,,0,91,,0,157,,0,88.5,,0,91.5,,0,118,,0,169,,0,79,,0,146.5
1995-03-30,0,129.5,,0,170,,0,113.5,,0,165,,0,145.5,,0,109.5,,0,150.5,,0,181,,0,98.5,,0,179
1995-04-06,0,158,,0,166,,0,142.5,,0,176.5,,0,149.5,,0,139.5,,0,161,,0,180,,0,122.5,,0,189
1995-04-13,0,111.5,,0,157,,0,72,,0,156,,0,79,,2.5,60.5,,0,85,,0,168,,2.5,50,,0,141.5
1995-04-20,0,69.5,,0,108.5,,5,64.5,,0,117.5,,4,57,,9.5,61,,5.5,69.5,,0,139.5,,9.5,57,,0,120
1995-04-27,0,50.5,,0,119.5,,2,43.5,,0,113.5,,0,97,,6,45.5,,0,104.5,,0,122.5,,7,48.5,,0,85
1995-05-04,0,57,,0,108.5,,0,55,,0,91,,0,97,,0,61,,0,98.5,,0,110.5,,0,55,,0,114
1995-05-11,0,55,,0,52,,0,33,,0,61,,4.5,31.5,,1.5,36,,2.5,49.5,,0,79.5,,3,20.5,,0,84.5
1995-05-18,2,24,,3.5,34.5,,15,10,,3,27.5,,6.5,23.5,,15,8.5,,11.5,24.5,,4.5,28,,20.5,6,,0,77.5
1995-05-25,19,9.5,,1,41,,28.5,4.5,,1,29.5,,9,14,,27.5,0.5,,9.5,18.5,,3.5,40,,37.5,0,,11.5,12
1995-06-01,28.5,10.5,,13.5,18,,28,3,,9,12,,12,12,,28,2.5,,10,7,,11,26.5,,32,2,,23.5,28
1995-06-08,61.5,0,,23.5,11.5,,76.5,0,,28.5,7.5,,46,0,,75.5,0,,47,0,,17,16.5,,77,0,,35.5,1.5
1995-06-15,19.5,1.5,,23,14.5,,43,0,,12,10.5,,35,7,,52,0,,31.5,6,,18,17,,51.5,0,,0.5,23.5
1995-06-22,75.5,0,,106.5,0,,79,0,,91,0,,80.5,0,,80.5,0,,77.5,0,,106,0,,79,0,,61,0
1995-06-29,30,1,,79.5,0,,61,0,,72,0,,70.5,0,,57,0,,75,0,,71.5,0,,62,0,,22,8.5
1995-07-06,63.5,0,,40.5,1.5,,88.5,0,,44.5,2.5,,44.5,1.5,,90,0,,52.5,0.5,,34.5,2,,90,0,,66.5,0
1995-07-13,69,0,,88.5,0,,80,0,,44,0,,75,0,,86,0,,64,0,,65.5,0.5,,85.5,0,,53,0
1995-07-20,121,0,,109.5,0,,135,0,,92.5,0,,102,0,,136,0,,95.5,0,,89,0,,138,0,,74,1
1995-07-27,119.5,0,,90,0,,136,0,,81,0,,86.5,0,,135,0,,76,0,,54,0,,132.5,0,,93,0
1995-08-03,132.5,0,,99,0,,145,0,,92,0,,113.5,0,,140.5,0,,111.5,0,,74,0,,138.5,0,,99,0
1995-08-10,79.5,0,,91,0,,93.5,0,,77.5,0,,79,0,,92,0,,75,0,,77.5,0,,93,0,,49.5,0.5
1995-08-17,119,0,,132,0,,127,0,,120,0,,127,0,,130,0,,127.5,0,,104.5,0,,141.5,0,,88.5,0
1995-08-24,90.5,0,,80.5,0,,95.5,0,,70,0,,93,0,,97,0,,80,0,,61.5,0,,110,0,,48.5,1
1995-08-31,72,0,,101,0,,80.5,0,,67.5,0,,101.5,0,,85.5,0,,83,0,,71,0,,98,0,,20,1.5
1995-09-07,80.5,0,,43.5,3,,90,0,,42.5,0,,59.5,0,,83.5,0,,30,0,,34.5,2,,92.5,0,,41,1
1995-09-14,37.5,1,,9,27.5,,59.5,0.5,,13,28,,21,10.5,,66,0,,21,7.5,,8.5,39.5,,75.5,0,,14.5,9.5
1995-09-21,12,2.5,,8.5,49.5,,29.5,0,,2,39,,4.5,22.5,,36,0,,1.5,15,,6,63.5,,34.5,0,,0,39.5
1995-09-28,1.5,20.5,,4,73.5,,5,20,,0,64,,0,65,,6.5,26.5,,0.5,59.5,,0.5,70.5,,7,29.5,,5.5,43.5
1995-10-05,20.5,12.5,,14,19,,25,6,,10,26.5,,5.5,21,,23,6.5,,5.5,11,,8.5,36.5,,29,2,,3.5,46.5
1995-10-12,14.5,13.5,,4,50.5,,18.5,9,,2,41.5,,1.5,39.5,,27.5,12.5,,1,33.5,,4.5,50,,27,8,,2,38.5
1995-10-19,9.5,42.5,,2.5,67,,6.5,46.5,,1,57.5,,2,57.5,,7.5,50.5,,0,70,,3,67.5,,6.5,43,,9,46
1995-10-26,1,38.5,,0,125.5,,0,48,,0,98.5,,0,110.5,,0,58,,0,100.5,,0,127.5,,0,46.5,,0,48.5
1995-11-02,0,67.5,,0,125,,1,65,,0,108.5,,0,82.5,,3,64.5,,0,77,,0,138.5,,0.5,55,,0,99
1995-11-09,0,137.5,,0,233.5,,0,149.5,,0,216,,0,232.5,,0,152.5,,0,219.5,,0,228,,0,143.5,,0,152.5
1995-11-16,0,146,,0,251,,0,162.5,,0,216,,0,208,,0,179.5,,0,204,,0,259.5,,0,174.5,,0,150.5
1995-11-23,0,166.5,,0,218.5,,0,172,,0,206,,0,191.5,,0,173.5,,0,198,,0,244,,0,171.5,,0,169
1995-11-30,0,178.5,,0,235,,0,169.5,,0,227,,0,191.5,,0,163.5,,0,187,,0,254.5,,0,162,,0,189
1995-12-07,0,166,,0,207.5,,0,168.5,,0,215.5,,0,179,,0,155,,0,185.5,,0,233,,0,141,,0,192.5
1995-12-14,0,273.5,,0,343.5,,0,274.5,,0,326.5,,0,277,,0,257.5,,0,283,,0,351.5,,0,247.5,,0,268
1995-12-21,0,237,,0,250,,0,244,,0,272,,0,248,,0,220.5,,0,237,,0,272.5,,0,204,,0,257.5
1995-12-28,0,244.5,,0,292.5,,0,253.5,,0,294,,0,312,,0,244,,0,304,,0,301.5,,0,234,,0,221.5
1996-01-04,0,235.5,,0,262,,0,236,,0,288,,0,288,,0,208,,0,268.5,,0,274.5,,0,202.5,,0,249
1996-01-11,0,319.5,,0,316,,0,315.5,,0,350,,0,329,,0,298.5,,0,336,,0,330,,0,290,,0,322.5
1996-01-18,0,220.5,,0,217,,0,229,,0,221.5,,0,211.5,,0,214,,0,194,,0,239,,0,209.5,,0,215.5
1996-01-25,0,205,,0,297,,0,213,,0,265,,0,268,,0,222,,0,247,,0,319.5,,0,211,,0,196.5
1996-02-01,0,224.5,,0,369.5,,0,226.5,,0,308,,0,312.5,,0,218,,0,276.5,,0,389,,0,210,,0,239
1996-02-08,0,308.5,,0,376,,0,317.5,,0,347.5,,0,352,,0,307,,0,333.5,,0,394.5,,0,296.5,,0,312.5
1996-02-15,0,221.5,,0,239,,0,215,,0,260.5,,0,216.5,,0,195,,0,227.5,,0,241.5,,0,183.5,,0,245.5
1996-02-22,0,198,,0,249.5,,0,202,,0,271.5,,0,211.5,,0,195.5,,0,231.5,,0,257.5,,0,184,,0,228
1996-02-29,0,130.5,,0,201.5,,0,123.5,,0,192.5,,0,142,,0,110.5,,0,161,,0,223.5,,0,100,,0,155.5
1996-03-07,0,223,,0,315,,0,215.5,,0,305,,0,259.5,,0,205.5,,0,258.5,,0,325,,0,177.5,,0,246.5
1996-03-14,0,218.5,,0,230.5,,0,228,,0,256.5,,0,217,,0,222,,0,235,,0,227.5,,0,199.5,,0,241
1996-03-21,0,140.5,,0,221,,0,144,,0,207,,0,188,,0,137,,0,177,,0,220,,0,120.5,,0,159
1996-03-28,0,164,,0,215,,0,164.5,,0,231.5,,0,198,,0,153,,0,188.5,,0,235.5,,0,132.5,,0,169.5
1996-04-04,0,129.5,,0,172,,0,134,,0,166,,0,117.5,,0,127.5,,0,131.5,,0,198,,0,104.5,,0,154.5
1996-04-11,0,163,,0,183.5,,0,159,,0,196,,0,180,,0,154,,0,184.5,,0,190.5,,0,134.5,,0,181
1996-04-18,2.5,98,,0,133,,0,93,,0,127,,5,94.5,,1,69.5,,5,89,,0,161.5,,3,55.5,,0,141.5
1996-04-25,8.5,27,,0,79.5,,7,25.5,,1.5,65.5,,1.5,56,,12,23.5,,5.5,39.5,,0,92,,17,13.5,,2.5,48.5
1996-05-02,0,53,,0,135.5,,1,49,,0,135.5,,0,102,,6,56,,0,89,,0,148.5,,8,33.5,,0,69.5
1996-05-09,0,71.5,,0,94.5,,0,66,,0,84,,7,33.5,,0,42.5,,7.5,39.5,,0,132,,10,29,,0,91.5
1996-05-16,8,59,,0,114.5,,4.5,67,,0,108,,5.5,75.5,,5.5,68,,3.5,73,,0,140.5,,7,48.5,,0,85
1996-05-23,55,7.5,,40,9,,49,1.5,,35.5,5,,56.5,0,,53.5,5.5,,44.5,0.5,,35.5,10,,74.5,1.5,,29,27
1996-05-30,3,35.5,,0,95.5,,5,41,,0,61.5,,0,31.5,,9,61,,0,51.5,,0,112.5,,10,41,,0,45.5
1996-06-06,19,8,,3,29,,13,13.5,,6.5,16,,9.5,11,,6.5,20.5,,6.5,12.25,,5,37.5,,26.5,3.5,,16,12
1996-06-13,60.5,0,,12,38.5,,75,0,,30.5,0,,20,0,,76.5,0,,34,0,,15.5,55,,97,0,,40.5,6
1996-06-20,54.5,0.5,,50,0,,79.5,0,,52,0,,82,0,,89,0,,78,0,,16.5,11,,109.5,0,,35.5,3
1996-06-27,55,0,,36,0,,69,0,,41,0,,66,0,,63,0,,66,0,,21.5,14,,97,0,,22.5,4.5
1996-07-04,34.5,1,,66.5,1.5,,43.5,0.5,,66.5,1,,81.5,0,,59.5,0,,78.5,0.5,,64,6.5,,83.5,0,,25.5,1
1996-07-11,69.5,0,,33,5,,67.5,0,,36.5,2.5,,51,0,,55.5,0,,49.5,0,,32.5,6.5,,95,0,,62.5,0
1996-07-18,79,0,,64,0,,88,0,,68,0,,80,0,,85.5,0,,88.5,0,,53.5,0,,104,0,,75,0
1996-07-25,47.5,0,,26.5,4,,59,0,,37,0.5,,45,0.5,,59.5,0,,41.5,2,,20,4,,77,0,,31.5,0
1996-08-01,44.5,0,,21,0,,59.5,0,,20.5,0,,42.5,0,,62.5,0,,38,0,,13,2,,78.5,0,,20,4
1996-08-08,75,0,,74,0,,73,0,,78.5,0,,89,0,,62,0,,80,0,,74,0,,88.5,0,,50,0
1996-08-15,44,0,,44,0,,44.5,0,,48,0,,56.5,0,,37,0,,46,0,,44.5,0,,53.5,0,,33.5,3
1996-08-22,69,0,,63,0,,68.5,0,,60,0,,77,0,,65,0,,72,0,,63,0,,87.5,0,,51.5,0
1996-08-29,81,0,,33.5,0,,78.5,0,,47.5,0,,62.5,0,,64.5,0,,61.5,0,,35,0,,92.5,0,,46.5,1.5
1996-09-05,79.5,0,,50.5,0,,75,0,,48.5,0,,67.5,0,,57,0,,56,0,,46.5,0,,80.5,0,,38.5,0
1996-09-12,68,0,,35,6.5,,80.5,0,,38.5,1,,53,1,,75.5,0,,49.5,0,,35,6,,87,0,,23.5,5
1996-09-19,5,11.5,,0,47,,5,5.5,,0,42,,0,38.5,,3,10,,0,30.5,,0,41,,11,1,,0.5,24.5
1996-09-26,2,28.5,,0,43,,0,21.5,,0,33,,0.5,23.5,,1.5,26.5,,0,27.5,,0,32.5,,11.5,4.5,,3,41.5
1996-10-03,2,20,,0,56,,3.5,20.5,,0,59.5,,1,43,,6,21.5,,6,34.5,,0.5,60.5,,11,11.5,,0.5,36.5
1996-10-10,0,81.5,,0,103.5,,0,78.5,,0,99,,0,73,,0,90.5,,0,87.5,,0.5,96,,0,66.5,,0,99.5
1996-10-17,3,60.5,,1.5,45.5,,2,61.5,,0,70,,1,29,,0,65,,0,47,,4.5,40.5,,5,38,,0,78.5
1996-10-24,0,61.5,,0,121,,0,64,,0,97.5,,0,105,,0,74.5,,0,85,,0,115,,0,55,,0,80.5
1996-10-31,0,55,,0,107.5,,0,57.5,,0,108.5,,0,78,,0.5,47.5,,0,79,,0,118.5,,4.5,20,,0,83.5
1996-11-07,0,108.5,,0,173.5,,0,114,,0,162.5,,0,149,,0,120,,0,141.5,,0,169,,0,92,,0,136
1996-11-14,0,145,,0,258,,1,160,,0,229.5,,0,233,,0,177.5,,0,227,,0,256,,0,155.5,,1,140.5
1996-11-21,0,172.5,,0,210,,0,189,,0,220,,0,188.5,,0,190,,0,191,,0,212.5,,0,158.5,,0,185.5
1996-11-28,0,180.5,,0,251,,0,190,,0,250.5,,0,216.5,,0,193.5,,0,217,,0,264,,0,166,,0,214
1996-12-05,0,151.5,,0,233.5,,0,164,,0,209,,0,194,,0,183,,0,188,,0,233.5,,0,155,,0,179
1996-12-12,0,172,,0,224.5,,0,179,,0,217.5,,0,177,,0,186,,0,171.5,,0,225,,0,165,,0,192
1996-12-19,0,148.5,,0,274,,0,151.5,,0,245,,0,258,,0,153.5,,0,213,,0,271.5,,0,142.5,,0,144
1996-12-26,0,202.5,,0,303,,0,220.5,,0,271.5,,0,259,,0,229.5,,0,249,,0,321,,0,200,,0,204.5
1997-01-02,0,187,,0,226,,0,183,,0,209,,0,138.5,,0,155.5,,0,132.5,,0,236.5,,0,125.5,,0,233
1997-01-09,0,166.5,,0,258.5,,0,159,,0,227,,0,204,,0,144,,0,183.5,,0,263.5,,0,121.5,,0,206
1997-01-16,0,251.5,,0,400.5,,0,262,,0,355.5,,0,404.5,,0,278,,0,356.5,,0,370,,0,240.5,,0,234
1997-01-23,0,274,,0,299.5,,0,271,,0,320,,0,298.5,,0,276.5,,0,280.5,,0,312.5,,0,237,,0,283
1997-01-30,0,224.5,,0,350.5,,0,219,,0,317.5,,0,294,,0,216,,0,259,,0,348,,0,195,,0,258.5
1997-02-06,0,176.5,,0,235,,0,172.5,,0,219,,0,196,,0,166,,0,195.5,,0,234,,0,142,,0,214
1997-02-13,0,227.5,,0,287,,0,237,,0,281.5,,0,252.5,,0,237,,0,253.5,,0,296.5,,0,206.5,,0,243
1997-02-20,0,170,,0,241.5,,0,169.5,,0,242.5,,0,187.5,,0,163.5,,0,205.5,,0,240.5,,0,141,,0,195.5
1997-02-27,0,144.5,,0,251,,0,136,,0,223.5,,0,186,,0,124.5,,0,156.5,,0,263,,0,99,,0,178
1997-03-06,0,152.5,,0,207.5,,0,140.5,,0,191,,0,154.5,,0,122,,0,150.5,,0,223.5,,0,97.5,,0,169.5
1997-03-13,0,189.5,,0,195.5,,0,178,,0,222,,0,158.5,,0,163.5,,0,177,,0,216.5,,0,130.5,,0,241
1997-03-20,0,186.5,,0,226,,0,170,,0,229,,0,192,,0,164.5,,0,192,,0,239.5,,0,144.5,,0,232.5
1997-03-27,0,151.5,,0,154,,0,140,,0,169,,0,126.5,,0,131,,0,125.5,,0,160,,0,108.5,,0,186.5
1997-04-03,0,102,,0,124,,0,85,,0,132,,0,115.5,,0,76.5,,0,122,,0,135.5,,1,63.5,,0,145.5
1997-04-10,0,100,,0,162,,0,95.5,,0,153.5,,0,137.5,,0,87.5,,0,126,,0,177,,0,76,,0,144.5
1997-04-17,0,100,,0,178,,0,106.5,,0,165,,0,141,,0,113.5,,0,135.5,,0,177.5,,0,92.5,,0,133
1997-04-24,0,106,,0,137,,0,112,,0,134,,0,113.5,,0,107.5,,0,112.5,,0,159.5,,0,96,,0,131
1997-05-01,0,43.5,,0,96,,0,50.5,,0,86.5,,0,81,,2.5,52.5,,0,87.5,,0,105.5,,3.5,35,,0,80.5
1997-05-08,0,63,,0,74.5,,0,60.5,,0,118,,0,74.5,,2,60.5,,0,82.5,,0,98.5,,3,37.5,,0,87.5
1997-05-15,2,42,,0,100.5,,0,51,,0,111,,0,88,,0,54,,0,85.5,,0,118,,1,40,,0,63
1997-05-22,2.5,46.5,,0,92,,5,41,,0,91,,7,51,,11.5,39.5,,9.5,56,,0,136.5,,23.5,22,,0,68.5
1997-05-29,0,25,,3.5,59,,0,24.5,,0,60.5,,4,30.5,,1,35.5,,0,30.5,,0,91,,10,15.5,,0,48
1997-06-05,6,29,,0,34,,9,28.5,,0,31,,0,29,,5,29.5,,7,13,,0,51.5,,14,18,,0,55
1997-06-12,38.5,14.5,,9,16,,27.5,15.5,,18.5,2,,11.5,13.5,,19,26,,11.5,7,,2,34.5,,27.5,13.5,,36.5,35
1997-06-19,25.5,0.5,,15,15,,39.5,0,,18,2,,38.5,0,,47,0,,28.5,0.5,,0,35.5,,62,0,,20,3.5
1997-06-26,98,0,,94.5,0,,107,0,,89.5,0,,83,0,,104.5,0,,90,0,,66,0,,127.5,0,,79,0
1997-07-03,80.5,0,,65.5,0,,87,0,,59,0,,73.5,0,,69,0,,71.5,0,,47,1.5,,94.5,0,,80.5,0
1997-07-10,69,0,,12.5,9,,87.5,0,,12,3.5,,27.5,3,,76.5,0,,27,0,,2.5,19,,102.5,0,,57,0
1997-07-17,115.5,0,,98,0,,116.5,0,,79.5,0,,76.5,0,,109.5,0,,81,0,,76,0,,136.5,0,,85.5,0
1997-07-24,50.5,2,,57.5,0,,64,2,,45,0,,95,0,,74,0,,69.5,0,,23.5,0,,93,0,,36.5,3.5
1997-07-31,70,0,,65,0,,79.5,0,,64.5,0,,88.5,0,,82.5,0,,74,0,,32.5,4,,102,0,,62,2
1997-08-07,66.5,0,,47,2,,64,0,,31,1.5,,55.5,0,,60,0,,36.5,2,,37.5,3.5,,88.5,0,,57,0
1997-08-14,77.5,0,,32.5,0,,78,0,,29,1.5,,54.5,0,,77.5,0,,53.5,0,,16.5,9.5,,106.5,0,,54.5,0
1997-08-21,55.5,0,,32,2,,72,0,,25.5,3,,47.5,1,,78.5,0,,49.5,0,,18.5,17,,100.5,0,,45,3
1997-08-28,34.5,0,,25,0,,38.5,0,,14,9,,35.5,4.5,,41.5,0,,29,8.5,,11.5,7,,65,0,,28.5,0
1997-09-04,45,4,,16,13.5,,45,4,,20,14.5,,39.5,7.5,,48,3.5,,29,12,,2,22,,67,1.5,,24,8
1997-09-11,23.5,0.5,,15,9.5,,29.5,0.5,,11,7,,24,5,,35.5,2,,21,5,,7,29,,50,0,,9,3
1997-09-18,48.5,0,,25,5,,39.5,0,,13.5,6,,27,3,,37,0,,19.5,3.5,,11.5,9,,57,0,,28,5.5
1997-09-25,11.5,36,,9,37,,10.5,37,,4,53.5,,8,29,,16,40,,5.5,37.5,,6,51,,22,14,,10.5,46
1997-10-02,3,35.5,,0,34.5,,6,31,,0,53,,1,28.5,,4,30,,0.5,33.5,,0,48,,13,14.5,,0,53
1997-10-09,24.5,7,,38,1,,32.5,6,,28,0.5,,45,0,,37.5,8.5,,42,0,,28.5,3,,54,4.5,,7,35
1997-10-16,6.5,36,,5,82,,13.5,30,,0,82.5,,3,60.5,,11,33,,5,58,,1.5,94.5,,16,13.5,,4.5,55
1997-10-23,0,100,,0,146.5,,0,102,,0,155,,0,137.5,,0,107.5,,0,131,,0,159.5,,0,93.5,,0,119
