THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01
,US Gas Basis NGI SoCal Dec01,2,1,3,,10000,10000,20000,6666.666666666667
,US Gas Basis NGI SoCal Dec01-Mar02,,1,1,,,5000,5000,5000
MLENHAR Total,10,134,139,273,,1030000,1015000,2045000,7490.84249084249
,,,,,,,,,
MSMITH18,,,,,,,,,
,US Gas Phy EPNG Keystone,208,255,463,,1737664,1921430,3659094,7903.010799136069
,US Gas Phy SoCal EHR,97,127,224,,833828,1099000,1932828,8628.69642857143
,US Gas Phy SoCal PG&E KRS,12,5,17,,60000,30000,90000,5294.117647058823
,US Gas Phy SoCal Topk EPNG,73,75,148,,673000,711673,1384673,9355.898648648648
,US Gas Phy SoCal TW Needles,55,16,71,,387000,105000,492000,6929.577464788732
,US Gas Phy SoCal Wheeler Ridge,18,7,25,,84380,31000,115380,4615.2
MSMITH18 Total,6,463,485,948,,3775872,3898103,7673975,8094.910337552743
,,,,,,,,,
RGAY,,,,,,,,,
,US Gas Daily EP SanJuan,217,177,394,,2130000,1712500,3842500,9752.53807106599
,US Gas Phy EP Blanco Avg,168,271,439,,1559262,2473559,4032821,9186.380410022779
,US Gas Phy EP Bondad Avg,4,9,13,,20000,41000,61000,4692.307692307692
RGAY Total,3,389,457,846,,3709262,4227059,7936321,9380.994089834516
,,,,,,,,,
SSOUTH,,,,,,,,,
,US Gas Phy NWPL RkyMtn Pool,55,66,121,,304131,297880,602011,4975.297520661157
,US Gas Phy NWPL Wyoming Pool,52,54,106,,227285,221320,448605,4232.122641509434
,US Gas Phy Opal,582,742,1324,,2717895,3639838,6357733,4801.913141993958
,US Gas Phy PGT Stanfield,85,79,164,,417100,401050,818150,4988.719512195122
SSOUTH Total,4,774,941,1715,,3666411,4560088,8226499,4796.792419825073
,,,,,,,,,
TKUYKEN,,,,,,,,,
,US Gas Basis EP SanJuan Apr-Oct02,11,5,16,,110000,50000,160000,10000
,US Gas Basis EP SanJuan Apr-Oct03,2,1,3,,10000,5000,15000,5000
,US Gas Basis EP SanJuan Dec01,59,47,106,,550000,455000,1005000,9481.132075471698
,US Gas Basis EP SanJuan Dec01-Mar02,31,38,69,,305000,375000,680000,9855.072463768116
,US Gas Basis EP SanJuan Feb02,13,1,14,,115000,10000,125000,8928.57142857143
,US Gas Basis EP SanJuan Jan02,18,2,20,,175000,20000,195000,9750
,US Gas Basis EP SanJuan Mar02,7,1,8,,70000,10000,80000,10000
,US Gas Basis EP SanJuan Nov02-Mar03,4,2,6,,20000,10000,30000,5000
,US Gas Daily EP SanJuan,4,4,8,,80000,90000,170000,21250
TKUYKEN Total,9,149,101,250,,1435000,1025000,2460000,9840
,,,,,,,,,
Grand Total,,3923,4430,8353,,27769548,31038228,58807776,7040.317969591763
